 	a66	a87	a23	a79	a4	a58	a53	a15	a79	a56	a32	a24	a62	a34	a98	a92	a37	a85	a43	a75	a92	a37	a61	a96	a21	a61	a62	a88	a38	a30	a87	a23	a87	</S>
quelle	0.0279922	0.0490849	0.0549472	0.0401824	0.0358258	0.0323948	0.0178204	0.0251341	0.0125041	0.0102956	0.0083265	0.00572296	0.00668168	0.00872779	0.00756137	0.00773889	0.00755518	0.00964054	0.00682702	0.00596018	0.00644471	0.00528251	0.0118257	0.0270659	0.0414144	0.0689938	0.0911838	0.0739367	0.0827763	0.0537625	0.0502574	0.0351062	0.0306152	0.0404112
est	0.0166362	0.0223908	0.0245209	0.0246101	0.0274377	0.0176235	0.0259675	0.0243263	0.0338773	0.0347143	0.0440205	0.046858	0.0231984	0.0302328	0.0310775	0.0308045	0.0324921	0.0411609	0.0327043	0.0251758	0.0212063	0.0253496	0.0216125	0.0203271	0.0427513	0.0338498	0.0320289	0.0330291	0.0308454	0.0287653	0.0296133	0.0268215	0.0393508	0.0246201
parmi	0.0638961	0.0693189	0.0594368	0.0606999	0.0344652	0.0354495	0.0151847	0.0233592	0.0265996	0.0176811	0.0409023	0.0447634	0.0266346	0.0285711	0.0228796	0.0183487	0.0157795	0.0224249	0.0159584	0.0170109	0.00793321	0.00757228	0.00610386	0.00433172	0.00807658	0.0125964	0.0131666	0.0163626	0.0198552	0.0333346	0.0411582	0.0413559	0.0670852	0.0617034
vous	0.164771	0.0908038	0.0882299	0.0497823	0.0526367	0.0184765	0.0135959	0.0174302	0.0229824	0.020433	0.0317543	0.032629	0.0167594	0.0157197	0.0162028	0.0251806	0.0222198	0.0231865	0.030538	0.0242964	0.0160159	0.0173333	0.0149552	0.0134073	0.0165191	0.0197153	0.011772	0.0155682	0.0144131	0.0148693	0.0141288	0.0183942	0.0160719	0.0192079
la	0.071166	0.046394	0.0434751	0.0209477	0.0236633	0.0183045	0.0305968	0.0125644	0.0170989	0.0119001	0.017669	0.0234902	0.0226264	0.0206755	0.0158786	0.0160572	0.010822	0.0147529	0.0123227	0.0192391	0.0180789	0.017734	0.0330266	0.0506122	0.0285018	0.0245921	0.0168296	0.0227895	0.034515	0.0512601	0.0515227	0.0514544	0.0689315	0.0605072
personne	0.0492464	0.0355887	0.0267394	0.0119952	0.00992372	0.00591013	0.0172547	0.0300865	0.0365495	0.0288697	0.0444835	0.0521378	0.0422765	0.0280089	0.0142104	0.0083155	0.00724775	0.00850083	0.00632362	0.00790285	0.0186218	0.0248925	0.0439715	0.0566296	0.0518859	0.0514822	0.0562817	0.0278851	0.0300256	0.0259522	0.0387475	0.031041	0.0219819	0.0490298
qui	0.166333	0.0823126	0.0418721	0.0147557	0.00711951	0.00827579	0.00695056	0.0209409	0.0195153	0.0182731	0.0158153	0.0192547	0.0144981	0.00921731	0.00401619	0.00278848	0.00195681	0.00475346	0.00248488	0.00594072	0.00949537	0.00913843	0.0156327	0.0194662	0.0106882	0.0254165	0.0213632	0.0144951	0.0277131	0.0858084	0.112353	0.0688143	0.0966688	0.0158724
a	0.139386	0.0455044	0.0268663	0.0179116	0.0129065	0.0136504	0.0158893	0.022313	0.021929	0.0189499	0.0157823	0.0144669	0.0122174	0.00997807	0.00895855	0.00558962	0.00424546	0.00818487	0.00667352	0.0147758	0.0263594	0.0260468	0.0448645	0.0383404	0.0287118	0.0575199	0.0298687	0.0211758	0.0316402	0.068366	0.0516623	0.0536797	0.0697343	0.0158517
blessé	0.113197	0.0875912	0.0808053	0.0330624	0.0234232	0.0103945	0.0121155	0.0120027	0.00960172	0.00594236	0.00524905	0.0067557	0.00628649	0.00536758	0.00606083	0.00655479	0.004848	0.00950002	0.0081958	0.0148577	0.018532	0.0178245	0.0308333	0.0268595	0.0129987	0.0225337	0.0272524	0.0270377	0.0448254	0.0576071	0.0564061	0.0665438	0.0803102	0.048624
mon	0.0491271	0.0455845	0.0543302	0.0352978	0.0306409	0.012152	0.0100395	0.0162757	0.0119647	0.00728435	0.013366	0.0176306	0.0173174	0.0133033	0.0101993	0.00588929	0.00377066	0.00659772	0.00661419	0.0131486	0.0155955	0.0155697	0.0185739	0.025565	0.0150691	0.0223908	0.0241086	0.0251954	0.0474537	0.0665181	0.0671963	0.0847915	0.098332	0.0931066
fils	0.0348452	0.0160652	0.0228416	0.0126548	0.0120228	0.00734522	0.0115181	0.0213189	0.0270728	0.0181243	0.0363092	0.0375178	0.0262772	0.0203211	0.0136555	0.00722966	0.00414616	0.00612648	0.00677785	0.0125671	0.0141501	0.0165263	0.0202867	0.0254877	0.0204956	0.0287245	0.0243925	0.0294425	0.039736	0.0602664	0.0859569	0.0824554	0.116252	0.0810905
</S>	0.0145023	0.00840488	0.00915765	0.00212183	0.00116529	0.000697353	0.00149807	0.00137137	0.00239786	0.00167723	0.00231098	0.00215019	0.00212742	0.00158952	0.00166365	0.00124698	0.000996488	0.00135845	0.00134382	0.00259455	0.00553231	0.00842196	0.0168466	0.0288191	0.039275	0.0538343	0.0791632	0.0847511	0.116627	0.0996042	0.113424	0.0945088	0.112788	0.0860284
