 	a66	a87	a23	a18	a71	a18	a54	a47	a6	a21	a12	a62	a21	a5	a12	a88	a71	a82	a9	a50	a88	a31	a62	a75	a92	a5	a47	a88	a93	a56	a98	a85	a6	a37	a44	a38	a82	a26	a57	a87	a23	a99	a87	a23	</S>
cet	0.0339052	0.0363774	0.0789636	0.0526165	0.0491958	0.0481381	0.0634152	0.0363799	0.0191902	0.0165372	0.00913508	0.0139615	0.0200911	0.0108228	0.0152377	0.0118773	0.0142058	0.0130925	0.0110905	0.0129232	0.013943	0.0130702	0.0132164	0.0147857	0.0120056	0.0263407	0.0244351	0.0184268	0.0399964	0.0180862	0.0161922	0.0136185	0.0122424	0.0193801	0.012338	0.0235498	0.0213089	0.0146908	0.0166293	0.0135706	0.0172554	0.0142413	0.0130896	0.0103833	0.0200474
homme	0.00226516	0.00511272	0.0100237	0.00885067	0.0139316	0.0431336	0.141008	0.132738	0.15218	0.0729815	0.0798924	0.0610261	0.042546	0.0435337	0.0298149	0.0473301	0.0257529	0.0166597	0.0151344	0.0133287	0.00311907	0.00200119	0.00224518	0.00398661	0.00372099	0.00157827	0.00181032	0.00244417	0.00270925	0.00276856	0.00163805	0.00279078	0.00133905	0.00243679	0.00045918	0.00110207	0.000353821	0.000500101	0.000776958	0.000539467	0.00121462	0.000802704	0.000541953	0.000838348	0.00103906
qui	0.0356885	0.0302428	0.0300869	0.0170164	0.018521	0.0224525	0.0266788	0.0299702	0.0320136	0.0294484	0.0282222	0.0245042	0.0482624	0.0570911	0.0551086	0.0431004	0.0400094	0.0509346	0.0463827	0.033156	0.019906	0.0171654	0.0273742	0.0174631	0.0132346	0.00468604	0.00754647	0.0125255	0.00830219	0.00340697	0.00280745	0.00451775	0.00306132	0.00357947	0.00855652	0.00598312	0.00709898	0.00867895	0.01144	0.0145688	0.0127601	0.0170623	0.0188625	0.025207	0.0253147
arrive	0.0702402	0.0293586	0.0182163	0.0104474	0.0111847	0.0106481	0.00823306	0.00532739	0.00557308	0.0054872	0.00484993	0.00406428	0.00698767	0.00853728	0.00938371	0.0103082	0.0136114	0.0153503	0.0165804	0.0184819	0.0224672	0.027847	0.0343851	0.0292007	0.0495598	0.0491733	0.074592	0.0897487	0.068447	0.0333645	0.0221348	0.0174053	0.00834021	0.00787554	0.0110076	0.00788629	0.0124963	0.0118148	0.0186878	0.0176878	0.0132045	0.0166711	0.0190311	0.0232109	0.0308896
a	0.0301099	0.0179696	0.0105033	0.0059967	0.00636196	0.00651776	0.00433778	0.00589281	0.00498446	0.00918031	0.0123781	0.0164599	0.0234468	0.0230727	0.0432844	0.0491182	0.0634154	0.0439484	0.0330535	0.0333924	0.0370036	0.0339282	0.0423434	0.0554054	0.0443129	0.0408181	0.0456678	0.0431773	0.0275183	0.0150058	0.0149338	0.00899004	0.00464575	0.00661023	0.0038831	0.003762	0.0108778	0.00397566	0.009974	0.00971672	0.010304	0.0145962	0.0127286	0.016655	0.0397419
le	0.0315062	0.0206962	0.01567	0.0130289	0.0115718	0.00648881	0.00517128	0.0100932	0.00841026	0.0154466	0.0179289	0.0117815	0.0156855	0.0215976	0.0224942	0.0242225	0.0284411	0.0277716	0.029294	0.0206927	0.0252475	0.0265009	0.0274438	0.0432409	0.032409	0.0226748	0.0262369	0.0316352	0.0204447	0.0130148	0.012025	0.0146126	0.0149114	0.0159265	0.0264277	0.0149269	0.0212303	0.0315862	0.0345029	0.0291686	0.0228629	0.0284824	0.0362821	0.0332296	0.0369834
pouvoir	0.026009	0.0169604	0.0147542	0.0192662	0.0236486	0.0337284	0.0219047	0.0325989	0.043547	0.0652255	0.0567367	0.0303791	0.0283583	0.0415929	0.0450203	0.0492875	0.0491914	0.0413499	0.0425229	0.0269367	0.012361	0.00828057	0.00839638	0.0105555	0.00842703	0.00639086	0.00827806	0.0108075	0.0121758	0.00687617	0.0079125	0.0107654	0.0132369	0.0165357	0.0269756	0.00955625	0.0108878	0.0108521	0.0178237	0.0133069	0.0149484	0.00979692	0.0131346	0.012992	0.00970766
mystique	0.0381266	0.0299237	0.0243868	0.0281633	0.0243588	0.0202625	0.0181022	0.026035	0.0237585	0.0253321	0.0258948	0.0187078	0.0213064	0.0269993	0.0238078	0.0193578	0.025586	0.0341145	0.0387371	0.0338742	0.0333608	0.0238654	0.020869	0.0209044	0.0212573	0.0224483	0.0248864	0.0209263	0.0157762	0.0187057	0.0208771	0.0214527	0.0167925	0.0174597	0.0272892	0.0130341	0.0125097	0.0163685	0.0183795	0.0144664	0.0156662	0.0130337	0.0130389	0.0127492	0.0170479
d'	0.0525123	0.0206868	0.0164603	0.00832114	0.00738437	0.00777136	0.0066468	0.00927404	0.00723118	0.0126411	0.0189598	0.0134836	0.0144231	0.0176121	0.0185489	0.0121762	0.0158742	0.0207362	0.0210929	0.0250106	0.0290363	0.0198804	0.0296571	0.0353631	0.0254913	0.0266188	0.0323222	0.0317406	0.0193763	0.0165136	0.0180965	0.0170495	0.0161966	0.0191731	0.0381646	0.0261014	0.0265487	0.0292347	0.022146	0.0286905	0.0260659	0.0362551	0.0253547	0.0397373	0.0383389
abattre	0.0363355	0.0307673	0.0317396	0.0187199	0.0170627	0.0155138	0.012441	0.00983463	0.00789393	0.0107886	0.0129405	0.0094687	0.0081542	0.0127279	0.0136437	0.0127589	0.0160608	0.017882	0.017314	0.0168222	0.0184714	0.0174601	0.022642	0.0249404	0.0285721	0.0313484	0.0361958	0.0464037	0.0354517	0.0486766	0.034604	0.0277637	0.0193259	0.0271778	0.021233	0.0146294	0.0247085	0.0210947	0.0214526	0.0190632	0.026379	0.0266766	0.0183496	0.0292368	0.0292731
