 	a66	a87	a99	a87	a23	a99	a87	a23	a99	a87	a23	a30	a93	a4	a50	a62	a88	a83	a11	a94	a13	a99	a83	a96	a90	a56	a25	a21	a85	a6	a36	a12	a96	a18	a62	a47	a88	a62	a93	a98	a92	a85	a6	a36	a37	a26	a82	a87	a23	a99	a87	a23	a87	a97	a82	</S>
pardonne	0.0112241	0.0128097	0.0154577	0.0286065	0.0272787	0.0286958	0.0320913	0.0286859	0.0478576	0.0485828	0.0489715	0.0583013	0.0267034	0.0172656	0.0253896	0.0182228	0.0138804	0.0190875	0.0127884	0.0115897	0.00981579	0.0101192	0.0101661	0.0089679	0.00945192	0.0115301	0.00855081	0.00760688	0.00759281	0.00766202	0.0092419	0.00712455	0.00887066	0.00835523	0.0130476	0.00692369	0.0103837	0.00642633	0.00890393	0.00916986	0.00963599	0.0113467	0.0207198	0.0419281	0.0117527	0.0206926	0.0220592	0.0378678	0.0208518	0.0102722	0.013277	0.0163764	0.0128586	0.0102921	0.00993453	0.0167332
ton	0.0122648	0.00930628	0.00759053	0.00743266	0.00785985	0.0104182	0.00713274	0.0065375	0.00514169	0.00513698	0.0148493	0.0226343	0.0167306	0.0186689	0.0102522	0.0141117	0.0120642	0.0150475	0.0174756	0.0112871	0.0152602	0.0101286	0.0129219	0.0200816	0.015837	0.0188874	0.015802	0.013755	0.0151015	0.0309348	0.0215422	0.0245753	0.0273697	0.0113269	0.0156233	0.0204931	0.0240706	0.0148933	0.0322308	0.0199988	0.0224602	0.0156932	0.018953	0.0171243	0.0225779	0.0205963	0.0235633	0.0190403	0.0270142	0.0261896	0.02956	0.0279261	0.0310706	0.0339544	0.0347742	0.0167255
ami	0.0139658	0.00967563	0.00571747	0.00341412	0.00296011	0.00235314	0.00335938	0.00255754	0.00373573	0.00360169	0.0026164	0.00387467	0.00604571	0.0180373	0.0104369	0.0103204	0.0127003	0.00838902	0.0219401	0.0141767	0.0422861	0.0178991	0.0195977	0.0465265	0.0156653	0.0290048	0.0425989	0.017241	0.0306379	0.0224003	0.011774	0.0107608	0.0142884	0.0133149	0.0109591	0.0154	0.00921814	0.00708618	0.00898157	0.0101545	0.0082934	0.0100225	0.0104836	0.0238904	0.0252575	0.018302	0.0342269	0.0264607	0.0232051	0.0278004	0.0194273	0.0279299	0.0276106	0.0404689	0.0623596	0.0585879
pour	0.0482733	0.0486795	0.036968	0.0189033	0.0167375	0.0124108	0.0253463	0.0302995	0.0255402	0.0173706	0.0119483	0.0159128	0.0194165	0.015349	0.0230763	0.0339751	0.0270109	0.0189574	0.0234666	0.0231121	0.0262945	0.0272328	0.0302878	0.0249125	0.0236474	0.0260454	0.0209097	0.0137781	0.0155645	0.0128497	0.0130634	0.01061	0.012405	0.00813967	0.00785756	0.00861322	0.00946359	0.0148367	0.0081441	0.00854858	0.00734393	0.0082192	0.00502585	0.00604392	0.0102985	0.0105605	0.0113835	0.0118339	0.0114382	0.0138548	0.0105387	0.0107071	0.00855716	0.00977433	0.0074603	0.0410018
tout	0.0229177	0.01708	0.0109423	0.00764913	0.00527712	0.00345864	0.00526468	0.00423243	0.00554746	0.00436157	0.00347212	0.00421395	0.00713023	0.0168977	0.0169824	0.0234235	0.0295629	0.030938	0.0152712	0.0245945	0.0184067	0.0274655	0.0322295	0.0259253	0.0196433	0.0316536	0.0293674	0.0241008	0.0243841	0.0199442	0.0112938	0.0101822	0.0102501	0.0197409	0.0163007	0.0186398	0.0181583	0.0189087	0.0173624	0.017312	0.0146252	0.0164816	0.0142314	0.0197447	0.0128739	0.0232277	0.0268731	0.0278427	0.0250361	0.0181228	0.016301	0.021385	0.0174509	0.0177642	0.0292479	0.0283047
le	0.0192961	0.0133794	0.0101511	0.0067918	0.00509516	0.00288197	0.00465312	0.00458751	0.0068898	0.00512142	0.00536232	0.00580765	0.00809425	0.0179994	0.0165025	0.0202496	0.01707	0.0219504	0.0136504	0.0147784	0.0103844	0.0151786	0.0205866	0.0201063	0.0216432	0.03081	0.0294489	0.0197427	0.0289923	0.0326331	0.0353712	0.0334124	0.0334037	0.0300103	0.0374283	0.022836	0.0216763	0.0144318	0.011361	0.0125865	0.0138584	0.0144115	0.0189363	0.0235755	0.0184623	0.0229899	0.0208926	0.0237577	0.0220895	0.0160022	0.0176187	0.0201391	0.0180013	0.013708	0.0182723	0.0149286
mal	0.0201923	0.0126929	0.010313	0.0064572	0.00704697	0.0085718	0.00908101	0.00577181	0.00497272	0.00201531	0.00173898	0.00174537	0.00169213	0.00381405	0.00526019	0.00524995	0.00498176	0.00627813	0.0062552	0.00554704	0.00517042	0.00484342	0.00639373	0.0095487	0.00903989	0.0114972	0.0114773	0.00821128	0.0180802	0.0309725	0.0416982	0.0452804	0.046031	0.0477512	0.0462252	0.0424607	0.0396802	0.0339341	0.026537	0.0293284	0.021529	0.0298142	0.0300986	0.0255482	0.0286006	0.0244207	0.0217579	0.0314799	0.0204491	0.0169543	0.0183331	0.0181608	0.0190012	0.0169213	0.0172389	0.0158533
qu'	0.0235587	0.023893	0.0168957	0.00985402	0.0109637	0.0143572	0.018194	0.0140549	0.0100423	0.00747953	0.00614111	0.0056197	0.00402696	0.005548	0.0105425	0.00951337	0.0104643	0.00972378	0.00812225	0.0100998	0.0103604	0.00654608	0.0115683	0.0126858	0.0110451	0.0149491	0.010017	0.00635323	0.0117381	0.0182805	0.0222535	0.0136458	0.022885	0.0291723	0.0263112	0.0363465	0.0334588	0.0312292	0.0399518	0.0206373	0.0124092	0.0159448	0.0130854	0.0171885	0.0222958	0.0346714	0.03508	0.0524955	0.0303428	0.0280875	0.0220384	0.0193692	0.0196253	0.0158254	0.0199765	0.0230345
il	0.0344255	0.0305596	0.0235221	0.0255109	0.0261734	0.0509107	0.041695	0.0499174	0.0346589	0.0184479	0.0166047	0.0185119	0.0130634	0.0115822	0.0260846	0.0129142	0.00651053	0.00620797	0.00428593	0.00504538	0.00611447	0.00471137	0.00561015	0.00848185	0.0129279	0.00978019	0.00457584	0.00294033	0.00460781	0.00698597	0.0119005	0.00624524	0.00953413	0.0186293	0.0144101	0.0217013	0.0204046	0.0193666	0.0316356	0.0194874	0.012553	0.0130336	0.00837228	0.014926	0.00763236	0.00757838	0.0214	0.0204341	0.0232385	0.0112751	0.0208751	0.0243663	0.0264003	0.0332734	0.0332436	0.0247152
t'	0.0300966	0.0470016	0.0382329	0.0347598	0.02433	0.0332001	0.0377638	0.0306926	0.0470777	0.0144277	0.00739546	0.00385829	0.00204096	0.00727229	0.0059816	0.00619574	0.00637748	0.00635839	0.0104407	0.0137094	0.0152102	0.0175835	0.0183041	0.023455	0.0198091	0.0160587	0.0178289	0.0170049	0.0182151	0.0152147	0.0128427	0.0084299	0.0108818	0.0140174	0.0165962	0.0210585	0.0225393	0.0235818	0.0332317	0.0206089	0.0112255	0.0147525	0.00793513	0.00893544	0.00596316	0.00648814	0.0111149	0.0120955	0.0125387	0.00721075	0.0116165	0.0130458	0.0123137	0.0196125	0.0251249	0.0503418
