 	a66	a87	a23	a99	a71	a27	a94	a44	a34	a61	a18	a61	a34	a56	a92	a98	a15	a7	a44	a4	a57	a3	a87	a23	a99	a97	</S>
on	0.0670443	0.0558918	0.039384	0.026672	0.0215824	0.0182797	0.0181834	0.0183206	0.0135212	0.013606	0.0102042	0.0112066	0.0138359	0.0217904	0.0216161	0.0237358	0.0309084	0.0321859	0.0495114	0.0294217	0.0373958	0.034752	0.0678851	0.0731528	0.10097	0.0466771	0.102266
se	0.0666146	0.0412249	0.0472041	0.0389676	0.0191114	0.0181219	0.00770262	0.00716911	0.0125391	0.014873	0.0251456	0.0308758	0.0337878	0.0265482	0.0388066	0.0296924	0.0307226	0.0474717	0.0671051	0.0563799	0.0417339	0.0612115	0.0556554	0.0395574	0.0448436	0.0500382	0.0468959
lave	0.0352773	0.0365716	0.0333611	0.0423704	0.0213753	0.0149401	0.00993896	0.0106021	0.0209884	0.0245205	0.0389706	0.0267704	0.0133455	0.0144043	0.0223376	0.0155013	0.0174678	0.0396049	0.0438882	0.0371679	0.0494717	0.0576436	0.0816697	0.0636043	0.0549497	0.105778	0.0674787
là-bas	0.041511	0.0267493	0.0208273	0.0188047	0.0244778	0.0255322	0.0151077	0.0242648	0.0546816	0.0777844	0.128517	0.0951836	0.0486369	0.0380402	0.0449268	0.0533038	0.0493695	0.0379323	0.0226368	0.0321231	0.0200008	0.0232742	0.0179375	0.0119034	0.0166697	0.00942082	0.0203833
à	0.0713946	0.0479337	0.0338092	0.0301783	0.0299023	0.0261165	0.0231262	0.0239172	0.0227806	0.0228023	0.0273589	0.0241197	0.0317219	0.0347216	0.0383668	0.0438889	0.0422374	0.041885	0.0422719	0.0408243	0.043493	0.0423821	0.0423529	0.0463769	0.0438513	0.0374318	0.0447549
l'	0.115169	0.0591646	0.0370545	0.0349214	0.0275281	0.0236568	0.0232201	0.0260094	0.0281215	0.0206656	0.0312344	0.0294864	0.0360429	0.0302494	0.0303758	0.0276937	0.0246318	0.03633	0.0522833	0.0352223	0.0465104	0.0352386	0.0354213	0.0418383	0.040236	0.0330324	0.038662
entrée	0.064215	0.0547944	0.0411896	0.0384912	0.0277744	0.0272823	0.0129186	0.0129811	0.00879852	0.0100461	0.0148315	0.0268986	0.0298947	0.0316945	0.031952	0.0314688	0.0328529	0.0455409	0.0455737	0.0670949	0.0786942	0.0487087	0.0456671	0.0595948	0.0419163	0.041325	0.0278004
du	0.077184	0.0289977	0.0198428	0.0146215	0.00988745	0.0093464	0.00913982	0.0105164	0.0113263	0.0134058	0.0301054	0.0361178	0.0489827	0.0553857	0.0374643	0.0337366	0.0218662	0.0314486	0.0278297	0.056379	0.0844196	0.0485908	0.0426175	0.0628063	0.0435463	0.0568426	0.0775927
village	0.0509793	0.0317686	0.0325426	0.0239663	0.015104	0.0126771	0.0103563	0.0134623	0.0146605	0.0105218	0.0189006	0.0139342	0.0170974	0.0157553	0.0173634	0.0145431	0.0208597	0.0321794	0.0305028	0.0487257	0.07749	0.0706052	0.065333	0.0901492	0.0623354	0.0925256	0.0956613
</S>	0.0274628	0.0147492	0.008021	0.00419743	0.0022177	0.00213289	0.00170104	0.00167173	0.000852911	0.000862387	0.00139403	0.00248152	0.00522815	0.0058637	0.00465857	0.00360326	0.00516755	0.0121427	0.0201666	0.041071	0.0926795	0.103595	0.107645	0.144168	0.0856406	0.125521	0.175105
