 	a23	a38	a30	a35	a26	a21	a47	a0	a24	a26	a24	a25	a87	a79	a90	a76	a35	a26	a24	a11	a75	a14	a44	a57	a38	a90	a76	a69	a84	a87	a23	a40	a44	a57	a20	a35	a76	a90	a38	a94	a54	a73	a44	a57	a38	a9	a53	a90	a4	a13	a9	a87	</S>
ils	0.026686	0.0295377	0.0346397	0.0218172	0.0287464	0.0396047	0.0410512	0.0469101	0.0274354	0.036171	0.0120162	0.0184014	0.0272239	0.0181043	0.0216581	0.0322892	0.0329299	0.0302988	0.0316425	0.0154911	0.0144293	0.0146203	0.0145716	0.00932361	0.0160493	0.0106686	0.0105385	0.0142119	0.00883189	0.0105637	0.00968648	0.021384	0.0150432	0.0310589	0.0145286	0.0260733	0.0189856	0.0155041	0.0215895	0.0150694	0.00803626	0.00503656	0.00632959	0.00609591	0.00609668	0.00496983	0.0057025	0.0158956	0.00924108	0.00987114	0.0123005	0.00923247	0.0158051
se	0.00641247	0.0151005	0.0197488	0.0205138	0.0266948	0.0222011	0.0358033	0.0328689	0.0430271	0.0406329	0.02336	0.0137506	0.0173698	0.0135433	0.0133702	0.0261803	0.0248535	0.0359347	0.0346978	0.0381696	0.0602774	0.074493	0.0307083	0.0476461	0.0282225	0.0334726	0.0203033	0.017577	0.0116868	0.0178963	0.00799189	0.00621291	0.00955209	0.00848594	0.00988615	0.0109671	0.00719543	0.00572491	0.00482857	0.00461622	0.00451406	0.00757046	0.00972798	0.0117439	0.0070191	0.00375976	0.00441129	0.0029659	0.00319138	0.00470392	0.00491539	0.00643999	0.00705881
sont	0.0303463	0.0272145	0.0236651	0.0450543	0.0277669	0.0168661	0.0185867	0.0316128	0.0263072	0.03119	0.0997816	0.0602885	0.0315223	0.0448351	0.0327814	0.0155449	0.00712358	0.0063823	0.0123134	0.00867174	0.0106308	0.0185687	0.0134914	0.0133359	0.0120691	0.0122864	0.0100033	0.0124682	0.0110646	0.0144788	0.0145678	0.0102977	0.0197542	0.0144798	0.0150772	0.00692414	0.00776545	0.00629316	0.00433351	0.00523562	0.0055961	0.00623668	0.00679491	0.00589788	0.00470543	0.0151609	0.0112422	0.0117349	0.015121	0.0149187	0.0124095	0.0260737	0.0331275
anuités	0.00455387	0.00559263	0.00595693	0.00735364	0.0129293	0.0108241	0.0267568	0.0185489	0.0442885	0.052972	0.0469637	0.072096	0.0401859	0.050965	0.0533539	0.0441735	0.0416018	0.0396051	0.0353079	0.0421974	0.0431443	0.0408514	0.0331464	0.0270062	0.0236339	0.02388	0.0162257	0.0120766	0.0108484	0.00574024	0.00727885	0.00493258	0.00403223	0.00295716	0.00687729	0.00768967	0.00886469	0.00964304	0.00847663	0.00728274	0.00703194	0.00758799	0.00824533	0.00456177	0.00241815	0.00206445	0.0015649	0.00102043	0.00101924	0.000760101	0.000997856	0.000756534	0.00115643
dans	0.0330654	0.0279729	0.0204245	0.0275941	0.019256	0.0133809	0.0104638	0.00815737	0.00977173	0.0148008	0.0232458	0.0186407	0.0205396	0.0147758	0.0241473	0.0251886	0.0288651	0.0447213	0.0341664	0.0333361	0.0437078	0.0315232	0.0609123	0.049788	0.0476249	0.0458096	0.0295616	0.0279696	0.0205258	0.0140825	0.0147844	0.0114759	0.0125354	0.00942804	0.00763675	0.00572012	0.00622631	0.00889877	0.00666022	0.00835343	0.00738533	0.00998869	0.00862956	0.0070923	0.00544228	0.00502411	0.0047299	0.00337856	0.00344016	0.00274865	0.00233575	0.00520933	0.0188568
la	0.0214161	0.017208	0.0116994	0.0179215	0.0119922	0.0108076	0.00840592	0.0102033	0.0105677	0.0107939	0.0183211	0.0163553	0.0204186	0.0154634	0.0198976	0.018791	0.0151366	0.0242058	0.0206904	0.0268218	0.0342014	0.03339	0.0368283	0.0370732	0.0362778	0.0377695	0.0340403	0.0330825	0.0319227	0.0352829	0.0276946	0.0268112	0.0294753	0.0212991	0.0124462	0.00958291	0.0103844	0.00730394	0.00900762	0.00888558	0.0126148	0.0150718	0.0175089	0.0143366	0.0105486	0.0109484	0.00947908	0.0076073	0.0118258	0.0067649	0.00786097	0.0106241	0.0249319
forêt	0.0140439	0.0114809	0.00816019	0.0133589	0.00940806	0.00917289	0.00714294	0.00838245	0.0138274	0.0081231	0.0164352	0.0176463	0.018017	0.00827231	0.0173654	0.0145246	0.00977015	0.0136392	0.0169738	0.0325083	0.0443779	0.0417921	0.0488592	0.055047	0.0467204	0.0561334	0.0403451	0.0252173	0.0249474	0.0239422	0.0287893	0.0162996	0.0239217	0.0175682	0.0257577	0.0249149	0.0247521	0.0166689	0.0172746	0.0189484	0.0179173	0.011279	0.0140367	0.00799452	0.00424696	0.00398813	0.00308602	0.00522115	0.00926931	0.00771028	0.00533971	0.00828284	0.0110977
ils	0.0152315	0.0134131	0.0156573	0.0172292	0.0186054	0.0136219	0.0130354	0.0158807	0.0291276	0.018658	0.0119876	0.0347418	0.0243867	0.0163317	0.0391667	0.0399222	0.0180793	0.0223149	0.0310629	0.0453537	0.0288285	0.0372239	0.0315907	0.0327279	0.0276311	0.0289109	0.0272646	0.0164389	0.0185212	0.0166411	0.0249508	0.0119766	0.0100794	0.0131947	0.0185277	0.0264857	0.0138686	0.0178858	0.019212	0.021486	0.0102091	0.00859708	0.0111961	0.00509376	0.00395174	0.0037766	0.0034924	0.00481723	0.00673075	0.00931322	0.00669166	0.0116708	0.017206
n'	0.0148525	0.00653186	0.00895533	0.00816477	0.00639337	0.0031475	0.00610252	0.0063142	0.0117558	0.0122688	0.00801859	0.0214524	0.0197029	0.0235678	0.0259822	0.0301316	0.0300456	0.0337003	0.0262184	0.0345731	0.0293597	0.0305251	0.0314795	0.0316023	0.0251139	0.029378	0.0249846	0.0229128	0.0214912	0.0241147	0.0295572	0.0223156	0.0211201	0.0232679	0.0210706	0.0202141	0.0128841	0.0114888	0.0110678	0.0124908	0.0143348	0.0155504	0.0200831	0.0156274	0.0202051	0.0142774	0.0149171	0.010317	0.0152768	0.0131817	0.0129971	0.0139311	0.0249831
ont	0.0174227	0.0112696	0.0118931	0.0119042	0.0082707	0.00745597	0.00962377	0.012083	0.0143275	0.00957977	0.00613637	0.0115149	0.0210884	0.0141086	0.0224951	0.0288817	0.027324	0.0426722	0.0285003	0.0276945	0.0395673	0.0470693	0.040653	0.0439981	0.0360404	0.0281771	0.0284984	0.0203712	0.0179335	0.0102372	0.0174201	0.0138104	0.0120272	0.0180568	0.0130697	0.0140918	0.0107974	0.00785274	0.00815686	0.0113793	0.00875003	0.00884354	0.0169579	0.0126042	0.0163066	0.0109174	0.0115113	0.0177716	0.0112704	0.0218487	0.0239347	0.0212888	0.0345406
