 	a66	a87	a23	a13	a50	a88	a50	a96	a98	a0	a24	a9	a38	a75	a47	a36	a2	a57	a87	a23	a83	a36	a2	a54	a15	a7	a44	a54	a5	a18	a71	a54	a47	a36	a2	a57	a87	a23	a87	a23	a99	a83	a50	a62	a83	a54	a6	a37	a6	a7	a4	a13	a57	a3	a87	a23	a87	</S>
l'	0.0189807	0.0424504	0.0392367	0.0231583	0.0339576	0.0217845	0.0214022	0.0145678	0.0187257	0.0207373	0.0260822	0.020233	0.0125814	0.0115966	0.00990891	0.00689635	0.0129472	0.00868098	0.0114616	0.0161817	0.0118269	0.00813773	0.0121535	0.01101	0.013644	0.0131651	0.0233082	0.0199083	0.0281746	0.0213865	0.0261696	0.0419396	0.0245512	0.0156526	0.0186421	0.0199884	0.0119473	0.00912218	0.00950887	0.0106828	0.00893806	0.0108653	0.0152029	0.0207813	0.0205898	0.0108141	0.0130164	0.0129481	0.0150992	0.0223095	0.0120865	0.0139853	0.0159072	0.0179295	0.0115624	0.0112311	0.0118406	0.012402
aveugle	0.00212037	0.00483073	0.00413894	0.00366103	0.00719909	0.00281146	0.00415334	0.00573748	0.00914786	0.0123843	0.00959646	0.0123514	0.0177193	0.015901	0.0478761	0.0318423	0.131204	0.040769	0.0662433	0.0963256	0.0738135	0.068917	0.160694	0.0645077	0.0189793	0.00536299	0.00946893	0.00619708	0.00478192	0.00196956	0.00103616	0.000663456	0.00218295	0.00259516	0.0037986	0.00578036	0.00759496	0.00342186	0.00203677	0.00285531	0.00341097	0.00110201	0.0017825	0.00141702	0.00162794	0.00374484	0.00248572	0.00142418	0.00141067	0.000918866	0.000862331	0.000859898	0.00039362	0.00153745	0.000665096	0.00126333	0.00128288	0.00113999
palpe	0.0153121	0.0146407	0.0111315	0.0108472	0.0104569	0.0123729	0.0099402	0.00916397	0.00819827	0.00760645	0.0150713	0.00876843	0.0160722	0.0204527	0.0443279	0.0493749	0.0424425	0.051051	0.0439648	0.0389063	0.0540556	0.0489074	0.0373499	0.0423407	0.0484794	0.0331932	0.0344559	0.0148046	0.0528149	0.0381014	0.0239124	0.0203044	0.0135342	0.00931027	0.00841461	0.00990045	0.00396851	0.00800992	0.00376742	0.00388856	0.00168101	0.00142559	0.000782663	0.00116962	0.00164476	0.00134	0.00170757	0.00115234	0.00164002	0.00124854	0.00205133	0.00271725	0.0040177	0.00401375	0.00352917	0.00329681	0.00915831	0.00780773
les	0.0436763	0.0200936	0.0106924	0.0167847	0.0106733	0.0157126	0.00917317	0.0136398	0.0137566	0.00969015	0.0132398	0.0137021	0.0101512	0.0179071	0.0185467	0.0137193	0.015746	0.0238586	0.0264518	0.025199	0.0223186	0.0258516	0.0239624	0.023578	0.0619684	0.0448928	0.0610846	0.0404663	0.0588779	0.0585062	0.0611726	0.0308395	0.0162257	0.0108239	0.00856639	0.00860094	0.00378807	0.00920619	0.00406997	0.00446649	0.00362863	0.00441641	0.00246188	0.00270537	0.00300445	0.00421508	0.0066129	0.00172929	0.00193486	0.00235502	0.00269139	0.00383552	0.00457509	0.00619993	0.00578701	0.00461744	0.00854169	0.00900715
murs	0.0501382	0.0202499	0.019531	0.0193021	0.00928417	0.0162108	0.0125694	0.020458	0.0144439	0.00637552	0.0122531	0.00581445	0.00648281	0.00348291	0.00575443	0.00712882	0.00366477	0.00565668	0.00629753	0.00629609	0.00706554	0.0103311	0.00686124	0.0046418	0.0147182	0.0190083	0.0186858	0.0308619	0.0437281	0.01973	0.0347419	0.02302	0.037943	0.0369828	0.0282378	0.0142205	0.0171972	0.0227135	0.0161465	0.0129063	0.00810084	0.00964198	0.0065445	0.00622123	0.00483583	0.0108988	0.0125066	0.0120545	0.0132478	0.0186759	0.0213909	0.0365285	0.0410278	0.0236579	0.0347039	0.0246173	0.0225611	0.0216487
pour	0.0122269	0.0112723	0.0144045	0.00708965	0.00552652	0.0102359	0.00763282	0.0134778	0.011413	0.00737226	0.0159592	0.00691707	0.00946862	0.0123207	0.0135461	0.0318033	0.022941	0.0229112	0.020799	0.0206938	0.0180242	0.0214759	0.016798	0.0223274	0.0276418	0.0788102	0.0764433	0.0749317	0.0741963	0.0542436	0.0425711	0.0451016	0.0300551	0.0162971	0.0147702	0.0104054	0.00805923	0.00668161	0.00582906	0.00500139	0.00443722	0.00559529	0.00507447	0.00558391	0.0028318	0.00218577	0.00240107	0.00239518	0.00320447	0.00252002	0.00234608	0.00339805	0.00333303	0.00464469	0.0073304	0.00530759	0.00481917	0.00491606
trouver	0.00838324	0.00760802	0.0120199	0.00819901	0.0073262	0.00723445	0.00639472	0.00570602	0.0100747	0.00564838	0.00572456	0.00437221	0.0046912	0.0153635	0.0123669	0.0191185	0.0153466	0.0113703	0.0201064	0.0156439	0.0180273	0.043602	0.0210606	0.0421915	0.0242036	0.050282	0.0335765	0.0268281	0.0366816	0.0400239	0.0178221	0.0231245	0.0202688	0.0202876	0.0154225	0.0124581	0.0078386	0.0116115	0.00890527	0.0103371	0.00828099	0.00998871	0.010785	0.0149136	0.0166157	0.0172778	0.0123035	0.0112592	0.0282133	0.0244799	0.0160545	0.0281439	0.0319159	0.0194225	0.0149698	0.0201312	0.0140434	0.0139492
le	0.0116676	0.00749491	0.00958197	0.00676265	0.00553134	0.00794668	0.00516516	0.00573079	0.00904523	0.00490138	0.00423183	0.00284789	0.00337614	0.01562	0.00844086	0.019643	0.0173898	0.0125272	0.0217586	0.0215876	0.0199608	0.0469823	0.0256804	0.0393061	0.0277338	0.0610173	0.0554481	0.0482286	0.0585413	0.0756828	0.0277078	0.030309	0.0216449	0.0173886	0.0119321	0.0101664	0.00414236	0.00766671	0.00484017	0.00445777	0.00304754	0.00364397	0.00463048	0.007762	0.00754786	0.00539249	0.0043205	0.00556856	0.013075	0.0118925	0.0114349	0.0153529	0.0222116	0.0140261	0.0257986	0.0196176	0.0115047	0.0130847
chemin	0.0143118	0.016243	0.021644	0.0151023	0.0206871	0.0166319	0.0129432	0.0121202	0.0118087	0.00695939	0.00845805	0.00464355	0.00478898	0.00893074	0.00561741	0.0141776	0.0101463	0.0076049	0.0108281	0.0116854	0.0106979	0.0203547	0.0151602	0.0349826	0.024455	0.038942	0.0504957	0.0388908	0.0547387	0.0563189	0.0291459	0.0262395	0.0284963	0.0349662	0.0270281	0.0213167	0.0171559	0.0204052	0.0150258	0.0140869	0.0068934	0.00871251	0.00772009	0.0106943	0.00816781	0.00829248	0.00661083	0.00849043	0.00757157	0.0113338	0.00848691	0.0173212	0.0113579	0.0170359	0.0094579	0.012429	0.00830692	0.0168814
</S>	0.0118711	0.011962	0.0133932	0.0100101	0.00842297	0.00699274	0.0107832	0.0095916	0.0114224	0.00974789	0.0130015	0.00804454	0.00868057	0.0101998	0.0107576	0.0162102	0.0173516	0.012133	0.0169204	0.0199046	0.0172367	0.0217068	0.0252539	0.0218122	0.0183393	0.0234712	0.0305966	0.0281323	0.0302011	0.0307746	0.0256313	0.0315502	0.023839	0.0207085	0.0196161	0.0163152	0.0107849	0.015536	0.0130739	0.013982	0.00969676	0.0112016	0.0114006	0.0113867	0.0105768	0.00940761	0.01045	0.0121755	0.0225954	0.0237179	0.0178305	0.0230838	0.0241912	0.022505	0.0179958	0.0240993	0.0196662	0.0420565
