 	a66	a87	a97	a87	a97	a23	a54	a5	a98	a79	a7	a44	a98	a79	a7	a90	a4	a53	a90	a44	a75	a79	a7	a4	a57	a3	a97	a3	a97	</S>
les	0.0532982	0.0873138	0.0513243	0.0348978	0.0510628	0.0845738	0.0924883	0.0788967	0.0449834	0.0320639	0.0177699	0.0131634	0.00797043	0.00980385	0.00532968	0.00410826	0.0043221	0.00526115	0.00344135	0.00397651	0.0164752	0.015079	0.0262441	0.0267104	0.0457583	0.0349107	0.0401147	0.0344241	0.022375	0.0518589
gens	0.00352644	0.00532943	0.00659628	0.00908945	0.0209612	0.0323581	0.0597761	0.144585	0.0748838	0.0947574	0.197023	0.154135	0.0615161	0.0468466	0.00686428	0.00337068	0.00294956	0.00194433	0.00323283	0.00369574	0.00343037	0.00354708	0.0059815	0.00499368	0.00687278	0.00876	0.0108209	0.00767152	0.00810871	0.00637231
sont	0.049655	0.0638019	0.0379692	0.0480756	0.0633742	0.0428334	0.0325084	0.0421346	0.0189855	0.0182708	0.0264579	0.0176271	0.010761	0.00859412	0.00864602	0.0083664	0.00689387	0.00902478	0.00701209	0.0165233	0.0263358	0.0263855	0.0476873	0.0667449	0.0430211	0.0493375	0.0539997	0.0426691	0.0778802	0.0284236
en	0.0130849	0.012412	0.00763668	0.00730518	0.00628558	0.00724396	0.0061114	0.007835	0.00787731	0.00786698	0.0152605	0.0299708	0.0998238	0.104964	0.112193	0.0507782	0.0795397	0.0553579	0.0351721	0.0314744	0.039906	0.0349192	0.0519095	0.0376576	0.0249282	0.0279691	0.0191349	0.0180389	0.0250952	0.0222485
train	0.0489168	0.0553392	0.0398674	0.0462395	0.0420535	0.0388184	0.0306882	0.0341797	0.0263666	0.0222686	0.0181712	0.0269161	0.0423111	0.0645442	0.0680106	0.0400471	0.0336857	0.035528	0.0174119	0.0229141	0.0276932	0.0161444	0.0353925	0.0294065	0.0196449	0.0238884	0.0172338	0.0230347	0.0277045	0.0255793
de	0.111905	0.0841973	0.052528	0.0523754	0.0606005	0.0519874	0.055744	0.0575521	0.0472619	0.0394162	0.0270748	0.0237586	0.00761866	0.0044629	0.00249125	0.00223443	0.00268011	0.00207549	0.00246784	0.00325345	0.0102082	0.010887	0.0140451	0.0260031	0.0334858	0.0261315	0.0466548	0.0335192	0.0468525	0.0605273
parler	0.0599333	0.0706621	0.0545802	0.0535071	0.0673717	0.0464822	0.0536853	0.0544187	0.0361781	0.028543	0.0564074	0.0486861	0.0434045	0.0199816	0.0105916	0.0118932	0.0155117	0.0157181	0.0173802	0.0147595	0.0222011	0.0157726	0.0192381	0.0266383	0.0213112	0.0211897	0.0242099	0.0193636	0.0267993	0.0235807
très	0.0744478	0.0776312	0.0743407	0.0732919	0.0764712	0.0323973	0.0210027	0.0175283	0.0118722	0.0130249	0.0206967	0.0282609	0.0357691	0.0188516	0.0130772	0.0125675	0.0206018	0.024844	0.0169444	0.024175	0.0328579	0.0154799	0.0311494	0.0309644	0.0199694	0.0256324	0.0277369	0.0253027	0.0361299	0.0669808
fort	0.0615947	0.0644214	0.0658065	0.0664571	0.0716171	0.060367	0.043011	0.0298888	0.01567	0.0160507	0.0334844	0.0374264	0.0235884	0.0105707	0.0120333	0.0100667	0.0104786	0.00939789	0.00450497	0.00746792	0.0118661	0.00980687	0.0221117	0.0221418	0.0212643	0.0297341	0.0383163	0.0481736	0.0638477	0.078834
chez	0.073393	0.0623131	0.050219	0.0479343	0.0495087	0.0531803	0.0454281	0.0318864	0.0221983	0.0187425	0.0325681	0.027305	0.0195005	0.0204391	0.0172248	0.0137095	0.0154812	0.00903732	0.00841554	0.0132455	0.0233422	0.0195817	0.0289423	0.0234668	0.0233203	0.0302959	0.038622	0.0509444	0.0610513	0.0687027
le	0.0506259	0.0462614	0.0419207	0.0435311	0.044505	0.0348944	0.0256254	0.0196186	0.0134049	0.0130677	0.0254036	0.0184676	0.0107538	0.00792256	0.00809407	0.00727224	0.00558524	0.00352101	0.00357245	0.00823203	0.0180718	0.0274332	0.0411938	0.045416	0.0533688	0.0610728	0.0747061	0.0781662	0.0832377	0.0850538
chef	0.0331164	0.0295291	0.0253039	0.0264577	0.0285392	0.031119	0.0209709	0.0187125	0.00833122	0.0101583	0.0152481	0.0252273	0.0201665	0.0233642	0.0249322	0.0244542	0.0175192	0.0103661	0.011366	0.0176761	0.0224757	0.0234486	0.0490009	0.0425513	0.0645063	0.0877758	0.0724293	0.0709061	0.0703439	0.0740039
du	0.085577	0.0813499	0.0828754	0.0647581	0.0727511	0.088668	0.0539964	0.0311596	0.0169207	0.0132239	0.00986839	0.00970303	0.00610089	0.00774946	0.0043756	0.00429807	0.00302559	0.00235388	0.00224869	0.00312171	0.00613821	0.00694159	0.0134428	0.0181982	0.044754	0.0426593	0.0520167	0.0417559	0.0436722	0.086296
village	0.0841702	0.074706	0.0629106	0.065874	0.053045	0.060135	0.0410154	0.0328211	0.023567	0.0300823	0.0206356	0.0321022	0.0298413	0.0533973	0.0332191	0.0287666	0.0155539	0.010419	0.00653876	0.00722705	0.0106148	0.00757258	0.0100866	0.0115352	0.0231543	0.0197363	0.0253042	0.0336939	0.039947	0.0523277
</S>	0.115818	0.063739	0.0611411	0.038652	0.0347045	0.0396426	0.028128	0.0293095	0.0162969	0.00817033	0.00329372	0.00292289	0.0021775	0.00232463	0.00221006	0.00382173	0.00284261	0.00382617	0.00293628	0.00412999	0.0117165	0.0121386	0.0242702	0.030487	0.0748776	0.0569845	0.077168	0.0552038	0.058782	0.132285
