 	a66	a87	a23	a30	a70	a96	a61	a62	a93	a4	a13	a93	a75	a21	a5	a12	a62	a12	a62	a88	a71	a47	a88	a71	a9	a87	a23	a99	a26	</S>
la	0.0593707	0.114087	0.117295	0.0677093	0.062321	0.0535336	0.025972	0.0163279	0.0091022	0.0104908	0.00331979	0.00782083	0.0126262	0.0113095	0.00729376	0.00858393	0.00748061	0.010986	0.0230629	0.0291334	0.0330433	0.0453259	0.0447349	0.0472897	0.0336822	0.0181925	0.0216793	0.0315531	0.0184837	0.0481888
veuve	0.00106359	0.00359879	0.0157846	0.0248929	0.0466308	0.0664002	0.0788706	0.0635441	0.112914	0.159821	0.0698816	0.183179	0.0788337	0.0325922	0.0140002	0.00394995	0.00716129	0.00397201	0.00383833	0.00302078	0.00424044	0.00177454	0.00230363	0.0023638	0.000762201	0.00257861	0.00144809	0.00415153	0.00416798	0.00225913
est	0.0113807	0.0108576	0.0138603	0.0391974	0.0888611	0.0465529	0.0953115	0.0580859	0.054529	0.0558658	0.0529656	0.0532915	0.0486195	0.044607	0.0496461	0.0248249	0.0246618	0.0248662	0.0262502	0.0182745	0.025335	0.00888519	0.0108044	0.0135906	0.00997818	0.017428	0.0137734	0.0187788	0.023893	0.0150238
vêtue	0.0372912	0.0242907	0.0159467	0.0302832	0.0401218	0.0443489	0.0418411	0.0251508	0.0127271	0.042191	0.0158305	0.0499181	0.0358387	0.0327002	0.0723737	0.0364782	0.0274563	0.0170095	0.0110521	0.014024	0.0149768	0.0199832	0.0362297	0.0329801	0.0341805	0.0457844	0.0491865	0.0419694	0.0509296	0.0469061
d'	0.0900992	0.0296412	0.0175886	0.0228983	0.0315476	0.0443228	0.0247918	0.0208212	0.0167344	0.0224735	0.0237552	0.0121643	0.0103306	0.0170202	0.0483894	0.0286897	0.0118402	0.0230988	0.0200818	0.0307913	0.0164945	0.0248291	0.0321174	0.0258888	0.0338981	0.0381769	0.0415421	0.0301534	0.0511612	0.158658
un	0.068519	0.0420634	0.0324784	0.0247535	0.0323284	0.0295902	0.0279636	0.0292213	0.0262304	0.0287706	0.0435066	0.0369109	0.0287718	0.0269179	0.0356933	0.0456308	0.0275014	0.0356512	0.0326492	0.0392824	0.030642	0.0331579	0.0341506	0.0238104	0.0313992	0.0155263	0.0253714	0.0174836	0.0169144	0.0771103
morceau	0.0645383	0.0151368	0.0085583	0.0124135	0.0228299	0.0160146	0.0123928	0.0182174	0.0151941	0.0213459	0.0271232	0.0249796	0.0267056	0.0373549	0.0544379	0.0511654	0.0326284	0.0428185	0.0347602	0.0321127	0.0387666	0.0260466	0.0404383	0.0354762	0.0325229	0.0378211	0.0536843	0.0552201	0.0473784	0.0619175
de	0.076032	0.0432925	0.0157413	0.0109701	0.0143805	0.0259626	0.0140237	0.00804193	0.00488172	0.0125546	0.00452391	0.0124289	0.0102072	0.0113329	0.0225052	0.017551	0.0167686	0.027685	0.0273991	0.0272438	0.0338904	0.0324915	0.045337	0.0770488	0.062898	0.0665415	0.0967425	0.0664119	0.0731892	0.0419225
pagne	0.0525789	0.0296205	0.0119414	0.00925027	0.00787262	0.0106626	0.00738311	0.0139042	0.00627909	0.0121593	0.0106731	0.0179128	0.0272606	0.0321715	0.0436983	0.0534916	0.038459	0.0689048	0.0500116	0.0585535	0.0443102	0.0434392	0.0610173	0.0568227	0.0441174	0.0307886	0.0527497	0.0429693	0.0401747	0.0208225
</S>	0.0790243	0.0260041	0.0136465	0.0100697	0.00826705	0.00994332	0.00445997	0.00561201	0.00437699	0.00622685	0.00916144	0.00943252	0.0118255	0.0146245	0.0313437	0.0366249	0.0272904	0.0400298	0.0315182	0.0421883	0.0313027	0.0444202	0.0508751	0.0667016	0.0691967	0.0496865	0.0679727	0.0460937	0.0498473	0.102233
