 	a66	a87	a23	a90	a25	a92	a85	a6	a5	a61	a18	a38	a90	a25	a69	a90	a69	a90	a93	a62	a96	a79	a44	a57	a82	a87	a23	a10	a87	</S>
déballe	0.0293728	0.0627764	0.0741515	0.0580824	0.0416546	0.027623	0.0228588	0.0146497	0.0182174	0.0481672	0.020787	0.0421971	0.0316522	0.017763	0.0120128	0.0184431	0.031962	0.0172386	0.0185752	0.0122364	0.0189485	0.0339676	0.0192035	0.0336298	0.0451242	0.0291562	0.0463892	0.0525991	0.0435295	0.0570313
la	0.0325475	0.0204989	0.0226381	0.0208109	0.0194971	0.0189194	0.0124433	0.0135279	0.0152777	0.0143986	0.0127941	0.024913	0.0243924	0.0382049	0.0207863	0.0191946	0.0158686	0.0272442	0.0208794	0.0249794	0.0377772	0.0459713	0.0674846	0.0679212	0.05902	0.0696892	0.07481	0.064543	0.0565104	0.0364568
natte	0.0943611	0.0919622	0.0808266	0.0759676	0.060057	0.0609562	0.0783255	0.0640839	0.0328381	0.0432567	0.0223815	0.0226894	0.0320825	0.0234737	0.00976817	0.00817997	0.0101562	0.0126445	0.00743858	0.0105518	0.0141365	0.0133237	0.0103099	0.0225556	0.0169208	0.0137171	0.0134026	0.0110028	0.0132687	0.0293613
pour	0.0741696	0.059134	0.0688551	0.0838147	0.0722652	0.0798856	0.0941609	0.0615889	0.0517316	0.0303117	0.0187533	0.0120776	0.00657174	0.00727475	0.00438703	0.00447477	0.0046031	0.00448406	0.0101391	0.00814977	0.0119292	0.0120826	0.0265722	0.0267568	0.0379391	0.0400465	0.0202329	0.0186901	0.0131944	0.0357237
que	0.0698143	0.0428214	0.0189833	0.0139471	0.0180301	0.0161302	0.0205626	0.025117	0.0175611	0.0211621	0.0134196	0.0130821	0.0138269	0.00793833	0.00866165	0.00592388	0.00670924	0.00596561	0.0134008	0.00843568	0.00867295	0.0204222	0.0435889	0.0656989	0.0895238	0.0733528	0.0795077	0.0391869	0.0745023	0.144051
le	0.117869	0.0359561	0.0352379	0.0318237	0.036083	0.0171049	0.0237955	0.0380552	0.0252048	0.0297069	0.0730484	0.0434484	0.0197334	0.0127444	0.010294	0.00461739	0.0107238	0.00932347	0.0157117	0.0164971	0.0271667	0.0330095	0.0457744	0.0442706	0.0479506	0.0456193	0.039138	0.0284561	0.0405212	0.041114
malade	0.0807012	0.0556775	0.0302657	0.0177695	0.0242395	0.00964098	0.0241991	0.0273118	0.0236084	0.027566	0.0451399	0.0254105	0.019835	0.0143513	0.0101232	0.00668208	0.00492536	0.00788591	0.0114648	0.0162623	0.0264647	0.0401026	0.0562946	0.0593649	0.0630322	0.0548497	0.0567794	0.0448321	0.0403025	0.0749171
puisse	0.0534641	0.0646564	0.0470622	0.0341087	0.0318043	0.0140408	0.00709417	0.00873627	0.0061422	0.0112864	0.0183138	0.010709	0.00599062	0.00627343	0.00619295	0.00537132	0.00437614	0.00804637	0.00956734	0.0160316	0.0273886	0.0467643	0.0573511	0.0571033	0.0655583	0.0636963	0.0782205	0.0715203	0.0572258	0.105903
se	0.0536801	0.0585145	0.0416833	0.0316306	0.0234603	0.0113006	0.00627355	0.00873679	0.0084911	0.0109448	0.0329822	0.023905	0.00993403	0.00871075	0.00908417	0.00506634	0.0074094	0.00924838	0.0125274	0.0174951	0.0346122	0.0594462	0.0628246	0.0596191	0.0650031	0.0448185	0.0621483	0.0521018	0.0693564	0.0989914
coucher	0.0182461	0.0148149	0.00988936	0.00590476	0.00572113	0.00452155	0.00491299	0.00915991	0.00582623	0.0105554	0.0122041	0.012022	0.00884486	0.00630293	0.0111605	0.0156515	0.0178028	0.0292322	0.0498151	0.0441421	0.0522487	0.0556333	0.0834879	0.0722317	0.0707745	0.0693506	0.0756499	0.0597778	0.0614357	0.10268
</S>	0.0488274	0.0446531	0.0352517	0.0329188	0.0215504	0.0193536	0.00783833	0.0132596	0.00822659	0.0171656	0.0230408	0.0211224	0.00895688	0.00484794	0.00476519	0.00396849	0.0044891	0.00511964	0.00938775	0.0146772	0.0243481	0.063371	0.0561497	0.059877	0.0446787	0.0325915	0.0550186	0.0615508	0.0806919	0.172302
