 	a66	a87	a99	a83	a56	a75	a92	a56	a47	a75	a21	a5	a75	a85	a47	a36	a2	a57	a87	a40	a7	a98	a47	a98	a47	a36	a61	a21	a85	a6	a0	a75	a85	a6	a37	a61	a88	a9	a10	a87	a23	a87	</S>
pendant	0.0490931	0.0733126	0.0411939	0.0479212	0.0443119	0.0744882	0.0735826	0.0434897	0.0376267	0.0228904	0.0282087	0.0201963	0.0113868	0.0124592	0.0113589	0.0115449	0.00981842	0.00986006	0.00560518	0.0118141	0.00672749	0.0100679	0.00890337	0.0114242	0.01391	0.0172836	0.0217087	0.00959169	0.0150852	0.0149908	0.0106324	0.0153595	0.0164188	0.0114918	0.00972741	0.0208488	0.0304837	0.0133551	0.0224917	0.0110424	0.0118879	0.0245652	0.0318393
la	0.00429445	0.00397813	0.00279116	0.0030509	0.00438709	0.0155497	0.0265572	0.0194606	0.0287772	0.0203841	0.0386825	0.055941	0.0973665	0.0777288	0.113599	0.0739432	0.127892	0.0605251	0.067306	0.0374195	0.0185287	0.0163452	0.0175133	0.0117943	0.00769588	0.0078115	0.00680025	0.00322194	0.00332602	0.00455103	0.00221792	0.00169022	0.00217701	0.00170469	0.00256542	0.00178202	0.00149397	0.00207813	0.00102153	0.00210432	0.00111022	0.00156563	0.00126701
grande	0.0234338	0.0148707	0.0120649	0.0191205	0.0146745	0.0215894	0.0207824	0.0107275	0.00791197	0.00930198	0.00858597	0.0185661	0.0335348	0.0495828	0.0662691	0.0518511	0.0591381	0.0455237	0.0378409	0.0345736	0.0146278	0.0190641	0.0139939	0.00938882	0.00566068	0.00729299	0.0112509	0.0119091	0.0101661	0.00779685	0.0151165	0.0116748	0.0211029	0.027337	0.0241887	0.046049	0.0392588	0.026593	0.0323913	0.0342013	0.0198808	0.0139777	0.0171328
saison	0.0156377	0.00588562	0.00448049	0.00454842	0.00351548	0.00288681	0.00266265	0.00369584	0.00579108	0.0102925	0.0156056	0.0250005	0.0314516	0.0416281	0.0467895	0.0488349	0.0940685	0.0598789	0.100727	0.0613866	0.0516449	0.0486957	0.0343472	0.0192826	0.00969907	0.0121177	0.0117975	0.0146461	0.0236611	0.016263	0.0171014	0.00785411	0.00385145	0.00638638	0.00528828	0.0126305	0.0126267	0.0151691	0.0307197	0.018907	0.0137609	0.0168543	0.0119282
des	0.0244358	0.0164426	0.0202092	0.0184676	0.0155722	0.00989033	0.007457	0.00467708	0.00372178	0.00603844	0.0060585	0.0117722	0.0171399	0.0193122	0.0273488	0.0252787	0.017587	0.0154565	0.0138729	0.00676833	0.00770255	0.010236	0.0218153	0.0208869	0.0146864	0.0259627	0.0222523	0.0289368	0.0354456	0.0366806	0.0180007	0.0248548	0.0219958	0.0116366	0.0177266	0.0409227	0.0540433	0.0401556	0.080902	0.0668478	0.0333227	0.0559138	0.021565
pluies	0.0253964	0.0267086	0.0243308	0.0287921	0.0243171	0.0268124	0.0277821	0.0225119	0.0223366	0.022821	0.0248541	0.0315477	0.0290321	0.0297605	0.0365442	0.0225566	0.019484	0.0152422	0.012046	0.00993007	0.00687706	0.00916208	0.00968597	0.00824026	0.00717644	0.012598	0.014099	0.02562	0.0223892	0.0284473	0.0134436	0.0207266	0.0153418	0.0180867	0.0140101	0.0436063	0.0364858	0.0364885	0.055465	0.0589934	0.0178801	0.0308011	0.0115691
les	0.026081	0.0204934	0.0168251	0.0172474	0.0115396	0.0114485	0.0108193	0.0102309	0.0115339	0.0184475	0.0203502	0.0245617	0.0263302	0.0273629	0.0388287	0.0205605	0.0154185	0.00970835	0.00728919	0.00566392	0.00359802	0.00509356	0.00857759	0.00811357	0.00770203	0.0147674	0.0175541	0.0195445	0.0217349	0.0259293	0.0162682	0.0227835	0.0201654	0.0401055	0.0274616	0.0637025	0.048216	0.0303722	0.0829291	0.055298	0.0298763	0.0581322	0.0213337
homes	0.0237427	0.0199067	0.018411	0.0200675	0.0171791	0.0175525	0.0186299	0.0152461	0.0158354	0.0128716	0.0157008	0.019918	0.0242577	0.0238639	0.0254897	0.0183956	0.0208322	0.0175058	0.0152748	0.0142639	0.00963045	0.0121474	0.0257429	0.0230007	0.0206057	0.024572	0.028607	0.0315816	0.0285147	0.0288056	0.0244517	0.0320235	0.0273525	0.0336766	0.019381	0.0412251	0.0335598	0.0172326	0.0298051	0.0321875	0.0255222	0.0560468	0.0193824
vendent	0.0484554	0.0308999	0.0415205	0.0354774	0.0318486	0.0287905	0.0340805	0.0248255	0.0260913	0.0267326	0.0286631	0.0341508	0.0355363	0.0390282	0.0300515	0.0280499	0.0275064	0.0285855	0.0166074	0.0234594	0.0121988	0.0161475	0.0143614	0.0170651	0.0149122	0.020272	0.0212293	0.00937453	0.00894791	0.00705857	0.0125212	0.0126339	0.0168922	0.0222731	0.01677	0.0245681	0.0164736	0.00907829	0.00941893	0.0136907	0.015659	0.0254801	0.042613
beaucoup	0.0162853	0.01166	0.0164446	0.0102742	0.0128465	0.0110259	0.0109495	0.010652	0.00930138	0.00777569	0.00734401	0.0114613	0.017083	0.0169169	0.0166583	0.0161139	0.0206429	0.0202362	0.0229237	0.023616	0.0220149	0.0219494	0.0364715	0.0456062	0.0335354	0.0324507	0.0288592	0.0194533	0.0185999	0.0171823	0.0340277	0.0246805	0.0243978	0.0434653	0.0197438	0.0450544	0.042963	0.016735	0.0256412	0.0325479	0.0312802	0.0539767	0.0391524
de	0.0243667	0.0284485	0.0274232	0.0276789	0.0279066	0.0397708	0.0438649	0.024269	0.0191478	0.0125352	0.0143174	0.0209837	0.027087	0.0331864	0.0354696	0.0374863	0.0346779	0.0311703	0.0223751	0.0261459	0.0123312	0.0161853	0.0242715	0.0200484	0.0129538	0.015267	0.0135144	0.0111872	0.010103	0.0131795	0.0115283	0.0134307	0.0195438	0.0331746	0.0220205	0.0327869	0.0281489	0.0140999	0.0163584	0.0267473	0.0153446	0.0317421	0.0277215
poissons	0.0267248	0.0202433	0.028229	0.0226275	0.0286386	0.0388687	0.0442409	0.0289725	0.0215704	0.0149968	0.0138898	0.0130775	0.0149221	0.0182738	0.0183662	0.0219715	0.0215249	0.0195145	0.0144603	0.0194544	0.0119831	0.0119904	0.0186141	0.02227	0.0207	0.0250413	0.0232213	0.019866	0.0194138	0.0143906	0.0270568	0.0296415	0.0249798	0.023071	0.0175299	0.0255118	0.0244721	0.016735	0.017596	0.0302381	0.0289462	0.0497658	0.0463977
