 	a66	a87	a23	a40	a36	a61	a96	a18	a62	a12	a79	a44	a90	a69	a58	a15	a92	a79	a94	a71	a13	a30	a4	a11	a13	a83	a71	a53	a7	a84	a58	a82	a87	</S>
j'	0.056656	0.0629878	0.0398131	0.047652	0.0201465	0.0174159	0.0304778	0.0221374	0.0381555	0.0223597	0.0112837	0.0108497	0.010645	0.00688898	0.0094897	0.0215265	0.014697	0.035068	0.0419095	0.056813	0.0694724	0.0432146	0.0206071	0.0265694	0.0202941	0.0277655	0.0249661	0.0249736	0.0231245	0.0254471	0.0343851	0.0184042	0.0203935	0.04341
aiguise	0.0382823	0.043744	0.0271425	0.0379153	0.0830689	0.111725	0.0423051	0.0719225	0.0612979	0.0349886	0.0298561	0.0340871	0.0256232	0.0293601	0.0352281	0.0137978	0.0146037	0.0120396	0.00914184	0.00651132	0.00770841	0.0127159	0.00959916	0.0139397	0.0140034	0.0157068	0.0243938	0.0197014	0.0222998	0.0175435	0.0184924	0.0168265	0.0185895	0.0258388
la	0.0485878	0.0258769	0.0168474	0.0223154	0.0252471	0.031246	0.0252169	0.020867	0.0179342	0.0224743	0.028759	0.0274584	0.0116251	0.0161754	0.0123933	0.0119868	0.01463	0.0136644	0.0128166	0.0153721	0.0202457	0.0190387	0.0194564	0.023275	0.0299593	0.0280592	0.0439871	0.0437947	0.0502424	0.0722423	0.0516274	0.0703248	0.0519473	0.0543055
machette	0.0193078	0.0152274	0.0137321	0.0144986	0.0372865	0.0469341	0.0368608	0.0525951	0.0270662	0.0154227	0.0180553	0.0298851	0.042015	0.0708686	0.0705573	0.0622201	0.0716076	0.0375164	0.0507684	0.0414521	0.0293406	0.0126397	0.0294641	0.0240651	0.0326684	0.0185954	0.0161253	0.013171	0.00579784	0.0116283	0.00681565	0.00914953	0.00740271	0.00925888
avant	0.0327828	0.016228	0.0138922	0.0146356	0.0087047	0.0111364	0.0179058	0.0258597	0.0418756	0.0622729	0.083143	0.0626329	0.0487404	0.0283158	0.0214828	0.0179122	0.0323935	0.0134122	0.0168264	0.0117559	0.0135006	0.0112898	0.017381	0.0200783	0.0217563	0.0264563	0.0290037	0.0279768	0.0326008	0.0314949	0.0396257	0.0543879	0.0418124	0.0507267
d'	0.0496718	0.0358271	0.036092	0.0255058	0.0162123	0.00832731	0.0157162	0.0186684	0.0178641	0.0274413	0.0371547	0.0332975	0.0194799	0.0224867	0.0176121	0.0166637	0.04882	0.0281356	0.0235961	0.0175822	0.0131805	0.024247	0.0255474	0.0192104	0.0273492	0.0336713	0.0417739	0.0415047	0.0518872	0.0397274	0.0469446	0.0419019	0.0366769	0.0402228
aller	0.0440027	0.0398506	0.0354228	0.0371276	0.0194888	0.0153985	0.0240682	0.0175293	0.0101705	0.0172388	0.0219014	0.0229379	0.012632	0.0206185	0.0179645	0.017819	0.036731	0.0282254	0.0273137	0.0248556	0.0265026	0.0288333	0.0321094	0.0255681	0.0339702	0.0389209	0.0266042	0.0367312	0.0432852	0.041749	0.0450821	0.0424409	0.0373302	0.0495761
en	0.0488397	0.042073	0.026378	0.0138256	0.00665213	0.00222789	0.00300304	0.00262641	0.00315937	0.00486714	0.00821988	0.011466	0.00770778	0.00655695	0.00794082	0.0139386	0.0150052	0.0167353	0.0151247	0.0178377	0.0184008	0.0196212	0.0297319	0.024797	0.0338396	0.0386299	0.0388354	0.0416289	0.0472096	0.0662995	0.0853866	0.0664942	0.102731	0.112209
forêt	0.0488254	0.0297223	0.0295775	0.0234346	0.0114342	0.00894752	0.0130433	0.0135789	0.0140541	0.0187265	0.0215581	0.0243892	0.0236175	0.0238315	0.0265261	0.0369829	0.0250006	0.0298618	0.0234	0.0230604	0.0249126	0.0198642	0.0177785	0.0217736	0.0227527	0.017312	0.0242799	0.0517068	0.0360516	0.0630439	0.0505325	0.0288818	0.0533705	0.0981671
</S>	0.0597075	0.0319955	0.0276025	0.0174005	0.0069173	0.00273437	0.00630268	0.00397461	0.00513952	0.00857992	0.0062738	0.00891466	0.00883952	0.00442386	0.00469806	0.00593462	0.00708484	0.00842532	0.0104683	0.00837706	0.0115166	0.0143214	0.013773	0.0211593	0.0150004	0.0272715	0.0270866	0.041174	0.0590389	0.0723333	0.102984	0.0756342	0.099719	0.175193
