 	a66	a87	a23	a99	a70	a35	a94	a20	a47	a36	a85	a6	a36	a43	a56	a44	a31	a0	a21	a5	a21	a12	a31	a88	a71	a25	a87	a23	a87	</S>
la	0.0294858	0.0552098	0.041094	0.0476566	0.0428215	0.0608331	0.075491	0.0635825	0.0504506	0.0532421	0.0347478	0.0406667	0.0254127	0.0115285	0.0108094	0.0117193	0.0167813	0.0262338	0.0247457	0.0231154	0.0318109	0.0215022	0.0243765	0.0218426	0.0251883	0.0193632	0.0143806	0.0269522	0.0229457	0.0460104
tombe	0.00269709	0.005209	0.00754227	0.0170941	0.0151051	0.0163652	0.0183509	0.0504746	0.0940327	0.108446	0.161109	0.179693	0.0962826	0.08508	0.0932402	0.0224462	0.0108624	0.00489114	0.00248642	0.00186675	0.00151628	0.000485903	0.000426434	0.00030165	0.000841664	0.000507756	0.000319633	0.000602346	0.00118166	0.000542115
de	0.0898847	0.0910464	0.0690348	0.0463301	0.0406575	0.0410159	0.0355189	0.0355987	0.0621187	0.0499817	0.0702264	0.0658634	0.0682482	0.0412747	0.0343262	0.02797	0.0160156	0.0111038	0.00939258	0.00901435	0.0119773	0.00428064	0.00393638	0.00487828	0.0113332	0.00691004	0.00795257	0.00822953	0.0181141	0.00776532
notre	0.0362415	0.0412939	0.0288516	0.0229381	0.0235179	0.0123131	0.00992589	0.0173943	0.0278656	0.0218809	0.0296071	0.061021	0.0608013	0.0655658	0.0574826	0.0534643	0.0327235	0.023711	0.0206093	0.0356309	0.0172872	0.0125669	0.0284665	0.0330315	0.0191867	0.0288891	0.053701	0.035535	0.0408778	0.0476185
père	0.0361927	0.0344036	0.0368382	0.0275197	0.0527144	0.0331946	0.0303387	0.0231472	0.031824	0.0201449	0.0292606	0.057289	0.0579817	0.0356888	0.0446596	0.0185734	0.0117398	0.011317	0.00770758	0.00887854	0.00741205	0.00526602	0.0220347	0.0246295	0.0198342	0.0382675	0.0657284	0.0614919	0.0890277	0.056894
se	0.0380087	0.0284529	0.0332083	0.0287623	0.0464283	0.0458664	0.0543947	0.0405931	0.0303543	0.0252826	0.0253595	0.031417	0.0438402	0.030494	0.0272869	0.0190925	0.0129105	0.0112101	0.0154896	0.0167724	0.0230493	0.0184414	0.0243703	0.0321423	0.0406483	0.0493557	0.0607319	0.0416749	0.0607137	0.0436479
trouve	0.0228838	0.0255113	0.0383401	0.0490794	0.0635147	0.0527833	0.0563516	0.0562683	0.0273503	0.0254555	0.0215354	0.0161413	0.0276816	0.0435916	0.0569197	0.0313176	0.0224843	0.0201755	0.025685	0.0226161	0.034024	0.0246813	0.0190247	0.0221975	0.0376927	0.0349129	0.0313308	0.0254059	0.0400652	0.0249785
dans	0.0268376	0.0211801	0.0261321	0.0223835	0.0327734	0.0296665	0.0234667	0.0203779	0.0165304	0.0193516	0.0270248	0.0434487	0.0234254	0.03126	0.0398832	0.0196929	0.0134682	0.0169955	0.0156437	0.0162929	0.0118842	0.0359501	0.0304875	0.0400527	0.0735031	0.0532253	0.0560914	0.0569879	0.0847979	0.0711852
quel	0.0282753	0.0204595	0.0174075	0.00962137	0.0135208	0.0111049	0.00764146	0.0072822	0.00570432	0.00728806	0.00678684	0.00813299	0.00571122	0.00372309	0.00381774	0.00532621	0.0061522	0.0142618	0.0231657	0.0363916	0.0350766	0.0441465	0.0604629	0.072904	0.0870336	0.0924535	0.087263	0.0966743	0.0945266	0.0876843
cimetière	0.0277459	0.020958	0.0210154	0.0149851	0.022402	0.0192588	0.0158478	0.0135096	0.0163805	0.0195408	0.0176657	0.0158906	0.0178934	0.0155677	0.0155104	0.0139018	0.0172968	0.0239556	0.0288564	0.0262639	0.0197834	0.015386	0.0553646	0.0406177	0.0441712	0.0623261	0.0821593	0.095082	0.0874719	0.113192
</S>	0.0554868	0.0601957	0.0648994	0.0564921	0.0756078	0.0612231	0.0567116	0.0362105	0.0318979	0.0286429	0.0172409	0.017269	0.019015	0.0180139	0.0176523	0.00859686	0.0123451	0.0131325	0.0146475	0.0146984	0.0114105	0.0165394	0.0217684	0.0214369	0.0246213	0.032376	0.0326481	0.0511093	0.0467296	0.0613814
