 	a23	a99	a30	a4	a13	a93	a56	a54	a47	a36	a0	a11	a66	a70	a0	a54	a44	a7	a26	a57	a87	a23	a87	</S>
la	0.0390026	0.0457603	0.0298653	0.0328503	0.0246441	0.0103215	0.00971878	0.00971328	0.0117481	0.00768162	0.00646835	0.00425789	0.00281902	0.0078582	0.0103153	0.0259394	0.0414235	0.0926472	0.103277	0.10652	0.0784543	0.106355	0.0766521	0.115707
mère	0.0122319	0.0186417	0.0180724	0.0318768	0.0740995	0.115677	0.159485	0.097501	0.088615	0.0818595	0.105888	0.0417751	0.0371655	0.0480499	0.0339731	0.0109676	0.00262943	0.00306145	0.00214442	0.00267892	0.00273845	0.0039035	0.00545219	0.00151342
a	0.0323415	0.0355451	0.0320838	0.0730267	0.127086	0.0835895	0.0467249	0.0444755	0.0464464	0.0351863	0.0259561	0.0354518	0.0124637	0.0119605	0.0225512	0.0337246	0.0377552	0.0408419	0.0329003	0.0547312	0.0524573	0.0319515	0.0416969	0.00905152
fait	0.0107199	0.00883373	0.00913113	0.00954176	0.0081229	0.0241665	0.0384853	0.0532809	0.0823	0.0927538	0.122053	0.142898	0.109954	0.0987455	0.0477662	0.0246016	0.0137207	0.0177011	0.0125673	0.0113235	0.0106156	0.013084	0.0141979	0.0234351
faire	0.0952654	0.0998713	0.0881396	0.103597	0.051238	0.0197047	0.0185179	0.0290696	0.0595125	0.0388792	0.0300626	0.0330052	0.0236833	0.018648	0.0214904	0.0349001	0.0294019	0.0365064	0.0170813	0.0259595	0.020461	0.0188126	0.0281812	0.0580112
caca	0.0750246	0.0571301	0.0404129	0.0428864	0.0329067	0.0152176	0.010556	0.00587008	0.0154505	0.0078146	0.00966089	0.0128614	0.0114453	0.0178226	0.0139007	0.027694	0.0423651	0.056657	0.0537656	0.0623823	0.0595576	0.0796692	0.0674488	0.1815
à	0.0275759	0.0187074	0.0170882	0.0170218	0.0219094	0.00864231	0.00368267	0.00142478	0.00241925	0.00151236	0.00176246	0.00168754	0.00277181	0.00974369	0.0152451	0.0356608	0.05021	0.073349	0.0724968	0.103991	0.0839051	0.102665	0.104599	0.221928
l'	0.0130031	0.0129041	0.0124989	0.0104217	0.0153856	0.0205951	0.0230941	0.017214	0.0203123	0.0198368	0.0156951	0.0172658	0.0280693	0.0367913	0.0656481	0.0807405	0.0408764	0.0676689	0.0484942	0.0634917	0.0701651	0.0656313	0.0704754	0.163721
enfant	0.026491	0.0197917	0.0120114	0.00563846	0.00490481	0.0116289	0.0129467	0.00688422	0.0123843	0.0105233	0.00770803	0.00955664	0.0233059	0.0257405	0.0284894	0.0447836	0.0517924	0.0842328	0.102093	0.0838344	0.123011	0.0985642	0.0971517	0.096532
</S>	0.0302179	0.0217719	0.0152386	0.0105238	0.0110661	0.00808559	0.00498942	0.00271631	0.00687173	0.00348768	0.00409917	0.00444076	0.00408639	0.00617044	0.00994252	0.02719	0.0674667	0.0830336	0.0922019	0.109696	0.099369	0.0855256	0.0969237	0.194885
