 	a66	a87	a23	a83	a9	a30	a93	a34	a47	a21	a5	a61	a47	a21	a47	a12	a18	a50	a62	a21	a92	a44	a93	a34	a62	a21	a5	a18	a61	a75	a36	a27	a10	a87	a23	a87	</S>
cette	0.0419911	0.0801778	0.0687827	0.0469281	0.0497424	0.0456244	0.064881	0.0500003	0.0221852	0.014569	0.0190662	0.0117381	0.00986525	0.00912106	0.0122011	0.0134563	0.0129875	0.012028	0.00913792	0.0176448	0.0194758	0.0238252	0.0261772	0.0196326	0.0193604	0.0192422	0.0268205	0.0174967	0.0108342	0.016279	0.0213006	0.0154547	0.0195748	0.0322586	0.0276371	0.0215843	0.0509181
manière	0.0100981	0.0118625	0.0213257	0.0143673	0.0292319	0.041022	0.0834742	0.0945602	0.044917	0.0804703	0.0932015	0.0952384	0.0809314	0.0656687	0.0410487	0.0302228	0.029327	0.0221132	0.0157021	0.0145604	0.0092194	0.00616357	0.0077306	0.00303955	0.00385442	0.0032172	0.00376172	0.00297265	0.00242992	0.00183383	0.00276009	0.00278761	0.00692206	0.00396065	0.00767495	0.00540731	0.0069209
d'	0.0188711	0.0205534	0.0200804	0.0487394	0.0247217	0.0235073	0.0124267	0.0144006	0.0245065	0.0202013	0.0195748	0.0143799	0.0248143	0.0234384	0.0236195	0.0242187	0.017632	0.016189	0.0147059	0.0127444	0.0150491	0.015333	0.0164072	0.0152563	0.0174965	0.00849669	0.0130494	0.0364452	0.0246899	0.0365921	0.0684614	0.0540341	0.0560677	0.0471938	0.0598623	0.0536387	0.042601
attiser	0.0321809	0.036715	0.0324853	0.0354622	0.0308653	0.0240273	0.017227	0.0150095	0.0142337	0.0111101	0.0194326	0.0230942	0.0426798	0.0357101	0.076292	0.082412	0.097051	0.0704956	0.0540765	0.0348284	0.0277424	0.0232261	0.0152314	0.0105422	0.00939772	0.0114362	0.0108674	0.0112848	0.0110332	0.00914199	0.0135543	0.0155878	0.01262	0.00895418	0.00923682	0.00855132	0.00620366
le	0.0341751	0.0410541	0.024673	0.0374666	0.0295157	0.0318027	0.0266204	0.0384526	0.0456653	0.0462581	0.0520288	0.0495892	0.0579286	0.0581233	0.0606762	0.0563717	0.0479518	0.0429507	0.0472425	0.0379252	0.0225028	0.0189656	0.0118649	0.00627153	0.00519984	0.00659575	0.00294231	0.00456655	0.0038512	0.00278157	0.0104255	0.00455555	0.00623387	0.00354945	0.0054125	0.00880212	0.00900756
feu	0.0309914	0.0286769	0.0210144	0.0267747	0.0185788	0.0125923	0.00700232	0.00755211	0.0112381	0.0112974	0.0178047	0.0251346	0.0173861	0.0250563	0.0197839	0.0211596	0.0256018	0.0324028	0.024615	0.044906	0.053987	0.0351709	0.057479	0.0461815	0.0436554	0.0461078	0.0185678	0.0346053	0.014983	0.0212873	0.032068	0.0188995	0.0185746	0.0293743	0.0299193	0.0223431	0.0472272
est	0.0448734	0.0273642	0.0226019	0.0174662	0.0163948	0.0148291	0.00815711	0.00622761	0.00755349	0.00969051	0.00967402	0.0110665	0.0111201	0.0160063	0.013397	0.0144724	0.0283827	0.0369204	0.0325681	0.0494461	0.0449683	0.0400891	0.0527149	0.0427036	0.0331212	0.0401897	0.0206796	0.0453508	0.0154284	0.0341306	0.0338694	0.0501821	0.0273711	0.0393331	0.0307168	0.0257923	0.0251472
celle	0.0254499	0.0221577	0.0163336	0.0129144	0.0142761	0.0148958	0.00861691	0.010993	0.00869626	0.00547821	0.00627264	0.00621062	0.00645642	0.00869794	0.00668442	0.00735595	0.00936835	0.0109212	0.0172835	0.0231387	0.0225723	0.031023	0.0486217	0.0459865	0.0671788	0.0563217	0.0483366	0.0554817	0.0345931	0.0487684	0.0454257	0.0680821	0.0455965	0.0478553	0.037585	0.0279933	0.0263767
d'	0.0491975	0.0412695	0.0307169	0.0207812	0.0309164	0.0293926	0.0221972	0.0214916	0.0117717	0.00574946	0.00804672	0.00804181	0.00892481	0.0112981	0.0135372	0.0130532	0.0179986	0.0168364	0.0178586	0.024105	0.0225417	0.0330651	0.0353682	0.0328595	0.0343808	0.0441499	0.0410605	0.0506586	0.0248345	0.0433811	0.0433707	0.0374074	0.0302041	0.0449772	0.0341215	0.0252409	0.0191937
un	0.0268911	0.0241181	0.0228957	0.0214114	0.0279309	0.0308759	0.0283812	0.0307829	0.0226009	0.0138939	0.0145352	0.0106845	0.014334	0.0165556	0.0186777	0.0151056	0.0204065	0.0179323	0.0220456	0.0205126	0.0195199	0.0212155	0.0299315	0.0275162	0.0401732	0.0432809	0.0290519	0.0498355	0.0266005	0.047004	0.0495458	0.0310353	0.0324169	0.0378266	0.0327845	0.0257107	0.0359797
