 	a84	a30	a87	a40	a79	a37	a90	a25	a98	a85	a47	a36	a85	a6	a12	a18	a24	a61	a31	a43	a56	a75	a56	a25	a15	a7	a84	a87	a23	a87	a97	</S>
les	0.0402951	0.0834975	0.070092	0.0864278	0.0906468	0.067074	0.091431	0.0591949	0.0586593	0.0390636	0.0343804	0.0268151	0.0261638	0.0285728	0.0160386	0.00552879	0.00979897	0.00512224	0.00354016	0.0054407	0.0122508	0.0118906	0.00865507	0.0112074	0.0101113	0.010851	0.010645	0.0111021	0.0105987	0.0152845	0.0118382	0.0277818
militaires	0.0011811	0.00277347	0.0112854	0.0103471	0.0262554	0.0358951	0.053166	0.0810014	0.0769024	0.0825969	0.0812481	0.13432	0.147673	0.114724	0.064451	0.0236543	0.024357	0.00896898	0.00345534	0.00373108	0.00277266	0.00106296	0.000957766	0.000591516	0.000177538	0.000145389	0.000295527	0.000355691	0.000856988	0.000862535	0.00184699	0.00208861
ont	0.0445278	0.0463632	0.0394667	0.0223614	0.0312066	0.0519571	0.039175	0.0496459	0.0661611	0.0654268	0.0325381	0.0306805	0.0308946	0.0162827	0.0295783	0.0234169	0.0196159	0.0143816	0.00584654	0.00597921	0.00975658	0.0117087	0.00866581	0.0120139	0.00673762	0.00887913	0.01035	0.0132352	0.0248357	0.0559715	0.0982953	0.0740446
affronté	0.0440898	0.0398332	0.0325799	0.0159536	0.016411	0.0211857	0.0215788	0.0259659	0.0309052	0.0318681	0.0278388	0.0175926	0.0109257	0.0144854	0.0172487	0.0271341	0.0357797	0.0263482	0.0339928	0.0409047	0.0139475	0.0101448	0.0111193	0.0164527	0.0211879	0.0372576	0.0412392	0.0502098	0.0574757	0.0478332	0.0768987	0.0836118
une	0.0560161	0.021938	0.0137801	0.0132062	0.010627	0.0135889	0.0109534	0.0157663	0.0165969	0.0152037	0.0127234	0.0081327	0.00632161	0.00693827	0.00966454	0.0230344	0.0441566	0.0922154	0.0745937	0.112088	0.0766327	0.0736963	0.0424513	0.0373242	0.0493113	0.0425885	0.0203575	0.0155615	0.0218814	0.0222938	0.0120354	0.00832069
bande	0.0669445	0.081462	0.0864381	0.0596789	0.042631	0.0430723	0.032588	0.0380097	0.0405931	0.0237976	0.0228726	0.0156179	0.0173155	0.0214151	0.0217455	0.024709	0.0295845	0.0323598	0.0284496	0.0335101	0.0407205	0.0435709	0.02399	0.020813	0.0183468	0.0148703	0.00970331	0.00911922	0.0116159	0.0175583	0.01173	0.0151673
de	0.119316	0.0701934	0.0390658	0.0469008	0.059506	0.0387852	0.0475522	0.0429333	0.0649025	0.0387601	0.0211305	0.0163143	0.0220986	0.0179626	0.0133906	0.00686195	0.0173996	0.00517401	0.00395059	0.00407183	0.0139125	0.00965135	0.00555649	0.00783544	0.00721218	0.011672	0.0322732	0.034373	0.0543776	0.0322997	0.0365851	0.0579818
voleurs	0.0620487	0.0638124	0.0548186	0.0479983	0.03421	0.0224689	0.0290539	0.0385799	0.0526369	0.0669865	0.0246017	0.0103322	0.0123685	0.0076228	0.0125878	0.00948375	0.0135434	0.0132396	0.00998817	0.0117773	0.0224272	0.0197413	0.0132164	0.0247719	0.00902156	0.00963639	0.0257057	0.0290443	0.0550965	0.0533785	0.0589305	0.0808706
ce	0.0565638	0.0412521	0.0359691	0.0327428	0.0280936	0.0212667	0.0237862	0.0270701	0.0290232	0.0324537	0.0177843	0.0123577	0.0116963	0.00588517	0.00908294	0.00785681	0.00512668	0.0066226	0.00527309	0.0107181	0.0155293	0.0181902	0.0163424	0.0322102	0.021823	0.0275971	0.0459419	0.0479894	0.0980177	0.0564527	0.0718683	0.127413
matin	0.0394733	0.0415719	0.039321	0.0314058	0.0189735	0.013629	0.0162838	0.0185059	0.0182779	0.0231556	0.0115266	0.00995816	0.00907878	0.00785594	0.0127656	0.0116222	0.00612138	0.00796829	0.00707784	0.010108	0.0129013	0.0165089	0.0105434	0.017571	0.0136648	0.0187637	0.0395931	0.0472697	0.110423	0.090323	0.12093	0.146828
</S>	0.0444875	0.0497738	0.0419723	0.0381172	0.0203327	0.012602	0.0180782	0.0189296	0.0230137	0.0245196	0.013838	0.0110916	0.00959074	0.00864406	0.0119634	0.0144581	0.0113976	0.00967594	0.00268582	0.00521499	0.011352	0.0188916	0.0109074	0.0220713	0.0119179	0.0234977	0.0500198	0.0723296	0.0966784	0.0746466	0.0792387	0.138062
