 	a66	a87	a97	a87	a97	a79	a69	a4	a44	a90	a12	a44	a69	a58	a44	a13	a44	a79	a44	a4	a13	a94	a62	a70	a54	a79	a69	a20	a79	a44	a70	a4	a94	a96	a0	a38	a62	a24	a94	a40	a7	a26	a27	a62	a70	a50	a70	a4	a57	a82	a20	a7	a44	a57	a84	a82	a87	a23	a87	a99	a87	a23	a87	</S>
ainsi	0.0137901	0.0164286	0.0163499	0.0152091	0.0118772	0.0086759	0.00846484	0.037758	0.0377671	0.0310838	0.043476	0.0321915	0.0214569	0.0271389	0.0350707	0.0415386	0.0298151	0.0266916	0.0614226	0.0450004	0.036299	0.0234402	0.0186878	0.00785769	0.0137198	0.00845439	0.00686445	0.00630449	0.00664295	0.00824958	0.00667565	0.00374303	0.00466162	0.00494575	0.00509519	0.00538938	0.00829696	0.00836504	0.00939499	0.00979999	0.00968412	0.00816438	0.00663314	0.00703276	0.00520581	0.00549783	0.00644995	0.00789472	0.00754938	0.00946217	0.00469403	0.0089348	0.010809	0.0108953	0.0115489	0.00957787	0.0153304	0.00926415	0.0174626	0.0130228	0.0132518	0.0152388	0.00798734	0.0143133
la	0.00694528	0.00666736	0.00882596	0.00831306	0.0077367	0.00649997	0.00664263	0.00703174	0.0114722	0.014133	0.0164449	0.00968027	0.013545	0.0164592	0.0197285	0.0243837	0.0126044	0.0191889	0.0298818	0.0410459	0.0259751	0.0321788	0.0329363	0.0322656	0.0278938	0.0216625	0.0213089	0.027108	0.0212535	0.0212096	0.0220705	0.0111985	0.0107677	0.0127597	0.00862517	0.00834851	0.00970613	0.00875005	0.0133474	0.0167368	0.0124268	0.0219301	0.00904403	0.0100902	0.00688768	0.00717691	0.00520658	0.00862881	0.00443447	0.00639813	0.0148514	0.0180317	0.0258183	0.01499	0.0175708	0.0246147	0.0185192	0.0206664	0.0117987	0.0160627	0.0129204	0.012193	0.0140976	0.0123082
bise	0.0162709	0.0139701	0.0147728	0.0109606	0.0106584	0.0160831	0.0254218	0.0323844	0.0342731	0.039435	0.0566912	0.0159485	0.0420238	0.013025	0.0137636	0.0171039	0.00961201	0.0123278	0.0160775	0.0410855	0.022462	0.0167574	0.0728532	0.0201268	0.0227751	0.0188283	0.0145086	0.0185574	0.0152333	0.0149275	0.0211922	0.00633959	0.0135834	0.0228803	0.0141886	0.0151249	0.00683871	0.0133166	0.0163024	0.0126856	0.0122074	0.00678407	0.00591994	0.00603778	0.00358347	0.0044056	0.00506327	0.00429573	0.00552177	0.00512743	0.00411784	0.00409058	0.00696364	0.00379588	0.00892083	0.0072697	0.00540772	0.00913183	0.007746	0.011857	0.00620778	0.00852423	0.010248	0.0154015
a	0.0313423	0.0242386	0.0197345	0.0123007	0.0080979	0.00325932	0.00641701	0.00374913	0.00695725	0.00994618	0.0144259	0.0135322	0.0143697	0.0114803	0.0123295	0.0114019	0.00475611	0.00939777	0.00778745	0.019577	0.0295512	0.0279482	0.0327265	0.0204777	0.0222781	0.0267516	0.0149005	0.0161782	0.0114488	0.0128228	0.0206694	0.0167352	0.0237599	0.029163	0.0325555	0.0309804	0.0259952	0.0249119	0.0321144	0.0340565	0.0144912	0.012444	0.0199215	0.0209927	0.0136592	0.0112676	0.0119581	0.0122831	0.0134338	0.0067705	0.009602	0.00591789	0.00519518	0.004713	0.003246	0.00504267	0.00648599	0.00847391	0.00747238	0.0201912	0.0138626	0.0096308	0.0158826	0.0159365
finalement	0.0275669	0.0152858	0.0124616	0.0104852	0.0119783	0.00816905	0.00394389	0.00310073	0.0041653	0.00236418	0.00388765	0.00471472	0.00467189	0.00329799	0.00502934	0.00422214	0.012363	0.0142698	0.00836934	0.0217656	0.025252	0.0169377	0.0285579	0.0463653	0.0301752	0.0726653	0.0244677	0.0262486	0.0203914	0.0296588	0.0184908	0.022383	0.035778	0.0143063	0.0191217	0.0292866	0.0324627	0.0308144	0.0239604	0.0150382	0.0163356	0.0191014	0.013608	0.0155316	0.0122898	0.0135141	0.0109739	0.0106994	0.0093064	0.00748285	0.00625734	0.0072361	0.00699549	0.00699842	0.00882774	0.00731886	0.00804545	0.0117394	0.00743381	0.0115262	0.0122683	0.00835207	0.0150617	0.00862134
reconnu	0.0172984	0.0101359	0.00613076	0.00542492	0.00593373	0.00464833	0.0051423	0.016259	0.0226502	0.0145263	0.0188834	0.0144002	0.013384	0.00850035	0.0164585	0.0131921	0.011514	0.0186358	0.0103743	0.018092	0.0165696	0.024967	0.0153291	0.0284528	0.0277567	0.0299297	0.0121218	0.0171345	0.0129539	0.0341955	0.0327878	0.0368054	0.0518892	0.0274353	0.0530737	0.0482453	0.0452654	0.0547734	0.0518958	0.021097	0.0209226	0.0114244	0.0100157	0.00986269	0.00438108	0.00475992	0.00617043	0.00277592	0.00236199	0.00228517	0.00107912	0.00106079	0.00241525	0.00181439	0.00182321	0.00148377	0.00179085	0.00426686	0.0013111	0.00259118	0.00226912	0.0035916	0.0022066	0.00307318
que	0.0244984	0.0180077	0.0117677	0.00876766	0.00580062	0.00248685	0.00280974	0.00566772	0.00624412	0.00437303	0.00632175	0.0059967	0.00832386	0.00655796	0.00864254	0.00992095	0.00754935	0.0253563	0.00659761	0.0117338	0.0126256	0.0172671	0.0137105	0.0213968	0.0231727	0.0502041	0.0139011	0.014574	0.0220147	0.0290218	0.0228565	0.0237454	0.0478423	0.0214635	0.0504929	0.0670449	0.061439	0.0691773	0.0623073	0.0250201	0.0270535	0.014348	0.0165714	0.0164025	0.0117357	0.00804659	0.00719205	0.00399083	0.00451284	0.00163951	0.00173441	0.000747011	0.00196566	0.00244323	0.000873778	0.00144046	0.002465	0.00216101	0.00180631	0.00368468	0.00281163	0.00266191	0.00300173	0.0040084
le	0.0300466	0.0150725	0.010066	0.00685959	0.00735536	0.00582411	0.00695344	0.00986206	0.00960102	0.00472367	0.00587182	0.00948646	0.0141532	0.0292378	0.0401456	0.0329562	0.0240149	0.0409149	0.0214972	0.0396969	0.0303038	0.02854	0.019818	0.0189503	0.0221313	0.0307941	0.0198326	0.0198556	0.0306412	0.0169559	0.0169803	0.0151551	0.0146674	0.0122409	0.0103947	0.00735461	0.00860897	0.00780064	0.0093105	0.00601481	0.00757855	0.00747558	0.00643151	0.00555477	0.0038781	0.00423146	0.00987398	0.00650116	0.009512	0.0129454	0.0153892	0.00996372	0.0175892	0.0105438	0.0118147	0.00874903	0.0121337	0.0273174	0.0144881	0.0251771	0.0175141	0.0129986	0.0171171	0.0145316
soleil	0.031143	0.0192425	0.0153144	0.0121109	0.012555	0.0059464	0.00527792	0.00494054	0.00539949	0.00466124	0.00718425	0.0107358	0.00991326	0.0122384	0.0106819	0.0113801	0.00598572	0.0107978	0.00877489	0.0125985	0.0109946	0.0156311	0.0118958	0.0232099	0.0211452	0.0225681	0.0135958	0.0107739	0.0194408	0.0136664	0.0179599	0.00790708	0.0111453	0.0125022	0.0170545	0.021139	0.0235592	0.0255646	0.0249395	0.0181768	0.0159542	0.019317	0.0161487	0.0210614	0.0187501	0.015125	0.0174717	0.0144711	0.0185709	0.0138041	0.0117546	0.00591201	0.00570953	0.0129031	0.00790844	0.0110589	0.0178442	0.0115448	0.0200002	0.0267534	0.0356056	0.0301948	0.0382381	0.0341466
était	0.0269972	0.0137909	0.0126401	0.0129561	0.0196238	0.00832366	0.00822389	0.00939647	0.0111227	0.00638764	0.0171446	0.0128693	0.0133209	0.0133248	0.0159278	0.0140993	0.0148543	0.0280708	0.0153481	0.0159454	0.0209809	0.0131978	0.0133494	0.0218283	0.0210998	0.0161634	0.0141149	0.0159867	0.0203118	0.0260837	0.0258296	0.0241581	0.0336298	0.0208376	0.0187942	0.0287741	0.0257547	0.0189721	0.0186	0.0145384	0.013747	0.0149507	0.0149435	0.0130613	0.0122822	0.00988874	0.01082	0.00998673	0.0125895	0.00878012	0.0102218	0.00297136	0.00315185	0.00495474	0.00355161	0.00537074	0.00813427	0.0077813	0.00996266	0.0198845	0.0207763	0.0229386	0.0227731	0.0331042
