 	a66	a87	a23	a40	a36	a18	a96	a90	a44	a98	a92	a37	a75	a98	a15	a79	a44	a93	a62	a88	a75	a47	a36	a2	a57	a87	a23	a99	a97	</S>
ses	0.0576788	0.0555847	0.0411678	0.0633887	0.0756086	0.142683	0.122306	0.058498	0.0239892	0.0189823	0.0171742	0.0207291	0.0199161	0.0189426	0.0124813	0.0108257	0.00992038	0.00484593	0.00403965	0.00920543	0.00885075	0.0138804	0.0182279	0.0179889	0.00913632	0.0208813	0.0178201	0.0328455	0.0199665	0.0524351
cadets	0.00559186	0.00843891	0.00803492	0.0357843	0.0518779	0.039292	0.0288452	0.0308288	0.108561	0.184903	0.12211	0.192683	0.0787112	0.0246935	0.0151431	0.0042148	0.00453116	0.00137566	0.000938629	0.0011577	0.00184552	0.00151108	0.00210818	0.00262962	0.002302	0.00314091	0.00810144	0.0064882	0.0150969	0.00905963
sont	0.0486309	0.0249955	0.0198689	0.0127994	0.0146664	0.0241321	0.0417474	0.0358903	0.0416879	0.0520834	0.031398	0.0378721	0.0341109	0.0234553	0.0168797	0.0184452	0.0203261	0.0268547	0.0139806	0.0109756	0.0174569	0.0263644	0.0261278	0.0502161	0.0590505	0.0511309	0.055171	0.0584122	0.0701298	0.0351399
en	0.0251648	0.0135004	0.0204981	0.0139292	0.0182174	0.0142555	0.0180226	0.0439019	0.0624274	0.0840919	0.0679234	0.069353	0.0757682	0.0459847	0.0414943	0.0290338	0.0339758	0.0334076	0.0249809	0.0176749	0.0178242	0.025179	0.0249549	0.0196361	0.0503481	0.023671	0.0218662	0.0274738	0.0190812	0.0163599
train	0.025211	0.0262985	0.0300165	0.0325521	0.0424621	0.0200045	0.0149321	0.0274673	0.0392993	0.0470269	0.0627962	0.0552031	0.0870867	0.0500168	0.0308283	0.0314697	0.0356083	0.0321429	0.0437662	0.0197543	0.0275539	0.0310344	0.0228553	0.025422	0.0314301	0.0250548	0.0220978	0.0205078	0.0189262	0.0211749
de	0.0970487	0.039938	0.0306404	0.0304288	0.0259626	0.0825637	0.114739	0.0885058	0.0322195	0.0211391	0.0137906	0.0121366	0.00985386	0.00696754	0.0047539	0.00386647	0.00435968	0.00764024	0.00885735	0.0120528	0.0162619	0.030516	0.0307309	0.0266969	0.0341194	0.0427173	0.0447473	0.0321589	0.0470222	0.0475648
murmurer	0.0356404	0.0173788	0.0154608	0.0143673	0.0135993	0.0201976	0.0339558	0.132794	0.104911	0.0898215	0.125471	0.0701106	0.0904957	0.0598382	0.0360201	0.0259696	0.0172521	0.0163843	0.0103654	0.00617462	0.00650174	0.0056883	0.00465563	0.00554555	0.0057341	0.00788501	0.00680039	0.00826905	0.00876943	0.00394145
contre	0.0865811	0.0282114	0.0271812	0.0144547	0.00690442	0.0120978	0.0179662	0.040989	0.0491456	0.0503712	0.0414071	0.0481837	0.0494423	0.0519846	0.033312	0.0233544	0.0301505	0.0337566	0.0144999	0.00740246	0.0181227	0.0299842	0.0255008	0.0379868	0.0398704	0.0456306	0.0461673	0.0374529	0.0329218	0.0189663
lui	0.10086	0.0778588	0.0752738	0.0272305	0.00496893	0.0236465	0.0287437	0.025857	0.0343685	0.0169332	0.0201934	0.0116561	0.0113241	0.02997	0.032286	0.0230906	0.0271596	0.0179029	0.00591967	0.00370957	0.00752589	0.0215029	0.0203656	0.0287948	0.0172717	0.0400308	0.0550221	0.0491899	0.0667048	0.0946389
parce	0.0714201	0.0371386	0.0309864	0.0148089	0.00516448	0.0148282	0.0289067	0.0378297	0.0441802	0.0278353	0.02654	0.0165116	0.0210241	0.0483107	0.0437713	0.0304663	0.0303351	0.0218781	0.00914188	0.00528756	0.00996876	0.0284142	0.0285699	0.0356305	0.0186237	0.0379445	0.0684545	0.0460036	0.0835455	0.0764795
qu'	0.127988	0.100226	0.0756747	0.0428965	0.0168044	0.0457292	0.0449639	0.030181	0.0272801	0.0163738	0.0113536	0.0124009	0.00781563	0.0128157	0.010102	0.00879939	0.0149055	0.00981434	0.00673333	0.00799858	0.0105694	0.0237228	0.0229216	0.0270678	0.0193331	0.0476305	0.0554475	0.0522257	0.0593231	0.0509023
