 	a66	a87	a23	a79	a15	a79	a44	a98	a47	a6	a56	a96	a75	a47	a79	a44	a54	a47	a92	a37	a79	a44	a58	a82	a87	a23	a87	</S>
c'	0.0783675	0.122121	0.0846206	0.0837309	0.046586	0.0593754	0.0465055	0.0424547	0.0366564	0.0251417	0.0235481	0.0373104	0.036687	0.0396676	0.0149294	0.00521341	0.00463446	0.00552648	0.00484793	0.00206099	0.00894466	0.00639987	0.0135407	0.0171231	0.0226978	0.0267023	0.0312662	0.0733398
est	0.0377067	0.024363	0.0205477	0.0164495	0.0193781	0.0231061	0.0257165	0.0433137	0.0491937	0.0358856	0.0487273	0.0465683	0.0368139	0.0395452	0.0304388	0.0307206	0.0282697	0.0213715	0.017296	0.00635567	0.0363817	0.0302075	0.0296828	0.0680298	0.0574318	0.0660034	0.0726723	0.0378233
vraiment	0.0332427	0.0322438	0.0270679	0.020785	0.0228601	0.0201515	0.0122852	0.0108806	0.0177712	0.016407	0.0128051	0.0263025	0.0191333	0.0188288	0.0111973	0.013291	0.00859948	0.00960597	0.00829769	0.00390854	0.025783	0.0199831	0.0366493	0.0597245	0.111404	0.123881	0.116352	0.160558
toi	0.104439	0.0301852	0.0280077	0.0275956	0.0272727	0.0129567	0.00667305	0.00822665	0.00946453	0.0101662	0.00699216	0.0191733	0.0106866	0.0112205	0.00912811	0.0139483	0.0152305	0.0246092	0.0247612	0.0127261	0.061237	0.0676761	0.0875922	0.096616	0.057102	0.0559948	0.0518155	0.108503
qui	0.0953866	0.0604136	0.0498271	0.0436046	0.0306934	0.0111158	0.00575789	0.00686935	0.00451328	0.00466001	0.00356652	0.00475463	0.00537593	0.00868492	0.00664497	0.00879905	0.0197772	0.0231598	0.0171784	0.0293852	0.0481368	0.0390884	0.047868	0.0551559	0.0909989	0.0720013	0.115815	0.0907676
me	0.0554648	0.0388322	0.0335241	0.0205158	0.0251892	0.0244226	0.0279752	0.0514333	0.0250562	0.0317782	0.0259117	0.0320063	0.069084	0.0737239	0.0628007	0.0374626	0.0366089	0.0126666	0.0144562	0.0280697	0.0294012	0.0467435	0.0243063	0.0305817	0.029648	0.0283986	0.0551316	0.028807
pose	0.028742	0.0213083	0.0259029	0.0248981	0.0352627	0.0372407	0.0316899	0.0534203	0.0377383	0.0506034	0.0797355	0.081111	0.0958327	0.104174	0.0430726	0.0330872	0.0285231	0.0299848	0.0109443	0.00401261	0.0161989	0.0112169	0.0151357	0.0167239	0.0267171	0.0178339	0.0249488	0.0139407
ce	0.12433	0.0818019	0.0464616	0.0230718	0.00901919	0.0133005	0.0193436	0.0242981	0.0275443	0.0289245	0.0322052	0.0300669	0.015957	0.0172134	0.0146576	0.012838	0.0122404	0.019461	0.0152968	0.00801222	0.0373673	0.0173461	0.0294209	0.0458599	0.0570534	0.0779174	0.092835	0.0661557
genre	0.061726	0.0313505	0.0179217	0.0130626	0.010512	0.00561215	0.00351827	0.00500018	0.0103092	0.0116222	0.0158181	0.0600861	0.040911	0.0460161	0.0302165	0.0205011	0.0217345	0.0207798	0.0193765	0.00686353	0.0320875	0.0237082	0.0444278	0.0632496	0.0585697	0.100523	0.0958195	0.128677
de	0.0317511	0.0174665	0.0113976	0.0111475	0.0054478	0.00638438	0.00721884	0.00649264	0.0163229	0.0303232	0.0261602	0.0372614	0.0391563	0.047905	0.0311534	0.0134258	0.0127171	0.0214923	0.00923883	0.00418055	0.020719	0.0221151	0.0418971	0.0729612	0.107173	0.119929	0.0994727	0.12909
question	0.0423059	0.0252603	0.0132547	0.0109223	0.00485855	0.00285999	0.00194386	0.00163054	0.00378178	0.0132292	0.012751	0.0147212	0.0141398	0.0161309	0.0172167	0.0107817	0.00662796	0.031582	0.00808385	0.00526219	0.0253069	0.0208567	0.0508644	0.0704819	0.154996	0.18662	0.160504	0.0730264
</S>	0.0592879	0.0172605	0.0107167	0.00698594	0.00267694	0.00164513	0.00149532	0.00171485	0.00482333	0.0122828	0.0112531	0.0198294	0.0127821	0.0198507	0.00835563	0.00703399	0.00695839	0.0357413	0.00981619	0.00407371	0.0467709	0.019935	0.0378374	0.0636165	0.133556	0.16364	0.165762	0.114298
