 	a23	a87	a23	a53	a20	a14	a30	a14	a2	a57	a38	a76	a35	a75	a35	a66	a75	a41	a43	a75	a14	a44	a57	a38	a76	a35	a34	a24	a43	a75	a98	a41	a98	a14	a35	a34	a25	a56	a24	a9	a87	a23	a87	</S>
il	0.0145849	0.0145609	0.00532727	0.00715292	0.0152328	0.0256483	0.00888506	0.00710975	0.0292546	0.0899084	0.0739737	0.0800102	0.143204	0.0991012	0.0390342	0.0458238	0.0404365	0.0702111	0.0344068	0.0281049	0.0170913	0.00786051	0.00507484	0.00618042	0.00342471	0.00172553	0.00139696	0.000596532	0.000526595	0.000617349	0.000754388	0.00206839	0.00396323	0.00549075	0.00671748	0.00446704	0.00835866	0.00837622	0.00995782	0.00812036	0.00819246	0.00542547	0.00525797	0.00638347
construit	0.00122253	0.00160935	0.0029633	0.00564002	0.00685439	0.0070628	0.00893194	0.0139883	0.0162452	0.021281	0.0345764	0.0270493	0.0315098	0.0201793	0.0388744	0.0334788	0.029874	0.0365342	0.0307278	0.0428497	0.0339411	0.0285588	0.0448631	0.0458815	0.0445685	0.0343639	0.022519	0.0213084	0.00658558	0.00483365	0.00562076	0.0088622	0.00941372	0.0191723	0.019819	0.0210203	0.023873	0.0200692	0.0203389	0.0336284	0.0311715	0.0330323	0.0318686	0.0232339
un	0.0146212	0.0115964	0.0122734	0.0113047	0.0156098	0.0176823	0.0175662	0.0147236	0.0189264	0.0147443	0.0167106	0.0150998	0.0101068	0.0109555	0.0139961	0.0124943	0.0126647	0.0143865	0.0156694	0.0144314	0.0141858	0.0132866	0.0165837	0.0113228	0.00865207	0.00576314	0.00649558	0.00384774	0.00240967	0.00217041	0.00615291	0.00632002	0.00869842	0.00909839	0.0118886	0.0402323	0.04329	0.0553377	0.0707794	0.0662852	0.0647798	0.0618979	0.0622235	0.122735
abri	0.0288748	0.0161842	0.0281811	0.0259107	0.0244224	0.0245567	0.0241739	0.0332112	0.0288886	0.011957	0.0144875	0.0124481	0.0123863	0.00802615	0.00983041	0.0089312	0.0110758	0.01318	0.0115736	0.0135092	0.0119047	0.0162315	0.0225105	0.0192614	0.0178688	0.0178146	0.0238081	0.045408	0.0592264	0.0792467	0.0516959	0.0485465	0.0397507	0.0324581	0.0245104	0.0286611	0.0177132	0.0135243	0.0123038	0.00626937	0.00863505	0.00914533	0.00715152	0.0245452
en	0.018669	0.00668586	0.00936121	0.00860374	0.00635878	0.00507467	0.00681905	0.00486832	0.00399236	0.00169177	0.00431044	0.00293634	0.00180187	0.00208222	0.00597052	0.00362442	0.00283311	0.0047319	0.00408925	0.00336676	0.00251295	0.00816974	0.0193177	0.0255866	0.03109	0.0327551	0.0376388	0.0541076	0.0581648	0.0400273	0.0398671	0.027775	0.0179546	0.0461916	0.0433502	0.0458885	0.0362696	0.0414992	0.0359264	0.0419215	0.0513532	0.0539471	0.0492595	0.0515542
brousse	0.0211253	0.0140402	0.0106771	0.00947944	0.011354	0.008883	0.0100695	0.00714605	0.00675288	0.00629016	0.0125665	0.00825185	0.00845832	0.00579634	0.0109674	0.0126011	0.00839871	0.0110294	0.019242	0.0124228	0.020489	0.0172075	0.02595	0.0271223	0.0356718	0.0497425	0.0467132	0.0509206	0.0450158	0.0250552	0.0304179	0.0370455	0.0397647	0.0443817	0.0349487	0.0237391	0.0277122	0.0255221	0.0278852	0.0327427	0.0307443	0.0357272	0.0304433	0.0194855
pour	0.0551164	0.0490598	0.0402614	0.0222389	0.0214051	0.0201451	0.0271517	0.0195699	0.0138583	0.0134254	0.0397516	0.0247122	0.0162327	0.0130526	0.0203576	0.0221557	0.017408	0.0170775	0.0181324	0.0195589	0.014249	0.0258495	0.0248994	0.0306413	0.0301584	0.0198324	0.012473	0.0122986	0.0148084	0.00665729	0.00663207	0.00658311	0.00795792	0.0170925	0.0156755	0.0127859	0.0135375	0.0158886	0.0172101	0.0217508	0.0330987	0.0366907	0.0337422	0.0788161
la	0.0219845	0.0141116	0.0193441	0.0106636	0.00736227	0.00806905	0.00627581	0.00931161	0.008516	0.00641956	0.0121	0.00961204	0.00959434	0.0113043	0.0191061	0.0203044	0.0141497	0.0197684	0.016037	0.0179187	0.0284647	0.0178754	0.00764901	0.0164896	0.0137684	0.012336	0.0132722	0.0151627	0.0159832	0.0224112	0.0263016	0.0295861	0.0335014	0.0387587	0.0357904	0.0293363	0.0324176	0.0354781	0.031674	0.0440111	0.0559769	0.0547401	0.0613409	0.0657211
récolte	0.0173021	0.0139951	0.0119934	0.0182062	0.0152876	0.00936559	0.00540304	0.00466063	0.00681592	0.00662753	0.00787952	0.00962846	0.0108596	0.0155753	0.0324403	0.0261711	0.0181808	0.0334531	0.0160767	0.0142053	0.0145484	0.0122313	0.00700479	0.0113074	0.011268	0.0115786	0.0127896	0.0125124	0.013458	0.0119673	0.0148428	0.0257397	0.0348262	0.0274319	0.0404169	0.0184947	0.0373714	0.0536203	0.0414997	0.0515843	0.0510193	0.0481766	0.0587687	0.0834145
du	0.0240589	0.0237501	0.0224802	0.0151113	0.0104347	0.0100596	0.00691879	0.00445681	0.00516242	0.010114	0.0143185	0.0097766	0.0116334	0.0191115	0.0296748	0.0193275	0.0102384	0.0230013	0.0103812	0.00701864	0.00563815	0.00440338	0.0029897	0.00630327	0.00434464	0.00214212	0.00194381	0.00148981	0.00249863	0.00246968	0.00363833	0.00622508	0.00809266	0.0133419	0.0149869	0.0173441	0.0404161	0.0695518	0.0614407	0.0837431	0.0799252	0.0755067	0.0928394	0.111696
