 	a23	a83	a13	a54	a41	a27	a11	a31	a0	a31	a66	a90	a25	a75	a85	a41	a27	a11	a75	a96	a75	a11	a12	a98	a9	a75	a41	a37	a85	a75	a85	a56	a18	a47	a88	a9	a87	a23	a87	</S>
cet	0.0904262	0.0596467	0.0364792	0.065322	0.0425264	0.030009	0.0258542	0.024874	0.0214073	0.0211804	0.0212619	0.0175016	0.0146978	0.0166821	0.0112724	0.0116917	0.00931484	0.0114144	0.00754856	0.00653363	0.00774868	0.00819399	0.00661543	0.0120935	0.0121748	0.0144815	0.0229824	0.0155448	0.0151705	0.0129907	0.0186	0.0180745	0.0266026	0.0195275	0.025905	0.0311323	0.0245788	0.0526215	0.0330158	0.076301
homme	0.00558399	0.00661099	0.00965889	0.0313002	0.020798	0.0587114	0.0830593	0.048133	0.0581616	0.067828	0.104759	0.0962328	0.0520492	0.0404464	0.0361675	0.014049	0.0246869	0.00821657	0.0308761	0.0302223	0.0335777	0.0236074	0.0315716	0.0237763	0.0114247	0.0126954	0.00852492	0.00524385	0.00220485	0.00314792	0.00179512	0.000924219	0.00050542	0.00272861	0.00194164	0.00140635	0.0011975	0.00107077	0.00317163	0.00193269
enroule	0.00996701	0.00946028	0.011488	0.0130542	0.0161953	0.0200214	0.0228687	0.0180128	0.0355291	0.0431972	0.0541181	0.0952574	0.0947657	0.13301	0.119764	0.0435492	0.0613086	0.012336	0.0187347	0.0151757	0.0194216	0.0102941	0.00749337	0.00710006	0.00528569	0.00531118	0.00316924	0.00369699	0.00219268	0.00317815	0.00315891	0.00498568	0.00586574	0.00761055	0.00737848	0.00857345	0.0107391	0.0113829	0.0174857	0.00786255
la	0.0452465	0.0441163	0.0463231	0.0235961	0.0246103	0.026365	0.021481	0.015406	0.0351163	0.0227595	0.0345923	0.0615097	0.0421533	0.0472373	0.0233566	0.0226483	0.013683	0.00737845	0.00881433	0.0127705	0.0168055	0.0116892	0.0148571	0.0366069	0.0310646	0.0356936	0.0179591	0.0257232	0.0161229	0.0106472	0.00959041	0.0178887	0.0174692	0.0221701	0.0225468	0.0200507	0.0145791	0.0285092	0.0207485	0.030114
terre	0.0460384	0.0309393	0.018052	0.0205591	0.0199936	0.032541	0.0189435	0.012026	0.0186799	0.0114662	0.00936172	0.0160994	0.0224302	0.0335653	0.0304082	0.0268829	0.0224633	0.0217883	0.011596	0.00852925	0.014733	0.0129216	0.0131159	0.0251208	0.0233181	0.0268968	0.0427246	0.0336449	0.0360684	0.0363381	0.0361458	0.0180285	0.0343333	0.0264375	0.0292233	0.0396345	0.0160908	0.0361626	0.0216235	0.0450741
pour	0.046518	0.0391075	0.0297947	0.0337298	0.0213986	0.0347806	0.0117429	0.0067007	0.0166797	0.0094416	0.00560334	0.00664601	0.00900517	0.00927908	0.00673543	0.0069373	0.00352177	0.00432035	0.00214624	0.00308003	0.00475463	0.00369811	0.00242149	0.00588459	0.00690012	0.00923148	0.0160283	0.0251618	0.0442376	0.058976	0.0507819	0.0318485	0.0525582	0.0536844	0.0560245	0.0507898	0.0593659	0.0524764	0.0526274	0.05538
ériger	0.0238798	0.0202841	0.0210096	0.0246879	0.0186047	0.0214517	0.0103817	0.0096722	0.0126667	0.0108901	0.00633993	0.00955554	0.0107693	0.0127696	0.00870672	0.0097611	0.0058581	0.00591954	0.0044224	0.00499288	0.00763206	0.00548131	0.00358446	0.011276	0.0072014	0.0148132	0.0184644	0.0318866	0.0461192	0.0618209	0.0619141	0.0545596	0.0374539	0.0584845	0.0531022	0.0414289	0.041933	0.0465693	0.0530547	0.0905965
les	0.0394219	0.0288043	0.0250098	0.0221648	0.0125695	0.0140756	0.00809942	0.00981371	0.0110348	0.0109541	0.00808953	0.00953399	0.00858375	0.0102173	0.00508582	0.00457393	0.00242753	0.00386289	0.00324111	0.00371563	0.00597733	0.00383991	0.0032706	0.0163765	0.0169519	0.0351434	0.0346538	0.0399473	0.0345087	0.063724	0.0563306	0.0478404	0.0379791	0.0503814	0.0493832	0.0442601	0.0439923	0.0525003	0.0540975	0.0675623
murs	0.0354395	0.0199936	0.0149169	0.0169354	0.00767118	0.0104044	0.00936409	0.011758	0.0118176	0.010199	0.0122774	0.0163718	0.0125871	0.0120625	0.00744986	0.00777988	0.00465353	0.00632988	0.00730224	0.00988638	0.0118962	0.0109836	0.0103361	0.0209228	0.0200533	0.0199429	0.0331805	0.0470352	0.0397335	0.0413167	0.0563963	0.0550956	0.0469968	0.035193	0.0380333	0.039603	0.0431789	0.0633252	0.0583866	0.0631903
de	0.0370398	0.0241198	0.0171152	0.0204652	0.00756691	0.00927204	0.00435519	0.00445267	0.00575243	0.00463161	0.00537055	0.00379683	0.00354251	0.00253791	0.00185682	0.00143993	0.0011917	0.00156264	0.00201054	0.00235673	0.00545656	0.00490248	0.00375087	0.0180204	0.0202629	0.0253932	0.030496	0.0465683	0.0444403	0.0457046	0.0632321	0.0652496	0.0564007	0.0552746	0.0473151	0.0497563	0.061987	0.062043	0.0525027	0.0808061
la	0.0404403	0.0301418	0.0249995	0.0225592	0.00868115	0.0118974	0.00968438	0.012811	0.0145748	0.0132202	0.0136069	0.0148668	0.0137369	0.0106315	0.00711875	0.0134186	0.00791179	0.0127377	0.0115411	0.0101256	0.0139605	0.0119776	0.0083629	0.0154238	0.0169167	0.0274103	0.0354172	0.0461514	0.0263927	0.0347678	0.0456507	0.0303398	0.0405902	0.0356581	0.034877	0.04357	0.0476572	0.0568637	0.0560332	0.0672739
maison	0.0282401	0.0231938	0.0219418	0.0202839	0.014532	0.0166165	0.00844777	0.00848191	0.0122517	0.00776762	0.00739511	0.00643881	0.00699397	0.00582446	0.00377005	0.00499641	0.00352617	0.00495918	0.00420506	0.00368919	0.00528338	0.00525945	0.00318648	0.00940681	0.00973087	0.0170011	0.0267183	0.039596	0.0386773	0.0665785	0.064555	0.0487204	0.0414919	0.0392391	0.0401708	0.0524557	0.0361329	0.0702057	0.0685528	0.103482
</S>	0.0513222	0.0364637	0.0328154	0.0417212	0.0434867	0.0266469	0.0131826	0.0112583	0.0137206	0.0101675	0.0107499	0.0119652	0.0170329	0.0154497	0.00959251	0.008063	0.00915601	0.00548553	0.00532614	0.00425715	0.00576407	0.00591549	0.00378374	0.00904516	0.00795312	0.0161354	0.0308742	0.0369205	0.0323828	0.0532244	0.0528774	0.0332742	0.0256094	0.026025	0.0333066	0.0399352	0.0259244	0.0612717	0.0436536	0.0782607
