 	a23	a10	a30	a87	a23	a79	a20	a94	a58	a38	a94	a32	a75	a25	a90	a38	a75	a41	a35	a73	a94	a98	a90	a98	a99	a4	a57	a82	a87	a40	a30	a73	a44	a13	a90	a56	a35	a75	a56	a90	a35	a56	a70	a83	a9	a99	a87	</S>
elle	0.0106603	0.0161529	0.0131081	0.0100507	0.0125102	0.0392036	0.0432937	0.0498375	0.081863	0.111377	0.0907746	0.0867724	0.0346233	0.0702213	0.0246719	0.0455138	0.0240497	0.0252703	0.019026	0.0131527	0.0108315	0.00957501	0.00685825	0.00744448	0.00553956	0.00380017	0.00306277	0.00299555	0.00199417	0.00189296	0.00177987	0.00366689	0.0028276	0.00432473	0.00169892	0.00179272	0.00187478	0.00184959	0.00393309	0.00323915	0.0042874	0.00446245	0.00765348	0.00526667	0.0154788	0.0141558	0.0221778	0.0234034
changea	0.00219093	0.00218748	0.00119513	0.00243443	0.00446631	0.00200075	0.0141422	0.0144547	0.026089	0.0322149	0.0326031	0.0395012	0.0347769	0.0388384	0.0385276	0.0406041	0.0341068	0.0602079	0.0473813	0.0631943	0.0461129	0.0374535	0.0224654	0.0141848	0.0222093	0.0316728	0.0324999	0.0231511	0.0279595	0.0116323	0.00546961	0.00773266	0.00606673	0.0058523	0.0102328	0.00928116	0.0102317	0.0150996	0.0213444	0.0189903	0.0175596	0.0157679	0.0165792	0.0112868	0.00826128	0.00689393	0.00718431	0.00570684
d'	0.0076482	0.00547739	0.00368952	0.0060272	0.00546961	0.002715	0.00623366	0.00909108	0.0134299	0.0209861	0.0245858	0.0284991	0.0290867	0.038745	0.0493267	0.0363034	0.0276835	0.0806011	0.038972	0.0545774	0.0425845	0.038693	0.0186361	0.0211592	0.0203773	0.0148567	0.0151067	0.0106576	0.00868045	0.00488804	0.00268033	0.00337607	0.00427534	0.00508554	0.00560141	0.00538821	0.00468233	0.00410932	0.00602163	0.00640031	0.0125877	0.0197066	0.0317852	0.0248214	0.0349837	0.035673	0.0425046	0.0655291
avis	0.0327478	0.0143131	0.00925979	0.0126019	0.0122102	0.0050126	0.00551804	0.0129279	0.0111716	0.0067173	0.010802	0.0189664	0.0208352	0.0397207	0.047251	0.0554141	0.0347554	0.0328458	0.0280389	0.0520797	0.0462191	0.0402303	0.0326868	0.0198064	0.0318151	0.0382468	0.0453898	0.0371675	0.0473626	0.0341167	0.0217836	0.0186435	0.014387	0.00905722	0.0132394	0.00942695	0.00801811	0.00912304	0.0081855	0.00605212	0.00520521	0.00502781	0.00542912	0.00601529	0.0042896	0.00632371	0.00619674	0.00736535
et	0.0303517	0.0120347	0.00756362	0.00846953	0.00607353	0.00423623	0.00640332	0.0090766	0.00945668	0.00689078	0.0141169	0.012384	0.0136729	0.0388071	0.0411681	0.034908	0.0274693	0.0235542	0.0204638	0.0309301	0.0301089	0.0370436	0.0386664	0.0341483	0.0448529	0.0545915	0.0545258	0.0575224	0.0429807	0.0168519	0.0116935	0.00557291	0.00834613	0.0134845	0.0164617	0.0107418	0.00737841	0.00396924	0.00841924	0.00673367	0.0132386	0.0127023	0.0194922	0.0178738	0.0131608	0.0177877	0.016181	0.027439
rentra	0.0134524	0.00802287	0.00861389	0.00520147	0.0061219	0.00519803	0.0130779	0.00758036	0.00599243	0.0080168	0.0143639	0.012444	0.0123097	0.0258682	0.0255138	0.0243244	0.0159386	0.0185231	0.0184641	0.0187977	0.0177101	0.025967	0.0295336	0.0297996	0.0322768	0.0432327	0.0479241	0.0655813	0.0858595	0.0324667	0.0194679	0.0148523	0.0175771	0.0220991	0.0262061	0.0206286	0.0175969	0.00820062	0.0110449	0.0125953	0.0147824	0.0133137	0.0124042	0.015886	0.0197311	0.0169394	0.0291432	0.0293547
chez	0.0275378	0.0126965	0.00522289	0.00418082	0.00472289	0.00507622	0.0163412	0.0117869	0.010705	0.0123884	0.0268154	0.0271978	0.0250964	0.0392859	0.0357445	0.0543745	0.0294059	0.0332433	0.0461798	0.047308	0.0274494	0.0237851	0.0158685	0.0212396	0.0250568	0.0254061	0.0207689	0.0322853	0.0332437	0.0101262	0.00611452	0.00443501	0.00605589	0.0112592	0.00720802	0.00550997	0.00379387	0.00192005	0.00560994	0.00299429	0.00680163	0.0107998	0.0218377	0.0184524	0.0403647	0.0316806	0.040389	0.0642341
son	0.0156411	0.0119895	0.00687913	0.00693969	0.00662434	0.00633607	0.00745806	0.00561794	0.00599896	0.00720747	0.00875076	0.00852681	0.0103273	0.0131942	0.0298788	0.0291832	0.0183345	0.0201124	0.0279274	0.0263738	0.0274121	0.0357355	0.0424667	0.0410207	0.0383021	0.0378596	0.0339517	0.0468407	0.0552998	0.0197593	0.0164722	0.0187654	0.0182152	0.0294272	0.0192997	0.0149294	0.0173696	0.00821219	0.0150713	0.0117088	0.0209864	0.0186392	0.0206855	0.0320847	0.0242686	0.0195723	0.0248241	0.0175188
mari	0.0137153	0.0147756	0.0123049	0.0105608	0.0107377	0.00911922	0.00716049	0.00470264	0.00550815	0.0050525	0.00720092	0.00604345	0.00756777	0.00853368	0.00709242	0.00973158	0.00487917	0.00592291	0.00634879	0.00666348	0.00700201	0.010441	0.015391	0.0154913	0.0130957	0.0148628	0.0165541	0.0241603	0.0256643	0.0171491	0.0149315	0.0289723	0.0199738	0.0401213	0.0319371	0.0276664	0.0339582	0.0304409	0.0498842	0.0478681	0.056825	0.0368434	0.0361948	0.0357515	0.0418164	0.0440159	0.0439139	0.0554522
</S>	0.0188373	0.0116972	0.00621211	0.00771282	0.00504782	0.0027769	0.00414639	0.00400817	0.00448508	0.00367338	0.00599518	0.00662385	0.00958583	0.013362	0.011683	0.0130298	0.00885699	0.0103454	0.0121198	0.0171856	0.0118003	0.013854	0.0167138	0.0132786	0.0175228	0.0208596	0.0206986	0.0243078	0.0227487	0.0152228	0.0110411	0.00934397	0.00951099	0.0117085	0.0148065	0.0135293	0.0141077	0.0140605	0.0200713	0.0211295	0.0346857	0.0436956	0.0752414	0.055319	0.0697346	0.0609755	0.0538765	0.112771
