 	a66	a87	a23	a82	a99	a0	a75	a92	a44	a56	a12	a47	a96	a11	a93	a4	a93	a96	a54	a7	a84	a57	a87	a23	a97	a26	a3	a99	a97	a87	a23	a9	a97	</S>
nous	0.073013	0.137309	0.0991316	0.0706025	0.086014	0.0490658	0.0490142	0.0316446	0.0277622	0.0249735	0.0152665	0.00955742	0.0067297	0.00521367	0.00922777	0.00891782	0.00832999	0.0112817	0.0160237	0.0159671	0.0162667	0.0403991	0.0176528	0.0187115	0.0229944	0.0275646	0.0223074	0.0175264	0.0114535	0.0111077	0.00837047	0.00969304	0.00817967	0.0127266
partons	0.0347119	0.0208961	0.0311476	0.0439656	0.0334359	0.0531922	0.0442539	0.0185036	0.0227822	0.0322013	0.027213	0.033076	0.0309202	0.0291862	0.00938698	0.0145188	0.0124276	0.0144492	0.0205547	0.0284683	0.0303322	0.0438725	0.0339598	0.0323951	0.0417852	0.0332357	0.0362	0.0286929	0.0238596	0.0212376	0.0275091	0.0354478	0.0270111	0.0291702
faire	0.0281841	0.0295358	0.0157869	0.0139632	0.0127794	0.0153619	0.0170798	0.0142409	0.0198272	0.0159771	0.0184505	0.0194641	0.0165529	0.0159028	0.0264431	0.0301631	0.0327975	0.037664	0.0338588	0.0304084	0.0141227	0.0320335	0.0239567	0.0229368	0.0375087	0.0386325	0.0605688	0.039386	0.0492612	0.0561193	0.0557274	0.0505034	0.0336937	0.0411079
la	0.0402344	0.019	0.0211097	0.0184725	0.0153285	0.0150561	0.0150546	0.0173297	0.0257703	0.0353831	0.0538191	0.0776076	0.0904485	0.0756572	0.078779	0.0714064	0.0678861	0.0300133	0.0194101	0.022217	0.0153939	0.0149131	0.00976016	0.00911394	0.0125421	0.0087162	0.0167164	0.0126633	0.0169715	0.0181477	0.0167575	0.011641	0.0112058	0.0154743
pêche	0.0270871	0.0192934	0.0173467	0.0147979	0.0171855	0.0150346	0.0112966	0.0209773	0.0316237	0.0492413	0.0795556	0.0482554	0.0792078	0.0415692	0.0357627	0.0287026	0.0279738	0.0237103	0.0202157	0.0441345	0.0386425	0.0319685	0.0282855	0.0354037	0.0274832	0.0253457	0.0205016	0.0277501	0.0242202	0.0175084	0.0209737	0.0233581	0.0125663	0.0130206
au	0.0410259	0.0565456	0.0401355	0.0358411	0.0251759	0.019985	0.0188012	0.0202455	0.0243961	0.024166	0.0311627	0.0249882	0.0299983	0.0279127	0.0290034	0.0291478	0.0241954	0.0261806	0.0201157	0.0253765	0.0258647	0.029082	0.0339926	0.0338606	0.0329918	0.031471	0.0305528	0.0330176	0.0282411	0.0245149	0.026191	0.0364205	0.0256689	0.0337317
harpon	0.0705706	0.0562608	0.0392391	0.0333269	0.0276581	0.0206643	0.0240139	0.0127938	0.0219251	0.0276083	0.0316788	0.023763	0.0179568	0.0159772	0.0230781	0.0253219	0.0152367	0.0130129	0.0156053	0.0165639	0.0251024	0.0240964	0.0220584	0.0326378	0.0292431	0.0342502	0.0378464	0.0345127	0.0362026	0.0436447	0.0381522	0.04012	0.0502581	0.0196194
au	0.0640054	0.0524193	0.046044	0.0271413	0.0195663	0.0167333	0.0192636	0.00914893	0.0110602	0.00714868	0.00863176	0.00796271	0.00784295	0.00640498	0.0169435	0.0146724	0.00791519	0.00508072	0.00490641	0.0101336	0.00474268	0.0133674	0.00617891	0.0143633	0.0119058	0.0144168	0.0195074	0.0257205	0.0488249	0.0559532	0.071771	0.0703658	0.126602	0.153255
ruisseau	0.0642444	0.0403521	0.0377854	0.0228426	0.017351	0.0148577	0.0149292	0.00992203	0.0136807	0.010753	0.015223	0.0134014	0.0114989	0.00894169	0.0129701	0.0169764	0.0122395	0.0144845	0.0187991	0.0223764	0.00778941	0.0226448	0.00712598	0.0190827	0.0136216	0.0187205	0.0184876	0.0314839	0.0629687	0.0692613	0.0550541	0.0550084	0.0785569	0.146565
vouma	0.0587509	0.0578783	0.0453559	0.0370341	0.0214068	0.0131778	0.0134054	0.0125423	0.0130626	0.0125565	0.0156887	0.0172544	0.00816294	0.0108976	0.014668	0.0286232	0.0174124	0.0135518	0.0161481	0.0200215	0.0152079	0.0284833	0.0143495	0.0262197	0.0215876	0.0260806	0.0286001	0.0358568	0.0467079	0.0511167	0.0448442	0.0453843	0.0498281	0.118134
</S>	0.0896216	0.0707927	0.0545076	0.018214	0.0104213	0.0111716	0.00876485	0.00255529	0.00520422	0.00261822	0.00454679	0.00345192	0.00295585	0.0015362	0.00609838	0.00608749	0.00312572	0.00762652	0.0136582	0.0169271	0.00638609	0.0363665	0.0103689	0.0204056	0.0211026	0.0309681	0.0243847	0.0332218	0.0739562	0.0613474	0.0682308	0.0742646	0.101675	0.097436
