 	a85	a87	a23	a87	a23	a87	a23	a79	a93	a13	a61	a75	a96	a90	a25	a92	a85	a73	a69	a15	a79	a94	a75	a66	a9	a57	a4	a57	a9	a99	a87	a97	a62	a75	a5	a18	a9	a75	a47	a7	a26	a57	a75	a5	a96	a75	a73	a44	a13	a90	a94	a98	a6	a96	a62	a96	a93	a53	a7	a57	a99	a97	a87	a97	a87	a23	a99	a87	</S>
mon	0.0170403	0.0247263	0.0112778	0.0178622	0.0178412	0.0111981	0.0111199	0.0130113	0.0131295	0.0197879	0.0217985	0.01731	0.0358871	0.0517993	0.0275375	0.0324369	0.0354342	0.0226266	0.0189185	0.0243008	0.0352537	0.0140343	0.00808515	0.00737524	0.0126253	0.0203035	0.0125697	0.0165453	0.0108455	0.0102612	0.0290001	0.0184625	0.0225212	0.0238338	0.0230185	0.0292876	0.0171797	0.026839	0.0342306	0.0143783	0.00980345	0.00800791	0.00707756	0.00718534	0.0051345	0.00827003	0.00989252	0.0112027	0.00951911	0.00712613	0.0114614	0.00499633	0.0112184	0.0111936	0.0031514	0.00198218	0.00185375	0.0026508	0.0033329	0.004087	0.00333538	0.00252651	0.00296019	0.00365507	0.00245529	0.0027254	0.00294804	0.0025411	0.00601228
cadet	0.00404119	0.00305261	0.0056709	0.0065053	0.00474911	0.01584	0.0340621	0.0455423	0.0299964	0.0292321	0.0323388	0.056032	0.0808334	0.0558592	0.0339842	0.0460402	0.0535518	0.0350326	0.0193796	0.0375141	0.0476691	0.0160871	0.0121647	0.030834	0.0156074	0.0107465	0.0105523	0.0101506	0.00561146	0.00632194	0.0056759	0.00314452	0.00385189	0.00359223	0.00424087	0.00472956	0.00352359	0.00340187	0.00366031	0.0120928	0.00952838	0.00655334	0.00597088	0.00674754	0.00655612	0.00833894	0.003221	0.00452665	0.00466836	0.00685354	0.0163981	0.00984043	0.0108371	0.00966245	0.00741418	0.00211207	0.00222765	0.0012801	0.00170677	0.00292691	0.00110477	0.00153262	0.00149376	0.0024892	0.00179293	0.00474792	0.00345526	0.00345422	0.00964237
est	0.00760372	0.00818441	0.00551396	0.00421716	0.00344588	0.00375422	0.00266602	0.00253316	0.00959485	0.0147358	0.0286429	0.0186595	0.0242658	0.0167358	0.0219482	0.0244979	0.0172593	0.017239	0.0151051	0.0232714	0.0137343	0.0235764	0.0182822	0.0149297	0.0177997	0.0183965	0.0164612	0.0138188	0.019419	0.0236739	0.0164765	0.0179019	0.00687427	0.0147416	0.0158605	0.0129775	0.00959314	0.012914	0.0103052	0.0234729	0.0316328	0.0265617	0.0524237	0.0383966	0.0235772	0.0152784	0.00402043	0.00389006	0.00430195	0.00334314	0.00445755	0.00494753	0.00267172	0.00407314	0.00573215	0.00788426	0.00465662	0.00630248	0.00562678	0.00615233	0.00920547	0.00782036	0.0144127	0.019647	0.0158471	0.0223581	0.0194745	0.0174008	0.0268202
jaloux	0.0198145	0.010935	0.00850988	0.00478531	0.00580737	0.00463534	0.00370619	0.00470772	0.0166002	0.00630345	0.00970954	0.00976571	0.00659883	0.00675787	0.00758303	0.0126731	0.00747296	0.00861424	0.0106132	0.0188143	0.0148907	0.0157198	0.0143441	0.0156828	0.015787	0.0215167	0.0261776	0.0402389	0.0388606	0.0238141	0.0548981	0.0323919	0.0484059	0.0268233	0.0154466	0.0188308	0.0232657	0.0292374	0.0169745	0.0133298	0.0129691	0.0121835	0.0179874	0.0139728	0.0124818	0.0105291	0.0153055	0.0180421	0.0145326	0.0221814	0.0258177	0.0347413	0.0191134	0.0225299	0.00769432	0.00265288	0.0011608	0.00210035	0.00128504	0.00118246	0.00181728	0.00141098	0.00416821	0.00412808	0.00341511	0.0041025	0.0040787	0.0057241	0.0116478
de	0.0095524	0.00857686	0.00767518	0.00540267	0.00405455	0.00463202	0.0032105	0.00201273	0.00533418	0.00246681	0.00409187	0.00678223	0.00380294	0.00620021	0.00711831	0.0136983	0.0114782	0.0108741	0.0162563	0.017662	0.0204701	0.0149871	0.0180711	0.0226163	0.0255843	0.0373127	0.0369434	0.0500198	0.052466	0.021426	0.0728714	0.0388335	0.062483	0.0328664	0.0291958	0.0401257	0.0373985	0.0443901	0.0347454	0.0254531	0.0251999	0.0161133	0.00938421	0.00625838	0.00497553	0.00802856	0.00599409	0.00492856	0.00457468	0.00525135	0.00467487	0.00236381	0.002303	0.00159872	0.00160464	0.000647862	0.000686054	0.00098664	0.000834619	0.000892295	0.00110341	0.00126301	0.0022108	0.00187016	0.00235004	0.00243329	0.00292119	0.00475068	0.00465443
moi	0.00907903	0.00553205	0.00546054	0.00512454	0.00378243	0.00514842	0.00280817	0.00144809	0.00273239	0.00209162	0.00309436	0.00433585	0.00635022	0.00684377	0.00820269	0.0154766	0.005498	0.00769833	0.00658292	0.0103198	0.0114116	0.0171642	0.0196854	0.0170236	0.0160086	0.0193182	0.0242698	0.0336894	0.033669	0.0271479	0.0373052	0.0369278	0.0470231	0.0439996	0.0264892	0.026043	0.0515001	0.0467353	0.0236808	0.0254805	0.0232183	0.0231304	0.035007	0.0226786	0.0158153	0.0179887	0.0144724	0.0140813	0.011765	0.00964175	0.00890234	0.00560245	0.00638381	0.00872078	0.00625673	0.00206873	0.00181806	0.00270042	0.00188068	0.00160064	0.00220082	0.00227774	0.00703811	0.00673015	0.00781624	0.00628397	0.00641436	0.012649	0.0126743
parce	0.0123224	0.00731556	0.00699731	0.00701078	0.00581818	0.00512206	0.0046411	0.00264317	0.00461233	0.00277612	0.00324597	0.00628753	0.00634937	0.00886215	0.00836905	0.00818049	0.00729356	0.00977767	0.0103252	0.0108134	0.0108544	0.0166238	0.0144221	0.0142767	0.0130783	0.0170308	0.015958	0.0255827	0.0279774	0.0356303	0.0295189	0.023681	0.0226912	0.0323521	0.0206139	0.0188613	0.0326579	0.027844	0.0176306	0.0290298	0.0286694	0.0268327	0.0490799	0.0240403	0.0219063	0.0174702	0.0168798	0.0236079	0.0171913	0.0149426	0.0156451	0.012811	0.0158108	0.00984401	0.0174324	0.00334526	0.00324534	0.00342279	0.00256458	0.00225508	0.00270893	0.00241998	0.00681648	0.010598	0.012109	0.0122677	0.0105285	0.0153901	0.0150859
que	0.0210664	0.015513	0.00692889	0.00452765	0.00361721	0.00304574	0.00300204	0.00230094	0.00355486	0.00428939	0.00454255	0.00946724	0.00848838	0.0119455	0.00937703	0.00991244	0.0156316	0.0128893	0.0157539	0.0157732	0.0108332	0.013052	0.0135253	0.0149173	0.0150962	0.0194147	0.0167907	0.0264354	0.0290884	0.0388402	0.033301	0.0199055	0.0222849	0.0325016	0.0231631	0.0201439	0.0250635	0.0252088	0.0218887	0.0249563	0.0277768	0.0259414	0.039321	0.0250903	0.0176286	0.0125022	0.00788702	0.0130991	0.0113236	0.013304	0.0146018	0.00904002	0.0165194	0.00713217	0.0139754	0.00532131	0.0057441	0.00872653	0.0063408	0.00528488	0.00665214	0.00557699	0.00854117	0.00853394	0.0107045	0.00968033	0.00985955	0.0153449	0.0105078
notre	0.0158934	0.01531	0.00711876	0.00516676	0.00421107	0.00297689	0.0035371	0.00332707	0.00457165	0.00523385	0.00654055	0.0104456	0.0095189	0.0169746	0.0130441	0.0144989	0.0172161	0.0177234	0.0131958	0.0192489	0.0140403	0.0164764	0.0140366	0.0175649	0.0189075	0.0233069	0.0200574	0.0234731	0.025609	0.029023	0.0278433	0.0159653	0.0215885	0.0227821	0.0167263	0.016498	0.0157006	0.0199339	0.0202833	0.0209903	0.0194028	0.0182133	0.0263926	0.0198067	0.0106318	0.00999316	0.00464464	0.00744746	0.00897968	0.0130767	0.0112345	0.00971589	0.0142353	0.0106332	0.0154543	0.00812243	0.00773365	0.00900226	0.00772972	0.00855249	0.00846962	0.00633667	0.0155448	0.015767	0.0206339	0.0203789	0.0169414	0.0232234	0.0251417
père	0.0183858	0.0189754	0.00959591	0.00658541	0.00526697	0.00407712	0.0047128	0.00461824	0.00526992	0.00683315	0.00780654	0.0143705	0.0124113	0.0204462	0.0125937	0.0152926	0.0198226	0.0188387	0.0130089	0.0178965	0.0172596	0.0154865	0.0133651	0.0165769	0.0178766	0.0205086	0.024494	0.0291175	0.0315537	0.0211687	0.0263238	0.0185186	0.0400916	0.0395314	0.0211104	0.0178069	0.0236897	0.0233306	0.0272425	0.0255715	0.0171227	0.0153301	0.0157673	0.0147544	0.00890023	0.00873678	0.00648728	0.00961077	0.0101935	0.0126003	0.0187335	0.0130095	0.014626	0.00740567	0.00827032	0.0045572	0.00402625	0.00566629	0.00637857	0.00733009	0.0071577	0.00517152	0.00534364	0.00786483	0.00901494	0.0101352	0.00783953	0.0177959	0.0127377
