 	a66	a87	a23	a5	a37	a54	a47	a92	a61	a21	a37	a75	a47	a85	a37	a6	a36	a11	a75	a47	a36	a34	a62	a88	a71	a9	a87	a23	a99	a40	a47	a7	a44	a26	a54	a6	a37	a26	a57	a87	a23	a87	</S>
de	0.0519587	0.050507	0.0515099	0.0399065	0.051532	0.0965629	0.0575192	0.041499	0.0433036	0.0285104	0.0178853	0.0140838	0.00670278	0.00411871	0.00536609	0.00867022	0.0058968	0.0114296	0.0106446	0.0103077	0.0159414	0.0162478	0.0234955	0.0173995	0.017938	0.0217305	0.0312021	0.0325521	0.0327053	0.029493	0.0126205	0.0107494	0.00900312	0.00833793	0.00851196	0.00874528	0.0108654	0.00778846	0.0109927	0.00977902	0.0108254	0.0136148	0.031546
la	0.0158248	0.0172282	0.0214522	0.0230838	0.0319323	0.025313	0.0347052	0.0553186	0.0505358	0.0661962	0.0439496	0.0550067	0.0527756	0.0537058	0.0591793	0.0570317	0.049239	0.0320754	0.0143009	0.00963248	0.00705749	0.00839091	0.00271632	0.00284133	0.00267728	0.00328997	0.00453194	0.00375311	0.00422153	0.00467344	0.006155	0.00531788	0.00830899	0.0105976	0.0177375	0.0123116	0.0115757	0.0160022	0.0197752	0.0225676	0.0159809	0.0204283	0.0206016
manière	0.0175604	0.012278	0.0122792	0.0116831	0.0284802	0.0147803	0.027816	0.0241646	0.0187227	0.0277581	0.0355727	0.0570932	0.0798121	0.0645477	0.0580884	0.0982021	0.0645736	0.0579682	0.0245516	0.0207807	0.0269524	0.0486258	0.0161337	0.0177825	0.0091168	0.011193	0.00724097	0.00816232	0.00492134	0.00796675	0.00806704	0.00830599	0.00801441	0.00545872	0.0139539	0.00674592	0.0070833	0.00429117	0.00623489	0.00541079	0.00367603	0.0057907	0.0021584
ou	0.0421826	0.0191637	0.00997517	0.00717707	0.00595154	0.0022833	0.0109527	0.00698283	0.00771651	0.00976307	0.0161224	0.0199781	0.0308827	0.0343949	0.0532349	0.0351964	0.0370655	0.0193442	0.0341525	0.0251205	0.045098	0.0346983	0.0498864	0.0326147	0.0262832	0.0277382	0.0564341	0.0389406	0.0378687	0.0218522	0.0236372	0.0139468	0.0113304	0.00679341	0.0148504	0.0132829	0.0170371	0.0110181	0.0144457	0.0213908	0.0155697	0.028324	0.00931835
ils	0.0243784	0.00998604	0.00555954	0.0033995	0.00227474	0.00124001	0.00161969	0.000869916	0.00241355	0.00212427	0.00572753	0.00904774	0.0153201	0.0131971	0.0176973	0.0372222	0.0290335	0.0423893	0.0385379	0.0239699	0.0536135	0.0405608	0.0497021	0.0469041	0.0545131	0.051687	0.055212	0.0559459	0.0467047	0.0404816	0.0459761	0.0350568	0.0273229	0.0150745	0.0194266	0.00975909	0.0128132	0.00835683	0.0114749	0.00822483	0.0100797	0.010606	0.00449529
nous	0.0161097	0.00714766	0.00476597	0.00253101	0.00195746	0.000740968	0.001752	0.00127722	0.00171003	0.00561448	0.0119649	0.0288373	0.0288484	0.0331999	0.0526255	0.0562479	0.0680075	0.0574733	0.0557247	0.03165	0.0439747	0.0325385	0.031306	0.0316476	0.0317993	0.0417876	0.0405764	0.0359438	0.0243155	0.0181697	0.021295	0.0301981	0.0252092	0.0216962	0.0124178	0.0150429	0.0108898	0.011229	0.0123135	0.0125189	0.0113821	0.00959987	0.00596262
ont	0.0194519	0.00825211	0.00615673	0.00420246	0.00304995	0.00176696	0.00319302	0.00331901	0.00519661	0.0110562	0.0174275	0.0253275	0.0258476	0.0337438	0.0404798	0.025826	0.0612636	0.0363565	0.0493391	0.0276429	0.0303775	0.022522	0.0190696	0.0269276	0.0192666	0.0221384	0.0307566	0.0349026	0.0260171	0.0251372	0.0317903	0.0322556	0.0509231	0.0199927	0.0210618	0.0319297	0.0249847	0.0164137	0.0244181	0.0252252	0.023434	0.0174187	0.014138
lancé	0.0277797	0.0217558	0.0196628	0.012461	0.00917842	0.00584846	0.00555968	0.00596462	0.0111814	0.0169166	0.0264965	0.0273122	0.0243184	0.0188431	0.0229157	0.0166965	0.0217412	0.0164241	0.0212308	0.0152684	0.0149527	0.0134367	0.0101128	0.0147547	0.013069	0.0163834	0.0238423	0.0283655	0.0202072	0.0229474	0.032604	0.0350076	0.0619798	0.0345732	0.0258386	0.0339126	0.0373529	0.0278438	0.0364467	0.0279559	0.0413613	0.0344524	0.0450442
des	0.0337228	0.0215102	0.0134245	0.0111932	0.00859635	0.00867075	0.00756851	0.00416678	0.00691202	0.0047313	0.00945203	0.0100494	0.00804068	0.00626625	0.00769449	0.00901492	0.00737701	0.00597091	0.00737953	0.00572044	0.00470361	0.00766182	0.00550068	0.00922015	0.00895795	0.0137749	0.0155497	0.0251906	0.0203771	0.0141939	0.0293188	0.0199927	0.0397815	0.0419841	0.0380909	0.0681181	0.0687803	0.0594779	0.0641859	0.0697906	0.0614343	0.0801131	0.0363393
pierres	0.0243064	0.00948683	0.00473871	0.00296442	0.00152941	0.00152816	0.000923405	0.000662507	0.000872648	0.00147159	0.00640806	0.00567706	0.00945317	0.00921115	0.00946149	0.020029	0.015881	0.0150692	0.0154154	0.00854775	0.0114528	0.0162796	0.0144704	0.0208429	0.0195544	0.0213192	0.0179902	0.0219425	0.0222756	0.0183623	0.0351354	0.0318559	0.0448189	0.0418162	0.043103	0.0501421	0.0550507	0.0526679	0.0510558	0.046031	0.0692256	0.0708309	0.0601391
