 	a15	a66	a87	a23	a53	a79	a75	a85	a47	a7	a90	a92	a56	a96	a70	a66	a13	a99	a87	a23	a99	a97	</S>
ce	0.0727471	0.0667822	0.0976943	0.0970359	0.133919	0.0915819	0.0723877	0.0760316	0.0364433	0.0163869	0.00639735	0.00607082	0.00583543	0.00388504	0.00543662	0.00585741	0.0122359	0.0117761	0.0231187	0.0308844	0.0361732	0.0476344	0.043685
jeune	0.00521913	0.00987416	0.0186415	0.043198	0.11921	0.224315	0.291781	0.16272	0.0300917	0.0331625	0.0282611	0.010162	0.00534	0.00105649	0.00107028	0.00158176	0.00134755	0.00107779	0.000673781	0.00162799	0.00254226	0.00474695	0.00229998
garçon	0.0419843	0.0586011	0.0504363	0.0837995	0.125987	0.126188	0.113611	0.0971783	0.0898843	0.0805197	0.0377501	0.0372308	0.0109208	0.00255266	0.000934438	0.00152757	0.00117682	0.00250977	0.00166942	0.00310162	0.00581012	0.0186675	0.0079586
a	0.0247914	0.0120151	0.00763957	0.0111533	0.0120774	0.0239073	0.0189694	0.0147339	0.0271033	0.0428023	0.0687834	0.0564469	0.0332368	0.0523066	0.109948	0.134418	0.0620999	0.0694249	0.051173	0.0534495	0.0367652	0.0415986	0.0351556
une	0.0575805	0.0301018	0.0186153	0.0133403	0.0136615	0.0241964	0.0396939	0.0577011	0.0542548	0.122407	0.125187	0.115921	0.152712	0.0336408	0.0108823	0.0194959	0.0218019	0.0213231	0.0226728	0.0179482	0.00689929	0.00735658	0.0126064
plaie	0.0250119	0.0120645	0.00931575	0.00750965	0.00653716	0.0144905	0.0264264	0.060402	0.0737296	0.105693	0.118937	0.135903	0.204888	0.0314922	0.0166581	0.0181357	0.0234637	0.0192604	0.0181254	0.0142418	0.0104997	0.0147719	0.0324423
à	0.0553593	0.0510895	0.0533438	0.0425129	0.0338843	0.0384649	0.0304752	0.0267517	0.0301244	0.048219	0.0725937	0.064606	0.0900029	0.0375379	0.0394952	0.0341135	0.0449903	0.0421426	0.0422303	0.0335168	0.0219988	0.0217212	0.0448257
la	0.0368531	0.0350855	0.0255896	0.0298568	0.0384525	0.0409843	0.0286584	0.0148518	0.0134068	0.0293419	0.0399209	0.0209872	0.0209224	0.0364772	0.0551694	0.0636191	0.0809685	0.0660632	0.0800471	0.0754186	0.0550863	0.0498147	0.0624245
tête	0.0320829	0.0382871	0.0329545	0.0280948	0.0191315	0.0423843	0.0224451	0.0201456	0.0317894	0.0424858	0.0334862	0.0266371	0.017254	0.0107722	0.0163389	0.0190752	0.0400449	0.0635827	0.0625468	0.102046	0.10743	0.0975711	0.0934144
</S>	0.0821398	0.0655349	0.0393616	0.0442183	0.0447883	0.0607181	0.0354963	0.0167934	0.0142986	0.0175303	0.0231039	0.0370253	0.0419635	0.0127747	0.0196845	0.025401	0.0466	0.0456988	0.0779204	0.0657388	0.0484183	0.0524433	0.0823478
