 	a15	a66	a87	a23	a4	a93	a94	a61	a47	a24	a41	a98	a15	a79	a98	a79	a85	a37	a44	a58	a82	a87	a23	a85	a82	a84	</S>
c'	0.0610477	0.0850874	0.0747497	0.0357854	0.0468288	0.0402555	0.0376251	0.0321777	0.03372	0.0297652	0.0749379	0.0532076	0.0300998	0.0466133	0.044286	0.0220949	0.0193937	0.00625306	0.0170102	0.0235802	0.00917701	0.0143462	0.0153629	0.0136547	0.0415232	0.0327507	0.0586661
est	0.0557522	0.0350938	0.032466	0.0259092	0.025477	0.0339585	0.0335789	0.0258032	0.0309318	0.0299738	0.0164381	0.0201892	0.00896901	0.0208209	0.0181874	0.0166909	0.0373961	0.0294108	0.0819923	0.0885694	0.0620369	0.0480639	0.0442237	0.0551728	0.0399367	0.0464458	0.0365116
donc	0.0587383	0.0394496	0.0309541	0.0500048	0.0640924	0.0766724	0.0619323	0.0608012	0.044131	0.0509791	0.0115289	0.0243557	0.00861763	0.0082994	0.00538614	0.0105597	0.0185018	0.0108364	0.0257659	0.0347867	0.0457138	0.0467468	0.0275149	0.0587745	0.0193296	0.0568437	0.0486833
toi	0.0958064	0.0350582	0.0278526	0.0258042	0.0211914	0.0211978	0.0146225	0.0245822	0.027824	0.0201921	0.02194	0.0223728	0.0108903	0.0212985	0.0216757	0.0251344	0.0321521	0.0363384	0.0345245	0.0411407	0.0508022	0.0599335	0.0753852	0.0913602	0.0239964	0.0444016	0.0725221
qui	0.231828	0.0725374	0.0404371	0.0348079	0.0272464	0.0306782	0.013915	0.0289145	0.0287699	0.0161822	0.0244614	0.0187759	0.00690826	0.013397	0.00847468	0.0112253	0.0244251	0.0230142	0.0310666	0.0393336	0.0322501	0.0339688	0.0503007	0.0554799	0.0252741	0.0491227	0.0272049
te	0.196861	0.070389	0.0458995	0.0350551	0.0368909	0.0489938	0.0317615	0.0510329	0.0487065	0.038377	0.0272804	0.0261719	0.0166031	0.0285375	0.0160474	0.0172983	0.0224835	0.0197803	0.0279947	0.0231616	0.0220651	0.0246333	0.0319465	0.0223792	0.0215713	0.0304677	0.0176113
gave	0.0517665	0.0146289	0.0121021	0.0189057	0.0177756	0.0284249	0.0248511	0.0356841	0.0392808	0.0459221	0.0476934	0.0319844	0.0421098	0.0402385	0.06315	0.0550822	0.0424424	0.0682612	0.0522425	0.0260397	0.0443193	0.045207	0.0569136	0.0312533	0.027162	0.0235272	0.0130317
du	0.0715023	0.0281388	0.0177427	0.00895044	0.00919626	0.0171338	0.0183392	0.028268	0.0294667	0.0381528	0.00813667	0.0168647	0.0040451	0.0156455	0.00995245	0.0192276	0.0424714	0.0271545	0.0734849	0.0583639	0.0624453	0.083784	0.0891853	0.0614142	0.0765448	0.0642556	0.0201331
manioc	0.0527442	0.0206563	0.0214113	0.0171676	0.0161332	0.021566	0.0226175	0.0195236	0.0191452	0.0264948	0.0183939	0.0272714	0.010436	0.0200892	0.0167258	0.0227267	0.040719	0.0244617	0.05084	0.0518678	0.0512418	0.0747199	0.0693023	0.0612874	0.0686044	0.0699453	0.0839076
de	0.0820538	0.051813	0.0482049	0.0397251	0.0302475	0.0297044	0.0259251	0.0237979	0.0154258	0.0134563	0.0115682	0.01467	0.00505066	0.00781438	0.00664418	0.0114147	0.0216247	0.0214659	0.0314651	0.0338642	0.0393925	0.0425282	0.0504111	0.0543158	0.0470518	0.0810072	0.159357
ma	0.058555	0.0299712	0.0299305	0.0316109	0.0315729	0.0293966	0.0283022	0.0252673	0.0153948	0.0137529	0.00705277	0.0102734	0.00308817	0.0079981	0.00852417	0.0139086	0.0244709	0.0280362	0.0463498	0.0454687	0.0548221	0.060694	0.0743689	0.0694071	0.0530602	0.0903851	0.108337
mère	0.051832	0.0298117	0.027444	0.0299283	0.0306597	0.0278429	0.0296536	0.0273718	0.0160177	0.0150879	0.00881664	0.012962	0.00348472	0.00993503	0.00892203	0.0146686	0.0260732	0.0217553	0.0428068	0.0433292	0.0541725	0.0668022	0.078088	0.0763448	0.0523686	0.0847955	0.109025
</S>	0.0582545	0.0383892	0.0334686	0.0281099	0.0355846	0.0361754	0.0357184	0.0267809	0.0150034	0.0144642	0.011382	0.0137108	0.0054146	0.0112124	0.0105095	0.011917	0.0180613	0.0148783	0.0351267	0.0359422	0.0349007	0.0621908	0.0732468	0.0728652	0.0643843	0.0935456	0.108763
