 	a66	a87	a23	a87	a10	a87	a23	a12	a61	a37	a61	a0	a31	a21	a75	a92	a56	a92	a56	a43	a93	a62	a34	a90	a56	a44	a31	a50	a83	a9	a99	a87	a23	a50	a62	a12	a31	a0	a47	a21	a12	a96	a21	a12	a43	a0	a9	a10	a87	a23	a87	</S>
la	0.0417363	0.0296464	0.0219278	0.032522	0.0250493	0.0170207	0.0199012	0.0421979	0.0547391	0.0621664	0.0392633	0.0366854	0.0123481	0.0138823	0.00757954	0.00522432	0.00454684	0.00526948	0.00599454	0.01426	0.0110492	0.010616	0.0117144	0.0140565	0.018125	0.0103171	0.0170476	0.0206315	0.0211998	0.0249737	0.022828	0.0278331	0.0174793	0.0114533	0.0120431	0.00643809	0.00920097	0.0161276	0.0142588	0.00887593	0.0109325	0.0138335	0.0120876	0.0157826	0.0189715	0.0223891	0.0188926	0.016324	0.0153245	0.0156332	0.0194976	0.0221013
manière	0.00353605	0.00363369	0.00486811	0.0087373	0.00716245	0.00549748	0.01631	0.0169167	0.0173487	0.0367913	0.0351083	0.023423	0.0376491	0.0390268	0.037735	0.0676324	0.0327158	0.0254443	0.0217645	0.0569167	0.0314736	0.0344572	0.119931	0.047544	0.0336096	0.0382093	0.0235825	0.0413557	0.0224728	0.0217963	0.024427	0.0266656	0.0129493	0.00441054	0.00245869	0.00385593	0.00173471	0.00201632	0.00233628	0.00105819	0.000492387	0.000588701	0.00039484	0.000284628	0.00032644	0.000160999	0.000116744	0.000369095	0.00051805	0.000623845	0.00111971	0.000443023
dont	0.0808269	0.0801876	0.0552994	0.0485057	0.0254263	0.0140968	0.0158964	0.020474	0.0319658	0.0390614	0.0236663	0.0178252	0.0578442	0.0436254	0.0406713	0.0466775	0.0433905	0.0338624	0.0205386	0.0220734	0.0270292	0.0304073	0.0454992	0.0146013	0.0134047	0.0108177	0.00571315	0.0020773	0.00567012	0.00484165	0.0052974	0.00404337	0.00444643	0.00577959	0.00539189	0.00445965	0.00182628	0.00136278	0.0027042	0.00332651	0.0017551	0.0020247	0.00274767	0.00295172	0.00258125	0.00475176	0.00244263	0.00313872	0.00809566	0.00283481	0.00483739	0.00122382
il	0.0327052	0.0248073	0.0131695	0.00842959	0.00596062	0.0047798	0.00311701	0.00203783	0.00337524	0.00952843	0.00549501	0.00215591	0.00816383	0.0107266	0.0227885	0.0297185	0.0341848	0.0259269	0.0187106	0.036154	0.0442225	0.0424583	0.0579819	0.0511507	0.0503076	0.0515344	0.0540295	0.0166347	0.0371136	0.0198653	0.0149805	0.0164279	0.0240923	0.0228118	0.020175	0.0098391	0.00551689	0.00393555	0.00983667	0.0110783	0.00811747	0.00603049	0.0178384	0.00829738	0.0123774	0.01986	0.00815469	0.0214408	0.0121957	0.0071751	0.00833692	0.00424801
continue	0.0217172	0.0118052	0.00688011	0.00874965	0.00709684	0.00442646	0.00421638	0.00709225	0.0098828	0.00909206	0.0115454	0.00417041	0.00587801	0.0234511	0.0210363	0.0400779	0.0276852	0.0384725	0.0414155	0.0641486	0.0543858	0.0656071	0.052918	0.0341792	0.0236804	0.0488519	0.0662932	0.0339815	0.0564825	0.0363428	0.0240124	0.0259448	0.0220725	0.0176275	0.0119958	0.00974545	0.00563313	0.00408572	0.0054448	0.00181322	0.00128347	0.000955102	0.00190519	0.00110874	0.00189213	0.00210267	0.0011304	0.00359825	0.00378954	0.00389029	0.00460922	0.00379735
cette	0.0173429	0.0149714	0.00845467	0.0128493	0.009777	0.00580135	0.00612878	0.0085112	0.0105626	0.0113794	0.01014	0.0105073	0.00620744	0.0300688	0.0276731	0.0436117	0.0347215	0.0424999	0.0401558	0.0523433	0.0411166	0.0451528	0.0480378	0.0445303	0.0314651	0.0365976	0.0463481	0.0321883	0.0329919	0.0312921	0.0273588	0.0261146	0.0256647	0.0225891	0.0153681	0.0162988	0.00844098	0.00797532	0.00783111	0.00486412	0.00412554	0.00286079	0.00297646	0.00225011	0.00187213	0.00300015	0.00196833	0.00350087	0.00361144	0.00555653	0.00586305	0.00648121
affaire	0.029469	0.0278278	0.018354	0.0220577	0.029819	0.039461	0.031556	0.0214143	0.0285215	0.0246288	0.0217425	0.020926	0.0236758	0.0236904	0.0355886	0.0222808	0.028208	0.0253096	0.0206624	0.0275948	0.021574	0.0291426	0.0210006	0.0189813	0.0159112	0.0169787	0.0298768	0.0239685	0.020634	0.0225225	0.0173225	0.0144534	0.0171919	0.0157568	0.0136796	0.0145299	0.0077888	0.0134289	0.0211546	0.00993329	0.00584542	0.00345988	0.00571863	0.00458358	0.00618329	0.009505	0.00538873	0.0100717	0.0173691	0.0150176	0.0114279	0.0168112
exprime	0.0486981	0.0626095	0.0407626	0.0282219	0.0263283	0.0326706	0.0274839	0.014734	0.0131871	0.00946478	0.00726443	0.00684507	0.00902759	0.0146968	0.020388	0.0240973	0.0241051	0.0256309	0.0141524	0.0125507	0.0159403	0.0161867	0.0119292	0.0150052	0.0151754	0.0116254	0.0107732	0.0159966	0.00816975	0.0133036	0.0103699	0.00994414	0.0112866	0.0102544	0.0120794	0.0104045	0.00875132	0.00654742	0.00658714	0.00940706	0.0075403	0.00594013	0.0182074	0.0170709	0.0141707	0.025933	0.0251225	0.0467545	0.0336821	0.0355119	0.03322	0.0441901
le	0.0332077	0.0366917	0.0291539	0.0202595	0.0159832	0.0170158	0.0106771	0.00985193	0.00876858	0.00629317	0.00386794	0.00491845	0.00773571	0.00726047	0.00905478	0.0102483	0.0115823	0.0111304	0.00741872	0.00986874	0.0117825	0.0120555	0.00953597	0.00975149	0.0137855	0.0120407	0.00844915	0.0102875	0.0140488	0.0182861	0.0169778	0.0327044	0.0223038	0.0175731	0.0257928	0.025942	0.0206438	0.0245649	0.03299	0.0233123	0.0134838	0.0164424	0.0230286	0.0128461	0.0137031	0.0272518	0.0202829	0.0464556	0.0269398	0.0451797	0.0647942	0.0557754
mépris	0.016791	0.0170066	0.0126377	0.0097493	0.0121511	0.0221869	0.0218305	0.0079197	0.0119958	0.0104281	0.00907605	0.0124353	0.023903	0.0275458	0.0215962	0.0225304	0.022761	0.0191021	0.0220667	0.0255268	0.026975	0.0274045	0.0259432	0.0237901	0.0196071	0.0203188	0.0151076	0.0139692	0.0172059	0.0145886	0.0142917	0.0114806	0.00974121	0.0104877	0.0141696	0.0143049	0.00781687	0.00770713	0.0111708	0.0126008	0.0121054	0.0114837	0.023312	0.0139768	0.0136621	0.0202727	0.0168322	0.0333195	0.021424	0.0388245	0.0622529	0.0646132
</S>	0.0269217	0.0310582	0.0296901	0.0232149	0.0270368	0.0253608	0.012227	0.00883054	0.00981638	0.00715266	0.00531719	0.0152421	0.0165115	0.0140986	0.00942819	0.00843526	0.0141726	0.0109047	0.0129216	0.0169747	0.0207205	0.0183218	0.0130735	0.019404	0.0355641	0.0250348	0.0184477	0.0197558	0.0220617	0.0192153	0.01618	0.022197	0.0153197	0.0114584	0.0149126	0.0140665	0.00717172	0.00756737	0.0134662	0.0124088	0.0115407	0.00975996	0.0230328	0.0171631	0.0184931	0.015841	0.0174555	0.0396807	0.0379727	0.0377376	0.0588995	0.0407607
