 	a66	a87	a23	a54	a47	a6	a85	a92	a37	a75	a12	a61	a0	a11	a96	a24	a47	a31	a24	a31	a88	a71	a9	a83	a50	a88	a71	a38	a56	a25	a92	a37	a21	a5	a36	a98	a85	a6	a36	a27	a30	a10	a87	a99	a97	a87	a23	a18	a37	a10	</S>
mon	0.0382394	0.0722847	0.0529385	0.04453	0.0414674	0.0358384	0.0526435	0.057891	0.0254388	0.0209749	0.0133466	0.0221172	0.0130848	0.0147291	0.0202269	0.0224107	0.0255103	0.038049	0.0278338	0.0325747	0.0307862	0.0372362	0.0372573	0.0207044	0.0131945	0.00876385	0.00931526	0.00884754	0.00533071	0.00338704	0.00337572	0.00265774	0.00619643	0.00654518	0.00572083	0.00314127	0.00269945	0.00256086	0.00295811	0.00620988	0.00410004	0.00730975	0.00637301	0.00762424	0.0111089	0.00757836	0.0113716	0.0106642	0.0103607	0.00874067	0.0257502
père	0.00370615	0.0165007	0.056761	0.127119	0.216746	0.141862	0.106186	0.0737383	0.0805755	0.0431379	0.013991	0.0147922	0.00484462	0.00556628	0.00269294	0.00242	0.00530373	0.00366927	0.00264037	0.00361175	0.00388587	0.0037784	0.0023059	0.00203935	0.00237478	0.00869874	0.0107722	0.00216069	0.00285337	0.00245179	0.00255047	0.00181404	0.00246711	0.00390324	0.00300023	0.00187329	0.00192662	0.00176481	0.0013813	0.00165222	0.00158448	0.000868449	0.00127533	0.000772222	0.00068124	0.000626532	0.000604289	0.000605353	0.000836671	0.0017581	0.000867779
a	0.0289857	0.0186703	0.0175466	0.0275378	0.014853	0.0173678	0.0400953	0.0307334	0.0346865	0.0209562	0.0129094	0.0138689	0.00654932	0.0141401	0.0127455	0.0088953	0.0168528	0.0346597	0.0408606	0.0450417	0.0472216	0.0337288	0.0385748	0.0820283	0.0385841	0.0814307	0.0207559	0.0147049	0.0157415	0.00946693	0.00761896	0.00437692	0.00439043	0.00404774	0.0110878	0.00757279	0.0101331	0.0140542	0.00698867	0.00764256	0.0115252	0.00655419	0.00689304	0.00516703	0.010849	0.00485022	0.00733427	0.00618928	0.00863675	0.0109281	0.00296674
coupé	0.0242455	0.00620622	0.00493256	0.00509713	0.00710082	0.00586378	0.0061329	0.00599903	0.00765985	0.0101973	0.0213826	0.0121711	0.00687554	0.0168828	0.0161802	0.00639634	0.00506974	0.0112413	0.0255132	0.0261273	0.0293897	0.0209095	0.0247006	0.0457155	0.0496586	0.0665216	0.0616958	0.0439485	0.0281651	0.0210333	0.0208929	0.0183127	0.0132636	0.0158605	0.0131717	0.0117105	0.0114005	0.00776673	0.0114916	0.0132203	0.0110501	0.0239339	0.013019	0.0249251	0.0227669	0.0236982	0.023385	0.0302954	0.0215514	0.0165845	0.0286864
beaucoup	0.0318029	0.0227217	0.0111807	0.0100365	0.00409808	0.00273977	0.00244505	0.00554437	0.011398	0.0340706	0.0746728	0.0571641	0.0337109	0.0516485	0.0347212	0.0366655	0.0342142	0.0380278	0.0483573	0.0497448	0.0585587	0.0636739	0.053992	0.0217029	0.0217236	0.0127515	0.01726	0.0143526	0.0159966	0.00996161	0.00745318	0.00383738	0.00623791	0.00613727	0.00557594	0.00347908	0.004031	0.00220356	0.00191854	0.00203105	0.001171	0.00252736	0.00199543	0.00360731	0.00214506	0.00372691	0.00460864	0.00835412	0.00800371	0.00699417	0.0290232
de	0.00654109	0.00321241	0.00269329	0.00252597	0.00314168	0.00241489	0.00253002	0.00362067	0.00563995	0.0159173	0.0313013	0.0335186	0.0256051	0.0357427	0.0257989	0.0325063	0.0302136	0.0233374	0.0538716	0.0665436	0.0651524	0.0711892	0.0584824	0.0770846	0.0507896	0.0435248	0.025664	0.020265	0.0116965	0.0128373	0.0111027	0.0111003	0.011861	0.0103167	0.011902	0.00810571	0.00431767	0.00545602	0.00460179	0.00678228	0.00595914	0.00738901	0.00690803	0.00663739	0.0067651	0.0068387	0.0047819	0.00911536	0.00514624	0.00488989	0.00666099
poteaux	0.00918409	0.00295039	0.00223594	0.00155038	0.00173872	0.0010678	0.00130713	0.00184451	0.00317733	0.00924055	0.0241936	0.0213374	0.0238105	0.037117	0.0369649	0.0602843	0.0243144	0.017719	0.0631958	0.052691	0.0563949	0.0797898	0.065332	0.0404888	0.0385326	0.0205558	0.0104613	0.0141175	0.0121707	0.00868469	0.00397072	0.00420489	0.00578343	0.00509718	0.0143978	0.0137334	0.00863392	0.0128046	0.0080862	0.0121497	0.00731258	0.014526	0.0131217	0.0142709	0.0145446	0.0231485	0.0133876	0.0249836	0.013979	0.0143039	0.0151067
en	0.0190226	0.00685622	0.00501393	0.00261845	0.00190562	0.0013223	0.00134147	0.00103625	0.00273571	0.00290156	0.0100089	0.0108223	0.00784612	0.0239328	0.0275157	0.0314445	0.027727	0.018634	0.0404613	0.038337	0.0370201	0.0513361	0.0527556	0.0269209	0.0614254	0.0358229	0.0228346	0.0466212	0.0337091	0.0210746	0.00797493	0.00631723	0.00723627	0.00549872	0.00978434	0.0179178	0.0119004	0.0109809	0.0090298	0.0145427	0.00692406	0.016992	0.0137797	0.0187621	0.0191169	0.020361	0.0220467	0.033299	0.0243428	0.0323986	0.0197898
bois	0.0154557	0.00799714	0.00455784	0.00272558	0.00261845	0.00192338	0.00193325	0.00159582	0.00249296	0.00347212	0.0145644	0.0219619	0.0150023	0.0413297	0.0424763	0.0386645	0.0297197	0.0225049	0.0324125	0.0306673	0.0318929	0.0311029	0.0291693	0.0250059	0.0339463	0.021305	0.0247855	0.0368383	0.0403588	0.0241727	0.0120234	0.00737356	0.0074896	0.00608	0.011237	0.014891	0.0123999	0.0118607	0.00773313	0.0226635	0.00820981	0.0165989	0.0185567	0.0204408	0.0201869	0.0255991	0.0346556	0.0340623	0.0286156	0.0384484	0.00822077
pour	0.00960882	0.00895328	0.00638718	0.00277756	0.00151018	0.000924345	0.00108861	0.000963684	0.00243946	0.00534461	0.0166796	0.0241366	0.0188132	0.0390443	0.0572236	0.0657921	0.0308246	0.0254817	0.0353627	0.027273	0.0381786	0.0338083	0.0304568	0.0119088	0.0149053	0.00685866	0.00976689	0.0103881	0.00973993	0.00608298	0.00293425	0.00433257	0.00493753	0.00505247	0.00711354	0.00893548	0.00899701	0.0111752	0.00738808	0.0128743	0.00546754	0.0132755	0.0104735	0.0140673	0.0223337	0.0390133	0.0493875	0.0589086	0.0495698	0.0381434	0.0728959
