 	a87	a23	a83	a90	a92	a15	a92	a44	a75	a85	a37	a75	a85	a6	a36	a11	a75	a61	a0	a75	a25	a90	a58	a38	a47	a88	a0	a24	a9	a99	a87	a23	a87	</S>
tu	0.0340018	0.0414452	0.0407165	0.0649454	0.091877	0.102427	0.0546512	0.030265	0.0337858	0.0224951	0.0160976	0.0148799	0.010551	0.019557	0.0277539	0.0229154	0.0286255	0.0233198	0.030553	0.0241427	0.0439253	0.0461916	0.0201791	0.010263	0.0102082	0.0095276	0.00715372	0.0118041	0.00962037	0.0134432	0.0100509	0.018538	0.0108605	0.0432285
iras	0.0115142	0.00858282	0.0127809	0.0103135	0.0146736	0.0203645	0.0284262	0.0726899	0.0829805	0.102743	0.0789124	0.047764	0.0491584	0.0519147	0.0347885	0.046172	0.0426562	0.0311775	0.016204	0.0128787	0.0070826	0.00521385	0.00550968	0.00874546	0.0145627	0.016757	0.019226	0.0151092	0.0183646	0.0181288	0.0182972	0.0246556	0.0279488	0.023703
pêcher	0.0190435	0.0147664	0.00982969	0.0137788	0.00725273	0.00891	0.0078212	0.00424196	0.00866735	0.0268215	0.0922304	0.0904551	0.0901189	0.07161	0.0738697	0.0417359	0.051422	0.0230179	0.0237455	0.017247	0.0154962	0.0147902	0.0153187	0.0153274	0.0169558	0.0146894	0.0115922	0.016819	0.0268458	0.0264735	0.0391712	0.0304794	0.0336244	0.0258311
à	0.0188688	0.0153484	0.0143694	0.0194528	0.0140188	0.0151971	0.01977	0.0132281	0.0254283	0.017571	0.0193065	0.0236887	0.0154441	0.0381623	0.0309882	0.0292999	0.0275836	0.0293918	0.0338155	0.020172	0.0178264	0.0189012	0.0213112	0.0230751	0.0342847	0.0415003	0.0642559	0.0442555	0.0412767	0.0444303	0.0679676	0.0441474	0.0493128	0.0463498
l'	0.0504805	0.0245493	0.01529	0.0125806	0.00811818	0.00493789	0.00319408	0.00266909	0.00703878	0.00727506	0.00998817	0.0112447	0.0103789	0.0117875	0.0205946	0.0176761	0.0251547	0.0307173	0.0301926	0.0351827	0.0311034	0.0348674	0.0330009	0.036264	0.0607256	0.0774518	0.0478887	0.0465147	0.04221	0.0542194	0.0610985	0.056951	0.0430322	0.0356216
écope	0.0480067	0.0385055	0.0318873	0.0330242	0.0297852	0.0251343	0.0355372	0.0390647	0.0257024	0.013545	0.0164072	0.0163751	0.0162404	0.0213531	0.0237439	0.027332	0.031747	0.0254884	0.0321562	0.0306628	0.0382783	0.0423853	0.0452488	0.0308038	0.0349601	0.0334304	0.0438321	0.0270172	0.0265118	0.0308653	0.028511	0.0224599	0.0156529	0.0183445
dans	0.0606185	0.0538198	0.0603853	0.0492255	0.0495519	0.0435762	0.0272421	0.0239531	0.0399454	0.057949	0.0619702	0.0357762	0.0284939	0.0193214	0.0203534	0.0155686	0.0207772	0.0112869	0.0141056	0.0116278	0.0108581	0.0100348	0.0106676	0.0123671	0.014891	0.0173919	0.0164135	0.0120489	0.0177705	0.0200846	0.0217292	0.0320011	0.0280076	0.0701856
la	0.0615279	0.0625661	0.0656304	0.0529449	0.050623	0.0477455	0.0452139	0.042844	0.0406646	0.0477066	0.0410077	0.0249646	0.0221718	0.0168044	0.0187834	0.0138652	0.0158598	0.011455	0.0117045	0.0087014	0.00687473	0.00651479	0.00819651	0.0108385	0.0202366	0.0170488	0.0235939	0.0203141	0.0198783	0.034071	0.029236	0.0441573	0.027888	0.0283671
rivière	0.0351143	0.0316882	0.0386002	0.0417485	0.0522432	0.0600692	0.0604685	0.0402982	0.0348888	0.0316038	0.0293293	0.0187079	0.0183959	0.018589	0.0260088	0.021818	0.0284617	0.0216969	0.0214431	0.0240599	0.0199909	0.0188355	0.0185289	0.0160629	0.0134681	0.011556	0.0153101	0.0246498	0.0241294	0.031139	0.0260506	0.0379413	0.0269825	0.0601217
</S>	0.0428479	0.0420289	0.0535748	0.0441603	0.0563372	0.0448741	0.0322316	0.0365675	0.0348133	0.0433008	0.0381216	0.0298495	0.0238815	0.0171241	0.0216394	0.0168493	0.0169462	0.0146732	0.0120177	0.00924719	0.00635793	0.0042649	0.00368736	0.00490283	0.00912893	0.0097259	0.0160982	0.0152783	0.0297939	0.0433282	0.043682	0.0625201	0.0504942	0.0696511
