 	a87	a23	a93	a90	a44	a96	a62	a21	a75	a90	a9	a53	a93	a4	a90	a98	a92	a21	a18	a75	a85	a47	a7	a98	a47	a41	a62	a88	a9	a87	a23	a87	</S>
c'	0.0280569	0.0470853	0.075458	0.0860514	0.0396726	0.038949	0.0234766	0.0152757	0.0155754	0.0125279	0.0163856	0.0186013	0.0166337	0.0123121	0.0177602	0.0209112	0.0274173	0.0377383	0.0194699	0.0168852	0.0344242	0.0221465	0.0139647	0.0366964	0.0341242	0.0256764	0.0236274	0.0460597	0.0206814	0.0284568	0.0350759	0.02696	0.0658627
est	0.030441	0.0322401	0.0345881	0.0287558	0.0243565	0.0342906	0.0197839	0.0236525	0.0272415	0.0272704	0.0224706	0.0166448	0.0208211	0.0167577	0.0260017	0.0125553	0.0172164	0.020963	0.0219295	0.025482	0.0247858	0.0168955	0.0251907	0.0186102	0.0305743	0.0372956	0.0469823	0.0400901	0.0528156	0.0777038	0.0504025	0.0509784	0.0442125
donc	0.0570751	0.0272603	0.0274421	0.0268042	0.0392913	0.0479661	0.0367744	0.0575455	0.059062	0.043543	0.0343993	0.022206	0.0244106	0.0200461	0.0173308	0.0137019	0.0146378	0.0130708	0.00907722	0.015244	0.0139605	0.00876822	0.0141423	0.00839886	0.0184676	0.0253239	0.0259362	0.0168031	0.0654222	0.0448595	0.0414256	0.0380923	0.0715111
cet	0.0421619	0.00896523	0.00825931	0.00816709	0.0182435	0.0375716	0.0746648	0.0570641	0.070944	0.0898531	0.0376683	0.0323817	0.0549828	0.029569	0.0257845	0.0269955	0.0174438	0.0149888	0.00931559	0.010098	0.0193005	0.0167988	0.0284412	0.0287631	0.0294786	0.0346405	0.0220898	0.0164163	0.0294468	0.022666	0.0211849	0.0224429	0.0332081
imbécile	0.0495551	0.0137954	0.025786	0.0234565	0.0514865	0.0608112	0.0745904	0.0466004	0.0748557	0.0554799	0.0670847	0.0494615	0.0599593	0.0475916	0.0329803	0.0303003	0.0272447	0.023364	0.0109406	0.0141909	0.0222504	0.0177486	0.0195454	0.0131716	0.0114667	0.0124403	0.00725994	0.0103066	0.0133757	0.00699323	0.0100662	0.0113853	0.00445506
qui	0.0303609	0.0134153	0.0138348	0.0176723	0.0346189	0.0428033	0.0729046	0.052278	0.057825	0.037724	0.0258912	0.0196365	0.0165122	0.0158127	0.0160535	0.0168336	0.0165448	0.0153539	0.00690761	0.0128891	0.0253761	0.0200901	0.0449037	0.0447879	0.0495785	0.0492137	0.0244367	0.0374299	0.0404468	0.0421762	0.0311241	0.0390865	0.0154776
l'	0.0177384	0.00638153	0.00538996	0.00536552	0.0097998	0.0179473	0.0236023	0.0286958	0.0480532	0.0348786	0.0293339	0.0412709	0.0657335	0.0389306	0.0518782	0.0484182	0.0452696	0.0360069	0.0241685	0.0446246	0.0647641	0.038744	0.0805177	0.0355318	0.0289023	0.0257943	0.0183756	0.0126836	0.0169346	0.0175604	0.014173	0.0148485	0.00768285
a	0.0357704	0.0133356	0.0107772	0.0116968	0.020792	0.020152	0.0143	0.0091329	0.0154251	0.0182728	0.0190061	0.0268382	0.0320319	0.0400225	0.0295792	0.0380227	0.040672	0.0417457	0.0220062	0.0284683	0.0527245	0.0499682	0.0845525	0.0341169	0.0396252	0.037297	0.0301658	0.0302033	0.0418841	0.0248344	0.0347032	0.0312836	0.0205938
pris	0.0423858	0.0367589	0.0294892	0.0280605	0.018286	0.0149972	0.011934	0.00801075	0.0086076	0.0096334	0.0112207	0.0104264	0.00713549	0.00616857	0.00555537	0.00878167	0.0071704	0.00779808	0.00622277	0.00406877	0.00788739	0.0114479	0.0171362	0.0276439	0.0475208	0.0562355	0.0521948	0.0609229	0.0849171	0.0772455	0.093251	0.0719617	0.108924
en	0.0497714	0.0413048	0.0335394	0.0317227	0.0217783	0.0204004	0.023684	0.0160118	0.0149847	0.011215	0.0156987	0.00995846	0.00729326	0.00655632	0.00617872	0.00793379	0.00785558	0.011371	0.0101638	0.00855138	0.0140345	0.0171223	0.0252724	0.0227603	0.0363818	0.0411178	0.0383781	0.0513183	0.0701704	0.0606334	0.0807289	0.0750459	0.111063
mariage	0.0383151	0.0235548	0.0229858	0.0211233	0.0249312	0.0280512	0.0329677	0.0188351	0.0194173	0.0152462	0.0212981	0.0126825	0.0106306	0.0113876	0.0134491	0.0121762	0.0169128	0.0233902	0.0195075	0.0188171	0.0190116	0.0167654	0.0219739	0.021056	0.0330318	0.0467272	0.0457807	0.0496288	0.063354	0.0499002	0.0692416	0.0564953	0.101354
</S>	0.00976111	0.00988101	0.00991787	0.0086094	0.00398608	0.00324473	0.00359731	0.00282736	0.00339113	0.00307179	0.00315097	0.00268148	0.00192881	0.00167779	0.00167473	0.00171822	0.00204759	0.00265494	0.00228106	0.00302653	0.016612	0.0193691	0.0276247	0.0510617	0.063424	0.078925	0.0896538	0.0977807	0.0963123	0.0889701	0.109004	0.0805735	0.0995592
