 	a66	a87	a23	a61	a34	a75	a92	a37	a47	a21	a75	a92	a12	a96	a21	a85	a92	a56	a90	a98	a47	a36	a2	a57	a75	a5	a18	a21	a5	a37	a47	a7	a44	a84	a87	a23	a87	</S>
la	0.0334455	0.0409396	0.0379716	0.0656879	0.0703737	0.0672751	0.0793044	0.133596	0.0863475	0.020011	0.0243789	0.0345265	0.0108137	0.00776031	0.00812355	0.00439451	0.00586495	0.00685249	0.00793872	0.0103087	0.0105013	0.0266791	0.0329181	0.0222031	0.0208535	0.0128102	0.0112051	0.00690813	0.0128891	0.0064203	0.00643322	0.00547982	0.00850473	0.0104677	0.00945492	0.00726395	0.00902057	0.024073
manière	0.00233962	0.00287538	0.00609273	0.0067154	0.0179841	0.0313547	0.0531768	0.0446288	0.0747836	0.0523632	0.0311791	0.0323224	0.0439852	0.0481944	0.10017	0.0743261	0.038018	0.151355	0.0396961	0.0586969	0.0409037	0.0165321	0.00537267	0.00923895	0.00603486	0.00458849	0.00276383	0.0013574	0.000652226	0.000241434	0.000365206	0.000243933	0.000299301	0.000138159	0.000233605	0.00025002	0.000283624	0.00024268
dont	0.0414195	0.0280478	0.0145558	0.0165044	0.0225306	0.0254741	0.0351591	0.0374033	0.0388278	0.0600848	0.0405339	0.0746014	0.063278	0.0711952	0.0965733	0.069387	0.0714569	0.0741868	0.0384617	0.0267445	0.0157496	0.00536911	0.00324017	0.00244713	0.00167297	0.00146229	0.000847265	0.00166911	0.00188188	0.00047391	0.00166714	0.00108857	0.00106513	0.00119357	0.00146058	0.00206099	0.00546942	0.00475505
j'	0.0335055	0.0316258	0.0119811	0.00708731	0.00761111	0.00479908	0.00966942	0.00904231	0.00593054	0.00743404	0.00602146	0.00778904	0.00781891	0.00928977	0.00762412	0.00897773	0.00986667	0.00914632	0.0172708	0.0117063	0.0155969	0.0156094	0.02128	0.0185033	0.0178117	0.0163163	0.0107523	0.0637155	0.0788056	0.0453454	0.0601973	0.0573637	0.0593664	0.0465564	0.0649366	0.0629966	0.0694603	0.051189
ai	0.0593022	0.0475475	0.0147373	0.0169497	0.0147201	0.00890424	0.0134816	0.00894731	0.00817901	0.0106234	0.0103067	0.0103107	0.00812014	0.0217807	0.0331777	0.035315	0.0375336	0.0228572	0.0179067	0.011826	0.0157951	0.0320263	0.0363338	0.0239079	0.0319744	0.023638	0.0104744	0.040438	0.0120625	0.0188414	0.0311423	0.025548	0.0432228	0.0287669	0.0402572	0.0424053	0.0642406	0.0663985
rêvé	0.0325692	0.0293044	0.0247651	0.0159572	0.0163264	0.0134243	0.0171378	0.0138614	0.0118449	0.0170772	0.0160571	0.0215741	0.0151606	0.0170797	0.0129388	0.0139529	0.0121524	0.00879931	0.0129025	0.0104123	0.0121701	0.0179846	0.0287717	0.0333028	0.0337111	0.019112	0.0149494	0.0290398	0.031035	0.0338211	0.0392554	0.032189	0.0763889	0.0325799	0.0420585	0.030687	0.0628824	0.0967635
de	0.0303615	0.0272852	0.0259219	0.0174684	0.0164701	0.010497	0.0126497	0.0103841	0.0092621	0.0128746	0.0138418	0.0184458	0.0153437	0.0165245	0.0154879	0.0185228	0.0193041	0.0164355	0.0237305	0.0153826	0.0126979	0.0214112	0.0257284	0.0318403	0.0288728	0.0149229	0.0170758	0.0222265	0.0292998	0.0412349	0.0700419	0.0421511	0.0686265	0.032323	0.0384621	0.0386815	0.0467032	0.0715064
lui	0.0286053	0.0273046	0.022742	0.0183902	0.0143568	0.00872473	0.0100265	0.00862627	0.00728379	0.0116189	0.0101535	0.00877176	0.0080043	0.00985587	0.00927004	0.00847419	0.00818498	0.00678085	0.00981202	0.0079517	0.0148656	0.013014	0.0175809	0.023793	0.0205665	0.0264222	0.025377	0.0492444	0.0491044	0.0654545	0.0512663	0.0497483	0.0631875	0.0365745	0.0687425	0.0523788	0.0524695	0.0752718
ma	0.0262913	0.0248917	0.0205247	0.0182977	0.0185531	0.0140741	0.0189995	0.0198829	0.0182181	0.0332088	0.0296413	0.0229083	0.0133845	0.0168908	0.0172975	0.0139311	0.0166284	0.0122242	0.0149909	0.0111727	0.0131059	0.0136667	0.0162911	0.0137113	0.0105876	0.00984243	0.00883208	0.0272761	0.0274874	0.0448654	0.0369604	0.0498198	0.0665428	0.0260349	0.047279	0.0434038	0.0492102	0.113071
fait	0.0200714	0.0181373	0.0164223	0.0172838	0.0195884	0.0153608	0.0190412	0.0168714	0.0156977	0.0150539	0.0162534	0.0205387	0.0133859	0.0146793	0.0131455	0.0176684	0.0161675	0.0139119	0.0202795	0.0158482	0.0203647	0.0181641	0.0221655	0.0153528	0.0124931	0.0118626	0.00735954	0.0189298	0.0164135	0.0281947	0.0327284	0.0424678	0.0612184	0.0530418	0.0667163	0.0600438	0.0759865	0.10109
peur	0.0263682	0.0227324	0.0243808	0.0290842	0.0344542	0.0332397	0.0393753	0.0335612	0.0323283	0.0209312	0.022798	0.0293807	0.0148126	0.0133118	0.00996605	0.0101934	0.0112611	0.00903746	0.0125713	0.0114275	0.0155825	0.0254384	0.0369091	0.0299066	0.0235291	0.0212914	0.0332278	0.0362624	0.0671891	0.039922	0.0272448	0.019169	0.0133507	0.0142212	0.0186599	0.0261259	0.0288018	0.0819527
</S>	0.0168054	0.0180148	0.0187479	0.0241444	0.0252503	0.0217307	0.0232668	0.0268169	0.0362021	0.0280802	0.0278199	0.0310592	0.0135576	0.0139318	0.0111825	0.00710302	0.00712666	0.0059729	0.00869912	0.00478495	0.00682093	0.0142783	0.0195822	0.0128074	0.00928143	0.00846306	0.00922844	0.0140079	0.0275576	0.0508797	0.0295795	0.0521301	0.0487918	0.035811	0.0534983	0.0336188	0.047867	0.155499
