 	a66	a87	a23	a18	a83	a70	a83	a98	a47	a37	a75	a92	a79	a36	a85	a47	a79	a7	a54	a36	a2	a57	a87	a23	a99	a97	</S>
le	0.0199408	0.0332086	0.0581704	0.0437527	0.0497522	0.0628485	0.0957484	0.115661	0.0556109	0.0563675	0.0462398	0.0709243	0.0201219	0.0390814	0.0170935	0.00864129	0.00784435	0.00912746	0.0190015	0.0243276	0.0138908	0.0243674	0.0262252	0.0207375	0.0115403	0.0154429	0.0343318
masque	0.00336124	0.00519206	0.00656922	0.00771029	0.0189452	0.0245724	0.0760212	0.116652	0.156228	0.126743	0.188361	0.117285	0.0908488	0.0321546	0.00607847	0.00384043	0.00220907	0.00172298	0.0017059	0.00147972	0.00161452	0.00157626	0.00180519	0.00196983	0.00244299	0.00165827	0.00125202
ibvumba	0.120571	0.16307	0.138269	0.0686678	0.0569232	0.0762827	0.0501496	0.0224584	0.0384207	0.026735	0.0342674	0.0295847	0.0383061	0.0299827	0.0230963	0.00522826	0.00485445	0.00595382	0.0103628	0.0042054	0.00820876	0.00674323	0.00548665	0.00414057	0.00966204	0.0130788	0.00528996
est	0.0340577	0.0276127	0.021752	0.0285208	0.0452199	0.0607118	0.0704328	0.0407999	0.0270567	0.0414052	0.038563	0.0557379	0.0322193	0.0231816	0.0148372	0.0160176	0.0267285	0.0273838	0.0206373	0.0238537	0.0481511	0.0643558	0.0403308	0.0319211	0.0616012	0.0362523	0.0406582
difficile	0.0217419	0.0127087	0.00753729	0.00612055	0.00679312	0.00689941	0.0079487	0.0093021	0.00641117	0.00819242	0.00583771	0.00970769	0.0101912	0.0116973	0.0133343	0.036768	0.0455417	0.0564177	0.0374488	0.0999115	0.0874441	0.0907889	0.076273	0.0499092	0.0952038	0.0605339	0.119336
à	0.0540436	0.0488174	0.0278559	0.031175	0.0437468	0.0404715	0.0382019	0.0331061	0.0168422	0.0184675	0.0117366	0.0196004	0.0166429	0.021457	0.0275918	0.0296178	0.0376782	0.043419	0.034664	0.0693969	0.0412951	0.0391895	0.0747737	0.0416595	0.051109	0.0431664	0.044274
trouver	0.0477358	0.0367928	0.0190262	0.0169176	0.0209562	0.0173046	0.0176738	0.0116073	0.0108863	0.0104882	0.00671629	0.0100622	0.0101302	0.0133141	0.0243547	0.0324156	0.0483642	0.0435944	0.0479007	0.102454	0.060781	0.0976796	0.0814782	0.0457041	0.0770569	0.0521907	0.0364137
de	0.044103	0.0299099	0.0190458	0.0102573	0.0138567	0.0116871	0.010393	0.0129863	0.0219619	0.0195187	0.0168857	0.0300489	0.0253186	0.0320793	0.0291366	0.0371389	0.042492	0.0541116	0.0404165	0.171223	0.0409075	0.0865193	0.0512574	0.0356682	0.0298854	0.0268051	0.0563859
nos	0.0590763	0.0481042	0.042156	0.0221936	0.0208879	0.016345	0.0219332	0.0197827	0.0383883	0.0362263	0.0267028	0.030963	0.0337136	0.0358553	0.0282166	0.020646	0.0446552	0.0263393	0.0210185	0.0552316	0.0512793	0.0533985	0.0499592	0.0326359	0.0586724	0.0425814	0.063038
jours	0.0610938	0.0427011	0.0328879	0.0241951	0.0214983	0.0163888	0.0168382	0.0184132	0.0218572	0.0292587	0.0251184	0.0308438	0.0386102	0.0275594	0.0307456	0.0185253	0.0455639	0.0168854	0.0184906	0.0373458	0.069793	0.0771137	0.0551902	0.0375217	0.0800146	0.0638753	0.0416708
</S>	0.0641213	0.0430826	0.0319091	0.0291838	0.0291409	0.0200501	0.0193904	0.0141025	0.020623	0.0350782	0.0302501	0.0424174	0.0440412	0.0364167	0.0494229	0.0219684	0.0330759	0.0162803	0.0168636	0.0250592	0.0544895	0.0437064	0.0541673	0.0467984	0.0794667	0.0725491	0.0263452
