 	a66	a87	a23	a30	a99	a93	a90	a94	a62	a0	a24	a50	a96	a34	a56	a98	a92	a5	a47	a96	a88	a94	a58	a82	a87	a23	a87	</S>
c'	0.0506895	0.0612617	0.0658316	0.0727832	0.0294159	0.0209751	0.0231285	0.0174176	0.0194384	0.0127876	0.00961095	0.00673109	0.00764924	0.0132269	0.0105261	0.0272309	0.0271106	0.0298039	0.0455996	0.0488365	0.0747175	0.0614053	0.058413	0.049013	0.0368393	0.0320344	0.0230724	0.0644502
est	0.0430421	0.0305366	0.0255281	0.0254934	0.0360114	0.0331758	0.0420645	0.0439688	0.0210855	0.0306301	0.0346708	0.0170216	0.0320588	0.0398636	0.0503048	0.0358438	0.0302258	0.013375	0.0245704	0.0300579	0.0275891	0.0430791	0.0401702	0.04861	0.0414461	0.0482825	0.0708909	0.0404033
toi	0.0910857	0.106789	0.0660358	0.0590911	0.0545357	0.0281002	0.0264255	0.0187351	0.0186846	0.0158145	0.0130793	0.00507784	0.00354683	0.00599205	0.00651517	0.00568892	0.00662727	0.00377353	0.00514834	0.008143	0.00942279	0.0264454	0.028774	0.0538551	0.0573794	0.087642	0.126363	0.0612289
qui	0.082711	0.0736426	0.0303878	0.0220578	0.0286448	0.0256888	0.0196667	0.0332398	0.0278273	0.030269	0.0166575	0.0110613	0.0132277	0.0177189	0.0381986	0.0223108	0.0231339	0.0205905	0.0369662	0.0373907	0.0445048	0.0588707	0.0456492	0.0641129	0.0278443	0.054818	0.0519369	0.0408712
a	0.0780884	0.0585998	0.0423144	0.0301642	0.0539126	0.0368939	0.028515	0.0370507	0.0197598	0.0192581	0.0157104	0.0117469	0.0115537	0.0129597	0.0213459	0.0122438	0.0155117	0.0167614	0.0381591	0.0512495	0.0499271	0.059205	0.0437243	0.0582484	0.0362164	0.0386944	0.0761897	0.0259957
fait	0.0952558	0.0474345	0.0201225	0.0153816	0.0307689	0.0441611	0.031023	0.0456676	0.0465433	0.0379855	0.0261559	0.0128942	0.014467	0.0110944	0.0203042	0.0284894	0.0403309	0.0245289	0.03736	0.0592457	0.0534044	0.0412688	0.0315741	0.0323886	0.0423797	0.0325515	0.0615541	0.0156644
éclater	0.0399868	0.0246933	0.0119496	0.00848807	0.0142503	0.0205306	0.0214725	0.0482765	0.0765128	0.094133	0.0725508	0.0544546	0.049892	0.0277255	0.0545037	0.0662257	0.0756141	0.0264554	0.0370065	0.0308784	0.0282455	0.0223033	0.0176381	0.0152821	0.0163403	0.0141226	0.019561	0.010907
cet	0.0793715	0.042975	0.0180906	0.0188552	0.015141	0.0320408	0.0561921	0.0871421	0.0725402	0.0830116	0.047976	0.032618	0.022253	0.0223881	0.0297306	0.0221821	0.0247849	0.0107217	0.0249266	0.0236068	0.019604	0.0308274	0.0250614	0.0380757	0.0299739	0.0274321	0.0403948	0.0220829
objet	0.03574	0.026863	0.0152506	0.0145682	0.0124404	0.0219756	0.0232502	0.0451888	0.0574526	0.0517568	0.0266986	0.0218161	0.00821997	0.0111381	0.0343784	0.0445539	0.0368839	0.0285171	0.0488546	0.0412516	0.0436646	0.0570862	0.0379444	0.0620463	0.0515554	0.0432892	0.0596161	0.0379993
</S>	0.0550951	0.0565489	0.0426654	0.0239827	0.0195132	0.0250922	0.0231173	0.036291	0.0227622	0.0288483	0.0160032	0.00955595	0.00495203	0.00366022	0.00932398	0.011031	0.0106736	0.0102432	0.0164705	0.0186837	0.0352002	0.0488458	0.0461898	0.0771333	0.075571	0.100802	0.0870864	0.0846572
