 	a66	a87	a23	a58	a20	a15	a7	a92	a6	a36	a20	a44	a66	a71	a25	a9	a10	a11	a88	a38	a54	a36	a2	a57	a10	a11	a56	a37	a7	a20	a7	a54	a36	a37	a7	a44	a57	a58	a84	a57	a87	a23	a87	</S>
ta	0.0184932	0.023795	0.0291163	0.0272599	0.0677545	0.103479	0.0494277	0.0595958	0.0317255	0.0362613	0.0187723	0.085649	0.0396892	0.0379113	0.0350134	0.026297	0.025644	0.0182607	0.0279981	0.014367	0.0116808	0.00948055	0.00895392	0.00382846	0.00539836	0.00822782	0.00650434	0.00917642	0.00779023	0.00648447	0.00321835	0.00145698	0.00189041	0.00407906	0.00681826	0.00733869	0.00942175	0.0154269	0.0210719	0.0143792	0.00813601	0.0109917	0.00958957	0.0321457
qualité	0.00218406	0.00397344	0.0119802	0.0110698	0.0288178	0.102484	0.286754	0.197029	0.0476243	0.0765174	0.0659884	0.0262848	0.0166383	0.00620624	0.00662318	0.00416588	0.00327274	0.00180263	0.00193531	0.0029015	0.0075914	0.00725629	0.00876344	0.00600285	0.00740633	0.00621773	0.00404529	0.00530416	0.00283962	0.00423345	0.00792743	0.0049094	0.00306995	0.00610098	0.00355078	0.00385281	0.00089982	0.000461519	0.00070395	0.00033659	0.000316567	0.000484921	0.0016816	0.00179149
de	0.0143019	0.0218404	0.02002	0.0172647	0.0150023	0.0359168	0.0800985	0.0416001	0.0684672	0.0725414	0.0823864	0.0451025	0.0292872	0.0237852	0.0299584	0.0303519	0.0208492	0.0179134	0.0295571	0.0304144	0.0348831	0.0282327	0.02306	0.0212554	0.0174451	0.00593676	0.00413087	0.00320047	0.00192993	0.00219337	0.00327395	0.00328334	0.00579013	0.0125859	0.0138991	0.0105032	0.0051837	0.00399128	0.00407909	0.00454381	0.00612154	0.0112179	0.0204354	0.0261652
fils	0.0474621	0.0487709	0.0531384	0.0512283	0.0171892	0.00872003	0.00791741	0.0106761	0.0175478	0.0152131	0.0152728	0.0439754	0.0194759	0.0235046	0.0231669	0.0171652	0.018684	0.0186454	0.018064	0.0192556	0.0237693	0.0127627	0.0250045	0.0194903	0.0206871	0.00726371	0.00957968	0.00738984	0.0117492	0.00897685	0.0124313	0.00957614	0.0127414	0.0291792	0.032424	0.0253861	0.0230805	0.0224419	0.0151942	0.0233326	0.0328886	0.0301225	0.0460032	0.0434519
de	0.0271685	0.0232735	0.0043523	0.00441011	0.00233877	0.00177716	0.001879	0.00305211	0.00639809	0.00643658	0.00812662	0.0222292	0.0429978	0.0780582	0.0749499	0.106294	0.10556	0.0887541	0.068213	0.0586515	0.0345919	0.0178332	0.0245898	0.0169996	0.0195808	0.015369	0.00965867	0.00470637	0.00482405	0.00352501	0.00309277	0.00331896	0.00574273	0.0100626	0.00835842	0.00919742	0.00999275	0.0133531	0.0071536	0.00795602	0.00975422	0.00653413	0.00588057	0.0130036
mon	0.0162078	0.0100163	0.00340413	0.00447709	0.00267394	0.00144335	0.00142265	0.00119125	0.00275221	0.00315442	0.00317684	0.00920763	0.022859	0.0332615	0.0471246	0.0982949	0.0838075	0.0818638	0.082514	0.087561	0.0582612	0.0454854	0.0366548	0.0396618	0.0384609	0.021487	0.0129511	0.0079039	0.00669862	0.0054354	0.00489747	0.00357867	0.00523908	0.00659776	0.00848141	0.00832341	0.00960176	0.0208997	0.00914604	0.0116379	0.0118083	0.00783472	0.00752026	0.0150195
arrière-petit-fils	0.02444	0.0116145	0.00332034	0.00574367	0.00463715	0.00325331	0.00545404	0.00396483	0.00367951	0.00406012	0.00528492	0.0158733	0.0384495	0.0150054	0.0265621	0.0478413	0.0369015	0.043176	0.0475447	0.062933	0.0440684	0.0499799	0.0301866	0.0526147	0.0436574	0.0344331	0.0298294	0.0286025	0.0291328	0.024544	0.0164589	0.00932985	0.0131131	0.0106941	0.0116925	0.0114566	0.015266	0.0221096	0.010211	0.0190041	0.0252345	0.0143916	0.0220402	0.0222098
est	0.0556829	0.042003	0.0268579	0.0245638	0.0265784	0.0110968	0.0048102	0.00809712	0.0114207	0.00673763	0.00769946	0.00825904	0.0097857	0.0130868	0.0127223	0.0362087	0.0238332	0.0282885	0.0385544	0.0312584	0.0569095	0.0462442	0.052888	0.0347246	0.0478471	0.0162376	0.0152093	0.01653	0.0228347	0.0116141	0.00460115	0.00237339	0.00448062	0.0136789	0.0139458	0.0137556	0.0191521	0.0414777	0.0165542	0.0276994	0.0317301	0.020579	0.0198009	0.0215871
vaine	0.0197309	0.0168966	0.00913799	0.0106402	0.00851257	0.00627096	0.00304721	0.00351292	0.00278952	0.0033984	0.00309812	0.00615451	0.00623287	0.0112795	0.00965571	0.0230309	0.0194766	0.0195577	0.0219189	0.0221963	0.0265994	0.0284063	0.0331756	0.0293089	0.0387756	0.0279111	0.0231238	0.015287	0.0181843	0.016693	0.0147819	0.00675484	0.0296794	0.0314006	0.0356086	0.0446657	0.0585804	0.058456	0.0357436	0.0465802	0.0435139	0.0256314	0.0419123	0.0426875
pour	0.0260377	0.0520622	0.0186787	0.0123043	0.0104662	0.0117501	0.00412165	0.0101985	0.0087664	0.00818544	0.0117557	0.0170628	0.0176115	0.0233035	0.0208593	0.0255065	0.0221149	0.0208418	0.0201572	0.020333	0.0199386	0.0182956	0.0205532	0.0178267	0.0243541	0.0244654	0.0202853	0.0180169	0.0190359	0.0203393	0.0138093	0.00833025	0.0213596	0.0233793	0.024021	0.0344288	0.0367687	0.0359093	0.0283583	0.03275	0.0349157	0.0184555	0.0338455	0.0884402
