 	a66	a87	a23	a97	a38	a70	a93	a90	a25	a79	a20	a21	a12	a31	a88	a31	a0	a75	a25	a94	a54	a7	a44	a66	a71	a9	a10	a87	a23	a87	a10	a97	</S>
le	0.034515	0.0455913	0.0525968	0.0528436	0.0554189	0.0697486	0.0604948	0.0641113	0.0442733	0.0275039	0.0425032	0.0458817	0.0277891	0.0261615	0.0277481	0.0233547	0.00977257	0.0161365	0.0106594	0.00842794	0.00737114	0.0161134	0.0272262	0.0105526	0.0214362	0.0215701	0.019696	0.0190132	0.0174207	0.00925864	0.0199918	0.0126285	0.0521892
nid	0.00525098	0.0129162	0.0331627	0.047113	0.0531107	0.0590081	0.0490647	0.0282602	0.0490866	0.0536036	0.0555937	0.119551	0.0833617	0.12936	0.0835776	0.046826	0.0314845	0.0162961	0.0106082	0.00685233	0.00433159	0.00346866	0.00313401	0.00252748	0.00280693	0.00120052	0.00241571	0.00146855	0.00102975	0.000934	0.00060912	0.0016038	0.000381767
du	0.0239748	0.0172029	0.0169937	0.0177671	0.0183239	0.0178428	0.0159092	0.0350369	0.0802408	0.0833906	0.138758	0.0976517	0.0307899	0.041233	0.0452389	0.0432502	0.0249113	0.0236872	0.0306057	0.0353534	0.0130453	0.0166217	0.0208052	0.00644828	0.0236002	0.00787747	0.0147656	0.0119065	0.0115101	0.0106583	0.00757051	0.0125138	0.00451483
colibri	0.0109787	0.00751513	0.00437395	0.00513554	0.00712107	0.00672822	0.00845222	0.0245097	0.041528	0.0540185	0.0519475	0.0691591	0.0805167	0.121252	0.128602	0.0962711	0.0640014	0.0478887	0.0369566	0.0212615	0.00986038	0.0159622	0.00609505	0.00931141	0.00775679	0.00678914	0.00956898	0.00812599	0.007944	0.00991975	0.00605765	0.00757884	0.00681284
est	0.040889	0.0273278	0.0182063	0.0201367	0.0150075	0.0104466	0.0137871	0.0105445	0.00523161	0.00612694	0.00643935	0.00842942	0.0136587	0.0263847	0.0314176	0.0471545	0.0336039	0.0456072	0.055084	0.0371329	0.0407395	0.0329102	0.0394691	0.0458309	0.0347444	0.0398528	0.0353411	0.0342262	0.0511696	0.0454136	0.0353295	0.0466312	0.0457256
dans	0.0180359	0.0140297	0.0123359	0.0148756	0.0133892	0.0126532	0.0100702	0.01414	0.00730872	0.00800917	0.00878529	0.00874457	0.0122982	0.0183331	0.0365719	0.0484621	0.0424334	0.0493452	0.0370896	0.0404525	0.0524916	0.0413423	0.0355088	0.0628912	0.0371568	0.0340321	0.0532353	0.0367569	0.0504256	0.0483082	0.0411681	0.0481324	0.0311873
le	0.037454	0.0594129	0.044521	0.053004	0.0277991	0.0150699	0.0123927	0.0163729	0.0103035	0.0102131	0.0237919	0.0147718	0.0166529	0.014606	0.0177239	0.0146146	0.00907297	0.0154588	0.0127233	0.0140912	0.0157427	0.0298314	0.032924	0.0349865	0.0356756	0.0611111	0.0682078	0.0595274	0.0593047	0.0468635	0.0327978	0.0371001	0.0458768
feuillage	0.0350639	0.0380434	0.0365866	0.0457867	0.0358312	0.0321959	0.0240062	0.0247402	0.0236613	0.0250037	0.0262696	0.0130511	0.0131435	0.015133	0.023301	0.0198929	0.0217344	0.0237097	0.0268245	0.0271284	0.0226855	0.0335376	0.0339215	0.0332199	0.0371889	0.0334128	0.052243	0.037307	0.0494676	0.0363157	0.0328033	0.0391076	0.0276824
du	0.0348712	0.0269462	0.0184745	0.0372167	0.0216806	0.00930043	0.00820789	0.0115125	0.00732776	0.0108905	0.00622838	0.00661875	0.00731232	0.00674522	0.0108086	0.00799262	0.00762572	0.0125124	0.0147131	0.0110029	0.0163334	0.0320111	0.0441667	0.0256011	0.0359521	0.0842643	0.100799	0.0787236	0.0748607	0.0631859	0.0391895	0.0513049	0.0756198
manguier	0.068364	0.0535383	0.0458093	0.0570529	0.0460549	0.0258451	0.0280157	0.0331504	0.0152073	0.0164914	0.00830479	0.0111344	0.0200385	0.0151668	0.0267192	0.0298999	0.0172641	0.023704	0.0340291	0.0250825	0.0302389	0.0395749	0.0339408	0.0137372	0.0212944	0.0303769	0.0241358	0.0231509	0.0331356	0.0202384	0.0487448	0.0370302	0.0435287
</S>	0.038122	0.0506799	0.0705906	0.0849126	0.07496	0.0601153	0.0521422	0.0565038	0.027805	0.0230102	0.0161723	0.0144275	0.0143478	0.0105324	0.0153143	0.0126528	0.00978471	0.0131628	0.0150261	0.0152529	0.0175073	0.0219811	0.0203261	0.0165317	0.0149735	0.0420937	0.0189199	0.0232551	0.0237131	0.0181269	0.0270897	0.0190937	0.0608728
