 	a66	a87	a23	a99	a24	a62	a31	a21	a5	a21	a12	a96	a61	a21	a5	a21	a5	a18	a75	a5	a37	a79	a7	a84	a57	a87	a23	a87	a97	</S>
nzila	0.0831859	0.0674402	0.0499627	0.0458695	0.0450585	0.0259068	0.035321	0.0314531	0.0196048	0.0209723	0.0137872	0.0144633	0.0157621	0.00773981	0.0124739	0.0158334	0.0198236	0.013511	0.0197566	0.0284462	0.0401898	0.0530653	0.0444706	0.0431129	0.0395662	0.0426688	0.0297816	0.0328452	0.0362887	0.0516389
a	0.080705	0.0819984	0.076388	0.0404518	0.0415018	0.0187714	0.0209256	0.0219534	0.0168243	0.0152211	0.0191949	0.0226125	0.0224814	0.0287568	0.019475	0.0185407	0.0209016	0.0173937	0.0207974	0.0359527	0.0248738	0.0291629	0.0354739	0.0406333	0.0273443	0.0356439	0.0506484	0.0405438	0.0441988	0.0306294
transporté	0.211261	0.0817684	0.0706351	0.0671065	0.0619871	0.0316266	0.0247872	0.0261511	0.0160325	0.0256751	0.0142248	0.0202871	0.0254035	0.019387	0.0201314	0.0385065	0.0212696	0.0297188	0.0141775	0.00841571	0.0154577	0.0192985	0.0129654	0.0148326	0.0179294	0.0168144	0.0217441	0.0172035	0.0229559	0.012246
les	0.13648	0.0435056	0.0248547	0.0173795	0.0218427	0.0152582	0.0143158	0.0178754	0.0254838	0.0197506	0.0148057	0.025658	0.0383915	0.0826083	0.0619722	0.0371438	0.0581791	0.0489864	0.0463406	0.0265569	0.0352301	0.0179478	0.0171443	0.0180277	0.0167329	0.023328	0.0301863	0.0201852	0.0230723	0.020757
noix	0.0102442	0.00542142	0.00496713	0.0040126	0.00448645	0.00568458	0.00628966	0.010094	0.0124848	0.0190217	0.0125893	0.0326761	0.0251784	0.130491	0.0384729	0.0945968	0.0556739	0.176541	0.0772741	0.0522075	0.116826	0.0358163	0.0125986	0.0100788	0.00857418	0.0106441	0.00631269	0.00641393	0.00731393	0.00701405
de	0.110154	0.0750755	0.048321	0.0250483	0.0125943	0.008822	0.00911055	0.00677867	0.00823138	0.0092145	0.00498931	0.019409	0.0150483	0.0119786	0.00530251	0.00953815	0.0220509	0.0330218	0.0358692	0.0533139	0.0625616	0.0766498	0.045868	0.0331691	0.0359182	0.0614532	0.0435955	0.0437129	0.0548327	0.0183673
palme	0.0695019	0.0533332	0.035545	0.0246212	0.0160418	0.0116746	0.012099	0.00966769	0.0118996	0.0117293	0.00901258	0.0193326	0.00983251	0.012051	0.010124	0.0121386	0.0460828	0.0523091	0.0577481	0.077434	0.0538339	0.0451785	0.0285006	0.0490928	0.0297125	0.04898	0.0338108	0.0436076	0.0492709	0.0558338
dans	0.0667924	0.0641816	0.0488593	0.0319239	0.0247543	0.0113333	0.0117284	0.0110172	0.00729855	0.00747203	0.00684148	0.0142487	0.0138656	0.0137534	0.00677122	0.00770668	0.0128777	0.0274192	0.0273264	0.0366373	0.0392788	0.0530718	0.041477	0.0429793	0.0392241	0.0511447	0.0439572	0.0742113	0.101802	0.0600458
un	0.0668284	0.0553125	0.0337956	0.0189083	0.0171478	0.0104741	0.00991635	0.00853066	0.00495545	0.00423735	0.0042667	0.0103513	0.00910672	0.0130109	0.00926832	0.0126016	0.0185042	0.0237008	0.0291027	0.0268313	0.0211069	0.0383108	0.0354929	0.0461289	0.0475885	0.0592678	0.0609744	0.0911786	0.0785103	0.13459
panier	0.0410377	0.0304631	0.0259683	0.0191726	0.0146603	0.0142876	0.0131838	0.0133013	0.0145669	0.0192918	0.0153927	0.0260281	0.02171	0.0220459	0.0118915	0.0169112	0.0278643	0.034931	0.0519206	0.0566246	0.0566632	0.0543988	0.0412707	0.0473034	0.041857	0.0463962	0.0382666	0.0552971	0.0768262	0.0504677
vétuste	0.0666204	0.0503557	0.0355081	0.023869	0.0225275	0.0167852	0.0152901	0.0142008	0.00795728	0.00735175	0.00379262	0.0130977	0.0120086	0.0145979	0.00779648	0.0131376	0.0260837	0.0285774	0.0390936	0.0243577	0.040937	0.0522239	0.0340643	0.0359203	0.0407511	0.0566545	0.065384	0.0706987	0.0915376	0.0688196
</S>	0.0517894	0.0306143	0.0186092	0.0153987	0.0175805	0.019039	0.0145757	0.0118566	0.0119728	0.0086931	0.00640123	0.0114672	0.0106804	0.01435	0.00860814	0.00980666	0.0183801	0.0237163	0.033962	0.0315679	0.0374834	0.0576079	0.0454733	0.0645705	0.0597801	0.0612214	0.0577269	0.0811847	0.0823574	0.083525
