 	a23	a83	a18	a54	a47	a36	a75	a5	a85	a6	a61	a75	a47	a37	a66	a75	a85	a79	a15	a79	a7	a11	a56	a4	a57	a3	a10	a24	a83	a9	a87	a23	a87	</S>
l'	0.0606678	0.0387306	0.0360331	0.0315334	0.0292983	0.0271416	0.0201341	0.0171356	0.0115028	0.0134753	0.012845	0.0104995	0.00929295	0.0130628	0.00816895	0.0113269	0.0139772	0.0158941	0.0194856	0.0191462	0.0267898	0.0486623	0.0558879	0.054944	0.0455794	0.0520665	0.0600683	0.0520942	0.0479576	0.033205	0.0213379	0.0299027	0.0197248	0.0324277
homme	0.00734746	0.00821462	0.00996319	0.0177175	0.0361345	0.0351394	0.0274146	0.0315162	0.0612818	0.0837701	0.0240765	0.0411698	0.0406071	0.0412947	0.0556072	0.0233733	0.0610455	0.0267253	0.0252584	0.0252196	0.0297129	0.0420842	0.0399519	0.0268133	0.0124663	0.0175738	0.0142968	0.0197028	0.00726295	0.0150275	0.0116402	0.0217778	0.029385	0.0294278
tirait	0.020344	0.0124502	0.0157195	0.0165092	0.0465146	0.0476091	0.0531665	0.0529326	0.132044	0.0923396	0.111844	0.0637012	0.0666722	0.045734	0.0375936	0.0400006	0.00702132	0.00343192	0.0064009	0.00746592	0.00385904	0.00206211	0.00204473	0.00342368	0.00306075	0.0053392	0.00527098	0.00541125	0.00650828	0.00661157	0.0117331	0.0151911	0.0202756	0.0297144
calmement	0.0402541	0.0132544	0.0174363	0.0162739	0.0573755	0.0428479	0.0341553	0.0296234	0.0505092	0.036516	0.0575342	0.0313732	0.0419397	0.0243675	0.0527431	0.0900534	0.0430064	0.0266912	0.0322804	0.0272661	0.014295	0.0106014	0.0109641	0.00677701	0.00670065	0.00747258	0.0125347	0.0119627	0.00903545	0.014035	0.0186746	0.0202993	0.0346631	0.0564832
des	0.0828965	0.0432307	0.0330635	0.0243167	0.0270026	0.0223759	0.0284339	0.0161343	0.0372923	0.0227561	0.0521147	0.0431772	0.0453081	0.0317836	0.0226895	0.0290961	0.0186382	0.00779205	0.0293767	0.036601	0.0340043	0.0229138	0.011907	0.00619374	0.00884368	0.00849671	0.0164504	0.0216047	0.0250136	0.0262023	0.0283187	0.0279159	0.0397268	0.0683288
bouffées	0.0409112	0.015225	0.0158524	0.0116588	0.0119705	0.00862819	0.0133184	0.0106645	0.0177777	0.0142231	0.0464644	0.0267488	0.0311397	0.0301812	0.0275827	0.0481944	0.0354269	0.0289222	0.0408678	0.0491714	0.0535073	0.0379112	0.0284273	0.0109605	0.0110162	0.0137488	0.0190899	0.0127738	0.0212194	0.0267819	0.0383943	0.0479948	0.083597	0.0696483
de	0.0951966	0.0690444	0.0442488	0.0292708	0.0230192	0.013664	0.0100941	0.00832737	0.0147154	0.00742754	0.0260635	0.0150105	0.0156978	0.0163514	0.0132883	0.0142853	0.0100496	0.00916416	0.0225143	0.0261783	0.0249105	0.0167947	0.0162996	0.0112937	0.0131849	0.0180905	0.0239664	0.022594	0.0312448	0.0301019	0.0603039	0.0717058	0.0940266	0.0818713
sa	0.0542644	0.0267746	0.0240276	0.0228282	0.0211334	0.0161616	0.0151896	0.0145658	0.0235879	0.0148603	0.0318038	0.026745	0.0254371	0.0173671	0.0241936	0.0379488	0.0361562	0.0354652	0.0400702	0.0457931	0.0598767	0.0545191	0.0344819	0.0167794	0.0164983	0.0206437	0.0191933	0.017897	0.0239606	0.0243341	0.0275199	0.0325066	0.0344797	0.062936
pipe	0.033779	0.0189033	0.0120788	0.00975597	0.010132	0.010192	0.011723	0.0104937	0.0139959	0.0124021	0.0230753	0.0187646	0.0223053	0.0215305	0.0173723	0.0275064	0.0161402	0.0130933	0.0297258	0.0296834	0.0246796	0.0248207	0.0204592	0.011968	0.0207896	0.0270987	0.0428209	0.0245733	0.046106	0.0486345	0.0538817	0.0709112	0.0895185	0.131085
</S>	0.081709	0.0433247	0.0271055	0.0187811	0.0162893	0.0130984	0.0114025	0.0112418	0.0101078	0.00747977	0.0221823	0.0121774	0.00620437	0.00713531	0.00654372	0.0101493	0.0103362	0.0101985	0.0203861	0.0271477	0.0193352	0.0225216	0.023004	0.0162941	0.0192456	0.0202602	0.0358497	0.0304248	0.047962	0.0578807	0.0766515	0.0745345	0.0777005	0.105335
