 	a23	a79	a20	a94	a38	a24	a76	a94	a98	a41	a94	a75	a41	a96	a62	a88	a71	a9	a38	a21	a12	a75	a41	a96	a62	a41	a96	a70	a76	a69	a58	a82	a53	a90	a56	a43	a75	a12	a62	a21	a90	a57	a53	a90	a56	a47	a18	a25	a87	</S>
il	0.0191759	0.0225875	0.076348	0.0771867	0.102614	0.167374	0.0384874	0.0888394	0.0617248	0.0525321	0.0516762	0.0374124	0.0312858	0.0364397	0.0153434	0.011725	0.00615317	0.00393342	0.00316108	0.0028003	0.00308783	0.0025964	0.00228699	0.00428054	0.00316701	0.00266008	0.00345484	0.00367852	0.00174631	0.00136239	0.00144048	0.00145104	0.000883853	0.00144426	0.00131986	0.00130452	0.00108985	0.00117463	0.0014138	0.00183667	0.0019567	0.00155831	0.00183405	0.00260041	0.00634385	0.00675757	0.00918961	0.00869894	0.00765476	0.00492601
attire	0.00103915	0.00200235	0.00184372	0.00965393	0.0365768	0.0276529	0.0271423	0.0265038	0.0357224	0.0227448	0.0249513	0.0210379	0.0296213	0.0391753	0.0343301	0.0355922	0.0323809	0.0198382	0.0176601	0.0493667	0.0675734	0.0555687	0.0493386	0.0384917	0.0397727	0.0459373	0.020053	0.0157425	0.0106207	0.00712119	0.00608626	0.00696582	0.00503051	0.00751736	0.00482087	0.00692709	0.00711947	0.00879051	0.00846829	0.0117161	0.0104782	0.0135156	0.0127053	0.0174997	0.00577361	0.00810383	0.00564702	0.002368	0.00215382	0.00325641
les	0.00853888	0.0100984	0.00831635	0.0141292	0.0331644	0.0283735	0.0390002	0.0330888	0.0683429	0.035858	0.0553502	0.042366	0.0789727	0.0606602	0.0431432	0.014651	0.0166234	0.0072121	0.00555171	0.0109213	0.0273	0.00948315	0.00594468	0.00723962	0.00701655	0.0118271	0.00716749	0.0068707	0.00400493	0.00156546	0.00139609	0.00109303	0.00111357	0.00162237	0.000991331	0.00175526	0.00240046	0.00429894	0.00630305	0.00998357	0.0210041	0.0291909	0.0268737	0.0313968	0.0376837	0.0210537	0.0311129	0.0184467	0.0197166	0.0297811
animaux	0.0187325	0.0231945	0.0274894	0.0134992	0.0132132	0.0128986	0.0103252	0.016371	0.0245782	0.0412079	0.0615686	0.0636938	0.0622747	0.0476684	0.0334887	0.0178	0.024245	0.021076	0.0133083	0.0129151	0.00635613	0.00704141	0.00723486	0.00783183	0.0140395	0.0128992	0.0111654	0.0113819	0.0292711	0.0377233	0.0327368	0.0319941	0.0378719	0.0423366	0.0335138	0.0261557	0.0230376	0.0166754	0.012929	0.0108351	0.00881857	0.00479657	0.00345705	0.0034978	0.0017283	0.00130222	0.000840613	0.000983473	0.00076696	0.00122923
au	0.0114275	0.0142698	0.01452	0.0183914	0.0185293	0.0285007	0.0214042	0.0338708	0.0388676	0.0680368	0.0881696	0.0704061	0.0522016	0.0392501	0.0371676	0.015803	0.0212441	0.0217602	0.0188424	0.0168471	0.00954034	0.00955293	0.0103901	0.00736309	0.015064	0.0181224	0.0116408	0.0113531	0.0292975	0.0282894	0.0224782	0.020343	0.0143108	0.0211585	0.00770494	0.00632685	0.00504658	0.0050562	0.00460217	0.00596112	0.00795419	0.00978079	0.00749587	0.0105742	0.00778321	0.0128531	0.00986632	0.00766825	0.00660214	0.00631006
piège	0.00850741	0.0139262	0.0142912	0.0142402	0.0212832	0.0389242	0.0303591	0.0435026	0.0504141	0.0609225	0.0683161	0.141425	0.0729504	0.0689382	0.0371215	0.0170513	0.0270384	0.0228478	0.020034	0.0116996	0.009015	0.00636513	0.0107932	0.00807765	0.0110966	0.0117063	0.00809484	0.00818363	0.0142164	0.0146099	0.0111761	0.00687553	0.00634301	0.00799628	0.00515211	0.00271178	0.00299029	0.00331387	0.00316434	0.00466023	0.00637336	0.0050753	0.0032865	0.00384479	0.00479376	0.0066379	0.00780116	0.00839106	0.007711	0.00574964
avec	0.0374673	0.0453246	0.0246091	0.0654933	0.104953	0.101515	0.0749123	0.0537028	0.0443043	0.0547051	0.0348499	0.0233226	0.0211624	0.0229483	0.0205716	0.0149909	0.0235763	0.0104874	0.00862371	0.00967308	0.00813814	0.00656827	0.00891954	0.0082262	0.0119078	0.0059512	0.00301507	0.0023756	0.00372275	0.00612489	0.0052014	0.00345219	0.00265134	0.00317904	0.00253818	0.00185343	0.00105456	0.000862658	0.00122694	0.00188372	0.00272912	0.0025585	0.00183556	0.00233448	0.00395154	0.00991566	0.0200662	0.0264772	0.0279568	0.0161287
un	0.0295971	0.0176344	0.00611881	0.00571135	0.0103314	0.0111528	0.00837037	0.00681319	0.009718	0.0185561	0.0152516	0.0119619	0.00748819	0.00889419	0.00686222	0.00429129	0.0084393	0.00633214	0.0046138	0.00961489	0.00895629	0.0071867	0.00644401	0.00899806	0.0177255	0.0122463	0.00918561	0.00564702	0.00461083	0.00560169	0.00489184	0.00566469	0.0051068	0.005911	0.00571896	0.00410069	0.00609032	0.00493464	0.00842026	0.0159626	0.0366984	0.0392821	0.0456368	0.04172	0.0907129	0.121867	0.11227	0.0699166	0.0530794	0.0276592
remède	0.0344211	0.0496677	0.0636695	0.0292051	0.0194335	0.0202123	0.015128	0.0215951	0.0163364	0.0254481	0.0230094	0.0213626	0.0160833	0.0123253	0.0101709	0.00720813	0.0140624	0.0117102	0.0103832	0.0129618	0.00793574	0.00940445	0.01193	0.0120705	0.0201217	0.0252005	0.0139378	0.011265	0.0163328	0.0132375	0.0103497	0.00860683	0.00851333	0.0133205	0.0103611	0.00925228	0.0151279	0.0133889	0.0124364	0.0195881	0.0210796	0.020296	0.0193515	0.0276452	0.0372264	0.0366389	0.0361209	0.0318943	0.0344409	0.0385312
</S>	0.0347015	0.0388871	0.0532813	0.0276969	0.0277909	0.017906	0.0153375	0.0178969	0.0234658	0.0264169	0.0222135	0.0166453	0.0150377	0.0148395	0.0148618	0.01322	0.0184363	0.0131586	0.0098527	0.00861303	0.00837668	0.00834151	0.0104545	0.0097211	0.012517	0.0102734	0.00605951	0.00494763	0.00689368	0.00580571	0.00476388	0.00461268	0.00478246	0.00571375	0.00460084	0.00395699	0.00398083	0.00374169	0.00389796	0.00572436	0.00834078	0.00727977	0.00807623	0.0120998	0.0275323	0.0340767	0.0528076	0.0758638	0.0760639	0.138434
