 	a23	a87	a23	a4	a57	a9	a53	a90	a32	a76	a94	a38	a24	a18	a25	a53	a76	a73	a84	a57	a87	a23	a20	a84	a82	a20	a44	a26	a90	a57	a9	a38	a76	a69	a58	a38	a41	a37	a26	a75	a85	a73	a20	a73	a94	a76	a98	a41	a37	a26	a11	a24	a9	a87	</S>
il	0.0322243	0.0442991	0.0462012	0.0537777	0.0257519	0.0755309	0.0719879	0.0400727	0.0472602	0.0466765	0.0431994	0.0108826	0.0185107	0.0118439	0.00557645	0.00758473	0.00734806	0.00540213	0.00854538	0.00561179	0.00689948	0.00554409	0.00347777	0.00504881	0.0078	0.0158608	0.0116242	0.0111119	0.0219073	0.016555	0.0116701	0.0126149	0.00933595	0.0148261	0.0104025	0.00586868	0.0129326	0.0103428	0.00720721	0.0101016	0.0170237	0.0197189	0.0111851	0.0105402	0.00518037	0.00812424	0.00855332	0.00843193	0.00875458	0.0111121	0.00975527	0.0141258	0.0154925	0.01279	0.0197925
s'	0.00311193	0.00206154	0.0023207	0.0034311	0.0073675	0.00812338	0.00692828	0.0216183	0.0252595	0.013545	0.0655212	0.0330145	0.0561963	0.0358512	0.0266625	0.0305706	0.0355387	0.0281274	0.0381549	0.0308026	0.0473336	0.05387	0.0424239	0.0438643	0.0428319	0.0338042	0.0218639	0.0212983	0.0106126	0.00946154	0.0102268	0.00868984	0.0116002	0.0104588	0.01204	0.00653341	0.00979437	0.00714306	0.00689292	0.00706033	0.00582439	0.00633928	0.0113849	0.0127965	0.00652691	0.0115399	0.0110977	0.00554088	0.00438346	0.00525446	0.00507956	0.00558269	0.00401256	0.00437894	0.0082467
est	0.0196941	0.0107857	0.00997992	0.00705995	0.0142818	0.00654203	0.00753098	0.0111865	0.00870414	0.0178692	0.0228111	0.0134041	0.0172497	0.0173495	0.00719248	0.0119861	0.0199233	0.0179501	0.010104	0.008692	0.0190785	0.0355986	0.0277062	0.0315728	0.0277992	0.0252379	0.0240275	0.035117	0.0294474	0.0252739	0.0284439	0.0457791	0.0230466	0.0116006	0.0163358	0.00848608	0.00801561	0.00797255	0.00887519	0.0112472	0.00831702	0.00888819	0.0102002	0.00523494	0.00473742	0.00730227	0.013335	0.0202565	0.0205742	0.0223131	0.0379834	0.0287434	0.0263199	0.0355866	0.0392492
assuré	0.0122571	0.0185781	0.0157899	0.00992936	0.0281305	0.0298698	0.0286402	0.0262753	0.0287243	0.0441508	0.0238078	0.0268065	0.0203314	0.0251205	0.0220859	0.0208289	0.0186921	0.0255362	0.0191636	0.0298011	0.0156766	0.0184322	0.0217461	0.0263949	0.0310997	0.0224184	0.0129854	0.0123896	0.00733743	0.010108	0.0108591	0.0116851	0.0130707	0.0167797	0.0209728	0.0256089	0.0289516	0.0327303	0.0261382	0.0156521	0.0211956	0.0194749	0.0299619	0.0167368	0.0161258	0.0110093	0.00833699	0.0034808	0.0048504	0.00205591	0.00236104	0.00347462	0.00145105	0.00179092	0.00213753
qu'	0.0404935	0.0299859	0.0246815	0.0252143	0.0233624	0.0152804	0.0241319	0.0188927	0.0130073	0.0212407	0.0110452	0.0188388	0.0188267	0.0199019	0.0196392	0.0135773	0.0249016	0.0305405	0.0114155	0.0181644	0.0260411	0.0287167	0.0236033	0.0258152	0.0258225	0.0257987	0.0150825	0.0121972	0.0101893	0.014811	0.00835417	0.0169114	0.00829631	0.0136539	0.0118827	0.0109241	0.00937793	0.0095406	0.00799524	0.012792	0.013665	0.0181956	0.0129888	0.0103209	0.0141654	0.0125482	0.0161795	0.0138176	0.0172231	0.014755	0.0220196	0.0219504	0.0195185	0.0238973	0.0278072
il	0.0248556	0.0125985	0.00863923	0.00821589	0.012552	0.00739523	0.00732096	0.00851603	0.00769873	0.00601209	0.00926173	0.0099253	0.0198295	0.0119849	0.00728782	0.00949247	0.00957868	0.0139114	0.0158988	0.0115713	0.021544	0.0201719	0.0165795	0.0224521	0.0188667	0.0229519	0.0292824	0.0293151	0.0426997	0.0429697	0.0427129	0.0399548	0.0312722	0.0289155	0.0306643	0.0161832	0.0167157	0.0157962	0.0128044	0.01881	0.0139033	0.0141064	0.0135252	0.0133661	0.014956	0.0153664	0.0136099	0.0178177	0.013198	0.0232729	0.0177679	0.0162042	0.0159485	0.0202095	0.0335395
n'	0.0311909	0.00955969	0.0081294	0.00814677	0.00989902	0.0063144	0.00495632	0.00529959	0.0052547	0.0040171	0.00427951	0.00909154	0.0120065	0.0151477	0.0133424	0.0141939	0.0291653	0.028242	0.0161457	0.0154843	0.0272006	0.0479106	0.0270308	0.0237177	0.0197374	0.0323731	0.0462151	0.0368278	0.0459263	0.0339067	0.0398766	0.0306631	0.0299279	0.0328959	0.0204683	0.016903	0.0181444	0.0209123	0.0142519	0.0150116	0.0122228	0.0108898	0.0104769	0.00626826	0.0131427	0.00771296	0.00711054	0.00705531	0.00772899	0.0099038	0.0130353	0.0121532	0.01304	0.01544	0.0240515
y	0.0268661	0.0121506	0.0104529	0.00928618	0.0148967	0.00726244	0.00667258	0.00748258	0.00683015	0.00381101	0.00514478	0.0117984	0.0168487	0.0153796	0.0111326	0.0166375	0.0174041	0.0212836	0.0245451	0.0197244	0.0270702	0.0266655	0.0246925	0.0350516	0.0393222	0.0306775	0.0406185	0.032478	0.0331963	0.0275755	0.0234511	0.0300666	0.0286553	0.032901	0.0225162	0.00914039	0.0172838	0.0155251	0.0140299	0.0109684	0.00978177	0.00692447	0.00978103	0.0105015	0.0107564	0.0136246	0.0131923	0.0108494	0.0115506	0.0126945	0.0113384	0.0157313	0.0156153	0.0211661	0.0389968
avait	0.0180135	0.0214596	0.0330156	0.0243556	0.0233713	0.0208008	0.014971	0.0177225	0.0324119	0.0230706	0.00819664	0.0156655	0.0107831	0.0112337	0.00893806	0.0231969	0.0131454	0.0128956	0.01354	0.0185276	0.0176019	0.0242877	0.0211092	0.0262952	0.0243626	0.0164569	0.0171387	0.0212312	0.0162665	0.0129559	0.0147928	0.0166989	0.0182398	0.015219	0.0190329	0.0144667	0.0155397	0.0206958	0.0240072	0.0137369	0.0158968	0.0107283	0.0125217	0.00919106	0.0199032	0.01759	0.0177582	0.0119067	0.0162832	0.0146587	0.0111778	0.0210568	0.0256468	0.0181159	0.0421145
personne	0.0188246	0.0157625	0.0187595	0.016615	0.0108994	0.0103254	0.0059061	0.00644091	0.0114241	0.0108519	0.0075239	0.00839121	0.0106486	0.0104532	0.00746308	0.0156397	0.0101486	0.0135841	0.0158541	0.0130726	0.0235133	0.023687	0.0209769	0.0341514	0.0334	0.0314102	0.0269592	0.0263244	0.0245106	0.0227883	0.0192633	0.0166113	0.01792	0.0184329	0.0168304	0.0122953	0.0145256	0.0157651	0.0135466	0.0135598	0.0084995	0.00902816	0.00819511	0.0101634	0.01301	0.0174225	0.0184159	0.0175389	0.0196943	0.0268009	0.0200072	0.0304707	0.0391256	0.027292	0.0692754
