 	a87	a23	a87	a23	a40	a36	a11	a24	a96	a66	a75	a5	a43	a75	a37	a98	a47	a36	a85	a37	a85	a5	a61	a18	a9	a38	a62	a61	a0	a24	a62	a70	a75	a47	a36	a2	a57	a87	a83	a50	a88	a71	a70	a44	a79	a6	a36	a11	a24	a71	a9	a87	a23	a99	a87	a23	a87	</S>
les	0.0440572	0.0538733	0.0470387	0.0303081	0.0243048	0.0271411	0.0374149	0.0344194	0.0358361	0.0396004	0.04734	0.0324165	0.0420754	0.0316999	0.0293459	0.025204	0.021816	0.0130299	0.0119578	0.00967232	0.00675887	0.00780087	0.0100309	0.00797055	0.0132499	0.0126591	0.0165667	0.0231793	0.0148617	0.0224326	0.0163365	0.0140992	0.0171441	0.0149473	0.0128049	0.0289519	0.0134062	0.0110823	0.00541234	0.00544115	0.00706927	0.0046077	0.0041569	0.00323671	0.00280946	0.00299704	0.0038496	0.00426018	0.00357357	0.00300691	0.00281537	0.00287136	0.00299854	0.00469752	0.00377141	0.00547829	0.00374099	0.0203713
ressortissants	0.00489917	0.00713131	0.00740618	0.00993537	0.0142908	0.0351551	0.0593343	0.0455735	0.0758275	0.0702007	0.0512758	0.0495387	0.0334975	0.025384	0.0103411	0.0183871	0.0157311	0.0181754	0.0207549	0.0321187	0.0219714	0.01921	0.0208264	0.0184914	0.0202811	0.0381098	0.0427743	0.0410316	0.0317252	0.033832	0.0218973	0.0176889	0.0159734	0.0148861	0.00510982	0.00408094	0.00152566	0.00133337	0.000710334	0.00062255	0.000548993	0.000625363	0.00073984	0.00104746	0.00200785	0.00239767	0.00126645	0.00167936	0.00137767	0.00147934	0.00109138	0.00106011	0.00100308	0.000961506	0.00137099	0.00101778	0.00140726	0.00187818
de	0.0139786	0.00819746	0.00748008	0.00864445	0.0239185	0.0649482	0.0331704	0.0255845	0.0245359	0.0138229	0.00891799	0.0135696	0.0141231	0.0070588	0.0095837	0.0236321	0.0134749	0.0158707	0.0297776	0.0368426	0.0519271	0.0795811	0.0541857	0.0391944	0.045589	0.0510356	0.0404265	0.0476898	0.0323864	0.0213443	0.0224155	0.0229234	0.0151363	0.00760552	0.0140041	0.00584651	0.00708238	0.00342089	0.0018909	0.00180913	0.00124527	0.00171877	0.00181418	0.00228085	0.00190097	0.00152317	0.00197799	0.00262429	0.00206735	0.00220773	0.00193404	0.00178568	0.00348993	0.00210222	0.00285906	0.00245077	0.00209523	0.00129601
mbesse	0.0167977	0.00999179	0.00838902	0.00501459	0.00543977	0.00582426	0.00666555	0.00853081	0.0144729	0.0205411	0.0231222	0.0220197	0.0303976	0.0205204	0.0144832	0.0159716	0.00824176	0.00908163	0.0152084	0.0125529	0.0245999	0.0301661	0.0189531	0.0361001	0.0170001	0.0183921	0.0141195	0.018985	0.0160518	0.0208734	0.0178667	0.0177893	0.0161854	0.0164372	0.0243639	0.0237913	0.0228778	0.0164697	0.0167102	0.0136444	0.0124811	0.011243	0.0119332	0.00672123	0.00965257	0.00891952	0.0214778	0.0167299	0.0196609	0.0173119	0.0182263	0.0270643	0.0233443	0.0220381	0.0260955	0.0275838	0.0321349	0.0127379
polluent	0.0212189	0.0131075	0.0092183	0.00827625	0.00746028	0.00485515	0.00364624	0.00532905	0.0059579	0.00879729	0.0103625	0.00832012	0.0162527	0.0171172	0.00797192	0.00681757	0.00900924	0.0114035	0.0111055	0.0184178	0.0264249	0.0211409	0.0271535	0.0274743	0.0267845	0.0248144	0.0360082	0.0586371	0.062954	0.0662762	0.0452756	0.0505758	0.0433193	0.0366926	0.0288799	0.0320139	0.0290605	0.0264048	0.0147103	0.0160711	0.0104656	0.00838479	0.00628592	0.00243043	0.00200342	0.00185382	0.00258617	0.00261421	0.00285198	0.00248202	0.00330325	0.0047067	0.00436646	0.00645959	0.00762044	0.00785831	0.0114235	0.00698662
les	0.0455358	0.031753	0.0292101	0.0198283	0.0190025	0.011302	0.00775896	0.0101724	0.016796	0.0161523	0.0182364	0.0117943	0.015055	0.0137143	0.00891489	0.00771464	0.00937624	0.0118529	0.00972906	0.0167241	0.0202505	0.0415005	0.0297306	0.0534973	0.0275597	0.0233454	0.0318228	0.0225436	0.0312022	0.0352656	0.0195588	0.0163581	0.0145138	0.0106418	0.00633965	0.00993399	0.0134991	0.0157515	0.0136034	0.0178079	0.0174807	0.0190856	0.0145519	0.00624846	0.00638571	0.00565135	0.00874754	0.0102395	0.00719547	0.00912445	0.00697889	0.0106953	0.0119977	0.014005	0.0171989	0.0158167	0.0196589	0.0135884
ruisseaux	0.0135297	0.00591048	0.004385	0.00381465	0.00456611	0.00169214	0.00124062	0.00172336	0.00230475	0.00189405	0.00192567	0.0028671	0.00662926	0.00789763	0.00985983	0.00600622	0.0068748	0.00911479	0.0140767	0.0155705	0.0323142	0.045995	0.0380492	0.0635511	0.0467354	0.039727	0.0467154	0.0480182	0.064261	0.0555018	0.0382418	0.0381544	0.0312367	0.0264913	0.0248193	0.0208338	0.0241469	0.0208102	0.0157102	0.0111514	0.0116161	0.00967151	0.00860356	0.0103038	0.0118133	0.00857657	0.0031711	0.00626212	0.00322255	0.00579559	0.00553563	0.00640577	0.00869325	0.0125119	0.00990504	0.00888202	0.00950015	0.00518257
avec	0.0483912	0.0211912	0.00939397	0.00715168	0.00179336	0.000912863	0.000551394	0.000642823	0.000570158	0.00112586	0.00103528	0.00191205	0.0032422	0.00261072	0.00532664	0.00827944	0.00760172	0.0152554	0.0150819	0.0325431	0.0299364	0.0561938	0.0653706	0.0491933	0.0598608	0.0472076	0.0463	0.0349803	0.0473484	0.0306866	0.0234803	0.0157997	0.0191081	0.0144	0.00973348	0.0101746	0.0226755	0.02691	0.0135937	0.0189572	0.0145112	0.0144964	0.0131448	0.00848331	0.00594889	0.0059211	0.00319481	0.00621113	0.00400094	0.00663994	0.00793989	0.00710685	0.0110915	0.0120051	0.0154454	0.0157036	0.0160078	0.00562402
la	0.0298714	0.0099365	0.00511756	0.00464344	0.0025582	0.00170886	0.000934414	0.00125069	0.0011443	0.00182577	0.0018284	0.00241914	0.00612785	0.00546112	0.00726538	0.00738801	0.00741074	0.00932989	0.0105386	0.0152852	0.0170836	0.02281	0.0280602	0.0184333	0.0349042	0.0299959	0.0242564	0.0374626	0.0508519	0.0318943	0.032072	0.0253963	0.0290932	0.0190024	0.0142428	0.0158326	0.0235669	0.0290801	0.0221343	0.0358177	0.0452205	0.0533732	0.0366442	0.017045	0.0111544	0.0124522	0.0067654	0.00824073	0.00720281	0.00991872	0.00919997	0.0129375	0.0160248	0.0171371	0.0204568	0.0156249	0.0202939	0.00627147
plante	0.0271631	0.0148373	0.00974146	0.00880562	0.00396044	0.00650191	0.00253039	0.00254627	0.00198419	0.00233681	0.0025059	0.00316055	0.00542048	0.00538682	0.00791139	0.00986867	0.00987039	0.0120158	0.0160402	0.0192013	0.0225566	0.0299308	0.0435596	0.0323761	0.045152	0.0580321	0.0361621	0.0442557	0.058866	0.0295353	0.025983	0.0162259	0.0235655	0.0152828	0.0111271	0.0108979	0.0203982	0.0234689	0.0197275	0.033921	0.0380386	0.0295291	0.0154916	0.00609851	0.00640574	0.00795454	0.00744978	0.0082152	0.00672442	0.0109939	0.00737292	0.0111763	0.0107907	0.0143001	0.0132886	0.0118326	0.0121317	0.00939245
