 	a66	a87	a23	a83	a56	a75	a21	a56	a93	a56	a93	a4	a70	a93	a90	a98	a92	a21	a5	a12	a21	a47	a88	a75	a6	a41	a0	a56	a93	a4	a57	a3	a10	a87	a97	a99	a97	</S>
cet	0.0458562	0.0475205	0.0654372	0.0494968	0.0538804	0.0637802	0.0328878	0.0536841	0.0314016	0.0277773	0.0163966	0.0261334	0.00898823	0.0118603	0.00937055	0.0192074	0.0205866	0.0520804	0.0149258	0.00983509	0.0161566	0.0147837	0.00803628	0.0170096	0.0217728	0.0140917	0.0189561	0.010683	0.0124317	0.0169943	0.0171537	0.0127961	0.0120185	0.0111927	0.0165364	0.0248031	0.0189204	0.0745567
homme	0.00764742	0.0127307	0.0153956	0.0209934	0.0142401	0.0333785	0.035313	0.0949572	0.0419111	0.0973684	0.126304	0.0964093	0.0689032	0.0222537	0.028861	0.0215128	0.0243786	0.0434014	0.0538487	0.023628	0.0211689	0.0203883	0.0193139	0.00889246	0.00881367	0.00471844	0.00469107	0.00431604	0.00204144	0.00243368	0.00264335	0.00215242	0.00198148	0.00204715	0.00284751	0.00290731	0.00319862	0.00200759
qui	0.039585	0.0308684	0.0279708	0.0376368	0.0373882	0.0581824	0.0616849	0.0544607	0.0672606	0.0421543	0.117075	0.0470077	0.0292109	0.0247669	0.0131012	0.00991488	0.00771766	0.00258609	0.00340827	0.00463917	0.00430511	0.005724	0.00409344	0.00539533	0.00577976	0.00708901	0.00662016	0.00571978	0.00944372	0.0108642	0.0138482	0.0260037	0.0293372	0.0245379	0.0247923	0.027564	0.0459097	0.0263524
vient	0.0619238	0.0359092	0.0197655	0.0169865	0.0164203	0.0193767	0.0187646	0.017029	0.0209558	0.0227476	0.0288919	0.0230703	0.0186084	0.0166531	0.0112015	0.0219688	0.0225685	0.0210903	0.0147456	0.0168354	0.0190334	0.0177773	0.0208036	0.0167989	0.0187479	0.0206286	0.020894	0.0144595	0.0140509	0.0104867	0.0129627	0.0204025	0.0425605	0.0403482	0.056861	0.0546005	0.0779872	0.0750835
du	0.0594619	0.050445	0.0331567	0.0251947	0.02097	0.0281069	0.0391539	0.0367476	0.0532048	0.045044	0.0505056	0.0351314	0.0255319	0.0358609	0.0195541	0.0401838	0.0259949	0.0221537	0.0139374	0.0332635	0.0332431	0.0333956	0.0231633	0.0347292	0.0201289	0.0184777	0.0116166	0.0038261	0.00364139	0.00503005	0.0089009	0.00849055	0.0106035	0.0100796	0.0146946	0.0178393	0.0341942	0.0143426
vil	0.0393368	0.0409877	0.0465999	0.0402808	0.0419073	0.0345963	0.0382453	0.031148	0.0457718	0.0431352	0.059228	0.052442	0.0540949	0.0645004	0.0362882	0.0410974	0.029258	0.0172235	0.0119641	0.0206891	0.01565	0.0186241	0.012656	0.0154284	0.0179279	0.0180821	0.00554522	0.00210492	0.0033335	0.00222742	0.00357545	0.00419844	0.00550456	0.0110021	0.0129918	0.0122905	0.0291437	0.0209191
lage	0.0615917	0.0456733	0.04683	0.0382652	0.0355288	0.0353469	0.0255802	0.0199171	0.0306731	0.0275727	0.0409797	0.0284822	0.0242801	0.0316633	0.0285796	0.0349459	0.025977	0.0170112	0.0164163	0.0185703	0.0167585	0.0211987	0.0145433	0.0199669	0.0248874	0.0229422	0.00777344	0.00261017	0.0071533	0.00483322	0.00513749	0.00727135	0.0129207	0.0259302	0.0345702	0.0349342	0.0608016	0.0418829
d'	0.0249183	0.0244747	0.0267809	0.0211676	0.0279217	0.0269011	0.0336435	0.0298554	0.0323606	0.0238145	0.0335309	0.0255067	0.0240675	0.0314627	0.0294435	0.0276065	0.0329397	0.0164133	0.0259226	0.0345299	0.0341032	0.049961	0.0306922	0.0286549	0.0417434	0.0513372	0.00980935	0.00394349	0.0096969	0.00693805	0.00864634	0.0114266	0.0146482	0.0217879	0.0244593	0.0249995	0.0331229	0.040768
okoungou	0.0340242	0.030035	0.0281944	0.0187837	0.0155452	0.0114474	0.0124972	0.0137891	0.0148083	0.0166529	0.0137002	0.0150526	0.0212715	0.0145603	0.0209189	0.0239564	0.0174402	0.0215397	0.0154427	0.0136943	0.0147992	0.0160309	0.011092	0.0152817	0.0227164	0.0286112	0.0142933	0.00862083	0.0208612	0.0182862	0.0275433	0.0249706	0.0313527	0.0574649	0.0536097	0.0635569	0.0895266	0.108028
a	0.0431649	0.0248438	0.0183244	0.0120391	0.0106281	0.0102476	0.0144963	0.0164632	0.0263471	0.0212375	0.0235993	0.0238476	0.0287153	0.0233358	0.026815	0.0374248	0.0275593	0.025713	0.0112368	0.025356	0.0311813	0.0295768	0.0151726	0.0309198	0.0249669	0.0265254	0.0182275	0.0121082	0.0155946	0.0207556	0.025204	0.0301876	0.0429044	0.0392346	0.0416265	0.045184	0.0633947	0.0358406
une	0.0541099	0.0305051	0.0229358	0.0204061	0.0189203	0.0220598	0.0296502	0.03108	0.0434809	0.0270565	0.0344352	0.0391173	0.0496699	0.0341141	0.0363365	0.0404612	0.0256052	0.0246494	0.0132558	0.0308746	0.0243345	0.0229478	0.0149439	0.0265202	0.0151773	0.0154305	0.0149103	0.00699568	0.00979114	0.0121509	0.0178758	0.0178591	0.0262618	0.0256848	0.0246893	0.026531	0.0508569	0.0183151
barbe	0.0514089	0.0408394	0.0356968	0.0252656	0.0175195	0.0131596	0.0149561	0.0174846	0.0195761	0.0215446	0.0237922	0.024812	0.0410129	0.0235256	0.0311219	0.0314033	0.0182729	0.0186512	0.00843818	0.0172159	0.0158622	0.0171178	0.0117677	0.0219879	0.0171138	0.0158918	0.0142639	0.00946381	0.0125217	0.0185333	0.0246921	0.0168567	0.0214972	0.0390066	0.0411998	0.0435221	0.0891341	0.0738703
touffue	0.0369731	0.0297953	0.022413	0.0200703	0.0161619	0.0172754	0.0150809	0.0321755	0.0323113	0.0234773	0.0311215	0.0190439	0.0173905	0.0101469	0.0124582	0.0290519	0.0129607	0.0198174	0.00688306	0.0105164	0.0148111	0.0144192	0.0102362	0.0145004	0.0178803	0.0170362	0.0105963	0.00811663	0.0131191	0.0185843	0.0261489	0.0249699	0.030822	0.0506795	0.0571983	0.057694	0.0777966	0.120267
</S>	0.0364313	0.02683	0.0216895	0.0197808	0.0136336	0.0155366	0.0168167	0.0243621	0.0245045	0.0177198	0.0248456	0.0148526	0.0158602	0.00996222	0.0113714	0.0169174	0.00982202	0.0132912	0.0075907	0.0125262	0.0195782	0.0217778	0.0162627	0.0192391	0.0253494	0.0289277	0.0223038	0.0202243	0.0247809	0.0287155	0.0330406	0.0309451	0.0404632	0.0492871	0.0505252	0.058675	0.0615648	0.0939952
