 	a66	a87	a23	a97	a10	a99	a87	a97	a83	a21	a5	a12	a43	a75	a5	a37	a34	a21	a5	a61	a62	a88	a62	a21	a85	a92	a93	a4	a13	a53	a15	a69	a7	a54	a7	a26	a82	a3	a97	a99	a97	</S>
on	0.0540216	0.0665235	0.0389684	0.0207932	0.015088	0.00979973	0.00940717	0.0119411	0.0124783	0.00878694	0.0144791	0.0155727	0.0195203	0.0185419	0.0149443	0.017164	0.0141784	0.0134521	0.0173843	0.0156468	0.0253031	0.0251857	0.0318007	0.0406384	0.0524544	0.0378557	0.0391618	0.037487	0.0391664	0.0252761	0.0114546	0.00594289	0.0263751	0.0192783	0.0434226	0.0150241	0.0279767	0.0135623	0.0115814	0.0141943	0.0216733	0.0264931
ne	0.0365668	0.0292141	0.0507547	0.0336638	0.0450326	0.0282242	0.0246332	0.0368586	0.0299996	0.0355378	0.0673277	0.0427191	0.0391968	0.0268759	0.0242745	0.0200022	0.0233756	0.020712	0.0209517	0.0206874	0.0139608	0.0171243	0.0125668	0.0158928	0.0113721	0.0139075	0.0125782	0.00936511	0.0124472	0.00973587	0.0100237	0.0336394	0.0218825	0.0178848	0.0122261	0.0151785	0.0116075	0.014793	0.0173704	0.0168665	0.0185128	0.0244558
venge	0.0180094	0.00866232	0.0112634	0.00849597	0.00947536	0.00828625	0.0112507	0.0260327	0.026643	0.0258381	0.0467821	0.0750225	0.0585921	0.0661381	0.0385722	0.0282276	0.0308575	0.0499871	0.0414119	0.0558934	0.0420301	0.0484422	0.0176992	0.0110099	0.00791626	0.0118678	0.00551752	0.00877539	0.00523483	0.00789435	0.00362843	0.0113179	0.00910206	0.00827116	0.00992888	0.0075152	0.0175846	0.0144043	0.0152135	0.0227837	0.0364132	0.0320074
plus	0.0510579	0.0448841	0.0360766	0.0365595	0.0338835	0.0417426	0.0443374	0.0267519	0.0396634	0.0250873	0.0576817	0.0435742	0.0456911	0.0315378	0.0245199	0.0289888	0.0255913	0.0298642	0.0260626	0.0252829	0.0252942	0.0124788	0.0159674	0.0124272	0.0121627	0.0169281	0.0130559	0.01576	0.0107926	0.014922	0.0131201	0.00896235	0.00755111	0.00689962	0.0106432	0.0105858	0.0101109	0.0103355	0.0104366	0.0104713	0.00810566	0.0241498
les	0.0640105	0.0451257	0.0418443	0.0368389	0.0322856	0.0151781	0.0184094	0.00920772	0.0164598	0.01634	0.0272198	0.0212385	0.0199573	0.0127667	0.0190122	0.017433	0.0248528	0.0275957	0.03472	0.0372251	0.0471377	0.0425484	0.0350287	0.0135827	0.018735	0.0142522	0.0205707	0.0224105	0.014127	0.0339282	0.012058	0.0144313	0.00608393	0.00583246	0.0179607	0.00961295	0.0156839	0.0231882	0.0198032	0.0212954	0.0166987	0.0373089
morts	0.0319847	0.0153411	0.00998075	0.00878306	0.0089177	0.011504	0.0135725	0.00758271	0.0135368	0.0159114	0.0198242	0.0285998	0.0152649	0.023496	0.0160176	0.0221677	0.027871	0.0218451	0.0314295	0.0570797	0.0480559	0.0406528	0.0315684	0.0295931	0.0225723	0.0228501	0.0170917	0.0222435	0.0270072	0.0269137	0.0265576	0.0297965	0.0197725	0.0322442	0.027871	0.0402342	0.0237821	0.0341054	0.0248914	0.0208309	0.0149183	0.0157371
par	0.0482976	0.0239684	0.0201905	0.0220115	0.0217716	0.0198112	0.017644	0.0165955	0.0142613	0.0140788	0.0115408	0.00983584	0.00586297	0.00741031	0.00499466	0.00712454	0.00742751	0.0109658	0.0166406	0.0298349	0.0213195	0.0281254	0.0246237	0.0172833	0.0234278	0.0312973	0.02051	0.0430985	0.0263294	0.0396684	0.0244597	0.0296996	0.0272192	0.0434355	0.0489999	0.0403135	0.0360192	0.0354156	0.0297506	0.0331867	0.0225988	0.0229504
des	0.0793249	0.0384374	0.040431	0.0246128	0.0182709	0.0124212	0.0110451	0.0107347	0.0126726	0.00835186	0.00938779	0.00863685	0.00690734	0.00617406	0.00403517	0.00412217	0.00502653	0.007282	0.0131795	0.0248594	0.0321557	0.0373016	0.0251624	0.0211435	0.0260616	0.0303128	0.0203112	0.0491248	0.0267682	0.0476133	0.019488	0.0156944	0.0252737	0.0335346	0.0389841	0.0240391	0.0301498	0.0260754	0.0227155	0.0304611	0.031308	0.040408
fétiches	0.0270102	0.0122562	0.00956265	0.00741829	0.00893685	0.0105704	0.00842639	0.00807479	0.00982613	0.0105407	0.0132813	0.0130191	0.00960964	0.0087094	0.00746122	0.00586351	0.00829545	0.0116928	0.0199055	0.0276274	0.028795	0.0307561	0.0304924	0.026109	0.0423518	0.038882	0.0320343	0.0796591	0.0486339	0.066205	0.0386346	0.0318821	0.0166816	0.0254734	0.0328332	0.0246106	0.0209889	0.0303937	0.0242095	0.0309297	0.0260983	0.0352582
dans	0.101423	0.0425479	0.0217254	0.0189264	0.0134481	0.00990908	0.00659939	0.00685067	0.00827331	0.00556852	0.0105067	0.0106546	0.00599985	0.00498413	0.00306769	0.00310346	0.00262466	0.00390613	0.00678105	0.00864945	0.00722014	0.00953948	0.0154879	0.0171413	0.0167521	0.0221756	0.0199398	0.02343	0.0157038	0.0221308	0.0222075	0.0288637	0.0347963	0.0380308	0.0479192	0.0429985	0.0467336	0.0424806	0.0429341	0.0521629	0.0503582	0.0854439
