 	a66	a82	a10	a87	a97	a82	a83	a9	a53	a90	a93	a75	a79	a44	a54	a73	a0	a54	a79	a44	a70	a50	a62	a70	a50	a0	a11	a93	a90	a69	a70	a99	a50	a96	a70	a99	a13	a38	a9	a3	a82	a3	a82	a9	a97	</S>
la	0.0871807	0.064838	0.0534644	0.0448351	0.033293	0.0497777	0.0193317	0.0217998	0.0422732	0.0330589	0.0241507	0.0140544	0.018481	0.0114323	0.0219148	0.0202462	0.041878	0.0168271	0.0112597	0.00878762	0.00789483	0.0197578	0.0161443	0.0142004	0.0219778	0.0181068	0.0166413	0.01751	0.0261791	0.0225535	0.0329968	0.0221926	0.0169676	0.0181469	0.0118203	0.0121657	0.00837492	0.00569349	0.00448627	0.00483129	0.0054493	0.00382069	0.00705089	0.00683673	0.00592869	0.0133876
maladie	0.000798581	0.00451761	0.0100343	0.00768861	0.0161524	0.0248424	0.0270723	0.0359162	0.0781009	0.0693623	0.0472384	0.0293137	0.0469399	0.042354	0.0528751	0.0291421	0.0275801	0.0265487	0.0533934	0.0227335	0.0293667	0.0392484	0.0371605	0.0335003	0.0299709	0.0346272	0.0307777	0.0298396	0.015194	0.0153675	0.00993291	0.0146957	0.00835819	0.00493653	0.00316716	0.00183536	0.00145261	0.000502046	0.000876572	0.000710812	0.000651113	0.000516795	0.00118964	0.00073698	0.00127753	0.00150287
de	0.0159245	0.0130658	0.013356	0.00606937	0.00379628	0.0061332	0.0111148	0.0113615	0.0134523	0.0235982	0.0289271	0.0623415	0.0747508	0.038688	0.0377856	0.031841	0.0286124	0.0400852	0.0433193	0.0408604	0.0541134	0.0611137	0.0808443	0.0475331	0.0450532	0.0240979	0.0235306	0.017714	0.010741	0.00663339	0.00845577	0.00220764	0.00372053	0.00257752	0.00240312	0.00191236	0.00235605	0.00295366	0.00488165	0.0045812	0.00508806	0.00634163	0.00732055	0.00428091	0.0135386	0.0109229
sa	0.0546401	0.0210269	0.0175711	0.0106953	0.00515823	0.00888866	0.0150366	0.0131339	0.0112432	0.0104436	0.0163778	0.0221901	0.0220577	0.0271652	0.0324937	0.0306374	0.0170204	0.0148913	0.0224317	0.0222292	0.0180237	0.0184039	0.0207242	0.019019	0.0222968	0.0193853	0.021914	0.0270456	0.0168081	0.0143867	0.0258723	0.0108964	0.0225635	0.011197	0.00958579	0.0138872	0.0110849	0.0205087	0.0238806	0.0197202	0.0296333	0.032927	0.0263401	0.0340077	0.0400562	0.0744997
femme	0.0279421	0.0190408	0.0182583	0.0210276	0.0208273	0.0117997	0.00864882	0.0115666	0.00810013	0.00971557	0.018522	0.0358246	0.0310407	0.0305061	0.0394946	0.0319838	0.0259545	0.0255687	0.0333574	0.0438703	0.0390895	0.0326953	0.0304669	0.0367083	0.0271303	0.0335173	0.0362878	0.0359279	0.0442113	0.0329247	0.0200562	0.00898127	0.0206003	0.00980958	0.00849608	0.0101306	0.00946213	0.00476145	0.0040761	0.00689005	0.00523244	0.00574219	0.0138384	0.00626757	0.0157649	0.0278817
l'	0.0172163	0.0117069	0.0168907	0.019592	0.0234592	0.0178826	0.0221329	0.0180455	0.0100453	0.0131128	0.0165486	0.044382	0.0509645	0.0489612	0.0382305	0.0420345	0.0285083	0.024438	0.0363667	0.0593666	0.0633127	0.0426988	0.0271461	0.0255012	0.0160898	0.0123303	0.0123721	0.0122937	0.017903	0.00951392	0.00924575	0.00514332	0.0116119	0.00721867	0.00810713	0.00805878	0.00949211	0.00465907	0.00799207	0.0110375	0.0106214	0.0164415	0.0265406	0.0153658	0.0208702	0.0285476
a	0.0391611	0.0202128	0.0228431	0.0282705	0.048805	0.0464984	0.0508414	0.0270665	0.020885	0.030127	0.0296114	0.0521764	0.0582164	0.0692623	0.0351055	0.0502041	0.0261472	0.0248804	0.0209761	0.0234857	0.0213009	0.0186986	0.016242	0.0175927	0.0180467	0.0158553	0.0134473	0.0134235	0.0160426	0.0105782	0.0147351	0.00508636	0.00626141	0.00641726	0.00504996	0.00402096	0.00524924	0.00218012	0.0029668	0.0046799	0.00342041	0.00592156	0.015055	0.00613708	0.0115119	0.0153027
plongé	0.0395688	0.0265579	0.0244821	0.0243086	0.0233091	0.0359108	0.0343215	0.0208335	0.019597	0.0292976	0.0309049	0.0488052	0.0439991	0.0404517	0.0272848	0.0552381	0.0599011	0.0326379	0.0232398	0.0331736	0.027488	0.0281274	0.0148747	0.0165688	0.0167275	0.0115681	0.0106013	0.0110039	0.0158478	0.0125473	0.0133752	0.0108198	0.012114	0.0152449	0.00900041	0.00699999	0.0097846	0.00380497	0.0059926	0.00844073	0.00726106	0.010565	0.0166003	0.0092902	0.0101521	0.011376
dans	0.0461291	0.0379518	0.0235833	0.0137047	0.00836102	0.0116043	0.0154466	0.00991955	0.00917434	0.00990056	0.00973263	0.0174934	0.0187481	0.022486	0.0230339	0.0320482	0.0187449	0.0142954	0.0133797	0.0100209	0.00746169	0.0116897	0.00892209	0.00932517	0.00941036	0.00753465	0.00798006	0.00714015	0.00997509	0.0102004	0.0112952	0.0175703	0.0116786	0.0165135	0.0144881	0.0225784	0.026439	0.0214494	0.030092	0.0456539	0.0453571	0.038752	0.0605368	0.0487661	0.0682499	0.065182
les	0.0385576	0.0332717	0.0248709	0.0233383	0.0216061	0.0105618	0.00603627	0.00546863	0.00477647	0.00559006	0.00556625	0.015258	0.0181217	0.0225047	0.0225647	0.0307039	0.0261515	0.0217081	0.0148882	0.0141093	0.0103467	0.0114833	0.0101038	0.00932447	0.00988582	0.00812918	0.00782746	0.00631945	0.0093681	0.0079394	0.00844319	0.00850078	0.00825058	0.0096719	0.0115307	0.0130776	0.0133608	0.018142	0.02143	0.0403806	0.0399707	0.0346998	0.0502041	0.059231	0.0720648	0.13466
dettes	0.0405706	0.0354356	0.0255715	0.0230747	0.0205888	0.0192819	0.0157398	0.013049	0.0166004	0.0119324	0.00939491	0.0146248	0.0209842	0.0255992	0.0268473	0.0364653	0.0283946	0.0226951	0.0204761	0.0224103	0.0171448	0.0164828	0.016257	0.0190116	0.0315141	0.0260833	0.0361678	0.0327064	0.0291219	0.02368	0.0257998	0.0137895	0.0113831	0.0131526	0.00778017	0.0120214	0.0105554	0.0107484	0.011113	0.0135068	0.0130702	0.0141151	0.0281178	0.0166288	0.043775	0.056537
</S>	0.0998391	0.052601	0.0241778	0.0175813	0.0119024	0.0101989	0.00574274	0.00458647	0.00569255	0.00435923	0.00489561	0.00784078	0.0100162	0.0178131	0.0202886	0.0294377	0.0343258	0.0312811	0.026674	0.0290281	0.0198185	0.0134922	0.0121676	0.01515	0.014399	0.00971992	0.0158755	0.0135842	0.0140467	0.0150169	0.0202172	0.00476734	0.00876567	0.00650415	0.00704678	0.00861492	0.0099507	0.0162129	0.0178397	0.0234595	0.0264938	0.0342359	0.0500909	0.0488527	0.0608582	0.064537
