 	a66	a87	a23	a79	a7	a54	a6	a36	a37	a96	a66	a71	a53	a15	a7	a84	a87	a62	a88	a62	a61	a0	a56	a61	a12	a18	a53	a69	a58	a82	a87	a23	a87	a23	a87	</S>
les	0.0226586	0.0328169	0.0254318	0.0260333	0.0501666	0.0845403	0.143913	0.111502	0.0409617	0.0266307	0.0125343	0.0094501	0.00919095	0.00978991	0.00973843	0.0165439	0.0208966	0.0185055	0.0161934	0.011119	0.0108695	0.0100715	0.0124603	0.00832266	0.00885521	0.0112831	0.0168398	0.0277378	0.0342847	0.0309828	0.0235091	0.0186067	0.0265406	0.0198323	0.0133457	0.0278416
gens	0.00480964	0.00890822	0.0107575	0.0119019	0.0252103	0.0308	0.0523428	0.0572366	0.068966	0.0477048	0.104342	0.109571	0.146976	0.0773611	0.0823266	0.0392868	0.0343507	0.0191367	0.0122909	0.00948156	0.00636126	0.00666129	0.00207783	0.00162262	0.00161057	0.00158564	0.00365187	0.00239063	0.00251581	0.00206091	0.00238515	0.00217149	0.00332052	0.00264952	0.00352496	0.0016488
se	0.111888	0.0948832	0.0525795	0.0306656	0.0383274	0.0256608	0.0281871	0.0117846	0.0301131	0.0116989	0.0473741	0.0596351	0.0539597	0.0512885	0.0516518	0.0346329	0.0237068	0.0197601	0.0130369	0.00681086	0.0101007	0.0125577	0.0142396	0.00912587	0.00876027	0.0082696	0.0111362	0.00941559	0.0153644	0.0108113	0.0127706	0.0140434	0.0177176	0.0146423	0.0250219	0.00837792
sont	0.0192156	0.00850763	0.00556876	0.00428692	0.00513081	0.0132453	0.0211731	0.0556885	0.0265516	0.0397993	0.0260488	0.0644348	0.0718748	0.0578425	0.0926505	0.0627748	0.0415192	0.0438031	0.029169	0.0357915	0.028977	0.0294744	0.00990555	0.0101502	0.00832517	0.00978698	0.0128567	0.020085	0.0172984	0.0129246	0.0240303	0.0268911	0.0137962	0.0156907	0.0191946	0.0155364
réunis	0.0282256	0.0288874	0.0237091	0.0196815	0.0123979	0.0125439	0.0102293	0.0101376	0.0112838	0.00882662	0.0179957	0.0324814	0.0342554	0.0410684	0.0447595	0.0447449	0.0561552	0.0779082	0.078322	0.116309	0.0815647	0.0665406	0.0258089	0.0216853	0.00953839	0.00775849	0.00763477	0.00575927	0.00507023	0.00579163	0.00574234	0.0093776	0.00911155	0.00908975	0.0098545	0.00974956
en	0.0401093	0.0271189	0.0169748	0.0145158	0.0124936	0.0125886	0.0104767	0.01031	0.0147239	0.0115225	0.0167623	0.0182711	0.018377	0.0177908	0.0162837	0.0158229	0.0167839	0.0200338	0.0369842	0.0318703	0.0360871	0.0353284	0.0283489	0.0336556	0.0194744	0.0199957	0.0274059	0.0357208	0.0635627	0.05184	0.0443516	0.0400062	0.0502864	0.0493202	0.0301575	0.0546444
masse	0.0422034	0.0305626	0.0258776	0.0163347	0.0124638	0.0139229	0.0121912	0.01492	0.0174769	0.0165131	0.0189147	0.0190512	0.0159539	0.0182172	0.0190389	0.0197195	0.0169356	0.018185	0.0324572	0.0220551	0.0180187	0.017964	0.0181687	0.0188742	0.0156356	0.0146716	0.0180036	0.022973	0.0350329	0.0555215	0.0617076	0.0616788	0.0675563	0.0609969	0.0536629	0.056539
dans	0.05549	0.0401318	0.0373166	0.0278003	0.0231453	0.0270305	0.0200512	0.0196189	0.0174731	0.0209527	0.0181289	0.0197979	0.0164411	0.0160621	0.012656	0.0182744	0.0151171	0.012095	0.0098909	0.00818137	0.00712137	0.00663348	0.00992971	0.0137616	0.0130272	0.0143336	0.0185316	0.0215369	0.0335015	0.045612	0.0481589	0.0557569	0.051555	0.0529997	0.0563402	0.115545
la	0.0782671	0.0579427	0.0491182	0.0365012	0.0356164	0.0288906	0.0202475	0.0170786	0.0092392	0.00833265	0.00769987	0.00795997	0.00817211	0.00816857	0.0071193	0.00789488	0.00843534	0.00758315	0.0090752	0.0109173	0.00964332	0.00809062	0.0110823	0.00922069	0.0104281	0.00923172	0.0161882	0.0317183	0.0430294	0.0547969	0.0466611	0.0504353	0.0491519	0.05496	0.0599015	0.111201
salle	0.0379762	0.0157528	0.0185391	0.0174389	0.0163935	0.016904	0.0136367	0.0107592	0.00899052	0.00822826	0.0110428	0.0204837	0.0198004	0.0217072	0.0185513	0.0293228	0.0292832	0.0293449	0.0354267	0.0311397	0.02178	0.0198378	0.0223993	0.0298553	0.0305424	0.028962	0.0309967	0.0411299	0.0453188	0.0509298	0.042179	0.0375616	0.0393838	0.050285	0.0375393	0.0605774
de	0.0204752	0.0089857	0.00873659	0.00667719	0.00761269	0.0106214	0.00893723	0.00845444	0.00467776	0.00853017	0.00974429	0.0099247	0.00868897	0.00823776	0.00466614	0.00849139	0.00899964	0.00900459	0.0113536	0.00760367	0.00754692	0.00684976	0.0103605	0.011098	0.0147604	0.0153327	0.0208996	0.0375554	0.0615649	0.0684066	0.0778887	0.0886529	0.0766774	0.0861135	0.0761997	0.15967
