 	a66	a87	a23	a83	a11	a12	a96	a94	a93	a56	a96	a66	a90	a98	a6	a75	a92	a21	a47	a61	a43	a31	a61	a94	a38	a82	a10	a87	a23	a99	a97	a27	</S>
j'	0.100732	0.0628402	0.0420426	0.0274247	0.0196649	0.0142839	0.0104007	0.00699517	0.00606181	0.0112081	0.0117682	0.0202792	0.0225145	0.0242104	0.0345088	0.0179342	0.0119888	0.00941482	0.0114806	0.0453577	0.0437305	0.0380892	0.0472475	0.0354825	0.0485242	0.0288564	0.0306812	0.0202665	0.0252385	0.0329645	0.0471142	0.0272633	0.0634306
ai	0.0215991	0.0159567	0.0226062	0.0211384	0.024839	0.0254631	0.0221642	0.0179655	0.0261661	0.0457343	0.0289334	0.0466294	0.0307646	0.0588434	0.091108	0.0356119	0.0349113	0.037097	0.0195588	0.0256233	0.0217598	0.0180419	0.025833	0.0289202	0.0198797	0.0245824	0.0261218	0.0232469	0.0209369	0.0326877	0.0253758	0.0468122	0.0330878
compris	0.0363159	0.0288947	0.0315779	0.0281576	0.0484102	0.0251608	0.0203408	0.0231838	0.0168979	0.0277244	0.0169855	0.0261017	0.0163077	0.0255658	0.0271335	0.0130012	0.0138386	0.0129656	0.0199229	0.0247013	0.0440007	0.0353552	0.0416615	0.0344486	0.0279286	0.0249863	0.0343519	0.0362439	0.0375712	0.0487095	0.0404902	0.0754761	0.0355883
tout	0.0703584	0.042728	0.0172334	0.0111642	0.0175166	0.0204429	0.0212091	0.0277228	0.0191264	0.0191663	0.00945756	0.0100447	0.0113253	0.00945759	0.00982276	0.017155	0.0147708	0.0181061	0.0271284	0.0212	0.0319057	0.0349311	0.0310562	0.0366628	0.026531	0.0386862	0.0552675	0.0519432	0.0491809	0.0691583	0.0548455	0.0656498	0.0390456
ce	0.0611772	0.0528463	0.0295443	0.024227	0.0261306	0.0172958	0.0277326	0.0257953	0.0316013	0.026478	0.0275321	0.021328	0.0188985	0.020107	0.0184884	0.0135014	0.015298	0.0123537	0.0226201	0.0114729	0.0231173	0.0316573	0.0285165	0.039699	0.0234308	0.0362024	0.0449151	0.0456313	0.0378884	0.0559642	0.0409323	0.0548746	0.0327425
que	0.106405	0.0961009	0.0648159	0.0504399	0.0310201	0.0318117	0.0319474	0.0322465	0.0248533	0.0190971	0.0127812	0.0101671	0.009143	0.0125583	0.0116501	0.0118247	0.0108351	0.00683097	0.0131219	0.0109767	0.024591	0.0323328	0.0321046	0.0483357	0.0299986	0.0318033	0.0317348	0.0256778	0.0273172	0.0331267	0.0308984	0.0347899	0.0186618
tu	0.151292	0.0718923	0.0679485	0.0349636	0.0349012	0.019208	0.0201583	0.0278071	0.00933727	0.00947744	0.00970695	0.00441791	0.00465652	0.00433508	0.00705425	0.00450557	0.00599125	0.00447125	0.0110221	0.0122875	0.0166635	0.0342476	0.0226239	0.0351664	0.0209939	0.0266386	0.0446839	0.0463133	0.0368871	0.0660038	0.0561069	0.06478	0.0134575
as	0.0702776	0.0565993	0.0247039	0.017878	0.0174714	0.00834397	0.0083969	0.00994173	0.00851274	0.0106982	0.0150011	0.0101398	0.0138883	0.00863235	0.0145891	0.0117839	0.0158299	0.0179688	0.0240032	0.0175851	0.0359112	0.0397931	0.0542359	0.0403762	0.0280613	0.036778	0.0483018	0.0566363	0.0605482	0.0633775	0.0613669	0.0694862	0.0228821
dit	0.0733027	0.0511533	0.0402076	0.0292958	0.0318299	0.0217895	0.026088	0.027242	0.014415	0.0150357	0.0159724	0.0158472	0.0145914	0.00722892	0.0096363	0.00610823	0.00779614	0.00878901	0.0117143	0.00711311	0.0117509	0.0161414	0.0210345	0.013084	0.0218941	0.020545	0.0391644	0.0331453	0.0481778	0.0720919	0.0641401	0.0899492	0.113725
</S>	0.0357313	0.0176861	0.008353	0.00721575	0.00793295	0.00263116	0.00157834	0.00234265	0.00136128	0.00204992	0.00229371	0.00242776	0.00229828	0.00341384	0.00770117	0.00263888	0.00466669	0.0122588	0.0403408	0.0300461	0.0557622	0.0510242	0.115386	0.0440206	0.0482396	0.0343343	0.055931	0.0664759	0.0831241	0.0754005	0.0735593	0.0725774	0.0291964
