 	a66	a87	a23	a87	a99	a54	a92	a79	a98	a47	a6	a37	a61	a0	a75	a6	a37	a0	a11	a93	a70	a11	a93	a90	a4	a94	a47	a31	a0	a34	a56	a25	a69	a98	a6	a37	a62	a88	a18	a36	a27	a57	a87	a23	a97	</S>
les	0.0297639	0.0359456	0.0391935	0.0316968	0.0147325	0.0240755	0.0202379	0.0567634	0.0417384	0.0850479	0.0451313	0.0326975	0.0217184	0.0277706	0.0138881	0.0193832	0.0173088	0.017412	0.0207812	0.0284575	0.0421929	0.0253032	0.0330342	0.0199387	0.0220271	0.0153764	0.0103395	0.0211199	0.013756	0.0120107	0.0154234	0.0164808	0.0106329	0.00966192	0.00722108	0.00774207	0.0100184	0.00633491	0.00530828	0.00725557	0.00834681	0.00714358	0.00590489	0.0079737	0.00845721	0.0272516
jeunes	0.00345924	0.00683497	0.0164529	0.0201847	0.0254612	0.0358892	0.043795	0.0541618	0.058443	0.118393	0.0831016	0.079093	0.0344472	0.0375081	0.0360506	0.060088	0.0405805	0.0481118	0.0413598	0.0143695	0.030681	0.020555	0.0186343	0.0125721	0.00855412	0.00333109	0.0037319	0.00278003	0.0022324	0.00296506	0.00287003	0.00375124	0.00258075	0.00183525	0.00225744	0.00246965	0.0013411	0.00164253	0.00137012	0.00145473	0.00150598	0.00269677	0.00215295	0.00247746	0.00361897	0.0021526
ont	0.0270543	0.0277946	0.0257164	0.0222927	0.0186732	0.0138589	0.00833416	0.00596245	0.0112817	0.0187093	0.0226845	0.0420489	0.0243146	0.0303429	0.0371496	0.0421922	0.0737364	0.0906053	0.0708101	0.0416826	0.0274216	0.0257016	0.0179337	0.0182397	0.0160104	0.0149742	0.0178475	0.00991318	0.0122065	0.0132376	0.010668	0.0117447	0.0103563	0.00542732	0.00198969	0.00279172	0.00513867	0.00530974	0.00360137	0.00696715	0.00772125	0.0176213	0.0167745	0.0191473	0.0313984	0.0146118
déjà	0.0159954	0.00890638	0.00383354	0.00252912	0.00346341	0.00313537	0.00502842	0.010384	0.00783255	0.027371	0.0373934	0.0427531	0.0380988	0.0387801	0.0339464	0.0198724	0.0187377	0.0370529	0.032428	0.0295808	0.0597142	0.0443805	0.0603605	0.0398623	0.0331238	0.0201815	0.0246412	0.0254015	0.0140365	0.0131947	0.00931289	0.0126684	0.0106965	0.0151258	0.0152053	0.0138432	0.0265104	0.014803	0.0230347	0.0204448	0.0143335	0.0150729	0.0160611	0.0130943	0.0124962	0.0152772
troué	0.00873665	0.00518727	0.0032707	0.00275681	0.00437682	0.00607642	0.0136171	0.0131086	0.0163942	0.0153301	0.0152794	0.0137369	0.0170834	0.0185803	0.0288474	0.00784175	0.0169523	0.0396814	0.0558071	0.0519924	0.0731886	0.0713866	0.0644566	0.0574511	0.0468316	0.0465363	0.0642605	0.0645413	0.0373545	0.00718876	0.00979548	0.00767513	0.00996215	0.0146486	0.0124031	0.00986986	0.0125794	0.00728304	0.00640158	0.0039337	0.00378813	0.00302169	0.00245874	0.00212297	0.00209573	0.00410795
le	0.0436685	0.0243188	0.0172421	0.0126267	0.00654274	0.0128133	0.0093658	0.00511936	0.0084745	0.0138156	0.0226475	0.0262587	0.0353728	0.0366636	0.0502921	0.058103	0.0374806	0.0745699	0.0445264	0.0471726	0.0511648	0.038643	0.0414948	0.0276689	0.0375462	0.0192481	0.0178622	0.0118389	0.0113463	0.00441112	0.00596783	0.00707473	0.00363384	0.00969583	0.00723675	0.0113532	0.0135402	0.0059991	0.00503498	0.00715589	0.0110641	0.00801456	0.00735844	0.00909233	0.0100163	0.029463
barrage	0.00949345	0.00503136	0.00417034	0.00417835	0.00401409	0.00312986	0.00506592	0.00709174	0.007614	0.00942075	0.00870712	0.0131146	0.0242109	0.020122	0.0471664	0.0388709	0.0273317	0.0427793	0.04127	0.0642506	0.0316178	0.058138	0.0665807	0.0850102	0.0320267	0.0530775	0.0473149	0.024708	0.0245354	0.0143333	0.0142619	0.0144125	0.0124293	0.0113346	0.0109258	0.0174694	0.00867838	0.0136306	0.00860697	0.0101285	0.00899033	0.0110211	0.0112823	0.00715511	0.00891041	0.00638689
que	0.0250376	0.012886	0.0170756	0.012375	0.00575612	0.00624679	0.00347707	0.00302043	0.003566	0.00453001	0.0074867	0.013808	0.0171112	0.0324409	0.0498276	0.0783286	0.0421621	0.0937619	0.0585745	0.0516361	0.0425126	0.0271789	0.0265521	0.0174188	0.0176271	0.0116765	0.0210159	0.0163396	0.0220396	0.0188869	0.0145767	0.0172521	0.00673448	0.00946242	0.00609585	0.00628669	0.00940344	0.00956943	0.0110636	0.0151729	0.0125811	0.0216585	0.020816	0.0254954	0.0335424	0.0199328
j'	0.0243122	0.0159105	0.0129907	0.00964649	0.00665775	0.00653345	0.0032232	0.00206782	0.00231635	0.00308263	0.00841962	0.00985595	0.00998328	0.018441	0.0348647	0.0351926	0.0374719	0.0500418	0.0463618	0.0417069	0.0393316	0.0306977	0.0295391	0.0229872	0.01594	0.0134429	0.0183834	0.0161934	0.0166001	0.0146676	0.0158015	0.0144394	0.0142115	0.0183784	0.0292798	0.0285417	0.0317905	0.0177683	0.0277707	0.0251205	0.0259382	0.0307464	0.0274732	0.0295953	0.0350858	0.0311952
avais	0.0274431	0.0271777	0.0157126	0.0127424	0.0101054	0.00787986	0.00671538	0.00366372	0.00294679	0.0032059	0.00625124	0.00844918	0.00932302	0.0241088	0.0315055	0.0365078	0.0433089	0.0424676	0.0472686	0.0516244	0.0404072	0.0340997	0.0283585	0.0320184	0.0222603	0.017178	0.0189663	0.0164837	0.0219669	0.0259341	0.027037	0.0202363	0.0210104	0.010496	0.0134734	0.0199363	0.0117042	0.0136473	0.0153533	0.0130155	0.0160334	0.0230321	0.020119	0.0303609	0.0411821	0.027282
