 	a23	a87	a10	a57	a9	a97	a79	a20	a94	a20	a94	a66	a98	a14	a30	a73	a76	a73	a84	a15	a44	a75	a35	a66	a38	a76	a90	a13	a38	a76	a90	a57	a9	a38	a53	a76	a90	a9	a87	a79	a4	a13	a9	a87	</S>
il	0.0470276	0.0264273	0.0259699	0.0288105	0.0262059	0.0323671	0.0395987	0.0385134	0.0361413	0.0435914	0.0294792	0.0330592	0.0474239	0.0691604	0.0296398	0.0251687	0.0344678	0.0310681	0.0131747	0.0130042	0.00872703	0.00801642	0.00949809	0.00690156	0.012465	0.00907196	0.0120601	0.0142854	0.014912	0.0155992	0.015243	0.00935293	0.0078342	0.00497886	0.00551585	0.00817631	0.0138198	0.0116947	0.020942	0.0242154	0.0129498	0.0252095	0.0187937	0.0168915	0.0225464
n'	0.00776314	0.00415694	0.00565454	0.00745357	0.0136243	0.0275497	0.0197521	0.0137369	0.00998901	0.0110492	0.00888646	0.0117973	0.0218851	0.0187614	0.0103915	0.0151375	0.00899464	0.00696758	0.0181438	0.0189906	0.0231078	0.0324469	0.0254104	0.0311077	0.0213116	0.0178285	0.0211034	0.0159136	0.0142192	0.0137446	0.0167846	0.0247368	0.0273716	0.0229904	0.0285431	0.0405112	0.0375478	0.0308732	0.0203115	0.0349042	0.0434138	0.0545272	0.0646053	0.0445027	0.0314976
a	0.0385666	0.0167933	0.0113923	0.00897374	0.0117252	0.00995675	0.0175368	0.0135622	0.0113905	0.0100673	0.014463	0.00965771	0.024303	0.0159748	0.015789	0.0147599	0.0104144	0.00961402	0.0106393	0.00820341	0.0169247	0.0267921	0.0139733	0.010409	0.00973643	0.00627281	0.00601258	0.00553269	0.0055548	0.0020433	0.0028756	0.00337087	0.00325439	0.00296598	0.00531309	0.00635422	0.00866504	0.0127025	0.0206031	0.052553	0.0635033	0.123419	0.0830021	0.121368	0.103016
plus	0.0315044	0.0469191	0.0492673	0.0472349	0.047141	0.0350027	0.0257771	0.0359337	0.0395153	0.0263433	0.0393892	0.0379944	0.0317438	0.0357714	0.0362182	0.0191361	0.0214695	0.0184566	0.0287034	0.0286349	0.0139926	0.0190953	0.0222263	0.0280919	0.0259607	0.0234352	0.030255	0.0208229	0.0139889	0.0161933	0.0146042	0.0102271	0.0101296	0.0109099	0.00793249	0.00949219	0.00572932	0.0035249	0.00345537	0.00385006	0.00376397	0.00392086	0.003871	0.00674819	0.00562235
qu'	0.072987	0.049181	0.042989	0.0302906	0.0235816	0.0243281	0.0251063	0.0343684	0.0319596	0.0315425	0.0448224	0.0380901	0.0367075	0.0298389	0.0311928	0.0263387	0.0341048	0.0373557	0.0239497	0.0236505	0.0145159	0.0165156	0.0119363	0.0111947	0.0131478	0.0135414	0.0129238	0.0136708	0.011165	0.0164291	0.0116173	0.0122103	0.00972665	0.00554497	0.00561386	0.00476126	0.00565224	0.00596031	0.00781499	0.0105425	0.00936218	0.0115527	0.0149481	0.0205441	0.0367231
un	0.0784015	0.0456461	0.0332453	0.0181798	0.00967312	0.00899651	0.00783597	0.00817849	0.00860324	0.00821637	0.0123023	0.0112357	0.00894868	0.0070452	0.010142	0.00843713	0.0117628	0.0184684	0.00835103	0.00946581	0.0139113	0.0119485	0.0115753	0.008711	0.0111989	0.00936213	0.00925734	0.0152071	0.0159198	0.0164489	0.0180148	0.0151533	0.0143404	0.00736417	0.0116114	0.00788713	0.0212959	0.0256221	0.0328282	0.0240367	0.0431628	0.0455099	0.053071	0.0737683	0.149658
an	0.0407438	0.0343348	0.0304527	0.023778	0.0240964	0.0196241	0.0182146	0.0173642	0.0183923	0.0232544	0.0311643	0.0340196	0.0306542	0.0206921	0.0385324	0.0342719	0.0379846	0.029581	0.0298157	0.0330399	0.0272391	0.0304622	0.0227437	0.0222705	0.0221135	0.0240281	0.016633	0.016093	0.015638	0.0171826	0.0185246	0.0163483	0.0151569	0.0135682	0.00932053	0.00633771	0.00826816	0.00585109	0.00680216	0.00772846	0.00952143	0.0181743	0.0211138	0.0268094	0.0320602
à	0.0608358	0.0291692	0.0222169	0.019671	0.0193055	0.0116326	0.0121499	0.00699088	0.00863548	0.0126038	0.016713	0.0108668	0.0117113	0.0122163	0.0145668	0.0125094	0.0105409	0.0109513	0.0188038	0.0222661	0.0198492	0.0188604	0.0169265	0.0193654	0.0121211	0.0100637	0.0102551	0.010544	0.0106237	0.00807851	0.00832937	0.0108135	0.0111343	0.00819873	0.0128324	0.0108541	0.0175752	0.0264636	0.0321909	0.0285424	0.0284694	0.040557	0.0585089	0.0739645	0.150521
vivre	0.0414077	0.0278354	0.0251114	0.0236798	0.0234683	0.013469	0.0109305	0.0110486	0.0109926	0.0138278	0.0157361	0.0101468	0.0151562	0.0145052	0.0170178	0.0169849	0.0175642	0.0180706	0.0128488	0.0173842	0.0121097	0.0114605	0.0139886	0.0113636	0.00813046	0.00503234	0.00631695	0.00885299	0.00745211	0.0103884	0.0135421	0.0179562	0.0231859	0.0150706	0.0205057	0.0237829	0.0269889	0.0387879	0.0356077	0.0316467	0.032125	0.0295671	0.0500595	0.0577569	0.131136
</S>	0.0547336	0.0167945	0.0088625	0.00554499	0.00338288	0.00194229	0.00206978	0.00165519	0.00150919	0.00187635	0.00186234	0.00147195	0.00192029	0.0035726	0.00299224	0.00207486	0.00373128	0.00503914	0.00242031	0.00454641	0.00537836	0.00699341	0.00658262	0.00605512	0.00537625	0.00397268	0.0045335	0.00746876	0.00894143	0.0071168	0.00982672	0.0109031	0.0158347	0.0120523	0.0310589	0.0329035	0.0531978	0.0563246	0.0435266	0.0470581	0.0576085	0.072505	0.0990409	0.115123	0.152615
