 	a87	a23	a70	a98	a92	a85	a25	a90	a4	a90	a25	a92	a85	a37	a26	a61	a88	a75	a85	a26	a82	a38	a96	a13	a99	a87	a23	a87	</S>
cet	0.0423692	0.0618488	0.0675395	0.0446962	0.0735096	0.0570174	0.0406976	0.0391633	0.0491992	0.0690454	0.0590052	0.0605426	0.040587	0.0177775	0.0138224	0.0161878	0.00896212	0.00904389	0.00928433	0.0237323	0.019283	0.0139564	0.0120145	0.013747	0.0159848	0.0145313	0.023866	0.0252723	0.0573135
enfant	0.00576314	0.0106538	0.00858553	0.0299942	0.0682252	0.0857229	0.0843711	0.0719415	0.163396	0.134523	0.0759408	0.0549412	0.0502143	0.0254598	0.0285011	0.0220601	0.0187163	0.0164891	0.00831612	0.00882401	0.00505247	0.00348952	0.00192049	0.00203048	0.00121176	0.00154722	0.00332997	0.00499874	0.00378014
est	0.0495513	0.0338274	0.0283305	0.0336902	0.0310513	0.0321579	0.0257583	0.0232105	0.026822	0.0439421	0.040621	0.0273877	0.0319928	0.0268934	0.0254899	0.0341387	0.0191196	0.0084794	0.0132447	0.0110725	0.0116533	0.0157213	0.02446	0.0324361	0.0285357	0.0499448	0.0709073	0.136948	0.0626117
en	0.0168729	0.0099341	0.0062339	0.00407839	0.00377719	0.00731502	0.0117138	0.00493739	0.00847773	0.0388887	0.0619832	0.0497901	0.0725053	0.154332	0.142252	0.0946285	0.0769442	0.0318906	0.025525	0.0130767	0.012153	0.0120662	0.0130401	0.0172024	0.0172089	0.0175924	0.0279159	0.0202477	0.0274172
train	0.0314948	0.0318405	0.0202602	0.0136601	0.009861	0.00923558	0.0119806	0.00913787	0.00618183	0.0150803	0.0364865	0.0564563	0.0786161	0.072355	0.110541	0.148211	0.0814631	0.0441897	0.027609	0.024754	0.0310767	0.0167874	0.0375085	0.0211602	0.0140889	0.0104944	0.011986	0.009857	0.00762684
de	0.0383155	0.023688	0.0175015	0.00888901	0.00796898	0.00730159	0.0055637	0.00731021	0.0078237	0.0187669	0.0185155	0.0161157	0.0109238	0.00528122	0.00313857	0.00306746	0.00261225	0.00312131	0.00769274	0.0265049	0.0525622	0.0464944	0.0811097	0.0688056	0.0830469	0.10792	0.1073	0.129058	0.0836002
se	0.032431	0.030469	0.030139	0.0376462	0.0364783	0.0467362	0.0598174	0.0637596	0.0576146	0.0393226	0.0348016	0.0277516	0.0507447	0.0497765	0.0641818	0.0587419	0.0413104	0.0342166	0.0155714	0.0135421	0.0206975	0.0157875	0.0322565	0.0265114	0.020431	0.0178643	0.0180832	0.0137235	0.00959246
gaver	0.0241765	0.0177739	0.0171634	0.0260748	0.021613	0.0248004	0.0235826	0.0237592	0.0340206	0.0540382	0.0607606	0.0566271	0.0690891	0.0586558	0.0584335	0.0496848	0.0321111	0.0184809	0.0112477	0.0143619	0.0199578	0.0129372	0.0616625	0.0506706	0.0324327	0.0353366	0.0268403	0.0269764	0.0367307
de	0.0289438	0.0186063	0.0177182	0.0144993	0.0110388	0.0124934	0.0135965	0.0205882	0.0231796	0.0282927	0.0205872	0.0168721	0.0141405	0.0122257	0.00726202	0.00687325	0.00802264	0.00930337	0.020974	0.0317981	0.0528282	0.0532265	0.109009	0.0850485	0.0738361	0.0698307	0.0574536	0.0635088	0.098243
légumes	0.0507358	0.040131	0.042762	0.03848	0.0333211	0.0344731	0.0417276	0.0509971	0.0526432	0.0426461	0.034714	0.0246018	0.0183512	0.0129495	0.00838368	0.00541036	0.00552703	0.007489	0.0112122	0.0151189	0.0150773	0.0177351	0.0325045	0.0374097	0.0383715	0.0549513	0.0781741	0.0732037	0.0808981
</S>	0.0460232	0.0348773	0.04213	0.0345218	0.0251216	0.0194354	0.0135717	0.0145493	0.0208641	0.0206656	0.0214829	0.0222791	0.0179322	0.0132555	0.00910027	0.00810981	0.00707169	0.00826514	0.011841	0.0162241	0.0169336	0.0185466	0.038095	0.0400775	0.0567693	0.0563821	0.0920186	0.106453	0.167402
