 	a66	a87	a23	a20	a36	a85	a6	a5	a43	a25	a69	a90	a92	a85	a92	a98	a47	a92	a21	a47	a93	a44	a56	a96	a75	a5	a18	a82	a97	a87	a23	a97	</S>
ils	0.0272494	0.089619	0.100194	0.095696	0.0704143	0.051502	0.047714	0.0454235	0.024482	0.0156444	0.0147069	0.018085	0.0116353	0.0103984	0.0109765	0.0135053	0.0089298	0.00661307	0.00611244	0.00941671	0.0284697	0.0189627	0.0216346	0.0267777	0.0271217	0.0310344	0.0235219	0.0246079	0.0191325	0.0228799	0.0240117	0.0168373	0.03669
ont	0.00938927	0.00780027	0.0154785	0.0176684	0.0260047	0.0277064	0.0335109	0.0475573	0.0696953	0.0567897	0.14035	0.0626268	0.0612998	0.0624981	0.0276778	0.0210373	0.0201791	0.0200039	0.0130564	0.0183969	0.00993608	0.0174492	0.0260888	0.0104473	0.0183136	0.0179343	0.0213639	0.0188761	0.0195773	0.0300122	0.0230442	0.0182625	0.00996716
fait	0.038555	0.0173641	0.0119014	0.0145608	0.0364159	0.0271821	0.02571	0.0315594	0.0325059	0.0314178	0.0550614	0.0461794	0.0610107	0.0583305	0.0248647	0.0149202	0.0113003	0.00577606	0.00544523	0.00653482	0.00589129	0.0139205	0.00855265	0.0210626	0.0334489	0.0346118	0.0272977	0.0345402	0.0447896	0.0748345	0.0482338	0.0681409	0.02808
soigner	0.0619717	0.0357198	0.0250327	0.0107264	0.0127481	0.0156811	0.0135054	0.00830825	0.0143907	0.0124069	0.00949181	0.0167767	0.0257555	0.0351161	0.0456744	0.0546881	0.0658808	0.0743244	0.0454932	0.0344112	0.0289878	0.0267833	0.0205023	0.0384266	0.0218418	0.0286087	0.0165026	0.027594	0.0494942	0.0448905	0.0214456	0.0206985	0.0361209
le	0.0717128	0.0555102	0.0682562	0.058621	0.0512465	0.0462336	0.0269314	0.0416885	0.054144	0.0547486	0.0407982	0.0377363	0.0417999	0.0362868	0.0355295	0.0371974	0.026084	0.0195718	0.0126143	0.0189985	0.0120163	0.00965986	0.00716082	0.011284	0.00478853	0.00605415	0.00402267	0.00531932	0.00950115	0.0143538	0.0176644	0.0223896	0.0400759
malade	0.0288712	0.0147145	0.0160885	0.022274	0.0364431	0.0432778	0.0312991	0.0393846	0.0616336	0.0562871	0.0299529	0.041788	0.0392491	0.044424	0.0521024	0.033801	0.0580088	0.0336963	0.0313035	0.0358044	0.0393858	0.0206569	0.0127389	0.0153033	0.0196271	0.0208913	0.0121279	0.0149774	0.0259159	0.0223345	0.0152787	0.011631	0.0187274
par	0.0847699	0.0671033	0.0381585	0.0371075	0.0307035	0.0157855	0.00412122	0.00782826	0.0132505	0.0370078	0.0192006	0.0156448	0.0157532	0.0131483	0.0102966	0.0107143	0.0106479	0.0148317	0.0133476	0.0335901	0.0439494	0.0426539	0.0260506	0.0350939	0.0238476	0.0342309	0.0211427	0.0203003	0.0310488	0.0398567	0.0476042	0.0424591	0.0987509
le	0.0808974	0.0493716	0.0339502	0.0347126	0.02139	0.0157638	0.00829387	0.0153227	0.0248665	0.0397056	0.0218627	0.0188775	0.0173437	0.0159391	0.00996622	0.0119993	0.0122681	0.0187677	0.0152464	0.0387923	0.0439179	0.0331476	0.0290837	0.0363795	0.032701	0.0388607	0.0249889	0.0274176	0.0389339	0.0365371	0.0442911	0.0424404	0.0659631
guérisseur	0.0559921	0.041771	0.0468026	0.0488012	0.0290706	0.0272249	0.0155933	0.0251221	0.028665	0.0339825	0.0277833	0.0305474	0.0369258	0.0307864	0.0181773	0.0258586	0.0163972	0.0176795	0.0113824	0.016791	0.0199851	0.0180898	0.0162786	0.0131308	0.0152164	0.0255442	0.0182973	0.0189831	0.029262	0.046141	0.0606089	0.0566768	0.0764322
qui	0.0416391	0.0483591	0.0345188	0.0358668	0.0214278	0.0134082	0.00724802	0.0133688	0.0185653	0.0187406	0.0214159	0.0193787	0.0142897	0.00907867	0.00623253	0.00913894	0.00554882	0.0111153	0.00625504	0.0154148	0.0122909	0.0153481	0.0118211	0.00997281	0.0141115	0.0342052	0.0202284	0.0180476	0.0379519	0.0718121	0.081945	0.0948262	0.206428
vient	0.043573	0.0499096	0.0306987	0.0280431	0.0150142	0.00688815	0.00372649	0.00776167	0.00988919	0.0114661	0.0141318	0.0118685	0.0101317	0.0092644	0.00694601	0.00606619	0.00626112	0.00965255	0.00975173	0.0247621	0.0162366	0.0161508	0.0153922	0.0107133	0.0190993	0.0237459	0.017974	0.0216574	0.0492832	0.0760728	0.109329	0.104071	0.204468
de	0.0461605	0.0516914	0.0346949	0.0290575	0.0163684	0.0104247	0.00674115	0.00800315	0.00907249	0.0086919	0.0115855	0.0123342	0.010628	0.0100555	0.00958598	0.00677702	0.00571673	0.00947485	0.0110137	0.0347971	0.0362922	0.0363433	0.0341034	0.0216993	0.0335048	0.033583	0.0253318	0.0303087	0.060335	0.0916604	0.0873297	0.0800975	0.0865363
ngaé	0.0358143	0.0184366	0.0190417	0.0135852	0.0151941	0.0102552	0.00590599	0.00917984	0.0157305	0.00990711	0.0136193	0.0162667	0.0107911	0.00816614	0.00648385	0.00638795	0.00562689	0.0146329	0.0215842	0.0253502	0.0390816	0.051942	0.038681	0.0374827	0.0604022	0.0492941	0.0406948	0.0536621	0.0683692	0.0780436	0.0743345	0.0702851	0.0557674
</S>	0.0259662	0.0167056	0.0158083	0.0156761	0.0140648	0.00879997	0.00485376	0.00484299	0.00628135	0.00574154	0.0102315	0.0157015	0.0149263	0.0089856	0.0061347	0.00663834	0.00498015	0.00613175	0.0114032	0.0176419	0.0581825	0.0761232	0.0391562	0.0515279	0.0508337	0.0584804	0.0447913	0.059275	0.0651451	0.0661407	0.0622428	0.0595646	0.0870211
