 	a23	a87	a23	a53	a20	a73	a56	a24	a41	a24	a41	a73	a26	a20	a73	a94	a76	a90	a94	a32	a75	a12	a18	a75	a73	a20	a73	a84	a57	a87	a23	a13	a20	a69	a58	a82	a54	a73	a94	a13	a83	a9	a99	a87	</S>
prenez	0.0103211	0.016028	0.0193613	0.0346919	0.099475	0.0741912	0.0958076	0.0720929	0.0944779	0.0746402	0.0629508	0.0463632	0.0129349	0.028744	0.0278391	0.0246719	0.0270293	0.0132411	0.0147199	0.0152816	0.00709784	0.00437351	0.00413741	0.00340857	0.00358257	0.00202591	0.00144508	0.00196867	0.00344501	0.0031967	0.00271277	0.00292295	0.00205115	0.0025901	0.00285654	0.00326841	0.00336368	0.00528475	0.00652715	0.00883981	0.00974019	0.0128944	0.0132578	0.00911995	0.0150261
quelque	0.00103085	0.00097614	0.00120786	0.00121838	0.00125085	0.00225926	0.0170877	0.0488707	0.0662919	0.0479064	0.14026	0.100672	0.0691504	0.0505118	0.026312	0.0107034	0.00903847	0.00817444	0.00981252	0.0124181	0.0167787	0.010697	0.00823228	0.01832	0.0152351	0.016448	0.01818	0.0269313	0.0177899	0.0168334	0.0177952	0.00707847	0.00977107	0.0141538	0.0233057	0.0122843	0.0192728	0.0187489	0.0159334	0.0137722	0.0147361	0.016132	0.00927426	0.0107166	0.00642609
chose	0.00827924	0.00781678	0.00791152	0.00584252	0.00427489	0.0113512	0.0207349	0.0287017	0.0572323	0.0727677	0.104624	0.0826885	0.0561402	0.0408842	0.0189192	0.0170899	0.0273882	0.0144284	0.0186347	0.0166594	0.00757948	0.00703439	0.00662282	0.00384088	0.00423855	0.00223439	0.00195764	0.00245677	0.0031661	0.00282574	0.00237119	0.00262176	0.00364978	0.00409905	0.00488385	0.0031598	0.00929856	0.0248423	0.0437956	0.0294037	0.0601085	0.0394127	0.0310917	0.0259056	0.0510299
pour	0.0229991	0.026719	0.0300153	0.0351071	0.0148262	0.0146995	0.02376	0.0489487	0.0517134	0.0672684	0.0335313	0.0467493	0.0398231	0.0370507	0.034231	0.0266292	0.0266493	0.0260248	0.0190729	0.0228703	0.0286182	0.00974577	0.0117724	0.015937	0.0228844	0.0302385	0.0349267	0.0364098	0.0308556	0.0201639	0.0176188	0.00992866	0.00708209	0.00584833	0.00389254	0.0046272	0.00353901	0.00440674	0.0080081	0.00333659	0.00807901	0.00760352	0.00612735	0.00491215	0.0147488
vous	0.00799026	0.00590891	0.00244098	0.00640475	0.00305575	0.00523415	0.00271776	0.00328246	0.00424629	0.00425067	0.0134679	0.0046459	0.0165253	0.00926977	0.0316012	0.028375	0.0473853	0.0234532	0.0249757	0.030601	0.0263496	0.0333166	0.0245107	0.0178929	0.017601	0.0128575	0.0129842	0.0123792	0.0118434	0.0114698	0.0150143	0.0162418	0.033566	0.0232817	0.0236462	0.0222286	0.0296301	0.0407976	0.058203	0.0467248	0.0436929	0.0507019	0.0360193	0.0412688	0.0619456
en	0.0195957	0.0151076	0.00813841	0.010057	0.00399577	0.00833957	0.00735857	0.0142853	0.0179341	0.0183733	0.0225458	0.020746	0.0348649	0.0223865	0.0242495	0.031141	0.0376811	0.0253459	0.0159631	0.0165853	0.0184633	0.0151767	0.0154708	0.0151005	0.0178786	0.0140054	0.0175601	0.0160505	0.012602	0.0122294	0.00834474	0.0177775	0.0310089	0.0145683	0.0166629	0.024158	0.0305225	0.0367009	0.0395206	0.0417741	0.0379347	0.0447294	0.0330743	0.0414498	0.0525414
servir	0.0226957	0.0311481	0.0188074	0.017317	0.0100126	0.0156069	0.0100214	0.00651939	0.0176902	0.0132079	0.0242097	0.0415782	0.0438232	0.059924	0.0634498	0.0656978	0.0561461	0.042672	0.0212267	0.0239118	0.0422993	0.0209932	0.0268172	0.0207808	0.0169161	0.0127936	0.00985003	0.00909753	0.00602153	0.00856255	0.00896055	0.0223972	0.0288013	0.0128795	0.0114705	0.0149224	0.0104203	0.0140998	0.0109665	0.0167014	0.0110866	0.0113235	0.0116987	0.0158171	0.0186569
au	0.016246	0.0194797	0.0123244	0.00746161	0.00387086	0.00403659	0.00279481	0.00277861	0.00487589	0.00272369	0.00923562	0.00500437	0.00568068	0.00807576	0.00981446	0.015472	0.0113331	0.0084392	0.00804953	0.0111984	0.0115728	0.0102586	0.00974106	0.00822437	0.00854138	0.00568866	0.00450012	0.00881925	0.0102224	0.0109966	0.00828917	0.016515	0.019732	0.0114535	0.0222451	0.0256042	0.0251998	0.0435924	0.0588221	0.081243	0.0518965	0.0722518	0.0839404	0.119673	0.102081
besoin	0.020732	0.0389816	0.0479495	0.0492723	0.0281655	0.0182922	0.00911526	0.00950338	0.0145815	0.0118876	0.0131361	0.0106435	0.0108559	0.0145619	0.023291	0.02944	0.0376143	0.0274787	0.0253471	0.0274692	0.0216915	0.0237425	0.0215758	0.0183577	0.0232037	0.0172261	0.0206072	0.022073	0.0207519	0.0208253	0.0142774	0.0200322	0.0176816	0.0146965	0.0121776	0.00859048	0.00883882	0.0186273	0.0127499	0.0214552	0.0193334	0.0200066	0.0254269	0.0290272	0.0787059
</S>	0.0204872	0.0303118	0.0278786	0.0247975	0.0294065	0.0315825	0.0190565	0.00807518	0.007777	0.0049368	0.0123546	0.00549851	0.00593968	0.0103149	0.0190562	0.00939686	0.00922441	0.00777557	0.0109686	0.0111042	0.0122843	0.00853313	0.00695497	0.00631211	0.00725983	0.00409065	0.00350775	0.00534485	0.00801472	0.0089893	0.0090634	0.00824119	0.00809172	0.0101629	0.0133115	0.0162203	0.0156611	0.0356392	0.0391645	0.0591887	0.0411724	0.0711235	0.0841522	0.0878597	0.123713
