 	a66	a87	a23	a30	a87	a97	a99	a54	a47	a37	a44	a70	a11	a96	a21	a12	a61	a18	a70	a75	a21	a47	a31	a88	a9	a87	a23	a62	a34	a56	a96	a93	a4	a13	a53	a93	a70	a13	a3	a87	a30	a87	a23	a99	a97	</S>
ils	0.0215803	0.0262633	0.0355715	0.02623	0.0318933	0.0265839	0.0326266	0.0432076	0.13265	0.0751809	0.0255358	0.0150516	0.0103634	0.00996202	0.0105783	0.00897626	0.00760046	0.00704898	0.00771642	0.0138659	0.0195322	0.0193793	0.0221983	0.0235421	0.0418644	0.0430478	0.0363893	0.0275661	0.0265707	0.0200281	0.0259403	0.024417	0.00689697	0.008464	0.00376296	0.00565775	0.00465802	0.00578373	0.00619064	0.00329427	0.00582185	0.00621409	0.00583736	0.00793106	0.00994753	0.0205776
sont	0.01586	0.0156429	0.0171082	0.0238648	0.0236693	0.0409082	0.0445694	0.0544554	0.0444737	0.0354923	0.0375137	0.0246783	0.0265982	0.0243055	0.0392744	0.0334292	0.0289111	0.0244496	0.0345981	0.0202515	0.013003	0.0103599	0.00810239	0.00470797	0.00535263	0.00846695	0.0104399	0.0121308	0.0129278	0.0122936	0.0111123	0.0112235	0.0155305	0.0342239	0.0150579	0.0302961	0.00939229	0.0180256	0.0231372	0.00789369	0.0170981	0.0161143	0.0175937	0.0194262	0.0227032	0.0233329
allés	0.0240887	0.00937406	0.00527369	0.00512304	0.00417243	0.00493824	0.00390394	0.00262393	0.00568679	0.00319655	0.0100529	0.0145204	0.0379441	0.0800227	0.075167	0.0844094	0.0837486	0.0739328	0.0658886	0.0276902	0.0198852	0.0146245	0.0145127	0.00607893	0.0147014	0.0166771	0.0127645	0.00959366	0.0200042	0.0124133	0.0157895	0.011622	0.00508939	0.00724299	0.00522972	0.0101319	0.0104453	0.0108352	0.0280554	0.021636	0.0118747	0.012952	0.0264777	0.02274	0.0216153	0.0152492
livrer	0.0299044	0.0341711	0.0257007	0.0186521	0.0174509	0.0182882	0.0239253	0.0166271	0.0200864	0.0137411	0.0308029	0.0244394	0.0190906	0.0261122	0.0257058	0.0161667	0.0146447	0.0212776	0.0197767	0.0167892	0.0195038	0.0231325	0.0146417	0.0189523	0.02056	0.0232795	0.021505	0.0190268	0.0357339	0.0162237	0.0118427	0.0109219	0.00965207	0.0153223	0.00650157	0.014276	0.0123852	0.00983375	0.0251961	0.0363501	0.0127718	0.0297426	0.025402	0.0368032	0.0248243	0.0722619
cette	0.0340934	0.0206937	0.0150139	0.0134124	0.0135177	0.0118681	0.00843711	0.0112019	0.0125178	0.0160792	0.0258139	0.0184987	0.0211947	0.0312953	0.0380789	0.0322993	0.0329754	0.0369696	0.0277262	0.0245224	0.0229646	0.0179211	0.0154123	0.0168912	0.0170233	0.0261185	0.0300921	0.027017	0.0403844	0.0343584	0.0306402	0.0148697	0.0100288	0.0109234	0.0094568	0.0210043	0.0143981	0.0188273	0.0334493	0.0308273	0.0179361	0.0179194	0.0221784	0.0167984	0.0180672	0.0182828
bagarre	0.0292852	0.0152976	0.0140613	0.0145759	0.0170294	0.0225064	0.0315554	0.0327924	0.0491509	0.0152922	0.0190862	0.0256565	0.0417465	0.0697908	0.0366673	0.0412881	0.0531702	0.0566801	0.0427761	0.0418249	0.0356504	0.0350596	0.0338123	0.0292206	0.011431	0.0175817	0.0138531	0.0125623	0.0111787	0.00713775	0.00865183	0.00503902	0.00509503	0.00265797	0.00548735	0.0089798	0.00588594	0.00610711	0.00997991	0.00790255	0.00854119	0.00688201	0.0100494	0.0111893	0.0106334	0.00919719
sous	0.0396076	0.0329921	0.0315757	0.0245076	0.0287504	0.0190687	0.012832	0.0136961	0.0192536	0.0428448	0.0276058	0.0140935	0.0163366	0.0213484	0.0395759	0.0156089	0.0110486	0.0192578	0.0327298	0.0343174	0.0418284	0.0372584	0.0279371	0.0280741	0.0321179	0.0249915	0.016146	0.0137338	0.0112423	0.00881081	0.00849797	0.00943235	0.00618683	0.00277514	0.0058708	0.00708874	0.00865166	0.0141408	0.0124069	0.0131654	0.0220158	0.0127295	0.020303	0.0154934	0.0255094	0.0765403
l'	0.0336485	0.0205442	0.014055	0.00834083	0.0104992	0.00854917	0.00331625	0.00368344	0.00447011	0.0059969	0.00737698	0.00548205	0.00695374	0.0111173	0.0249838	0.0126529	0.00909116	0.0107503	0.0230294	0.0188231	0.0216518	0.0175281	0.0144887	0.0117201	0.0210079	0.0228361	0.029512	0.024141	0.0284319	0.0209112	0.030524	0.0256902	0.0344858	0.010035	0.0185746	0.0155164	0.022616	0.0456297	0.0367463	0.0402667	0.0537477	0.0289526	0.0415322	0.035203	0.0554703	0.0494164
instigation	0.0298607	0.0206663	0.0287346	0.0273286	0.0259727	0.0234345	0.0138255	0.0181075	0.0112208	0.0104974	0.009102	0.00597902	0.0135785	0.0195034	0.0401717	0.0317349	0.0277908	0.0382973	0.0411343	0.0320659	0.0235693	0.0241633	0.0202216	0.0146304	0.0213389	0.0352076	0.0320491	0.0295053	0.0285675	0.0178608	0.017698	0.0105314	0.010991	0.00427484	0.00856561	0.00773077	0.00994301	0.0190926	0.021204	0.0189005	0.0301489	0.0150181	0.0363541	0.0215687	0.0278132	0.0240451
d'	0.032716	0.0165576	0.0158284	0.00964134	0.0120994	0.0117447	0.00853064	0.0085925	0.0139124	0.0101979	0.00669604	0.00861416	0.0104669	0.02411	0.0264393	0.0245508	0.0287476	0.0371288	0.0441547	0.0348748	0.0402967	0.0273701	0.0182774	0.0125832	0.0233075	0.0188383	0.0202486	0.0163548	0.0461373	0.0329534	0.0481979	0.0316311	0.0248891	0.0178485	0.0139264	0.0201863	0.0175415	0.0248591	0.0239151	0.0226123	0.0238154	0.016267	0.0258735	0.0182789	0.0197617	0.00842461
okolo	0.035028	0.01998	0.0195585	0.0129199	0.0135608	0.0143061	0.0124809	0.0108587	0.0139382	0.00957835	0.00824624	0.00838038	0.0113611	0.01932	0.0229987	0.0187972	0.0218058	0.0274395	0.0270665	0.0281135	0.0424044	0.0292499	0.0248237	0.0202938	0.0406565	0.0264826	0.0279673	0.0274328	0.060027	0.0424391	0.0355915	0.0194258	0.0163654	0.0151299	0.00776164	0.0170677	0.00571318	0.0195261	0.0337063	0.014549	0.0160888	0.0102112	0.0216849	0.0216231	0.0296165	0.0184236
</S>	0.0462309	0.0281629	0.0296203	0.0158165	0.0176139	0.0163826	0.00754494	0.00575565	0.00754041	0.00442756	0.00630404	0.00535586	0.0130648	0.0197016	0.0373327	0.0310588	0.0237834	0.0313814	0.0398929	0.0326495	0.0287821	0.0212488	0.0223874	0.0145873	0.0228871	0.0320055	0.0297639	0.0282497	0.0330483	0.0324433	0.0229188	0.0151927	0.0153978	0.00902225	0.00808144	0.0126734	0.00720945	0.0179733	0.0218965	0.0146785	0.0230548	0.0143527	0.0316098	0.0277163	0.0420446	0.0311535
