 	a23	a87	a23	a40	a30	a37	a26	a24	a0	a26	a24	a25	a11	a24	a41	a25	a87	</S>
il	0.0690986	0.0795587	0.0830731	0.0898428	0.0938121	0.0872517	0.142665	0.0846301	0.0640578	0.0219391	0.0085771	0.0052667	0.00360925	0.00596246	0.0208139	0.0473516	0.0407168	0.051773
n	0.0334236	0.0283414	0.0294884	0.034908	0.0653799	0.0697464	0.0674062	0.0862341	0.0903259	0.0397443	0.0458536	0.0252462	0.0269939	0.0409601	0.0529989	0.0426878	0.108274	0.111987
'	0.0199953	0.0147898	0.0127663	0.0108699	0.0164973	0.0162078	0.0247978	0.0171878	0.0206884	0.0229279	0.0196259	0.0681278	0.0368715	0.0827312	0.163671	0.0685222	0.133276	0.250446
y	0.0261156	0.0131805	0.0111043	0.00581163	0.0104001	0.0088683	0.00844224	0.0148416	0.020811	0.108682	0.0932752	0.141164	0.118189	0.108497	0.141726	0.0693121	0.0519183	0.04766
en	0.0838362	0.053729	0.053091	0.0563761	0.0428921	0.0322625	0.0385493	0.0637614	0.0557308	0.061946	0.0535632	0.0444189	0.0417718	0.0372245	0.0602602	0.0542843	0.0675472	0.0987554
a	0.060886	0.0580786	0.0754163	0.0519012	0.0336692	0.051024	0.0488746	0.0622489	0.0835325	0.0794389	0.0920665	0.0539868	0.0351053	0.0278197	0.040979	0.0307403	0.0415489	0.0726833
pas	0.146874	0.101251	0.0858738	0.0924594	0.0542531	0.0361296	0.0363383	0.0188065	0.0166655	0.0266939	0.0181814	0.0228303	0.0241468	0.0240583	0.0457629	0.0571777	0.0931571	0.0993407
assez	0.12927	0.104008	0.0894607	0.0578856	0.0465775	0.0413796	0.0362005	0.0216766	0.0239464	0.038021	0.0322903	0.0394239	0.0333639	0.0350233	0.0489802	0.0475373	0.0759561	0.0989999
pour	0.121328	0.0721829	0.0763595	0.0426684	0.0197387	0.0146341	0.0109194	0.024603	0.0277497	0.0448709	0.0481984	0.0364208	0.0295117	0.0314659	0.0584664	0.0452851	0.0985417	0.197055
moi	0.178009	0.130737	0.124004	0.074967	0.0391331	0.0594591	0.0560951	0.059695	0.0460343	0.0372582	0.0268389	0.013534	0.0111247	0.0110985	0.0179738	0.0204938	0.0345153	0.0590294
</S>	0.110942	0.0684707	0.0760823	0.0484993	0.0370869	0.0294978	0.0338953	0.0673354	0.0928662	0.0823313	0.0260916	0.0118799	0.00851057	0.00793888	0.0263644	0.0413543	0.0783891	0.152464
