 	a66	a87	a23	a30	a4	a57	a44	a34	a70	a93	a70	a62	a34	a92	a44	a21	a92	a37	a21	a92	a37	a56	a34	a21	a12	a18	a90	a56	a44	a70	a62	a83	a62	a83	a9	a87	a23	a83	a93	a13	a30	a83	a79	a69	a58	a82	a87	a23	a87	</S>
si	0.0125494	0.0368803	0.0283532	0.031283	0.0315224	0.0673803	0.0421675	0.0563965	0.0579774	0.0438069	0.0418098	0.0307283	0.0210231	0.0342711	0.0267292	0.0184433	0.0194903	0.0182717	0.0140164	0.0121206	0.0180203	0.00695695	0.0127522	0.00957955	0.00664322	0.00624131	0.00742913	0.00800255	0.00846362	0.0105898	0.0135409	0.0103448	0.00926776	0.0169268	0.0120573	0.00725791	0.00992942	0.00728995	0.00689812	0.00678592	0.0101678	0.00936987	0.0181185	0.0186173	0.0194453	0.0150595	0.0128679	0.0171214	0.0136503	0.025384
tu	0.0129998	0.00731577	0.00790406	0.00845528	0.0089282	0.0136877	0.0186514	0.0213935	0.0263557	0.0322378	0.017025	0.0364376	0.024479	0.0266817	0.037543	0.0257418	0.0261313	0.0227901	0.0191387	0.0231632	0.0296795	0.0249895	0.0242526	0.0281474	0.0251314	0.0225463	0.0236379	0.013127	0.0105549	0.0088258	0.0120831	0.0125071	0.0124226	0.0172614	0.0207202	0.00977972	0.0102226	0.00888307	0.0126922	0.00743039	0.00715313	0.00921956	0.0139164	0.0253913	0.0325598	0.0388885	0.0300291	0.0288311	0.0393884	0.0226674
restes	0.0198848	0.00825854	0.00794762	0.00510208	0.00390227	0.00865199	0.0122554	0.0103964	0.013317	0.0387504	0.0176418	0.0545498	0.0181413	0.0348801	0.0545386	0.0536493	0.0279268	0.0432805	0.0479929	0.0466929	0.0347952	0.0388291	0.0252453	0.0275437	0.0255176	0.02386	0.0377359	0.0239945	0.0203409	0.0104383	0.00460882	0.0280877	0.0112342	0.00869558	0.0059089	0.00173764	0.00270384	0.00333988	0.00269013	0.00356521	0.004341	0.00659985	0.00651304	0.00927871	0.0132929	0.0171931	0.0159818	0.0136401	0.0234752	0.0210515
trop	0.0648507	0.0390689	0.0146587	0.00877742	0.0053837	0.00751477	0.0197762	0.0232127	0.0239859	0.0206724	0.0255722	0.0211268	0.0216819	0.0210222	0.0271934	0.0128257	0.0127258	0.0169486	0.0191884	0.0174825	0.0151109	0.00976385	0.0121765	0.011794	0.0107075	0.0118628	0.0155747	0.0138083	0.0327902	0.0208287	0.0281429	0.0405467	0.0290922	0.0244986	0.021801	0.0156242	0.0121209	0.0150219	0.0111196	0.0122127	0.0099496	0.0208667	0.0182962	0.0192007	0.0201617	0.0241026	0.0252033	0.0241101	0.0220048	0.0278373
près	0.046572	0.0317529	0.014843	0.014631	0.0107761	0.00562791	0.00840357	0.0104735	0.00972654	0.0126639	0.0120686	0.0195671	0.0130158	0.0186984	0.0243272	0.0276708	0.0202669	0.0250824	0.0186702	0.0252736	0.0238153	0.0242427	0.0177695	0.0226459	0.0179433	0.017554	0.0153308	0.0133855	0.0145809	0.012356	0.0121481	0.0151104	0.0108899	0.0137632	0.0124644	0.0104841	0.00956816	0.0162788	0.0145956	0.0181252	0.023018	0.0255741	0.0384165	0.0365181	0.0430185	0.0378809	0.0253171	0.0292815	0.0315855	0.0262266
de	0.0113211	0.00719044	0.0056328	0.00441721	0.00362054	0.00567187	0.0176185	0.0210649	0.0159393	0.0229179	0.0204001	0.0283503	0.0221335	0.036876	0.0533028	0.0261092	0.0348716	0.0479829	0.0397865	0.0565266	0.0613618	0.0408265	0.0488387	0.0442498	0.0307336	0.0218695	0.0160049	0.0153669	0.0140018	0.0134834	0.0109229	0.0277589	0.0149965	0.0206329	0.0128253	0.00887641	0.00714955	0.0094409	0.00732231	0.00929857	0.00640177	0.00443337	0.00683594	0.00944871	0.0105808	0.00817008	0.0081212	0.00866158	0.0149654	0.0046858
quelqu'	0.0244327	0.00927267	0.00788408	0.0078901	0.00524721	0.00575806	0.00781006	0.00695913	0.0109971	0.0103795	0.0129904	0.0154235	0.0124263	0.0195311	0.0414912	0.0274857	0.028853	0.05561	0.0384746	0.0587309	0.0520245	0.0530659	0.038479	0.0348249	0.0358603	0.0264547	0.0229286	0.0164077	0.0194148	0.00947997	0.00541124	0.0167913	0.00752605	0.0139105	0.0134386	0.0115603	0.0117898	0.01991	0.0200385	0.0279126	0.020857	0.0143297	0.00918434	0.0101505	0.0164579	0.0136063	0.0127362	0.0134006	0.0168827	0.00751815
un	0.0307478	0.0123499	0.00719036	0.00775663	0.00511091	0.00639416	0.00742078	0.00844013	0.0124138	0.0145238	0.0136615	0.0178043	0.0126824	0.0223979	0.0366576	0.0227593	0.0221218	0.0521963	0.0283246	0.0389068	0.042796	0.0411533	0.0266824	0.0201704	0.0191341	0.0172049	0.0133734	0.00789992	0.0141634	0.00645606	0.00565442	0.0204431	0.00872258	0.014977	0.00703844	0.0129555	0.0131525	0.0127106	0.0202458	0.0291107	0.0274655	0.0224161	0.0179667	0.0224207	0.0406047	0.039063	0.0277507	0.0245052	0.0301907	0.0137117
qui	0.0214458	0.0275114	0.0169204	0.0235888	0.00800048	0.00749099	0.00631468	0.00835112	0.0108991	0.0113448	0.0144033	0.0154394	0.0142823	0.0263113	0.0274797	0.0277287	0.0258167	0.0328505	0.0290396	0.0292522	0.0307685	0.0327056	0.0236421	0.0173852	0.0141133	0.0167976	0.016231	0.0131636	0.0158105	0.0136939	0.0113749	0.017369	0.0147045	0.0159568	0.0172414	0.0125677	0.0124576	0.0185625	0.0243796	0.0202722	0.0209535	0.0152283	0.0177752	0.0220787	0.0267092	0.0289084	0.0264934	0.0235491	0.0311598	0.0434751
souffre	0.0105109	0.0109033	0.0067211	0.00789817	0.0062972	0.0080812	0.00891449	0.0104531	0.0117523	0.0127859	0.00980716	0.00899364	0.00732818	0.0102498	0.0117719	0.0118871	0.0145805	0.0192278	0.0162971	0.0160425	0.0194867	0.0144486	0.0139963	0.0100654	0.00941443	0.0113106	0.0152808	0.00925309	0.00996129	0.0051079	0.00577936	0.0244977	0.0231837	0.0396082	0.050258	0.0312754	0.0368386	0.0557828	0.0669536	0.050549	0.0337466	0.0203387	0.0293563	0.0407383	0.0409619	0.0243807	0.022343	0.0214256	0.0293729	0.0137811
