 	a23	a83	a0	a83	a90	a56	a75	a34	a66	a54	a85	a43	a11	a75	a79	a26	a90	a58	a82	a87	a97	a87	a3	a87	</S>
nous	0.0663121	0.0501898	0.0414023	0.0487577	0.0476015	0.0298892	0.0179986	0.00878418	0.00658066	0.00923392	0.00755272	0.0107097	0.0102566	0.0126636	0.0186442	0.0241674	0.0242324	0.0373654	0.12897	0.105257	0.0702948	0.0507687	0.0479568	0.0639492	0.060461
sommes	0.0271087	0.0227333	0.0384182	0.0621003	0.0624034	0.043313	0.030562	0.0155625	0.00415133	0.0121518	0.0151124	0.0195352	0.0323031	0.036142	0.0424359	0.038104	0.0599149	0.0851005	0.0702088	0.063371	0.0581858	0.0437424	0.0323607	0.0470264	0.0379524
en	0.0118175	0.0129604	0.0120879	0.0146997	0.0106058	0.0157858	0.0164873	0.0229438	0.020014	0.0284903	0.0315467	0.02191	0.0240919	0.0270315	0.0490454	0.090415	0.139029	0.087048	0.0706717	0.0590728	0.0579786	0.0655743	0.0382824	0.0372194	0.0351906
train	0.0254421	0.0113426	0.0110944	0.0135472	0.00749915	0.0128352	0.0128013	0.0334728	0.0174559	0.0226261	0.0386134	0.0208757	0.0346282	0.0462203	0.103118	0.149876	0.158505	0.117933	0.0294183	0.0276481	0.0286125	0.0161116	0.0261475	0.0100856	0.0240903
de	0.168341	0.213173	0.156075	0.115441	0.0678638	0.0267103	0.0224336	0.0178851	0.011731	0.00480666	0.00183867	0.00234371	0.00208606	0.00639846	0.0112143	0.0141926	0.011546	0.0198625	0.0165599	0.0112852	0.0111551	0.0147271	0.0159456	0.0271955	0.0291898
marcher	0.0848972	0.0770264	0.0950956	0.106079	0.0595035	0.0537259	0.0458884	0.0411079	0.0336929	0.0446089	0.0252847	0.0350097	0.0148533	0.0168171	0.0200594	0.02269	0.0179366	0.038092	0.0322938	0.0280947	0.0138962	0.0169656	0.0258046	0.0197943	0.0307828
dans	0.0268481	0.0216974	0.0314273	0.0325447	0.0290052	0.0216475	0.0313241	0.0245359	0.0158549	0.0216877	0.0259599	0.0351298	0.0259511	0.0321231	0.0503162	0.0548239	0.0520456	0.0963304	0.0839514	0.0605817	0.0464097	0.0477996	0.0526814	0.0366054	0.0427181
la	0.0352626	0.0303016	0.0361497	0.0251607	0.0195972	0.0139777	0.0160939	0.013556	0.00662434	0.0056765	0.00501156	0.00858757	0.00924992	0.021303	0.0399933	0.0520638	0.0427738	0.101899	0.100341	0.0724358	0.064582	0.0661533	0.0668267	0.0625812	0.0837973
forêt	0.0364123	0.0148235	0.017462	0.0106197	0.0075183	0.00852531	0.0134884	0.0264495	0.0235615	0.0285271	0.0307004	0.0425418	0.0348931	0.0456731	0.0634609	0.0720342	0.0460849	0.0536561	0.0535392	0.0665042	0.0422019	0.0607877	0.0746444	0.0578865	0.0680043
</S>	0.0303586	0.0249576	0.0233859	0.0163086	0.0115729	0.00536951	0.00570081	0.00562643	0.00254458	0.00280998	0.00274929	0.00336722	0.0070457	0.0147888	0.0260111	0.0297647	0.0352105	0.0454403	0.0561105	0.063098	0.0479818	0.0692571	0.114599	0.13091	0.225031
