 	a66	a87	a79	a53	a93	a94	a54	a92	a75	a92	a79	a93	a4	a13	a53	a93	a4	a57	a82	a87	a23	a99	a79	a69	a90	a44	a75	a92	a56	a62	a70	a93	a56	a12	a88	a38	a54	a36	a26	a30	a97	a99	a97	a38	a66	</S>
la	0.0253448	0.0479896	0.0304391	0.067098	0.0412226	0.0778451	0.0370495	0.0420682	0.0407369	0.0272317	0.0263315	0.0227533	0.0242288	0.0254528	0.0114959	0.013493	0.00727397	0.00718994	0.00940784	0.0122206	0.0143879	0.0121462	0.0122203	0.0287426	0.0288792	0.032393	0.0218865	0.0220988	0.0184933	0.0119689	0.00555688	0.00654656	0.00567364	0.00445817	0.0052506	0.00690704	0.00614702	0.0053038	0.00763487	0.0079411	0.00667723	0.0076001	0.0172928	0.0222762	0.0230247	0.0616197
notabilité	0.00398015	0.0134146	0.00623541	0.0440695	0.0222775	0.0704557	0.0362563	0.057169	0.0652943	0.0345254	0.0292291	0.0176462	0.0196004	0.0423626	0.0284298	0.0293532	0.0258284	0.0638278	0.0467858	0.0754224	0.0689444	0.0362419	0.0490075	0.0215162	0.0158788	0.0128958	0.00843332	0.00985504	0.0150298	0.00734815	0.00432541	0.00251231	0.00173805	0.00134977	0.00101092	0.00110095	0.00152272	0.00101511	0.000546807	0.000694877	0.000474851	0.000675847	0.000579125	0.00110475	0.00157309	0.00246088
d'	0.0267004	0.0310074	0.0394524	0.0646077	0.0442478	0.073668	0.0680014	0.064829	0.0799269	0.0370414	0.0644313	0.0281829	0.0220473	0.0281329	0.0184035	0.0282587	0.0241741	0.0309665	0.0172939	0.0145585	0.0300552	0.026948	0.00915302	0.0189984	0.0112348	0.00881386	0.00554599	0.00804221	0.00366655	0.00406682	0.00277981	0.00339494	0.00151507	0.00174121	0.00135904	0.00430755	0.00578135	0.00526563	0.0123309	0.00465547	0.00732793	0.00707732	0.00406876	0.00133477	0.00399039	0.000612805
oko	0.0378515	0.019967	0.0117511	0.0139028	0.0137793	0.0283896	0.019454	0.0263511	0.0297066	0.0264428	0.0477565	0.0373267	0.041737	0.0413211	0.0407952	0.0420608	0.0685501	0.0376003	0.0464622	0.0224584	0.0204111	0.0135561	0.0240539	0.0145515	0.0115979	0.0149994	0.0093683	0.0111745	0.0132066	0.0147462	0.0124579	0.00464352	0.00680094	0.00504953	0.00549077	0.00634545	0.00765767	0.0072336	0.00624943	0.0110167	0.00752175	0.0147433	0.0182529	0.0200266	0.0180648	0.0471157
ne	0.0572011	0.033355	0.0245524	0.0143547	0.0376888	0.0365032	0.0242108	0.0213496	0.0182304	0.0144745	0.048154	0.0373262	0.0408681	0.0459465	0.0422668	0.03315	0.0268592	0.0175967	0.0158115	0.0146611	0.0138257	0.0104781	0.014539	0.0128709	0.00956632	0.0183681	0.0104511	0.015138	0.0216208	0.0270398	0.0095612	0.00781691	0.00902857	0.010157	0.00626976	0.00544067	0.00750973	0.00521096	0.00475474	0.0121423	0.020395	0.0201084	0.0308832	0.0248518	0.0251637	0.0422476
relève	0.018835	0.0141584	0.0151626	0.0200104	0.0364271	0.0286361	0.0197334	0.0250338	0.0174596	0.0142561	0.0368509	0.0327993	0.0373736	0.039596	0.0386443	0.0305701	0.0363101	0.0218703	0.0246284	0.0202599	0.0250265	0.0149613	0.0267871	0.0107363	0.0163363	0.0120568	0.0105625	0.0121221	0.0111169	0.0126825	0.00814739	0.00790076	0.00851704	0.0106756	0.0102269	0.0101673	0.0202773	0.0204244	0.0331138	0.03774	0.0335357	0.0255784	0.0213847	0.0197952	0.02376	0.0277518
pas	0.0134656	0.0154421	0.0147378	0.0141506	0.0171231	0.0151061	0.0116864	0.0162156	0.0149434	0.0177246	0.0472221	0.0335351	0.0435634	0.0401172	0.0556537	0.0374749	0.0571779	0.026378	0.0320369	0.0192425	0.0244869	0.0161354	0.0272081	0.012147	0.0190714	0.0109571	0.0113034	0.0101051	0.0095858	0.0116465	0.007333	0.0111209	0.0148433	0.0150007	0.0160311	0.0152376	0.0133067	0.0128885	0.0141251	0.0182712	0.0248409	0.0178715	0.0273787	0.033286	0.0315625	0.0312589
d'	0.00898335	0.0106016	0.00914948	0.0151552	0.0187361	0.0187921	0.0157507	0.0176888	0.0195364	0.0274412	0.0582822	0.044994	0.0539686	0.0464509	0.0611812	0.0371984	0.0511392	0.0248403	0.0314373	0.0211345	0.0308068	0.0229762	0.0267394	0.0138266	0.0186694	0.0117359	0.011042	0.010492	0.00752411	0.00704608	0.00356628	0.00402813	0.00411328	0.00484352	0.00542865	0.00534039	0.0100869	0.00950063	0.0131051	0.0227124	0.0164573	0.0169221	0.036043	0.0319962	0.0233055	0.0392306
un	0.0121351	0.00562904	0.00498832	0.00490986	0.0104381	0.0166925	0.0204151	0.032436	0.0248988	0.0265545	0.0364995	0.0314348	0.0479003	0.0366383	0.0394687	0.0322084	0.0494861	0.0453657	0.0312794	0.0254307	0.0222375	0.017099	0.0257593	0.0164149	0.0205352	0.015598	0.0173326	0.0147301	0.0139497	0.0159191	0.00837503	0.00869966	0.0101453	0.00844126	0.0104881	0.0102802	0.0112601	0.0146209	0.0155978	0.0185047	0.0183545	0.0220572	0.0265315	0.0287722	0.0319024	0.0415845
trucage	0.0147203	0.00796506	0.00818621	0.00495933	0.0104118	0.0191382	0.0196335	0.0315562	0.0278506	0.0241732	0.0228743	0.0203875	0.0325568	0.0324236	0.0265625	0.0210662	0.0246542	0.0334844	0.0306183	0.0211882	0.0206228	0.011972	0.0204168	0.0116933	0.0173341	0.0176598	0.0170215	0.0245916	0.0211836	0.0198228	0.016778	0.0180466	0.0173398	0.0175842	0.0148241	0.011636	0.0136764	0.0157639	0.0219972	0.0258882	0.0204995	0.024525	0.0456634	0.0362606	0.0469284	0.0358597
