 	a66	a87	a23	a87	a23	a4	a93	a34	a56	a90	a56	a98	a92	a75	a79	a25	a85	a6	a36	a61	a31	a24	a47	a88	a94	a25	a20	a75	a85	a15	a7	a44	a58	a13	a11	a31	a88	a9	a10	a87	a23	a87	</S>
ton	0.0237253	0.0395838	0.0206618	0.0355173	0.0254149	0.05113	0.0390105	0.0504065	0.0304668	0.062752	0.0807757	0.0921307	0.0616942	0.0253234	0.0121965	0.00982605	0.00412175	0.00576395	0.00550033	0.00923938	0.012862	0.0132184	0.013428	0.0114543	0.0228824	0.0271493	0.0258554	0.0267496	0.0228977	0.0135833	0.0151722	0.0176019	0.0119013	0.00698874	0.00817854	0.00733246	0.00776986	0.00722159	0.0075486	0.00691872	0.00622269	0.00559344	0.0162287
mari	0.001724	0.00316804	0.00658882	0.00520308	0.0118182	0.0164619	0.0263305	0.0764989	0.047828	0.119343	0.0789064	0.0658099	0.113761	0.0464483	0.0630733	0.0379145	0.0632519	0.0369523	0.044788	0.025685	0.0103704	0.00753537	0.00933861	0.00988442	0.00776886	0.0117803	0.0123717	0.00338956	0.00488808	0.00541503	0.004601	0.00334476	0.00596408	0.00158005	0.00111308	0.000683923	0.00130728	0.00121085	0.00105552	0.000580672	0.00086273	0.00154794	0.00185118
est	0.014134	0.0172881	0.0161013	0.0170893	0.0193288	0.0287783	0.0412236	0.0583306	0.0558165	0.0240327	0.0394218	0.0616143	0.0512763	0.0399574	0.0315239	0.024293	0.0541184	0.0571425	0.0398128	0.0379816	0.0110116	0.0216585	0.0107669	0.0103459	0.0105539	0.00379407	0.00358083	0.00412971	0.00864779	0.00708512	0.0061474	0.00876821	0.00678107	0.0138663	0.00984374	0.00902624	0.0124351	0.0143726	0.0162352	0.0164332	0.016101	0.0225709	0.0265797
en	0.0356689	0.0179036	0.0177196	0.00946783	0.0106871	0.00564632	0.00499066	0.0055211	0.0121413	0.0089317	0.0129317	0.0200058	0.0217892	0.0230577	0.0301146	0.0308644	0.0766428	0.0876563	0.0411576	0.0454418	0.047193	0.0334639	0.0244089	0.0551	0.0597119	0.0441338	0.0281795	0.0370593	0.0296524	0.00902009	0.0110173	0.0144747	0.0106657	0.00290353	0.00457633	0.00369952	0.00486752	0.00490628	0.00706008	0.0105716	0.00795943	0.00933781	0.0216975
train	0.0330353	0.0347855	0.0355679	0.033571	0.0287073	0.0176246	0.0130965	0.00936283	0.0148713	0.0180181	0.0201602	0.0248166	0.0296536	0.0330697	0.0644017	0.0672092	0.0625626	0.0494466	0.0415106	0.0454432	0.0569827	0.0451765	0.0349815	0.0382351	0.0267496	0.0184889	0.0225072	0.0131996	0.00907511	0.0057504	0.00566089	0.00370569	0.0043863	0.00161067	0.00211424	0.00174216	0.00159412	0.00142084	0.00308355	0.00618035	0.00544975	0.00521419	0.00977635
de	0.0196314	0.0136092	0.00811583	0.0108706	0.00748075	0.0107548	0.0127962	0.0200666	0.0224698	0.034419	0.0602728	0.0833458	0.0804729	0.0629964	0.0305844	0.0407038	0.0273051	0.0287484	0.0261437	0.024988	0.0343539	0.0255299	0.0188468	0.0135989	0.0134402	0.0101384	0.0113174	0.00970838	0.0080569	0.00490336	0.00542853	0.00659656	0.00917845	0.00351353	0.0074336	0.00691547	0.0150205	0.0114399	0.0278313	0.0336709	0.0266925	0.0319223	0.0386866
se	0.0118597	0.0105112	0.00681164	0.00519106	0.00576722	0.00573327	0.00566194	0.00877152	0.00888803	0.0142827	0.014762	0.0164929	0.0399165	0.0463035	0.0292502	0.0272572	0.0955729	0.0877782	0.0883397	0.0860194	0.0754376	0.0581846	0.0350125	0.0234268	0.0244202	0.0170316	0.0188594	0.0252222	0.0227895	0.0173543	0.0138286	0.0222818	0.00772967	0.00221113	0.00136753	0.00134031	0.0019055	0.00222983	0.00306981	0.00227007	0.00269018	0.0033611	0.00280504
gaver	0.0235383	0.0102409	0.010947	0.00859693	0.00970825	0.0100701	0.0100342	0.0121796	0.0173377	0.0185997	0.0220711	0.021891	0.0390547	0.0445046	0.0387179	0.0459891	0.104738	0.0866326	0.0835667	0.0734319	0.0525316	0.0321702	0.0225647	0.0157797	0.0168136	0.0157181	0.0213895	0.0279617	0.0208532	0.00712548	0.00684126	0.0063837	0.00323386	0.00120078	0.00163991	0.00145833	0.00656615	0.00516407	0.00970992	0.00597017	0.0066765	0.00842948	0.0119682
dans	0.0398902	0.022435	0.0177498	0.0158713	0.0162394	0.0188802	0.026261	0.0274579	0.0277671	0.0180248	0.0249096	0.0170196	0.0146706	0.0159852	0.016394	0.0236757	0.0351784	0.0325274	0.0340716	0.0335302	0.034956	0.0235622	0.0149191	0.0143558	0.0145486	0.0122528	0.016127	0.0210734	0.028556	0.0171697	0.0208999	0.0169739	0.0178321	0.00707896	0.0120143	0.0153269	0.0320673	0.0240363	0.0369199	0.0378903	0.0298378	0.0344794	0.0385834
cette	0.0288979	0.0195643	0.0159938	0.0122271	0.0144017	0.0156587	0.0216221	0.027213	0.0269754	0.0144185	0.0160296	0.0185672	0.0200556	0.0190581	0.018217	0.0212681	0.0369859	0.0312073	0.0416394	0.0337139	0.0356788	0.0173955	0.0116227	0.0165407	0.0196824	0.0165845	0.0171903	0.035671	0.0254	0.0147972	0.0185196	0.0205069	0.0190093	0.0190449	0.0144009	0.0158729	0.0229584	0.0210966	0.0267912	0.0387453	0.0311297	0.0438017	0.0438448
cuisine-là	0.0356248	0.0326512	0.0254759	0.0209098	0.0210811	0.0214291	0.0232549	0.0255453	0.0181253	0.0161599	0.0210205	0.0220858	0.0192007	0.0129285	0.0147427	0.015327	0.0261669	0.0256939	0.0291987	0.0285464	0.029821	0.0209872	0.0144728	0.0151145	0.0161881	0.0116052	0.0130769	0.0156719	0.0115686	0.00935607	0.0119332	0.016454	0.0159725	0.0157395	0.0170084	0.0206153	0.0248205	0.0230362	0.0368991	0.0413554	0.0467912	0.0548708	0.061473
</S>	0.0335285	0.038306	0.0274096	0.0276231	0.0280346	0.0332281	0.0270074	0.0343769	0.0217617	0.0208252	0.0201416	0.020837	0.0223326	0.0167998	0.020898	0.0223205	0.0250498	0.0224097	0.0210697	0.0225666	0.0208533	0.0177503	0.0166567	0.0197343	0.0164631	0.0138443	0.0108434	0.0190897	0.011985	0.00761412	0.00998633	0.0114843	0.0143937	0.00864322	0.0140643	0.0144084	0.0242684	0.0178864	0.0353234	0.0370404	0.0398748	0.03855	0.0727158
