 	a66	a87	a97	a87	a97	a40	a36	a2	a75	a21	a85	a6	a36	a26	a96	a75	a85	a92	a37	a96	a93	a4	a13	a98	a15	a7	a44	a90	a69	a44	a4	a53	a4	a58	a82	a97	a79	a5	a18	a53	a69	a58	a53	a15	a92	a6	a15	a7	a69	a7	a84	a82	a97	a99	a97	a87	a97	a87	a82	</S>
hier	0.0231754	0.0659318	0.0443992	0.042489	0.0363262	0.0245502	0.0213552	0.0365106	0.0351493	0.0361099	0.0288451	0.0485183	0.0502004	0.0482163	0.0429525	0.0345459	0.0181134	0.0106315	0.0156361	0.0107037	0.0146668	0.0101741	0.00998735	0.0120162	0.00670112	0.0172248	0.0135181	0.0046949	0.00685361	0.00701861	0.010441	0.015597	0.0074087	0.00533967	0.00869932	0.00393449	0.00590477	0.00402999	0.00555171	0.00744711	0.00953689	0.00565115	0.00487003	0.00408253	0.002683	0.00374742	0.0068704	0.00692661	0.00426833	0.00292554	0.00457101	0.00710194	0.00653476	0.00519656	0.00445357	0.0115048	0.00829186	0.0105789	0.0154202	0.0232152
soir	0.00783906	0.0111221	0.0133967	0.0139493	0.0161983	0.0213965	0.0272648	0.019645	0.0149202	0.0333647	0.0318372	0.0502836	0.0326416	0.0135819	0.00953071	0.0140931	0.0187277	0.0153677	0.00990655	0.0184742	0.015826	0.0169193	0.0251734	0.0136756	0.0113177	0.0141867	0.0177747	0.0272654	0.0167591	0.0164418	0.0177668	0.0146285	0.0199249	0.0106319	0.0165774	0.0148286	0.0227368	0.0213263	0.0136333	0.0128083	0.00747009	0.00718114	0.00515952	0.00613739	0.00698625	0.0116817	0.0125465	0.0287139	0.0258621	0.0304367	0.0140015	0.00850164	0.00417046	0.0119736	0.0105251	0.00699218	0.00633597	0.00773983	0.0138044	0.0400366
les	0.0260368	0.0158863	0.0111683	0.0121584	0.0088941	0.0124003	0.0337887	0.0352612	0.0454656	0.0488459	0.0428595	0.0531024	0.0543688	0.0260329	0.0196845	0.0335962	0.0355235	0.0223	0.0153891	0.0256942	0.02133	0.0247953	0.0225939	0.0185323	0.0128956	0.0145384	0.0219195	0.010044	0.0267473	0.011578	0.0119774	0.011952	0.0191225	0.00998477	0.0117745	0.0161037	0.0109985	0.0130096	0.0121164	0.0118577	0.008873	0.00473881	0.00134255	0.00306513	0.00215319	0.00357134	0.00445258	0.0068988	0.00625173	0.00724834	0.00404317	0.00447479	0.0042784	0.00450013	0.00569776	0.00393536	0.00447447	0.00659859	0.00808684	0.0129871
bandits	0.0346146	0.02335	0.0160827	0.0145788	0.0145522	0.0157873	0.0221024	0.00882023	0.0165675	0.00957027	0.00738287	0.00638002	0.00995981	0.00849851	0.00794054	0.00562896	0.00760901	0.00853141	0.00761691	0.0113198	0.0120639	0.0113349	0.0097097	0.0102417	0.0107192	0.00999613	0.0101888	0.0188185	0.019452	0.0144149	0.0133957	0.0179948	0.0193953	0.0279213	0.0246376	0.0420094	0.0202971	0.0231503	0.0147909	0.0104816	0.0127324	0.00767506	0.0143943	0.017579	0.0119247	0.0281709	0.0121494	0.0106049	0.0111763	0.0114278	0.0115223	0.0172479	0.0246195	0.0204742	0.0224123	0.031981	0.0399987	0.0419878	0.0300139	0.024
ont	0.0249944	0.0141439	0.00942098	0.0109974	0.00837268	0.0107337	0.0156797	0.00756456	0.0261439	0.0141999	0.00890109	0.00641372	0.00764481	0.00675818	0.00677451	0.00521041	0.0084796	0.00934899	0.0175297	0.0237284	0.0189438	0.0366877	0.0260269	0.0436525	0.0308314	0.0230667	0.0359488	0.0312779	0.04188	0.0347367	0.0388935	0.0376939	0.0403876	0.0308844	0.0261604	0.0335919	0.01926	0.0175968	0.0130937	0.0133296	0.0129256	0.0113446	0.00755506	0.00721687	0.00351279	0.00819675	0.00605897	0.010022	0.00911441	0.00941138	0.01284	0.00799206	0.00828647	0.0108798	0.00511856	0.00721611	0.00687436	0.00547695	0.00671471	0.00625773
ravi	0.0514936	0.0173837	0.010377	0.0083536	0.00872477	0.00810663	0.0158258	0.0121714	0.0123656	0.0207956	0.00856458	0.0060361	0.00720291	0.00852346	0.00928853	0.00905502	0.0115239	0.0184758	0.0127655	0.0217224	0.0190221	0.0539339	0.0458193	0.0508455	0.0339027	0.0225965	0.0409642	0.0740433	0.0422402	0.041076	0.0440579	0.057267	0.0345532	0.0212796	0.0122455	0.0125575	0.00773957	0.00770721	0.0042311	0.005636	0.00578927	0.00867194	0.00597476	0.00471922	0.00260753	0.00544404	0.00429707	0.00514958	0.0050042	0.00319364	0.00484449	0.00443761	0.00430966	0.00399742	0.00275473	0.00325733	0.00280238	0.00329149	0.00380938	0.00517025
de	0.046475	0.0296903	0.0155847	0.00860336	0.0105518	0.00456566	0.00577885	0.00285663	0.00134341	0.00232647	0.00184131	0.00314451	0.0057492	0.00701501	0.0145476	0.0163111	0.0201179	0.0414285	0.0192022	0.0478262	0.0638653	0.0401373	0.0542995	0.0353315	0.0418003	0.0292547	0.0249883	0.0276495	0.0225962	0.04737	0.0286359	0.0196454	0.0212788	0.00903308	0.0164735	0.0046914	0.0132142	0.00680571	0.00798187	0.00741253	0.00706192	0.00629375	0.00124577	0.00221553	0.00114596	0.00246897	0.00277891	0.00470487	0.00733092	0.00264857	0.00389269	0.00271414	0.00434061	0.00701051	0.0159499	0.0198544	0.0226626	0.0161926	0.0191768	0.022886
l'	0.0494166	0.0392012	0.0346102	0.0198083	0.0151696	0.00576075	0.00779645	0.00294741	0.00115653	0.00209093	0.00169183	0.00152491	0.0029429	0.00452889	0.0054691	0.00661029	0.0072632	0.0118942	0.00882099	0.0105148	0.0168102	0.0197662	0.0177764	0.0194196	0.0194529	0.0162018	0.0194387	0.0352947	0.0198087	0.0253408	0.0381612	0.0311574	0.0272559	0.0202146	0.0174256	0.0132056	0.0202699	0.0136126	0.0206978	0.0122922	0.0120139	0.0118969	0.00593687	0.00796459	0.00678364	0.00401741	0.00433457	0.00499165	0.00728557	0.00469202	0.00540185	0.00520585	0.0155442	0.0263741	0.0265004	0.0415431	0.031457	0.0353838	0.0427411	0.0371095
argent	0.0386827	0.014854	0.0101377	0.00784756	0.00619933	0.00360359	0.00382407	0.00195574	0.00163376	0.00190137	0.00175526	0.00127918	0.00257995	0.00367712	0.0059571	0.00714468	0.00822072	0.0159995	0.0103746	0.024136	0.0309284	0.0343757	0.0354124	0.0357342	0.0354589	0.0172224	0.0254816	0.0395474	0.0294209	0.0365944	0.0421683	0.0308449	0.0350801	0.0238522	0.0278389	0.0176763	0.0325684	0.0201237	0.0232138	0.0169377	0.0162505	0.0173618	0.00665335	0.0129579	0.00620416	0.00523536	0.00328896	0.00334907	0.0049787	0.00379918	0.00254577	0.00349986	0.00855813	0.0112501	0.0124698	0.0263686	0.0195483	0.0269808	0.025395	0.0210601
à	0.0389008	0.0245743	0.0129933	0.00788424	0.00475764	0.00248583	0.00322257	0.00138179	0.00100406	0.00135239	0.00150181	0.00152257	0.00388552	0.00468676	0.0110479	0.0106947	0.0105016	0.0239993	0.0139799	0.037203	0.0371393	0.0296533	0.033209	0.0332429	0.0330197	0.0233181	0.0234735	0.0204971	0.0206131	0.0324461	0.0307194	0.0197641	0.0210482	0.00985122	0.0163229	0.0047558	0.0150405	0.00750429	0.0125481	0.0066344	0.0070714	0.00838076	0.0028102	0.0114457	0.00668567	0.0107053	0.00591609	0.0133077	0.0196696	0.014918	0.013544	0.00799739	0.0139683	0.0262228	0.0269159	0.0278317	0.0268317	0.0368229	0.0356974	0.0348765
ces	0.0296427	0.00864344	0.00582615	0.00470258	0.00316632	0.00223513	0.0021806	0.000890598	0.00103341	0.000954863	0.00107238	0.00083194	0.00204975	0.00230999	0.00498597	0.00731791	0.00921367	0.0155691	0.0128948	0.0220894	0.0235105	0.0268833	0.0239325	0.0252177	0.0252834	0.0197055	0.0239388	0.0265924	0.0230628	0.0240453	0.0240991	0.0169521	0.024651	0.0144793	0.0201135	0.00807513	0.0181621	0.011285	0.0126897	0.00950971	0.00911576	0.0101065	0.00551215	0.0110253	0.00694041	0.0119009	0.00792356	0.0140418	0.021152	0.0159682	0.0143821	0.0105833	0.0171567	0.0245942	0.0361882	0.0436271	0.0377835	0.0516551	0.0540777	0.0564661
femmes-ci	0.0289018	0.0117163	0.0108401	0.00933627	0.00898577	0.00683337	0.00609112	0.00338096	0.0042507	0.00221978	0.00270133	0.00379688	0.00672205	0.00748684	0.0103268	0.012244	0.0131378	0.0180928	0.0125841	0.0238224	0.0175881	0.0255471	0.0253052	0.0205879	0.0165755	0.0161068	0.0243193	0.0206156	0.0136719	0.0124628	0.0101536	0.00764883	0.0127744	0.00527873	0.0145107	0.00497332	0.0122192	0.00861813	0.0110709	0.0129498	0.014611	0.0144451	0.00534384	0.0100958	0.00777802	0.017913	0.0166265	0.0240522	0.0277578	0.0246526	0.0218654	0.0135221	0.0173867	0.025607	0.0354236	0.0405812	0.0348978	0.0411672	0.0467787	0.063046
