 	a66	a87	a23	a53	a15	a7	a37	a75	a92	a79	a98	a92	a90	a69	a4	a75	a92	a98	a92	a21	a5	a85	a6	a36	a26	a57	a87	a23	a87	</S>
il	0.0347852	0.0619919	0.0577668	0.057834	0.0597835	0.0469618	0.0536146	0.0202991	0.0209696	0.0156551	0.0146278	0.0140964	0.0149818	0.0118442	0.00793692	0.0114982	0.00889872	0.0055781	0.00697279	0.0167666	0.0255977	0.0377744	0.0453677	0.0472089	0.0598481	0.070848	0.0399974	0.0330798	0.0365848	0.06083
a	0.0136798	0.010979	0.0157304	0.0109424	0.0263899	0.0280724	0.0556986	0.077815	0.0505651	0.0514793	0.0371208	0.0249688	0.0142733	0.00715882	0.0109079	0.0157653	0.0178729	0.0163777	0.0214765	0.0252783	0.0310402	0.0596009	0.0493697	0.0537772	0.066609	0.0505594	0.0666156	0.0369524	0.0318305	0.0210931
refusé	0.0109462	0.00705322	0.00626673	0.00671426	0.0122492	0.0182329	0.0356449	0.0991733	0.0871617	0.0866573	0.0716508	0.0464559	0.0233446	0.0112702	0.010486	0.00725732	0.0061742	0.0067966	0.00961368	0.0173313	0.0139044	0.0402471	0.0357868	0.0348845	0.038443	0.0354118	0.0724951	0.0345181	0.0382129	0.0756161
de	0.129513	0.0787157	0.0564159	0.0585234	0.0335589	0.0201992	0.0124728	0.0592347	0.0391197	0.0314847	0.0233487	0.0186304	0.00698259	0.009141	0.0120835	0.0110968	0.0167738	0.0193279	0.0260344	0.0162571	0.0142337	0.0196661	0.0212784	0.0249427	0.0256557	0.0242487	0.0445217	0.0308366	0.0494481	0.0662543
faire	0.0864812	0.0471088	0.030372	0.0328732	0.0391902	0.0297815	0.0144984	0.0145052	0.0189012	0.0245124	0.0184584	0.0202415	0.0357305	0.0282918	0.033526	0.0244547	0.0206275	0.00911884	0.0214055	0.0327892	0.0211567	0.0259649	0.0204556	0.0304068	0.0289612	0.0368989	0.0605504	0.0560594	0.0598909	0.0767874
ma	0.0727594	0.0415443	0.0301508	0.021644	0.0299865	0.0356805	0.0379547	0.0211043	0.0195292	0.0248104	0.0330688	0.0492353	0.044007	0.0288038	0.0212449	0.0134839	0.0104294	0.00999239	0.0130122	0.0344031	0.0379277	0.0371576	0.0462144	0.0382869	0.0305975	0.0381414	0.0491982	0.043036	0.0397701	0.0468255
com	0.0485239	0.0320395	0.023818	0.0312715	0.0423689	0.0369598	0.059105	0.0457386	0.0619945	0.0608591	0.0770201	0.0681979	0.0336046	0.0215859	0.0268848	0.0250326	0.0197969	0.00962086	0.0117618	0.0132016	0.0105589	0.0151206	0.0191192	0.0223635	0.0235154	0.024944	0.0326976	0.0252194	0.0272404	0.0498352
mission	0.05322	0.0450359	0.0352377	0.0401282	0.03751	0.0345072	0.0559652	0.0416888	0.0460197	0.03438	0.0262535	0.0396184	0.0155126	0.00919864	0.0174715	0.0220565	0.0217937	0.0117943	0.0157033	0.0123368	0.00873111	0.0176783	0.0264685	0.0291909	0.0322938	0.0405395	0.053234	0.0408977	0.0582694	0.077265
par	0.0474122	0.0382094	0.0305524	0.0225919	0.0216024	0.0219463	0.045638	0.0177576	0.0351118	0.0200975	0.0223811	0.0390958	0.0216536	0.0103777	0.0130162	0.0128237	0.0107806	0.0133415	0.028205	0.0454417	0.0216778	0.0269147	0.0326113	0.0472321	0.0366365	0.0558162	0.0590627	0.0655272	0.086643	0.0498422
canaillerie	0.0541067	0.0503949	0.0454634	0.0410669	0.0557563	0.0516631	0.0478317	0.0152497	0.0293198	0.0240796	0.0196594	0.0271609	0.0230319	0.0131374	0.0167099	0.0189665	0.0161522	0.0132361	0.0190958	0.0236815	0.013972	0.0192763	0.0205928	0.0262093	0.0365085	0.0486644	0.0471703	0.0377989	0.0717899	0.0722535
</S>	0.0177428	0.0170995	0.0184217	0.0141215	0.0241684	0.019958	0.0231103	0.00472781	0.00949613	0.00752845	0.00712109	0.0155342	0.0135704	0.0114937	0.0139504	0.00982788	0.00768437	0.0102818	0.0245889	0.0346715	0.0247042	0.035571	0.0404696	0.0443911	0.0502874	0.0712071	0.0783493	0.0538147	0.099103	0.197004
