 	a66	a87	a23	a40	a44	a26	a56	a90	a92	a44	a98	a47	a92	a85	a6	a0	a75	a6	a37	a85	a15	a7	a90	a92	a21	a47	a62	a83	a93	a56	a31	a62	a88	a50	a88	a71	a9	a10	a87	a23	a87	</S>
la	0.0375274	0.0425244	0.0466313	0.0357445	0.0591233	0.0787913	0.106402	0.115548	0.09007	0.042738	0.023486	0.0191817	0.0145684	0.0110627	0.0151011	0.0111796	0.0100049	0.00652323	0.00508428	0.00840513	0.00872032	0.00875628	0.00727927	0.0112805	0.011551	0.0187036	0.0198256	0.00730933	0.0146217	0.0171344	0.0107457	0.00956564	0.00654062	0.00699524	0.0073845	0.00528622	0.0048329	0.00499998	0.00624975	0.00550073	0.00802888	0.0189914
belle	0.000771235	0.00241895	0.00503663	0.0552184	0.0624615	0.103941	0.111693	0.151949	0.135574	0.0645494	0.0814722	0.0355339	0.0150192	0.0129548	0.0143227	0.02103	0.0284413	0.0120359	0.0172018	0.0123632	0.00947162	0.00433838	0.00710734	0.00586186	0.00530413	0.00582037	0.00788246	0.00411074	0.00179503	0.00136387	0.000692408	0.000332338	0.00015638	0.000164125	0.000180985	6.67289e-05	0.000202903	0.000145577	0.000160436	0.00026314	0.000435585	0.000155566
famille	0.0186057	0.028802	0.043573	0.0411578	0.0313196	0.064227	0.0562139	0.0740736	0.0741786	0.0618911	0.0426209	0.0401489	0.043906	0.0481264	0.0538455	0.0302218	0.0289756	0.0230354	0.0204146	0.0278529	0.0225825	0.0157663	0.0190158	0.0144991	0.0128533	0.0087839	0.0131314	0.0113501	0.00416581	0.00464612	0.00134499	0.00109084	0.000293005	0.000506762	0.000830989	0.00058912	0.00158045	0.00139455	0.00221129	0.00264982	0.00550254	0.00202109
m'	0.0476899	0.0193826	0.0210608	0.0176625	0.0354717	0.0351985	0.0365815	0.0350476	0.0802677	0.0524996	0.0428885	0.0433588	0.0560504	0.0382256	0.0389676	0.0360734	0.0744722	0.0387037	0.0278607	0.0254398	0.0107245	0.00929079	0.00791648	0.00753085	0.00449193	0.00457409	0.007693	0.00744011	0.00788867	0.00699382	0.00431451	0.00303048	0.00298861	0.00332502	0.00623168	0.00749269	0.0141024	0.0150766	0.0196983	0.0125498	0.0174396	0.016303
implique	0.0273158	0.0142739	0.0135205	0.00317854	0.00421379	0.00454136	0.00344706	0.00597967	0.0182005	0.0199944	0.0149605	0.0397267	0.0459009	0.055004	0.0687156	0.0511571	0.0515304	0.0630556	0.0894576	0.0378911	0.0667431	0.0847619	0.040117	0.0429972	0.0147524	0.012913	0.0135892	0.011614	0.00760691	0.0106507	0.008968	0.00851395	0.00615017	0.00688035	0.00405869	0.0019964	0.00262084	0.00189891	0.00623168	0.00268451	0.00479749	0.0073886
dans	0.0200554	0.0151478	0.0154301	0.00466129	0.00562275	0.00431792	0.00726771	0.00626918	0.0077796	0.0108743	0.00802509	0.0190774	0.0152192	0.0229686	0.0295462	0.0287913	0.0275018	0.0406199	0.0546542	0.0319886	0.0310997	0.0272634	0.0211246	0.0254626	0.0196182	0.0203786	0.0281664	0.0210506	0.0167483	0.0271063	0.0331212	0.0247172	0.0221913	0.0191021	0.0327871	0.0162885	0.0350411	0.0344808	0.0531988	0.0410463	0.0433212	0.0308675
des	0.0218132	0.0302156	0.030742	0.0187538	0.0136025	0.013942	0.0132419	0.00922915	0.00638741	0.00804229	0.00808922	0.0151104	0.0139706	0.01889	0.0168782	0.0191001	0.0154656	0.0254314	0.0217493	0.0163241	0.0107204	0.0118534	0.00905517	0.0111541	0.0107624	0.0162141	0.0170427	0.0157896	0.0165933	0.0245722	0.0142498	0.0133976	0.0101173	0.0137317	0.0238088	0.0302227	0.0544105	0.0696984	0.0816719	0.0710176	0.0929068	0.0440308
affaires	0.0222473	0.0207174	0.0166854	0.00918905	0.00450355	0.00854068	0.00750148	0.00846312	0.0064603	0.0115069	0.0168051	0.029392	0.0357432	0.0358889	0.0429083	0.0355301	0.0343462	0.0289369	0.0215944	0.0200994	0.0126995	0.0110409	0.00940489	0.0121797	0.0054974	0.00993887	0.00916817	0.0091492	0.0108634	0.0169412	0.0125003	0.0110924	0.00778038	0.0113473	0.0251387	0.0172127	0.0486906	0.0482463	0.0807011	0.0711727	0.0869269	0.0552474
que	0.0191878	0.0187676	0.0134049	0.00675674	0.00503121	0.00499742	0.00654802	0.00755266	0.0109905	0.022039	0.026722	0.0373467	0.0432914	0.0442811	0.0401658	0.0399803	0.0326575	0.0237909	0.0206803	0.0183431	0.0132668	0.00934536	0.00695678	0.00623725	0.00534861	0.00435472	0.00396812	0.0038977	0.00343005	0.0076277	0.00767895	0.0107593	0.0207933	0.0289141	0.040884	0.028283	0.0387433	0.0347338	0.0751244	0.0456461	0.0627675	0.0987042
je	0.022549	0.0257398	0.016333	0.00570037	0.00627516	0.00522366	0.00726259	0.00642438	0.00704742	0.00912838	0.00806469	0.0165252	0.0169052	0.0170646	0.0238461	0.0274717	0.0228099	0.032231	0.0269389	0.027794	0.0378036	0.0371552	0.0264902	0.0315795	0.0153459	0.0336596	0.0126397	0.0126321	0.0127345	0.0195726	0.0203113	0.0198833	0.0182965	0.0186748	0.0450422	0.018001	0.0410532	0.0380411	0.0622024	0.0449079	0.0491114	0.053527
