 	a87	a10	a24	a70	a98	a73	a69	a53	a44	a56	a13	a9	a0	a21	a47	a21	a47	a61	a62	a75	a25	a56	a12	a96	a75	a5	a62	a83	a9	a10	a9	a97	</S>
tsimba	0.0394599	0.0804999	0.0970886	0.086892	0.106988	0.105846	0.0961538	0.0502289	0.0279181	0.0146202	0.00842938	0.0152912	0.014229	0.0157115	0.0131762	0.0100444	0.00884119	0.00792008	0.00697456	0.00665223	0.00883463	0.00713871	0.0143022	0.0117575	0.0160752	0.0170288	0.0126804	0.0170338	0.0116723	0.0112133	0.0108816	0.0135998	0.0348162
vient	0.0230108	0.0188413	0.0267845	0.0257534	0.040451	0.0425428	0.0202258	0.0258978	0.0182318	0.0184295	0.0301093	0.0205293	0.0244341	0.0380735	0.0277277	0.0336732	0.0419952	0.0403734	0.0225378	0.0224925	0.0206471	0.0277013	0.0224375	0.0242718	0.0446324	0.0214249	0.0332345	0.0318153	0.0453543	0.0508657	0.0459532	0.0340458	0.0355015
de	0.0667972	0.0396747	0.0541183	0.0406271	0.0256876	0.01274	0.00820524	0.00835723	0.010961	0.012137	0.0148213	0.00817503	0.00951801	0.00993736	0.00523943	0.00398327	0.0073565	0.00679587	0.0042866	0.00630906	0.00574239	0.00931849	0.00495575	0.00479051	0.011977	0.00887635	0.025687	0.0434269	0.0953318	0.0804543	0.116692	0.15655	0.0804698
s'	0.0951078	0.0129258	0.013313	0.0213815	0.0322619	0.00925173	0.00682175	0.00481246	0.0045961	0.0135736	0.0248089	0.0272823	0.0326519	0.0442302	0.0373236	0.0407082	0.0705097	0.0673765	0.0403631	0.0592958	0.0551906	0.0313331	0.0205669	0.0170969	0.0277255	0.0155673	0.0180924	0.0182481	0.0261108	0.0323575	0.025734	0.035392	0.0179893
initier	0.094777	0.0285411	0.0228824	0.0288177	0.0327458	0.0159091	0.00791396	0.00431667	0.00488355	0.0101966	0.0187869	0.0148409	0.0201474	0.0304394	0.0256966	0.0216355	0.0282698	0.0198338	0.0316985	0.0411044	0.031472	0.0288347	0.0422585	0.0416148	0.0456069	0.0305993	0.0440981	0.0317153	0.0347913	0.0646703	0.0353072	0.0383514	0.0272428
à	0.0757088	0.0486203	0.036467	0.0309625	0.0275127	0.0295243	0.0225823	0.0208337	0.0148373	0.0134496	0.0146337	0.0154456	0.015925	0.0172673	0.0149233	0.0129936	0.0155391	0.0138453	0.0174093	0.0313961	0.0297472	0.0280738	0.0374853	0.0372848	0.0471853	0.0510458	0.0362442	0.0446832	0.0358271	0.0630803	0.0317183	0.0328123	0.0349358
la	0.0355129	0.0145474	0.0150319	0.0121802	0.00988112	0.00491096	0.00346845	0.00338216	0.00514643	0.00456423	0.00785789	0.00447431	0.00481184	0.00588528	0.0055265	0.00619838	0.00754714	0.00938459	0.00674905	0.0206229	0.025967	0.0235396	0.0398725	0.034698	0.0539793	0.0606454	0.067757	0.0671802	0.094133	0.097158	0.0911599	0.0728615	0.0833649
divina	0.0788951	0.0476172	0.0333346	0.0258549	0.0178401	0.00718886	0.00457139	0.00380682	0.00445301	0.00699618	0.0135509	0.0166524	0.0195534	0.0152446	0.0166417	0.0130081	0.010689	0.0121633	0.0102433	0.0118307	0.0176227	0.0136524	0.0184292	0.0215464	0.0260993	0.0742727	0.0512592	0.0713809	0.0784236	0.0813636	0.0695351	0.0593025	0.0469771
tion	0.0573697	0.0399588	0.032677	0.0240371	0.0185247	0.0043149	0.00336878	0.00215201	0.00231053	0.00338599	0.00457899	0.00465076	0.00467236	0.00571242	0.0039993	0.00340526	0.00653912	0.00661837	0.00552244	0.0110044	0.0158562	0.0123096	0.0174984	0.0181537	0.020458	0.052876	0.0416206	0.0616422	0.0905612	0.153135	0.0897448	0.0910707	0.0902707
au	0.0923987	0.0404649	0.0289181	0.0241645	0.0162364	0.00556358	0.00310786	0.00212466	0.00191468	0.00397834	0.00817983	0.00972335	0.0114522	0.0100374	0.0102419	0.0110328	0.0279318	0.0345241	0.0225545	0.0449247	0.0514082	0.0476281	0.0347255	0.0344141	0.0390591	0.0485037	0.0584955	0.044041	0.0333295	0.0678067	0.0335756	0.0643829	0.0331558
pays	0.0932854	0.0192754	0.0103288	0.00752816	0.00569571	0.00192666	0.00112374	0.00106176	0.00131205	0.00190659	0.00328467	0.00366467	0.00576039	0.00819537	0.00909898	0.00915955	0.0139788	0.0178127	0.0174395	0.0293955	0.0421513	0.0395486	0.0532433	0.0405873	0.0638666	0.060033	0.0604233	0.0575401	0.0628729	0.0857851	0.0561319	0.0583579	0.0582243
ngaé	0.0394744	0.0279824	0.0235743	0.0217884	0.0142766	0.0127829	0.00744402	0.00649173	0.00673179	0.00771207	0.0102713	0.0118909	0.0146164	0.0114946	0.00930546	0.0111847	0.0248671	0.0174665	0.0124503	0.0225252	0.0213763	0.0213447	0.0347949	0.0377468	0.041974	0.0928164	0.073187	0.0774543	0.0627439	0.0888379	0.0391152	0.0710337	0.0232437
</S>	0.0428389	0.0233719	0.0121777	0.0106912	0.0078445	0.00593324	0.00249195	0.00285268	0.00202854	0.00348794	0.00519609	0.00819591	0.011154	0.0126458	0.00996041	0.0103196	0.0173274	0.013775	0.0121974	0.0157223	0.0202585	0.0246063	0.0616195	0.045404	0.0575285	0.0580102	0.0975728	0.100903	0.0633017	0.0789047	0.0476559	0.0718634	0.0421595
