 	a23	a87	a23	a99	a10	a38	a53	a20	a2	a57	a38	a24	a41	a18	a25	a87	a23	a24	a71	a9	a38	a94	a98	a24	a98	a75	a41	a94	a98	a24	a98	a71	a38	a24	a31	a24	a9	a87	a23	a79	a90	a38	a10	a11	a76	a73	a84	a53	a90	a57	a53	a90	a54	a41	a66	a76	a25	a47	a12	a41	a90	a4	a93	a56	a43	a32	a11	a94	a25	a87	</S>
va	0.023657	0.015634	0.0147259	0.00760497	0.00374391	0.00330952	0.00288462	0.0026014	0.00271748	0.00336247	0.00357806	0.00310898	0.00325539	0.00279949	0.00284295	0.0029723	0.00314772	0.00471143	0.00271164	0.00361034	0.00223026	0.00147161	0.0019001	0.00431132	0.0041336	0.00271978	0.00460409	0.0031589	0.0185679	0.00431147	0.00718913	0.0042151	0.0125397	0.024581	0.0150895	0.00889115	0.00461352	0.00737576	0.0178713	0.0044956	0.0085555	0.00662197	0.00520074	0.00788993	0.00789775	0.00623559	0.00467044	0.00518859	0.00994287	0.00674942	0.0203169	0.0358814	0.0257647	0.0520835	0.034024	0.0282423	0.0351892	0.0242303	0.0510508	0.0599943	0.048487	0.0356943	0.0205698	0.0245669	0.0167046	0.0125841	0.0142035	0.0161852	0.0280528	0.0279333	0.0520376
jusqu'	0.00528835	0.00980907	0.0119448	0.0192725	0.00837655	0.00716693	0.00611638	0.0102423	0.0104632	0.00794364	0.00835048	0.00752012	0.00887475	0.0206836	0.0183128	0.0138218	0.0217728	0.0123633	0.00997632	0.00641788	0.0171336	0.0137755	0.0120828	0.0237853	0.00619026	0.0106119	0.00911615	0.03229	0.0115124	0.00760447	0.00960418	0.0143009	0.00490057	0.0219497	0.00883934	0.00494327	0.0173786	0.0159282	0.0225761	0.00717072	0.0135036	0.0282775	0.0317872	0.0205933	0.0452198	0.0257768	0.0417248	0.0300485	0.0180991	0.00895726	0.00848869	0.00839527	0.0109867	0.00648774	0.0104665	0.00646864	0.00894869	0.00799365	0.0131215	0.00553215	0.00600502	0.012691	0.0209611	0.0221623	0.0141497	0.0125538	0.0163301	0.0122143	0.0100768	0.0100312	0.0155356
à	0.0181162	0.0137843	0.0118788	0.0222211	0.0202518	0.0251553	0.00911328	0.0234871	0.0152196	0.00459984	0.00513176	0.0062124	0.00633496	0.0116666	0.0114528	0.00909993	0.0106842	0.00806012	0.0104483	0.00604199	0.0101528	0.00879441	0.00971098	0.0121563	0.0114759	0.00917471	0.0099009	0.0138456	0.0131641	0.0156909	0.00904654	0.0100649	0.012508	0.0131229	0.0168468	0.0181248	0.0215211	0.0247559	0.0229097	0.0135657	0.018121	0.0162672	0.0160166	0.0120883	0.0150243	0.0121798	0.0125147	0.011763	0.00518459	0.00861083	0.0138933	0.0133433	0.0154362	0.0115266	0.0151376	0.0158853	0.0179203	0.0169825	0.0157349	0.0100212	0.00884235	0.00773833	0.00561618	0.0151075	0.0124083	0.0269923	0.0386787	0.0186741	0.0257813	0.0252401	0.0157761
la	0.0145377	0.0143343	0.00785169	0.00851257	0.0131682	0.0195381	0.0175339	0.0310642	0.0382018	0.0198491	0.0223455	0.0277222	0.0187082	0.00843634	0.00985898	0.0130379	0.0109205	0.0171666	0.0171881	0.0153218	0.0143762	0.0156568	0.0179665	0.0246816	0.020231	0.0258362	0.0158462	0.0136481	0.0104623	0.01015	0.0207721	0.0177929	0.016247	0.0150209	0.0119401	0.0157942	0.0160426	0.0203181	0.0112167	0.0193629	0.0188464	0.0152489	0.0114755	0.0117319	0.00882462	0.00643992	0.00443414	0.0022953	0.00246107	0.00446278	0.00415433	0.00341684	0.00331912	0.0102413	0.00836487	0.00717389	0.0117415	0.0114771	0.0172579	0.00902709	0.0155512	0.0267489	0.030189	0.0172267	0.0126797	0.0119407	0.0101732	0.00547573	0.00652733	0.00562258	0.00681058
prochaine	0.010652	0.0108705	0.00933517	0.00676574	0.0174723	0.0179657	0.0162247	0.0236932	0.011079	0.010968	0.0112054	0.0042968	0.00310494	0.00233012	0.00550483	0.0134578	0.0105291	0.0127641	0.0151147	0.0102983	0.0221046	0.0159938	0.0626915	0.034287	0.0482017	0.0353367	0.0226084	0.019011	0.0220707	0.0341122	0.0342332	0.027492	0.0186684	0.0228788	0.00761819	0.00976257	0.014594	0.0254716	0.0132562	0.0262666	0.0201666	0.00999695	0.0124364	0.0192792	0.01493	0.01737	0.012703	0.0173506	0.0252398	0.0147612	0.0139554	0.00346366	0.00239782	0.00634049	0.00329784	0.00371461	0.0049929	0.00317675	0.00562339	0.00319321	0.00815571	0.0101765	0.00446557	0.00500042	0.00353848	0.00234898	0.00266152	0.00174001	0.00267656	0.00193422	0.00262066
bifurcation	0.0237441	0.0192353	0.0127339	0.0138394	0.006004	0.00469111	0.00247804	0.00198703	0.00368373	0.00339765	0.00721495	0.00768195	0.0142996	0.0196528	0.0184139	0.0173171	0.0130538	0.0166937	0.0264445	0.020155	0.0138887	0.0175131	0.0109854	0.0354856	0.0092317	0.009218	0.0127187	0.0131768	0.0217544	0.00831067	0.0168324	0.00814209	0.0167109	0.0195695	0.0270832	0.0213492	0.0641543	0.0472079	0.0284758	0.0238268	0.0474117	0.0213115	0.0144816	0.0239828	0.0145651	0.0132521	0.0118782	0.00380135	0.00215705	0.0039833	0.00299322	0.00566352	0.00246198	0.00336456	0.00312452	0.00369674	0.00247717	0.0025149	0.00202349	0.00282319	0.00355471	0.00278593	0.00482968	0.00680519	0.010562	0.0176032	0.0215332	0.0135022	0.020611	0.0146204	0.0172677
et	0.0274961	0.0172961	0.0138382	0.0117162	0.00310693	0.00171996	0.000968322	0.000532101	0.000362535	0.000292659	0.000874697	0.000710203	0.00120783	0.00210098	0.00238767	0.00349818	0.00311218	0.00504072	0.0054065	0.00436585	0.00901991	0.0120604	0.0187571	0.0278338	0.0101471	0.00894477	0.00969429	0.0124464	0.0190657	0.00986832	0.0189469	0.0148021	0.00964737	0.018102	0.0169609	0.00996708	0.0685454	0.0284351	0.0288342	0.0284324	0.0454487	0.0174927	0.0213783	0.0442409	0.0258473	0.0228203	0.0202725	0.0105976	0.0118696	0.00719847	0.0067569	0.0116977	0.00581733	0.00483558	0.00776802	0.00801246	0.0129988	0.0110595	0.00741864	0.00878496	0.00894236	0.00794974	0.00838683	0.0100535	0.0141437	0.01737	0.0214876	0.029421	0.0196369	0.038506	0.025241
prends	0.019916	0.0178019	0.0151648	0.0112618	0.00638215	0.00554751	0.00311671	0.00121539	0.000910848	0.00051075	0.00179166	0.000959433	0.00180687	0.00203454	0.00221368	0.00314067	0.00304416	0.00581421	0.00528138	0.00786144	0.0100443	0.01406	0.0235942	0.0235417	0.0132299	0.00862251	0.0126984	0.0129987	0.016635	0.0113297	0.0243298	0.0140826	0.0108376	0.0184877	0.0130264	0.00942551	0.051905	0.0227229	0.0186761	0.0206436	0.0415107	0.0155011	0.0148859	0.0345703	0.0261141	0.0174665	0.0137991	0.0103642	0.0115547	0.00842542	0.0116958	0.0129772	0.0110928	0.0116448	0.0123596	0.0208877	0.0285836	0.0212065	0.0177747	0.0185116	0.0246381	0.0243405	0.0150171	0.0107682	0.0130491	0.00979968	0.0102995	0.0151486	0.0103713	0.0199831	0.0189908
à	0.0201885	0.0147071	0.0132244	0.0129694	0.00776617	0.00634988	0.00278314	0.00155961	0.00149414	0.000859571	0.00314704	0.00181359	0.00380252	0.00474239	0.00376356	0.00400484	0.00438407	0.00789902	0.00940132	0.0116195	0.0100718	0.0250809	0.0169577	0.0225744	0.011606	0.0120891	0.0133286	0.0158475	0.0111157	0.00772588	0.0158316	0.0140071	0.012798	0.0120862	0.023171	0.0151577	0.0350114	0.0213948	0.0212476	0.0240064	0.0337004	0.0263439	0.0232732	0.027754	0.0253657	0.0131741	0.0147259	0.00861604	0.0106238	0.0131579	0.0128666	0.0165422	0.0140862	0.00986417	0.00773313	0.0140304	0.0147594	0.0227324	0.0185335	0.0125231	0.0168932	0.0109055	0.00950991	0.00958711	0.0106501	0.0110286	0.0120945	0.0238153	0.0229837	0.0315338	0.0230031
gauche	0.0226171	0.0121934	0.00974709	0.00787548	0.0041236	0.00376669	0.00115025	0.00126215	0.00141263	0.000891579	0.00236733	0.00199782	0.00312106	0.00329269	0.00360446	0.00572127	0.00488743	0.0100343	0.00974683	0.0137813	0.010977	0.0254364	0.0149363	0.011216	0.0110663	0.0182581	0.0209745	0.0227535	0.0127127	0.00626516	0.0199186	0.0208161	0.0240467	0.0149945	0.0265721	0.0197657	0.0255459	0.0198719	0.0195611	0.0207993	0.0248908	0.0211397	0.0220415	0.0215953	0.0145185	0.0132222	0.0131895	0.00883755	0.0128712	0.010914	0.0110701	0.0128443	0.011521	0.0105955	0.0108338	0.0130945	0.0150486	0.0174172	0.0142874	0.0196867	0.0192859	0.0111831	0.0109675	0.0131089	0.0166077	0.0196897	0.0203124	0.0312425	0.0194846	0.0320508	0.016365
