 	a66	a87	a23	a97	a83	a88	a0	a47	a75	a47	a56	a90	a92	a21	a5	a23	a75	a92	a37	a34	a62	a88	a0	a47	a88	a62	a21	a75	a85	a47	a36	a7	a93	a69	a7	a84	a10	a87	a97	a87	</S>
mes	0.0445983	0.0511012	0.0487076	0.0242845	0.0136534	0.0145217	0.0208487	0.0499924	0.0424178	0.0191955	0.0314652	0.0113869	0.00997274	0.0113305	0.0112561	0.00812141	0.00916883	0.00862626	0.00943997	0.00752939	0.00908766	0.0105254	0.0110481	0.0158203	0.0229785	0.0182518	0.0219007	0.0340169	0.0272846	0.030741	0.0273723	0.0256794	0.0205757	0.0387637	0.0395728	0.0414981	0.0260945	0.0339616	0.0390191	0.0222392	0.0359501
beaux-parents	0.00737304	0.00693416	0.00797829	0.00740141	0.00372536	0.00511259	0.0161975	0.0576514	0.0772903	0.0746959	0.0927053	0.0911314	0.0939618	0.0714509	0.065207	0.0444634	0.0450714	0.0449855	0.022114	0.0285768	0.029276	0.025157	0.0107477	0.00687819	0.00545607	0.00248037	0.00296962	0.00160612	0.00433854	0.0032895	0.00237538	0.00213445	0.0047164	0.00417757	0.0010682	0.00356008	0.00496432	0.00449754	0.00421648	0.00921436	0.00284876
et	0.106361	0.0410564	0.0410334	0.0304555	0.0113795	0.0154429	0.0235676	0.0262427	0.0367492	0.0395605	0.030139	0.0252548	0.0251785	0.0341385	0.0418067	0.0293002	0.0242867	0.0199237	0.0162652	0.0215063	0.0206637	0.0117112	0.0207678	0.0150668	0.0142966	0.0105256	0.0203585	0.0117175	0.0143218	0.0107956	0.0173981	0.0171602	0.0188486	0.0104466	0.00823633	0.0143296	0.0306531	0.0168679	0.0211729	0.0402818	0.0147311
moi	0.073695	0.0339756	0.0179925	0.00820789	0.00378539	0.00405726	0.00822781	0.0204768	0.025138	0.0234053	0.0175065	0.0129221	0.0157883	0.0177065	0.00891472	0.0105438	0.0112597	0.00785232	0.00689872	0.0115786	0.0223823	0.0268982	0.0266425	0.0385571	0.0249524	0.0208537	0.0370944	0.0269282	0.018259	0.0215607	0.0161062	0.0300208	0.0169974	0.0342329	0.0284861	0.0315945	0.0570355	0.0419526	0.0414707	0.0473118	0.0507304
nous	0.0675267	0.0379165	0.0208163	0.02232	0.0183248	0.0162652	0.0234361	0.0256207	0.0244041	0.0219228	0.0253993	0.0337248	0.0246969	0.0507919	0.0358911	0.0730025	0.0528901	0.0439106	0.0443103	0.0445664	0.0343171	0.0330021	0.0255984	0.0213099	0.0235989	0.0151996	0.024811	0.0157983	0.0101325	0.00566653	0.00517941	0.00457607	0.00395637	0.00571953	0.00907229	0.00720216	0.0125421	0.00814224	0.00514016	0.00858603	0.0127121
sommes	0.0509606	0.0203247	0.0187744	0.0170154	0.0105722	0.0154911	0.0118569	0.0116193	0.0146238	0.0169707	0.0188865	0.0210625	0.0158205	0.0343792	0.0228612	0.0474142	0.0339947	0.0350656	0.0476425	0.0490702	0.0376758	0.0475763	0.0249162	0.0199375	0.0322497	0.0235696	0.032317	0.0257676	0.0226216	0.0173142	0.0178979	0.0172922	0.0126553	0.0132075	0.0207959	0.0147061	0.0271191	0.0137854	0.0138523	0.0236912	0.0266452
séparés	0.040279	0.0195838	0.018673	0.0137294	0.00800918	0.0068675	0.00589568	0.00578302	0.0104561	0.0118444	0.0149369	0.012801	0.0156996	0.00873486	0.00733538	0.00627173	0.00552073	0.0105786	0.0181571	0.0132924	0.0191803	0.0298832	0.0199681	0.0215559	0.0511363	0.020949	0.0291327	0.0344126	0.022093	0.0259419	0.0278291	0.0324332	0.0324166	0.0261526	0.0495683	0.0373172	0.0538646	0.0423545	0.0316375	0.0631202	0.0746036
hier	0.0198262	0.0147155	0.0176982	0.0157872	0.010653	0.0123945	0.0122637	0.0111089	0.0157937	0.0145957	0.0157837	0.0170085	0.0170188	0.0184957	0.0183824	0.0189908	0.0173658	0.024219	0.0263457	0.0259993	0.0284046	0.0228713	0.0196948	0.0154296	0.0277094	0.0136732	0.017363	0.0195047	0.0188648	0.0230575	0.0209472	0.0201979	0.0282718	0.0273164	0.038539	0.0466576	0.0370252	0.0725644	0.0295493	0.0411951	0.0867172
sans	0.0226943	0.0140749	0.0149227	0.00988526	0.00783505	0.00635583	0.00812431	0.00700462	0.0121784	0.00980439	0.0122477	0.0107895	0.00976031	0.00841682	0.00888563	0.00721152	0.00849664	0.00850245	0.00717	0.00795821	0.00940671	0.010079	0.0128242	0.0105724	0.0174205	0.0126176	0.0108473	0.0187912	0.021849	0.0320531	0.0361065	0.0369932	0.0416282	0.0542946	0.0615161	0.0640314	0.0542266	0.0791787	0.054962	0.0680586	0.0902241
se	0.0194346	0.0123473	0.0128445	0.00963276	0.00858954	0.00694631	0.00811129	0.00646833	0.0100913	0.00818508	0.00974912	0.00818581	0.00635776	0.00746416	0.00802028	0.00615743	0.00822112	0.00719684	0.00456276	0.00609605	0.00766377	0.0108258	0.0137452	0.0158892	0.0229816	0.0192824	0.020145	0.0257904	0.0248921	0.0317328	0.0315199	0.0324424	0.0359094	0.0462169	0.0568301	0.0567481	0.0524004	0.0861606	0.0510017	0.0613945	0.121765
dire	0.0235702	0.0146487	0.0165204	0.0129841	0.0112398	0.00856397	0.00794114	0.00708288	0.00961144	0.0078235	0.0108122	0.00715079	0.00621777	0.00720379	0.00834515	0.00663549	0.00814957	0.00778089	0.00630798	0.00724755	0.00761224	0.00909773	0.0104069	0.0159792	0.0198847	0.0185188	0.0335431	0.0312902	0.0301363	0.0378399	0.041755	0.0402371	0.0542696	0.0448936	0.059674	0.0496423	0.0603348	0.073877	0.0472969	0.0397318	0.0781415
au	0.0304636	0.0164809	0.022095	0.0136564	0.00680928	0.00310821	0.00481884	0.00489682	0.00648211	0.00683107	0.00801185	0.00528904	0.00392142	0.00587949	0.00620901	0.00573264	0.00595535	0.0057428	0.00549667	0.0058414	0.00581433	0.00774093	0.010428	0.0142791	0.0158733	0.0188389	0.0361778	0.0279748	0.0278153	0.0404684	0.0495818	0.0437367	0.0482348	0.0445801	0.0485081	0.0420747	0.0681359	0.0699455	0.0667909	0.0693636	0.069915
revoir	0.0283982	0.0135479	0.0195754	0.00997695	0.00729446	0.00460422	0.00651701	0.0078406	0.0117834	0.0107648	0.0152499	0.00842903	0.00673537	0.00775479	0.00782062	0.00559816	0.00693111	0.00614984	0.00466252	0.00573303	0.0061718	0.00955968	0.0145921	0.0210492	0.0257248	0.0255536	0.0418223	0.0375807	0.0352284	0.0464981	0.0477932	0.0460001	0.0502144	0.0414766	0.0477709	0.0383294	0.0541172	0.0547806	0.0535117	0.0530249	0.0538328
</S>	0.0139615	0.00638729	0.00676452	0.00193222	0.0007742	0.000634188	0.00102011	0.00139352	0.00217967	0.00218441	0.00327122	0.00156389	0.00149203	0.00166068	0.00157857	0.0015028	0.00207429	0.00165754	0.00203193	0.00249426	0.00296242	0.0065171	0.00685853	0.00691416	0.0129105	0.0123198	0.0138817	0.0276044	0.0206532	0.0461403	0.0598913	0.0635559	0.0496501	0.0775231	0.0986438	0.0861989	0.0747866	0.0932982	0.060083	0.0489589	0.0740893
