 	a66	a87	a23	a30	a13	a75	a12	a61	a75	a92	a85	a5	a36	a21	a43	a21	a12	a75	a5	a37	a26	a82	a87	a23	a87	</S>
le	0.0802601	0.0553726	0.0382064	0.0172371	0.0115077	0.00982973	0.0108606	0.020707	0.0123972	0.0147201	0.00818573	0.00931121	0.00743861	0.00754803	0.0122942	0.0289876	0.0533487	0.0754847	0.0753371	0.0777237	0.0756896	0.0367568	0.0398288	0.0684691	0.0626685	0.0898292
chasseur	0.00513195	0.0112136	0.0154291	0.0571654	0.0610114	0.0602459	0.0855588	0.140284	0.103756	0.0908519	0.093278	0.083021	0.0428115	0.0504613	0.0409529	0.0183809	0.00510244	0.00730706	0.00276867	0.00228229	0.00328472	0.00242514	0.00151394	0.00607952	0.00505046	0.00463226
est	0.0580364	0.117572	0.108502	0.104989	0.064683	0.0429438	0.058438	0.0564712	0.041818	0.041837	0.0357214	0.0344005	0.0312575	0.0244399	0.0355892	0.0248033	0.00527502	0.009545	0.00440428	0.00318035	0.0104377	0.0175641	0.0147966	0.0183239	0.0298834	0.00508831
en	0.0340878	0.0362654	0.0213774	0.0317565	0.0283606	0.0248177	0.0191464	0.0217488	0.0566887	0.0946363	0.0830089	0.0822292	0.107211	0.053558	0.0588032	0.0475637	0.0267326	0.0268083	0.0237988	0.0168643	0.0187591	0.014594	0.0167199	0.0241199	0.0107455	0.0195978
train	0.0271844	0.0244896	0.0204985	0.0171409	0.0155412	0.0204071	0.0264706	0.0434588	0.0943925	0.109854	0.103001	0.0598846	0.0550473	0.056311	0.0569853	0.0561049	0.0251074	0.0301728	0.0313392	0.022352	0.0283376	0.0111972	0.0224341	0.0204885	0.00777337	0.0140256
de	0.0300101	0.0144811	0.0091779	0.00816858	0.0125982	0.0109773	0.00890619	0.0150048	0.0100251	0.0197719	0.00603151	0.0156009	0.015547	0.0156723	0.021241	0.0210648	0.0291605	0.0409209	0.0383439	0.0619601	0.0528446	0.0683285	0.0919665	0.104745	0.106068	0.171384
dépécer	0.0853787	0.0846975	0.0579176	0.0206938	0.0260504	0.0333935	0.0369425	0.0905426	0.0742048	0.0712272	0.0465309	0.032306	0.0253965	0.0224481	0.0192493	0.0109368	0.0136208	0.0172494	0.0223863	0.0182179	0.0247647	0.0194376	0.0332451	0.0359381	0.0358084	0.0414155
l'	0.039941	0.0384755	0.0257081	0.025381	0.0230848	0.0231478	0.0144743	0.0130428	0.00860404	0.0144788	0.00689585	0.0142627	0.0139943	0.0172119	0.0280342	0.0298701	0.0273167	0.0425059	0.0578795	0.0768145	0.0686595	0.0632139	0.0790095	0.0566826	0.0738288	0.117482
animal	0.0523376	0.0469328	0.0175651	0.0215058	0.0171138	0.0178137	0.0170038	0.012617	0.0074131	0.012006	0.00684458	0.00948625	0.0103603	0.00967625	0.0109807	0.0152973	0.0430567	0.046084	0.0545712	0.0615479	0.0622405	0.0597915	0.0840783	0.0989221	0.0867767	0.117977
</S>	0.0542569	0.049223	0.0256551	0.0272074	0.0183077	0.0155445	0.0159514	0.0178686	0.0104527	0.0151635	0.00843858	0.0127991	0.0136545	0.0138042	0.0222718	0.0282504	0.046237	0.0578778	0.0594033	0.0620206	0.071794	0.0408239	0.0488387	0.0584426	0.0455297	0.160183
