 	a66	a87	a10	a87	a23	a9	a24	a38	a20	a15	a98	a47	a36	a47	a79	a20	a32	a53	a69	a94	a4	a58	a82	a87	a23	a87	</S>
on	0.104893	0.093053	0.0716733	0.0780789	0.0359701	0.0188063	0.0061569	0.00665511	0.00922273	0.0107922	0.0131315	0.0111221	0.011468	0.0092597	0.0106886	0.00753225	0.00982547	0.0222343	0.0212359	0.032839	0.0504823	0.0697869	0.057676	0.0468176	0.0543166	0.0547672	0.081515
fabrique	0.0139587	0.0141602	0.0132493	0.0140034	0.0122367	0.020191	0.0200452	0.0273367	0.0406507	0.055785	0.0500739	0.067662	0.048612	0.0330783	0.0434342	0.0732704	0.0632882	0.060988	0.0496601	0.0621749	0.0387571	0.0295072	0.0304151	0.0281867	0.031291	0.0319259	0.0260579
le	0.0421729	0.0300136	0.0277902	0.0248325	0.0279887	0.0153911	0.0144659	0.017381	0.0108472	0.040195	0.0201035	0.0143808	0.00999972	0.0106558	0.0203826	0.0223745	0.0281709	0.0380642	0.0356696	0.0531341	0.0673216	0.0577555	0.070494	0.0748311	0.0699722	0.0765069	0.0791049
tam-tam	0.0199888	0.0142519	0.0123185	0.0142765	0.0295215	0.0244246	0.0611017	0.0423933	0.074647	0.0791722	0.134574	0.116989	0.204188	0.0428906	0.0318663	0.0169884	0.0163527	0.0219994	0.014625	0.0059567	0.00560561	0.00461846	0.00220042	0.00270136	0.00192584	0.00174287	0.00267981
avec	0.112018	0.0812849	0.0623927	0.0371876	0.0264832	0.0149709	0.00873409	0.0103711	0.00401728	0.0111826	0.00841715	0.0100763	0.0116149	0.0277218	0.0409566	0.0389906	0.0330865	0.0269684	0.0290369	0.0221115	0.0317549	0.0454575	0.0476679	0.0404353	0.0487417	0.0481799	0.12014
le	0.0439449	0.0410761	0.030774	0.015775	0.00848343	0.00746225	0.0050966	0.00399983	0.00324743	0.00773158	0.00817315	0.0081408	0.0111497	0.0191764	0.0147685	0.0407673	0.0250007	0.0370956	0.0418363	0.0582993	0.0963431	0.0849039	0.0932889	0.0890862	0.0776963	0.0720484	0.0546342
bois	0.114803	0.074394	0.0425949	0.0251409	0.00790555	0.00634581	0.00343303	0.00261462	0.00232955	0.0088188	0.0146921	0.00999166	0.0186048	0.0214366	0.0174083	0.0442843	0.032894	0.0541014	0.0370684	0.0467661	0.0739378	0.0661966	0.0627692	0.0608183	0.0500129	0.0518755	0.0487615
de	0.0543078	0.0345145	0.0241646	0.0210785	0.00721389	0.00411705	0.00184807	0.00101055	0.00140051	0.00483146	0.00577205	0.00771413	0.0107371	0.015424	0.019421	0.0280973	0.03849	0.0452759	0.0559049	0.0803535	0.0708477	0.0693619	0.0622969	0.0850011	0.0563991	0.0564041	0.138012
l'	0.0661753	0.0431081	0.0306468	0.0327259	0.0192235	0.0126604	0.0076339	0.00662025	0.00660608	0.00905025	0.0105738	0.0120256	0.0125195	0.0117122	0.0149324	0.0174236	0.0190208	0.0329985	0.0398908	0.0528747	0.057636	0.077675	0.0706829	0.0692687	0.0631743	0.0792537	0.123887
arbre	0.077244	0.0515959	0.0441226	0.0416915	0.0374011	0.0319526	0.0223627	0.013477	0.016832	0.0364958	0.0278459	0.038403	0.0251023	0.0286249	0.0354577	0.0380869	0.0295445	0.0278745	0.0346337	0.0316046	0.0373349	0.0364377	0.0356152	0.0530642	0.0455919	0.0464167	0.0551863
osongo	0.0490372	0.0407175	0.0384307	0.0417511	0.0326509	0.0242752	0.0229323	0.0162761	0.0249582	0.0316027	0.0333827	0.0484467	0.0378615	0.0561301	0.0534825	0.0399514	0.0310735	0.026394	0.0296022	0.0295412	0.0292787	0.036769	0.0340845	0.0424471	0.0400736	0.0458742	0.0629752
</S>	0.0793256	0.0492503	0.0335807	0.0324012	0.0101583	0.00670436	0.00443309	0.00384351	0.0118267	0.0154101	0.0142489	0.01578	0.0141143	0.0130959	0.0151145	0.0309005	0.0488286	0.0543051	0.0556815	0.0700349	0.0561571	0.0637451	0.0532897	0.0601536	0.049985	0.0469036	0.0907276
